Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001579062019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Vágánykapcsolat cseréje és deltavágány létesítése,Építési beruházás,1408231046.0,HUF,45234126-5,45234126-5,HU11,Igen,Nem,Igen,Nem,Igen,,2020-04-20,5.0,Nem,"Vasútépítők Pályatervező, Kivitelező és Iparvágányfenntartó Korlátolt Felelősségű Társaság","10678547208,HU10678547",HUN_9023_Győr_Csaba Utca 9.,Nem,1601000000.0,HUF,1408231046.0,HUF,Igen,ismert alvállalkozó: PREVINFORM-MAX Korlátolt Felelősségű Társaság (adószám: 23418941-2-07),"PREVINFORM-MAX Korlátolt Felelősségű Társaság (adószám: 23418941-2-07) AF III.1.3) Műszaki, illetve szakmai alkalmasság M2) b) pont",Nem,Nem,Nincs adat,7446/2020,2020/S 087-208757,2020-05-07,Tájékoztató az eljárás eredményéről,-17 days,336,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,"Vasútépítők Pályatervező, Kivitelező és Iparvágányfenntartó Korlátolt Felelősségű Társaság"
EKR001586392019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Tárgyalásos eljárás,"Budavári Sikló pályalemez felújítás,leesés védelem",Építési beruházás,153432015.0,HUF,45234240-0,45234240-0,HU11,Igen,Nem,Igen,Nem,Igen,,2020-09-15,2.0,Nem,Colas Alterra Építőipari Zártkörűen Működő Részvénytársaság,"13961149244,HU13961149",HUN_1113_Budapest_Bocskai Út 73.,Nem,251800000.0,HUF,153432015.0,HUF,Igen,MSc Mérnöki Tervező és Tanácsadó Kft. (adószám: 12017560-2-43); KIS - IZOLÁTOR Kft. (adószám:13519230-2-43 );  ARCUS Mérnöki Iroda Kft. (adószáma: 13519230-2-43 ) ,"MSc Mérnöki Tervező és Tanácsadó Kft.(adósz:12017560-2-43) III.1.3)M1/1. pont;KIS - IZOLÁTOR Kft.(adósz:13519230-2-43) III .1.3.M1./2 pont:1 db kőzetüreg-kitöltési,v. injekt.referencia;ARCUS Mérnöki Iroda Kft. (adósz:13519230-2-43)-III .1.3._M2. pont ",Nem,Nem,Nincs adat,17159/2020,,2020-09-21,Tájékoztató az eljárás eredményéről,-6 days,390,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Colas Alterra Építőipari Zártkörűen Működő Részvénytársaság
EKR000462912018,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,"Debrecen, Laktanya utca felújítása",Építési beruházás,108000000.0,HUF,45233228-3,45233228-3,HU321,Igen,Nem,Igen,Nem,Igen,,2018-10-11,2.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.  ,Nem,,HUF,108000000.0,HUF,Igen,nem ismert,,Nem,Nem,Nincs adat,19510/2018,,2018-10-28,Tájékoztató az eljárás eredményéről,-17 days,658,Debrecen Megyei Jogú Város Önkormányzata,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR001625772019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,M3 metró Dózsa Gy. út megálló akadálymentesítése,Építési beruházás,1970057739.0,HUF,45234125-8,45234125-8|45000000-7,HU110,Igen,Nem,Igen,Igen,Igen,,2020-12-04,3.0,Nem,STRABAG Építőipari Zártkörűen Működő Részvénytársaság,"10776456443,01-10-041955",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,1970057739.0,HUF,Igen,"1. Thermo-Solár Mérnöki-Gazdasági Kft.  - Asz: 23185359241, 2. FŐMTERV Mérnöki Tervező Zrt. - Asz: 13842217241 ","1. Thermo-Solár Mérnöki-Gazdasági Kft.  - Asz: 23185359241, AF:III.1.3) M.2. b); 2. FŐMTERV Mérnöki Tervező Zrt. - Asz: 13842217241 ,AF: III.1.3) M. 1.; 3. STRABAG-MML Magas- és Mérnöki Létesítmény Építő Kft. Asz: 14008915443 , III.1.2) P. 1)",Nem,Nem,Nincs adat,23247/2020,2020/S 247-614824,2020-12-20,Tájékoztató az eljárás eredményéről,-16 days,692,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,STRABAG Építőipari Zártkörűen Működő Részvénytársaság
EKR001634822019,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,A Debreceni Csokonai Nemzeti Színház felújítása,Építési beruházás,9621995063.0,HUF,45000000-7,45453100-8|45000000-7|45212300-9|45210000-2,HU321,Igen,Nem,Igen,Nem,Igen,,2020-06-29,2.0,Nem,Hunép Építőipari Zártkörűen Működő Részvénytársaság,"12656770209,HU12656770",HUN_4025_Debrecen_Simonffy Utca 34-36. 8768/1,Nem,9171513945.0,HUF,9621995063.0,HUF,Igen,"Hering Zoltán e.v. (5540 Szarvas, Széchenyi u. 21., adószám: 44791306-1-24), BOFA Kereskedelmi és Szolgáltató Bt. (1075 Budapest, Wesselényi u. 18. IV. 25., adószám: 28899947-1-42) karakterkorlát miatt folytatás a VI.1.10) További információk c. pontban","Hering Zoltán e.v. (5540 Szarvas, Széchenyi u. 21., adószám: 44791306-1-24), BOFA Kereskedelmi és Szolgáltató Bt. (1075 Budapest, Wesselényi u. 18. IV. 25., adószám: 28899947-1-42)",Nem,Nem,Nincs adat,11730/2020,2020/S 130-318305,2020-07-09,Tájékoztató az eljárás eredményéről,-10 days,748,Debrecen Megyei Jogú Város Önkormányzata,Hunép Építőipari Zártkörűen Működő Részvénytársaság
EKR001636192019,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Latinovits Színház belső kivitelezési munkálatai,Építési beruházás,5890371984.0,HUF,45000000-7,45000000-7|45212300-9|45210000-2|45453100-8,HU321,Igen,Nem,Igen,Igen,Igen,,2020-08-06,3.0,Igen,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság|LATEREX Építő Zártkörűen Működő Részvénytársaság,"12461866209,HU12461866|25098367243,HU25098367","HUN_4030_Debrecen_Diószegi Utca 32-34.|HUN_1095_Budapest, IX._Hídépítő  Utca 1-12",Igen|Igen,,HUF,5890371984.0,HUF,Igen,"ZÁÉV Zrt. 10738885-2-20, Zala-Elektro Épületvillamossági, Szerelő és Szolgáltató Kft. 11993025-2-20","ZÁÉV Zrt. 10738885-2-20, Zala-Elektro Épületvillamossági, Szerelő és Szolgáltató Kft. 11993025-2-20 Ajánlati felhívás III.1.3. pont M1) jelű követelmény",Nem,Nem,Nincs adat,14753/2020,2020/S 158-384962,2020-08-17,Tájékoztató az eljárás eredményéről,-11 days,755,Debrecen Megyei Jogú Város Önkormányzata,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság|LATEREX Építő Zártkörűen Működő Részvénytársaság
EKR000483962018,,,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,10816772242,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,Sportliget felújítási munkái,Építési beruházás,282809114.0,HUF,45212100-7,45212200-8|45223700-3|45212100-7|45112711-2|45112720-8|45232120-9|45100000-8|45233293-9,HU110,Igen,Nem,Igen,Nem,Igen,,2018-10-11,3.0,Nem,"Galga Bau Termelő, Szolgáltató és Kereskedelmi Kft.",12278253213,HUN_2194_Tura_Kossuth Lajos  Utca 143. ,Igen,,HUF,282809114.0,HUF,Igen,"IMMO Szerviz Szolgáltató és Épületkezelő Kft.(adószám: 12030705-2-43), Szentpétery N. Elemér (Adóazonosító jel: 8289792263), Nagy Lajos Adóazonosító jel: 8316411478) , PVV-BITECH Ipari-Szolgáltató Kft. (Adószám: 10456055-2-41)","Szentpétery N. Elemér (Adóazonosító jel: 8289792263), Nagy Lajos Adóazonosító jel: 8316411478) , PVV-BITECH Ipari-Szolgáltató Kft. (Adószám: 10456055-2-41)",Nem,Nem,Nincs adat,19397/2018,,2018-10-23,Tájékoztató az eljárás eredményéről,-12 days,1252,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,"Galga Bau Termelő, Szolgáltató és Kereskedelmi Kft."
EKR000225502020,,,Budapest Főváros IV. Kerület Újpest Önkormányzata,15735674241,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Útépítési munkák - keretszerződés,Építési beruházás,299950000.0,HUF,45233120-6,45233120-6,HU110,Igen,Nem,Igen,Nem,Igen,,2020-04-30,3.0,Nem,VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság,13839129243,HUN_1215_Budapest_Vasas Utca 65-67.,Igen,299950000.0,HUF,299950000.0,HUF,Igen,jelenleg nem ismert,,Nem,Nem,Nincs adat,7589/2020,,2020-05-05,Tájékoztató az eljárás eredményéről,-5 days,2623,Budapest Főváros IV. Kerület Újpest Önkormányzata,VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság
EKR000231352020,,,Budapest Főváros IV. Kerület Újpest Önkormányzata,15735674241,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Biodiverz zöldfelületek kialakítása - keretszerz.,Építési beruházás,299950000.0,HUF,45000000-7,45000000-7,HU110,Igen,Nem,Igen,Nem,Igen,,2020-04-14,4.0,Nem,Vackorkert Park és Kertépítő Korlátolt Felelősségű Társaság,26785965206,HUN_6800_Hódmezővásárhely_Rárósi  Utca 68,Igen,299950000.0,HUF,299950000.0,HUF,Igen,jelenleg nem ismert,,Nem,Nem,Nincs adat,7027/2020,,2020-04-20,Tájékoztató az eljárás eredményéről,-6 days,2643,Budapest Főváros IV. Kerület Újpest Önkormányzata,Vackorkert Park és Kertépítő Korlátolt Felelősségű Társaság
EKR000235062020,,,Budapest Főváros IV. Kerület Újpest Önkormányzata,15735674241,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Sportpályaépítés, kültéri edzőeszközök telepítése",Építési beruházás,299950000.0,HUF,45112720-8,45236119-7,HU110,Igen,Nem,Igen,Nem,Igen,,2020-04-16,5.0,Nem,Három Kertőr Kertészeti Szolgáltató Kft.,"13301129243,HU13301129",HUN_1125_Budapest_Napos  Út 5/B.,Igen,299950000.0,HUF,299950000.0,HUF,Nem,,,Nem,Nem,Nincs adat,7029/2020,,2020-04-21,Tájékoztató az eljárás eredményéről,-5 days,2657,Budapest Főváros IV. Kerület Újpest Önkormányzata,Három Kertőr Kertészeti Szolgáltató Kft.
