Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
IKK Innovatív Képzéstámogató Központ Zrt.,Buyer,24195162241,0,0.032831624,0.4125255,-1.0801435,0.97704893,4.681951,3,8.016032064128256e-06,1.80547582204282e-18,0.0029135344045491175,0.40234435,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Stratis Vezetői és Informatikai Tanácsadó Kft.,Winner,"11782454241,HU 11782454",0,0.028109638,0.3997679,-1.0427178,0.908426,4.5340247,3,0.0,1.2766641970348342e-18,0.0015372447737733454,0.4065093,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
UD INFOPARK Nonprofit Korlátolt Felelősségű Társaság,Buyer,11156569409,1,-0.01100209,0.39052382,-0.913815,0.9765908,4.420026,4,2.404809619238477e-05,1.5497540584894735e-16,0.003831060825066298,0.40053108,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
SIGHTSPOT NETWORK Kft.,Winner,"23972188209,HU23972188",1,-0.0097268205,0.38345546,-0.8841543,0.96704906,4.339699,4,0.0,8.947509228466125e-17,0.0013843237036871474,0.40716785,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
EGERERDŐ Erdészeti Zártkörűen Működő Részvénytársaság,Buyer,11164511210,2,0.021192107,0.3606591,-0.9002162,0.72530335,4.08743,9,4.008016032064128e-05,4.559216273435101e-14,0.001955194892025928,0.39982247,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Börzsöny 2020 Ipari és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12205666213,HU12205666",2,0.017657613,0.36782688,-0.99299,0.91013414,4.1662784,9,3.6072144288577156e-05,4.343106451466933e-14,0.0019564403908851787,0.40448397,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Nemzeti Sportközpontok,Buyer,15598158242,3,0.0021188185,0.31931528,-0.93031406,0.7483377,3.6127195,16,0.007767535070140281,1.3472272760682353e-07,0.011927439098710135,0.40294912,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Perfect Protection Solutions Hungary Zrt.,Winner,24851862242,3,-0.01379138,0.31263357,-0.9760393,0.58634186,3.540485,16,0.0,3.379706962160974e-08,0.0010787805396628445,0.3999548,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Rómer Flóris Művészeti és Történeti Múzeum,Buyer,EKRSZ_20228853,4,-0.01355612,0.39186537,-1.0343422,1.0440676,4.436103,3,8.016032064128256e-06,1.80547582204282e-18,0.0029135344045491175,0.4019505,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Lekri Group Kft.,Winner,22735944-2-08,4,-0.010787176,0.3901352,-1.0286729,1.0577799,4.4155626,3,0.0,1.2766641970348342e-18,0.0015372447737733454,0.40523767,3.5762787e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
