Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Buyer,12464780251,0,-0.018091526,0.35578957,-1.0764463,0.89059156,4.0305004,11,0.00014906091622776508,8.369113841309575e-16,0.003258241382216801,0.3980977,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Postaautó Duna Gépjármű-kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,Winner,12753671209,0,-0.019130237,0.3559829,-1.0859076,0.8464528,4.033298,11,0.0,3.4917338276291244e-16,0.0018148511213931862,0.39514157,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,1,0.014762486,0.24368829,-0.6250507,0.61244,2.7620726,52,0.05173241909304713,0.7020394166067797,0.06259827222251889,0.45146346,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Katker 2005 Kereskedelmi, Vendéglátó és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"11556079209,HU11556079",1,0.018301193,0.23612443,-0.6035388,0.49664363,2.6794548,52,0.0,0.09867567603851343,0.0014946844201182406,0.46473435,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Freedom-Tech Informatika Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"23444054213,HU23444054",1,0.022325227,0.23633894,-0.5829574,0.4781196,2.6857731,52,0.0,0.09867567603851343,0.0014946844201182406,0.46065885,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
SUTURA Képviseleti és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12004692243,HU12004692,01-09-366856",1,0.019880235,0.23246644,-0.61683977,0.45586127,2.6396575,52,0.0,0.09867567603851343,0.0014946844201182406,0.46233344,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ETIAM Korlátolt Felelősségű Társaság,Winner,"24909707206,HU24909707",13,0.00072430074,0.27008843,-0.78254205,0.62119216,3.0557127,23,0.014425784226042598,0.11771399099777956,0.005858781255695578,0.41539407,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Közép-dunántúli Vízügyi Igazgatóság,Buyer,15308407207,9,0.0124951955,0.35257807,-0.7747952,0.9988178,3.9914699,17,0.0,1.3450278338851795e-15,0.0017624037415628422,0.3981212,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Hidrot Ipari Gyártó, Kereskedelmi és Szolgáltató Kft.",Winner,11011578202,9,0.010569893,0.33532065,-0.71220523,0.9786319,3.7956045,17,0.00024843486037960845,3.347631368918458e-15,0.003135691435040627,0.40198603,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Kopp Mária Intézet a Népesedésért és a Családokért,Buyer,15838492241,4,-0.024117561,0.39938974,-1.149126,0.9911829,4.52681,2,0.0,5.2482933101861024e-24,0.002865329512893983,0.40198314,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
IBC-Car Hungary Korlátolt Felelősségű Társaság,Winner,25717851241,4,-0.021347847,0.4018473,-1.1463464,1.0164062,4.552794,2,0.0,5.2482933101861024e-24,0.002865329512893983,0.3997786,-2.9802322e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Országos Vízügyi Főigazgatóság,Buyer,15796019241,9,0.009321734,0.3320695,-0.7643495,1.067398,3.7584174,17,0.0008778031733412833,6.986727404035059e-15,0.0056833889064417656,0.3976353,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Reál-Gép Fővállalkozó és Kivitelező Kft,Winner,14013696243,9,0.005554475,0.33595982,-0.75369215,1.0597668,3.8014708,17,0.0,2.807231575187334e-15,0.0016375835448407719,0.3963032,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"""Rátgéber Kosárlabda Akadémia"" Alapítvány",Buyer,18223897202,5,-0.05497423,0.35169008,-0.9722617,0.8365862,4.0272365,7,0.00024843486037960845,5.194728603516788e-15,0.009445148622102554,0.40462187,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Samostalna Tekstilna Radnja Sport-teks Vesna Simovic preduzetnik Arilje,Cerova",Winner,60291179,5,-0.048312113,0.3492938,-1.0373387,0.920223,3.9894295,7,0.0,2.120739071809438e-15,0.0017686929946925543,0.40441987,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Közép-Duna-völgyi Vízügyi Igazgatóság,Buyer,15308380242,6,0.0043359473,0.34792432,-0.90153587,0.8266254,3.9366198,10,0.0005299943688098314,1.3428977199170155e-14,0.00878453223835428,0.40332872,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Pepco Prémium Korlátolt Felelősségű Társaság,Winner,23841176206,6,0.0017507151,0.34890014,-0.7951148,0.7644064,3.9474041,10,0.00023187253635430124,6.5057277433391304e-15,0.003072790953243449,0.40376213,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Észak-Balatoni Térség Regionális Települési Szilárdhulladék Kezelési Önkormányzati Társulás,Buyer,15589363219,7,-0.035557523,0.40080124,-0.9111896,1.0607862,4.552358,2,0.0,5.2482933101861024e-24,0.002865329512893983,0.39721215,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
BITUMASTER Építőipari Korlátolt Felelősségű Társaság,Winner,"12513688213,HU12513688",7,-0.034111824,0.39847296,-0.828796,0.9644237,4.5246954,2,0.0,5.2482933101861024e-24,0.002865329512893983,0.39684132,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Med-Pro Hungary Kft.,Winner,14327339241,1,0.01809162,0.23122922,-0.6093462,0.47202036,2.6240551,52,0.0,0.09867567603851343,0.0014946844201182406,0.4655342,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Gyömrő Városi Település Üzemeltető és Fejlesztő Nonprofit Kft,Buyer,21536278213,8,0.012965092,0.38305035,-0.85677356,1.129637,4.336201,3,0.0,4.7406654501532534e-21,0.0022073476019731256,0.40078136,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
SZAL-AGRO Kereskedelmi és Szolgáltató Kft,Winner,"11778705205,HU11778705",8,0.009967634,0.38493556,-0.9057571,1.0968121,4.3565083,3,1.656232402530723e-05,6.704313374280285e-21,0.004181293334735697,0.40101743,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Audiotechnika Kft,Winner,14601525202,1,0.017071858,0.23280087,-0.6234337,0.48663512,2.6409137,52,0.0,0.09867567603851343,0.0014946844201182406,0.46357363,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Kormányzati Informatikai Fejlesztési Ügynökség,Buyer,15598316241,0,-0.004549893,0.3432237,-0.76702327,1.0576564,3.883474,11,0.0006293683129616747,3.1340867044136147e-15,0.007127721371267812,0.402494,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
