Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Pécsi Tudományegyetem,Buyer,15329798202,13,-0.007130307,0.26348525,-0.5452574,0.58364475,2.9820867,22,0.055615113398132236,0.5205126372400619,0.0390666177344343,0.43472168,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Fresenius Kabi Hungary Vegy-, Gyógyszeripari és Kereskedelmi Korlátolt Felelősséű TársaságKft.",Winner,"10736687241,HU 10736687",13,-0.012104843,0.25734842,-0.5874846,0.58310485,2.914784,22,0.0,0.1033841003923192,0.002008293418406628,0.43867034,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
IdomSoft Informatikai Zártkörűen Működő Részvénytársaság,Buyer,23083185241,30,-0.00144332,0.2762536,-0.6967156,0.64280665,3.1254954,21,0.023925576519916145,0.12476354459986665,0.016726365310056193,0.41408023,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Freedom-Tech Informatika Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"23444054213,HU23444054",30,-0.0040288847,0.28067926,-0.7914171,0.6513284,3.1758506,21,0.0,0.024782252727824975,0.0019862502183078294,0.4277579,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ETIAM Korlátolt Felelősségű Társaság,Winner,"24909707206,HU24909707",24,-0.009540722,0.25200263,-0.6501152,0.55043554,2.8531268,21,0.0872689155708023,0.31204299660925955,0.015502139504628393,0.42129156,3.5762787e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Buyer,12464780251,4,-0.03191095,0.30278888,-1.1666148,1.093632,3.444637,24,0.0012135506003430531,1.4289479117215582e-10,0.003122023007184238,0.39693183,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ALTEO Energiakereskedő Zártkörűen Működő Részvénytársaság,Winner,"23720448241,HU23720448",4,-0.029838257,0.29759452,-1.1376632,0.9873401,3.3837788,24,0.005508385744234804,3.845044020763481e-10,0.005910485980931465,0.40400428,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Kormányzati Informatikai Fejlesztési Ügynökség,Buyer,15598316241,5,-0.015191577,0.39042214,-1.1195501,1.2581937,4.4204645,3,2.858776443682104e-05,2.7085630750039328e-33,0.005486178825514824,0.40511546,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Digitran Hungária Digitális Transzformáció Zrt.,Winner,"26196413241,HU26196413",5,-0.013176597,0.39260146,-1.1272601,1.2749826,4.444279,3,0.0,1.9152433176067684e-33,0.0028960083316034915,0.40400624,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Nagykanizsai Városfejlesztő Korlátolt Felelősségű Társaság,Buyer,25455005220,6,0.010831314,0.40826854,-1.2892838,1.0549055,4.6206565,2,0.0,6.476466000967516e-40,0.0037593984962406013,0.40232575,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Dentalcoop Plus Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13686282218,HU13686282",6,0.006143011,0.4132916,-1.3175925,1.0308867,4.6763773,2,0.0,6.476466000967516e-40,0.0037593984962406013,0.40732503,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
MVMI Informatika Zártkörűen Működő Részvénytársaság,Buyer,13649588217,7,-0.04549869,0.36191913,-0.92032063,0.81082034,4.1268773,7,0.00034305317324185246,1.774045787041663e-24,0.008269018103120867,0.40850353,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
DOQSYS Business Solutions Zártkörűen Működő Részvénytársaság,Winner,"25703133241,HU25703133",7,-0.04431843,0.34977138,-0.93010247,0.7109095,3.9888508,7,0.0,8.44380420117933e-25,0.0023215486787912195,0.4020483,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Budapest Főváros Kormányhivatala,Buyer,15789233241,30,0.0026362347,0.32124406,-0.8795976,0.8716748,3.6345837,21,0.013579188107489993,0.0029874042279015084,0.01110555519647722,0.39898816,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Pharmaroad Gyógyszerkereskedelmi, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"13999034242,HU13999034,01-09-883967",30,-0.005007661,0.3170353,-0.9517058,0.8865036,3.5872922,21,0.0,0.0005933891147984352,0.0021377725289448107,0.41148022,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Pfizer Gyógyszerkereskedelmi Korlátolt Felelősségű Társaság,Winner,"10591060244,HU 10591060,01-09-167090",30,-0.0022782155,0.31287304,-0.8983096,0.8896238,3.5398486,21,0.0,0.0005933891147984352,0.0021377725289448107,0.40768763,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Envirosense Hungary Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság,Winner,"14729432209,HU14729432",5,-0.011987616,0.39042038,-1.1175607,1.2760775,4.4191837,3,0.0,1.9152433176067684e-33,0.0028960083316034915,0.40284723,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Nemzeti Kommunikációs Hivatal|Magyar Turisztikai Ügynökség Zrt.,Buyer,15827186241|10356113241,9,-0.022987107,0.41504252,-1.0388685,0.89595896,4.7028666,2,0.0,6.476466000967516e-40,0.0037593984962406013,0.40480393,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Promotrade Reklám és Kereskedelmi Kft.,Winner,"11767626213,HU11767626",9,-0.023673927,0.41447124,-1.0548608,0.8968047,4.69685,2,0.0,6.476466000967516e-40,0.0037593984962406013,0.40366656,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
