Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Semmelweis Egyetem,Buyer,15329808242,0,-0.036273304,0.26947302,-0.68797415,0.6137646,3.076236,32,0.03517499783418552,0.06558607199225293,0.018201785123594702,0.42565614,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Per-Form Hungária Kereskedelmi és szolgáltató Korlátolt felelősségü társaság,Winner,12649774242,0,-0.027355697,0.26507336,-0.5584793,0.59221137,3.0148902,32,0.004911149089438935,0.06338699397295883,0.0018898910580398838,0.41344157,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
KŐKERT Kőbányai Kerületgondnoksági és Településüzemeltetési Non-profit Közhasznú Korlátolt Felelősségű Társaság,Buyer,14324130242,1,-0.024136174,0.4342585,-1.0824583,1.0483398,4.9206567,2,0.0,1.4873734765741266e-52,0.0014684287812041115,0.39342204,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
EU-Gépker Kereskedelmi és Szolgáltató Kft,Winner,"13928511208,HU13928511",1,-0.023574827,0.4406469,-1.1036669,1.0538756,4.99248,2,0.0,1.4873734765741266e-52,0.0014684287812041115,0.3924184,-4.172325e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
BARCIKA CENTRUM Vagyonkezelő és Szolgáltató Korlátolt Felelősségű Társaság,Buyer,23727153205,52,-0.011544146,0.3460612,-0.8560488,0.8956662,3.9174135,41,0.012530372973931841,5.361637742740191e-08,0.005642045599432676,0.38306263,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Belovecz és Társa Hús- és Hentesáru Kereskedelmi Kft.,Winner,"11078768205,HU11078768",52,-0.0145112965,0.35070327,-0.86548066,0.9916724,3.9711497,41,0.0,4.389316910311327e-09,0.0007535488350697247,0.38261622,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"Gemini Trade Élelmiszeripari feldolgozó, Kereskedelmi és Szolgáltató Kft.",Winner,"10661637215,HU10661637",52,-0.01563739,0.34357867,-0.8664798,0.92739004,3.891173,41,0.0,4.389316910311327e-09,0.0007535488350697247,0.38464937,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
ABAÚJTEJ Tejfelvásárló-Feldolgozó és Forgalmazó Korlátolt Felelősségű Társaság,Winner,"27051085205,HU27051085,05-09-032058",52,-0.014203494,0.3360992,-0.81199974,0.92919403,3.8059223,41,0.0,4.389316910311327e-09,0.0007535488350697247,0.38572228,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Gasztro Miskolc Élelmiszer Nagykereskedelmi Kft.,Winner,"13782209205,HU13782209",52,-0.015404979,0.34405604,-0.83820957,0.95954907,3.8964496,41,0.0,4.389316910311327e-09,0.0007535488350697247,0.38189015,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
MÁV Szolgáltató Központ Zártkörűen Működő Részvénytársaság,Buyer,14130179244,3,-0.0028217826,0.35900292,-0.9288865,0.70555943,4.0617795,23,0.0007623668023910595,2.2333976811892384e-30,0.008543348616949066,0.384472,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Elektro Profi Kereskedelmi Kft,Winner,"10715451242,HU10715451",3,-0.00029109046,0.35317928,-0.93155664,0.7639664,3.995769,23,0.0,6.3951030961062775e-31,0.0008259763607575289,0.3946899,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
