Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
MÁV Szolgáltató Központ Zártkörűen Működő Részvénytársaság,Buyer,14130179244,0,-0.04154958,0.38849944,-1.0639459,1.0666332,4.420435,7,8.841576629944652e-05,4.430870686783843e-47,0.005644446693687996,0.4090323,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"Kézmű Fővárosi Kézműipari Közhasznú Nonprofit Korlátolt Felelősségű Társaság|""Pro-Team"" Rehabilitációs Közhasznú Nonprofit Kft.|ERFO Rehabilitációs Foglalkoztató Közhasznú Nonprofit Korlátolt Felelősségű Társaság",Winner,"22260336242,HU22260336|22305004215|22242419242,HU22242419",0,-0.044296727,0.38306063,-1.0781523,0.99760115,4.362717,7,0.0,1.8088953831459467e-47,0.0010569757793625022,0.40939975,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Kézmű Fővárosi Kézműipari Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Winner,"22260336242,HU22260336",0,-0.04237031,0.38056394,-1.0746789,1.0083789,4.3321924,7,0.0,1.8088953831459467e-47,0.0010569757793625022,0.41129825,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,Buyer,26698180241,1,-0.0014562942,0.26921183,-0.7209017,0.7491429,3.0458288,104,0.029666436785674287,0.697485578869839,0.06746907080960374,0.44123265,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"SERCO Informatika Kft.|FORNAX SI Nagyvállalati Megoldások Korlátolt Felelősségű Társaság|ALBACOMP SH Szoftverház Korlátolt Felelősségű Társaság|ATOS Magyarország Korlátolt Felelősségű Társaság|T-Systems Magyarország Zártkörűen Működő Részvénytársaság|Dokucentrum Irodai Rendszerek Korlátolt Felelősségű Társaság|Szinva Net Informatikai Zártkörűen működő Részvénytársaság|EURO ONE Számítástechnikai Zrt.|Enterprise Communications Magyarország Kft.|Sys IT Services Szolgáltató Korlátolt Felelősségű Társaság|Szintézis Informatikai Zrt.|PANOR Informatika Zártkörűen működő Részvénytársaság|Macrotel Telefontechnikai Kft|Kermann Műszaki Fejlesztő és Tanácsadó Kft|Duna Elektronika Kft.|ADATKÖZPONT Korlátolt Felelősségű Társaság|Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság|Flaxcom Holding Elektronikai és Kereskedelmi Zrt|4iG Nyilvánosan Működő Részvénytársaság|Rufusz Computer Informatika Informatikai Szolgáltató Zártkörűen Működő Részvénytársaság|M&M Computer Számítás- és Irodatechnikai Kereskedelmi Kft|Humansoft Szerviz Korlátolt Felelőségű Társaság|Invitech ICT Services Korlátolt Felelősségű Társaság|IMG Solution Kft.|Tigra Rendszerház Korlátolt Felelősségű Társaság|TIGRA Computer- és Irodatechnikai Korlátolt Felelősségű Társaság|TRACO Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság|SzámHEAD Számítástechnikai és Szolgáltató Korlátolt Felelősségű Társaság|R+R Periféria Kft.|PC Trade Systems Informatikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Invigor Informatika Korlátolt Felelősségű Társaság|M&S Informatikai Zártkörűen Működő Részvénytársaság|DIGITAL Számítástechnikai Kereskedelmi és Szolgáltató Kft.|PROFESSZIONÁL Informatikai Zártkörűen Működő Részvénytársaság|USER RENDSZERHÁZ Informatikai Korlátolt Felelősségű Társaság|99999 Informatika Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Delta Systems Korlátolt Felelősségű Társaság|WSH Számítástechnikai, Oktató és Szolgáltató Korlátolt Felelősségű Társaság|Woss Kereskedelmi, Vendéglátóipari és Szolgáltató Kft.|Boost IT Korlátolt Felelősségű Társaság|Xcopy Kereskedelmi és Szolgáltató Kft.|NÁDOR Rendszerház Irodaautomatizálási Korlátolt Felelősségű Társaság|KVENTA Elektronikai Fejlesztő, Szolgáltató és Kereskedelmi Korlátolt Felelősségü Társaság|Exicom Informatika Kereskedőház Kft.|CTS-INFORMATIKA Számítástechnikai Korlátolt Felelőségű Társaság|Sysman Informatikai Zrt.|Areus Infokommunikációs Zrt.|Gamax Informatikai és Munkaerő-kölcsönző Kft.|ETIAM Korlátolt Felelősségű Társaság|Inter-Computer-Informatika Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság|QZRT Infotech Kft|Digitran Hungária Digitális Transzformáció Zrt.|CLARMONT I. S. Kft",Winner,"12906240241,HU12906240|24278353243,HU24278353|12396861207|10378144243,HU10378144,01-09-710062|12928099244,HU12928099,01-10-044852|13804828242|24962106205,HU24962106|10649297244,HU10649297,01 10 041733|13835462241,HU13835462,01-09-875754|23994982243,HU23994982,01 09 988281|12890341208,HU12890341,08-10-001771|25119071241,HU25119071|12941911219,HU12941911,19-09-506709|14160080242,HU14160080|12029145243,12029145|24081801203,HU24081801|11809360242,HU11809360,01-09-677773|13985677242,HU13985677242|12011069244,HU12011069,01-10-044993|13644545243,HU13644545,01-10-140532|10582048202,HU 10582048|26709486241,HU26709486|25836965244,HU25836965,13-09-190552|14894262241,HU14894262.|13284220243|12218778243,HU12218778,01-09-566107|11856403242,HU11856403,01-10-044095|10415618243,HU10415618|12221402242,HU12221402|12937303243,HU12937303,01-09-208294|14757671241,HU14757671,01-09-918428|14409471241,HU14409471,01-10-046107 |10406115206,HU10406115|13369657243,HU13369657,01-10-045161|13799504241,HU13799504,01-09-873842|13854964243,HU13854964,01-09-876769|13978774241,HU13978774,01-09-882938|12048898243,HU12048898,01-09-461038|12021927242,HU12021927|14387591241|10900750242,HU10900750|10507326242,HU 10507326,01-09-074755|10329102213,HU10329102,13-09-110592|24907468241|11154361209,HU11154361|12948901241|23469507241,HU23469507,01-10-047135|10383571244|24909707206,HU24909707|12857074243,HU12857074|24246897242|26196413241,HU26196413|13730848241,HU13730848,01-09-870288",1,0.0036918968,0.26098314,-0.5540774,0.71306556,2.9529827,104,0.0,0.0719401440069288,0.0008807275110480523,0.45097268,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"Szintézis Informatikai Zrt.|NETvisor Informatikai és Kommunikációs Zártkörűen működő Részvénytársaság|Flaxcom Holding Elektronikai és Kereskedelmi Zrt|Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság|EURO ONE Számítástechnikai Zrt.|M&S Informatikai Zártkörűen Működő Részvénytársaság|DIGITAL Számítástechnikai Kereskedelmi és Szolgáltató Kft.|PROFESSZIONÁL Informatikai Zártkörűen Működő Részvénytársaság|99999 Informatika Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|USER RENDSZERHÁZ Informatikai Korlátolt Felelősségű Társaság|4iG Nyilvánosan Működő Részvénytársaság|Rufusz Computer Informatika Informatikai Szolgáltató Zártkörűen Működő Részvénytársaság|M&M Computer Számítás- és Irodatechnikai Kereskedelmi Kft|Humansoft Szerviz Korlátolt Felelőségű Társaság|Invitech ICT Services Korlátolt Felelősségű Társaság|T-Systems Magyarország Zártkörűen Működő Részvénytársaság|IStyle Hungary Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Szinva Net Informatikai Zártkörűen működő Részvénytársaság|PC Trade Systems Informatikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Sysman Informatikai Zrt.|Areus Infokommunikációs Zrt.|Gamax Informatikai és Munkaerő-kölcsönző Kft.|ETIAM Korlátolt Felelősségű Társaság|Inter-Computer-Informatika Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság|QZRT Infotech Kft|Digitran Hungária Digitális Transzformáció Zrt.|CLARMONT I. S. Kft|SERCO Informatika Kft.|FORNAX SI Nagyvállalati Megoldások Korlátolt Felelősségű Társaság|ATOS Magyarország Korlátolt Felelősségű Társaság|ALBACOMP SH Szoftverház Korlátolt Felelősségű Társaság|Delta Systems Korlátolt Felelősségű Társaság|WSH Számítástechnikai, Oktató és Szolgáltató Korlátolt Felelősségű Társaság|Woss Kereskedelmi, Vendéglátóipari és Szolgáltató Kft.|Boost IT Korlátolt Felelősségű Társaság|Xcopy Kereskedelmi és Szolgáltató Kft.|NÁDOR Rendszerház Irodaautomatizálási Korlátolt Felelősségű Társaság|KVENTA Elektronikai Fejlesztő, Szolgáltató és Kereskedelmi Korlátolt Felelősségü Társaság|Exicom Informatika Kereskedőház Kft.|CTS-INFORMATIKA Számítástechnikai Korlátolt Felelőségű Társaság",Winner,"12890341208,HU12890341,08-10-001771|14023059243,HU14023059,01-10-045730|13985677242,HU13985677242|11809360242,HU11809360,01-09-677773|10649297244,HU10649297,01 10 041733|14409471241,HU14409471,01-10-046107 |10406115206,HU10406115|13369657243,HU13369657,01-10-045161|13854964243,HU13854964,01-09-876769|13799504241,HU13799504,01-09-873842|12011069244,HU12011069,01-10-044993|13644545243,HU13644545,01-10-140532|10582048202,HU 10582048|26709486241,HU26709486|25836965244,HU25836965,13-09-190552|12928099244,HU12928099,01-10-044852|13552813241|24962106205,HU24962106|12937303243,HU12937303,01-09-208294|12948901241|23469507241,HU23469507,01-10-047135|10383571244|24909707206,HU24909707|12857074243,HU12857074|24246897242|26196413241,HU26196413|13730848241,HU13730848,01-09-870288|12906240241,HU12906240|24278353243,HU24278353|10378144243,HU10378144,01-09-710062|12396861207|13978774241,HU13978774,01-09-882938|12048898243,HU12048898,01-09-461038|12021927242,HU12021927|14387591241|10900750242,HU10900750|10507326242,HU 10507326,01-09-074755|10329102213,HU10329102,13-09-110592|24907468241|11154361209,HU11154361",1,0.00023448374,0.25975564,-0.5724685,0.69316477,2.9388008,104,0.0,0.0719401440069288,0.0008807275110480523,0.45406488,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Digitális Kormányzati Ügynökség Zrt.,Buyer,EKRSZ_ 44899914,1,-0.020555794,0.2940925,-0.7902815,0.6769663,3.3353946,104,0.005941539495322806,0.11624759647830675,0.014597945255937226,0.4161088,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
SERCO Kft. |FORNAX SI Kft|ALBACOMP SH Kft|ATOS Magyarország Kft,Winner,nan,1,-0.018788435,0.26643625,-0.6940612,0.6809688,3.0218678,104,0.00043765804318225975,0.08393016800808362,0.0014452616723287495,0.44012973,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Sysman Informatikai Zrt.|ETIAM Kft|QZRT Infotech Kft|Digitran Hungária Zrt|GAMAX Kft.|CLARMONT I.S. Kft|Inter-Computer-Informatika Zrt|Areus Zrt,Winner,nan,1,-0.02053221,0.26571706,-0.73967123,0.6372208,3.015207,104,0.00043765804318225975,0.08393016800808362,0.0014452616723287495,0.44491377,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
4iG Nyrt.|Rufusz Computer Informatika Zrt.|M & M COMPUTER Kft|Humansoft Szerviz Kft|Invitech ICT Services Kft,Winner,nan,1,-0.018046118,0.26611832,-0.66429424,0.6268746,3.0176997,104,0.00043765804318225975,0.08393016800808362,0.0014452616723287495,0.44616178,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
