Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Nagykanizsai Városfejlesztő Korlátolt Felelősségű Társaság,Buyer,25455005220,0,0.019019876,0.35815933,-0.97641116,0.8755344,4.0578203,12,0.00018876234820361165,2.1362897961961996e-11,0.005143884286745981,0.39188576,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Premier Ablakvilág Kft.,Winner,"13818230243,HU-13818230",0,0.012346916,0.3518331,-0.82414985,0.8758925,3.9829874,12,0.0,7.552925006354587e-12,0.000841171250110435,0.4014341,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Óbudai Vagyonkezelő Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,23445079241,1,-0.01618303,0.3642184,-0.8677426,1.0921997,4.1247263,9,0.00011745212777113613,2.1173121164711682e-11,0.0060970859822627585,0.3957287,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
F4 Bau Építőipari és Szolgáltató Kft.,Winner,13781332213,1,-0.020692727,0.3610379,-0.90905046,1.042006,4.091381,9,0.0,7.485828777226022e-12,0.0008635867955697562,0.3988038,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fővárosi Önkormányzat Csarnok és Piac Igazgatósága,Buyer,15490270243,2,-0.022500243,0.33855855,-0.9768035,1.0518878,3.8388023,22,0.0066528240944650685,1.6632732284640687e-06,0.005366083269162849,0.39144668,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ALTI-COR Építőipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13411008213,2,-0.018981114,0.33586577,-0.93500113,1.0145956,3.8059509,22,0.0,3.510478681339535e-07,0.0007862416525613573,0.39311025,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Elektro-Contract 2001 Kft.,Winner,12606634213,2,-0.028568115,0.3218265,-0.8707207,0.9128119,3.6553683,22,0.006812223410725896,5.389351563567141e-06,0.0013494259297541205,0.39787892,2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
HEPA Magyar Exportfejlesztési Ügynökség Nonprofit Zrt,Buyer,24220099243,4,0.0068962257,0.4203805,-1.4799535,1.2391934,4.7567024,3,4.194718848969148e-06,3.245993361610067e-23,0.002109658030496662,0.39892644,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Art 'N Bau Beruházó és Kivitelező Korlátolt Felelősségű Társaság,Winner,"13502753207,HU13502753",4,0.0015321136,0.40662193,-1.4073671,1.226155,4.600435,3,0.0,2.2952639176809958e-23,0.0011128010425551372,0.40229005,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Buyer,12154481444,5,-0.02957609,0.40453833,-1.2312757,1.0695869,4.5890446,2,0.0,4.879237256960096e-28,0.001445086705202312,0.38007447,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
