Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Geo Hőterm Kft.,Buyer,24290188241|25924071206,0,0.013053537,0.39188978,-1.2150116,0.78671324,4.4361854,2,0.0,0.004016064257028112,0.004,0.40061492,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Hansa-Kontakt Inv. Kft.,Winner,14061060206,0,0.01729977,0.3961784,-1.2003201,0.80638576,4.4865184,2,0.0,0.004016064257028112,0.004,0.4027116,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Aba Város Önkormányzata|Kistormás Községi Önkormányzat|Pincehely Nagyközség Önkormányzata|Tamási Város Önkormányzata|Kölesd Községi Önkormányzat,Buyer,24290188241|15727361207|15417660217|15733414217|15733438217|15414155217,1,-0.011594135,0.3327236,-0.91132903,0.8784795,3.7666225,8,0.0,0.004016064257028112,0.0024239517599573433,0.41042206,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"Mészáros és Mészáros Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"12671003207,HU12671003",1,-0.006171591,0.34105852,-0.94331515,0.9437626,3.8592684,8,0.0006801399144966964,0.028112449799196783,0.015032337680298588,0.40831542,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Békésszentandrás Nagyközség Önkormányzata|Mezőberény Város Önkormányzata|Dévaványa Város Önkormányzata,Buyer,24290188241|15725541204|15725390204|15725321204,2,0.023614602,0.38866153,-1.0328524,0.9627726,4.405312,2,0.0,0.004016064257028112,0.004,0.40043303,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Magyar Vakond Út és Építőipari Korlátolt Felelősségű Társaság,Winner,22929486403,2,0.02391117,0.38808724,-0.990925,0.9612594,4.3990316,2,0.0,0.004016064257028112,0.004,0.39876264,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Nyírlugos Város Önkormányzata|Tiszadob Nagyközség Önkormányzata|Magyar Nemzeti Vagyonkezelő Zártkörűen működő Részvénytársaság|Hajdúbagos Község Önkormányzata|Tiszadada Község Önkormányzata,Buyer,24290188241|15732138215|15732420215|14077340244|15728788209|15732413215,3,0.039712735,0.37102196,-0.9218635,1.1290917,4.2216115,3,0.0,0.004016064257028112,0.0030806385266417833,0.40795043,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
EuroAszfalt Építő és Szolgáltató Korlátolt Felelősségű Társaság|Betonutépitő Zrt.,Winner,"13125811244,HU13125811|23041565241",3,0.032537874,0.37596133,-0.94649273,1.1460848,4.2694173,3,3.2387614976033165e-05,0.008032128514056224,0.005838722946716431,0.39940652,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Rebamey Holding Ingatlanforgalmazó és Hasznosító Kft.,Buyer,23416310242,4,-0.007830786,0.39100063,-0.8670846,0.8010868,4.4245543,2,0.0,0.004016064257028112,0.004,0.4019191,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Caraman Real Estate Kft.,Winner,"23875263243,HU23875263",4,-0.011230001,0.3914399,-0.8771886,0.7767674,4.430459,2,0.0,0.004016064257028112,0.004,0.40499377,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Szántód BalaLand Family Ingatlanfejlesztő Korlátolt Felelősségű Társaság,Buyer,26183019241,5,0.029341087,0.31601617,-0.89399797,0.8137856,3.5906925,12,3.2387614976033165e-05,0.008032128514056224,0.0037473568630364126,0.40703017,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
KÉSZ Építő és Szerelő Zrt.,Winner,"12614277206,HU12614277",5,0.032489263,0.31584457,-0.86582375,0.8101809,3.5922287,12,0.0009878222567690116,0.012048192771084336,0.005549670659561741,0.40526894,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
