Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,14605749244,0,0.0030482514,0.2991359,-0.7948866,0.7056807,3.384512,14,0.039851869086396846,0.020999966791494636,0.020811247031923004,0.4137417,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Agro-Felcsút Kereskedelmi és Szolgáltató Kft.,Winner,"23051344207,HU23051344",0,-0.0026891595,0.27796876,-0.7391319,0.5587461,3.1450047,14,0.0,0.0029846097884703056,0.0017484576408574614,0.42158285,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Buyer,12464780251,1,0.011082334,0.3440434,-0.8521414,0.9453119,3.8944259,11,0.0009518169127289648,8.95364113782595e-12,0.01662192462122942,0.40066957,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Integrated Engineering Solutions Kft.,Winner,"13722009206,HU 13722009",1,0.006484993,0.33688444,-0.79413754,0.91014796,3.8121185,11,0.0,2.831389934643037e-12,0.0018976780880388718,0.40554026,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
NHKV Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zártkörűen Működő Részvénytársaság,Buyer,25456790244,41,0.008407369,0.28621233,-0.70220625,0.77340823,3.2395196,23,0.047473102359095826,0.02360581789272256,0.022124744060566214,0.41448778,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Duna-Dráva Cement Korlátolt Felelősségű Társaság,Winner,"10324602244,HU10324602",41,0.008656889,0.2901278,-0.6151,0.7595449,3.2838824,23,0.0,0.0033549658037458643,0.0017386608428392222,0.40929538,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Lafarge Cement Magyarország Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"13754448202,HU13754448",41,-0.003060454,0.27866963,-0.5944199,0.65712947,3.152977,23,0.0,0.0033549658037458643,0.0017386608428392222,0.41966286,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Sárvári HUKE Hulladék Kezelési Korlátolt Felelősségű Társaság,Winner,"12799776218,HU12799776",41,-0.0011795508,0.2792534,-0.6040604,0.68895066,3.1594198,23,0.0,0.0033549658037458643,0.0017386608428392222,0.42405024,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
GEOSOL Korlátolt Felelősségű Társaság|ST-Logistic Fuvarozási és Szállítmányozási Kft.,Winner,13714789210|13874072241,41,-0.00043257838,0.27671248,-0.60956526,0.6811776,3.130648,23,0.0,0.0033549658037458643,0.0017386608428392222,0.42335594,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
CRH Magyarország Korlátolt Felelősségű Társaság,Winner,"24083621244,HU24083621",41,0.0036624586,0.27759647,-0.599946,0.7228558,3.140919,23,0.0,0.0033549658037458643,0.0017386608428392222,0.41968578,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
"""F TRANS"" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10883356213,HU10883356,13-09-078378",41,0.0063050403,0.27492556,-0.6160183,0.7472062,3.1112456,23,0.0,0.0033549658037458643,0.0017386608428392222,0.41918275,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Sylvestris Szolgáltató Kft,Winner,"23398283213,HU23398283",41,0.005457515,0.27706173,-0.6195359,0.75382984,3.1352038,23,0.0,0.0033549658037458643,0.0017386608428392222,0.4120815,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
GEOSOL Korlátolt Felelősségű Társaság,Winner,13714789-2-10,41,-0.0049734972,0.2806019,-0.6132482,0.68744516,3.1751466,23,0.0,0.0033549658037458643,0.0017386608428392222,0.40907568,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
LAFARGE Cement Magyarország Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,13754448-2-02,41,-0.0025516702,0.2692844,-0.5771255,0.67328024,3.046742,23,0.0,0.0033549658037458643,0.0017386608428392222,0.41860893,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
ARW MAGYARORSZÁG HULLADÉKKEZELŐ ÉS HASZNOSÍTÓ Korlátolt Felelősségű Társaság,Winner,25016844-2-20,41,-0.0026605446,0.27943945,-0.5767032,0.6777494,3.1616397,23,0.0,0.0033549658037458643,0.0017386608428392222,0.41714042,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Médiaszolgáltatás - támogató és Vagyonkezelő Alap,Buyer,18091715444,3,-0.01033496,0.2633054,-0.63023156,0.6500851,2.9812543,24,0.04637146241380768,0.04342799697963336,0.020437864657383502,0.413781,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
