Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Külgazdasági és Külügyminisztérium,Buyer,15311344141,0,0.024341967,0.4215419,-0.8994785,1.2020769,4.7771473,2,0.0,2.1808455924826924e-48,0.005494505494505495,0.422464,0.0,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Online Üzleti Informatika Zártkörűen Működő Részvénytársaság,Winner,11762762241,0,0.026004333,0.41966698,-0.87579006,1.1919345,4.7570963,2,0.0,2.1808455924826924e-48,0.005494505494505495,0.4295442,-2.3841858e-07,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Nemzeti Kommunikációs Hivatal,Buyer,15827186241,1,0.009537069,0.2786712,-0.83284926,0.6365152,3.1546507,32,0.0285451197053407,2.2628412299730733e-16,0.08123676207916561,0.3986967,-2.3841858e-07,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság",Winner,"10834730244,HU10834730",1,0.011422104,0.27047622,-0.915441,0.6106342,3.0628164,32,0.0,4.0641828241251366e-17,0.0030512068950003263,0.40858668,-3.5762787e-07,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Nemzeti Média- és Hírközlési Hatóság,Buyer,15775883241,2,0.014192068,0.29385757,-0.6117682,0.9862606,3.328494,26,0.018170656844689995,3.5374329367754653e-20,0.05750704608709056,0.38963535,0.0,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
COMPU-CONSULT Tervező és Tanácsadó Korlátolt Felelősségű Társaság,Winner,12314984243,2,0.0047317566,0.28972074,-0.6301547,1.0248041,3.278253,26,0.0,7.525233919876537e-21,0.0030456847106127213,0.40014893,-1.7881393e-07,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Visoft Korlátolt Felelősségű Társaság,Winner,"12978881243,HU12978881",2,0.0054055154,0.2871518,-0.66623133,1.0358833,3.2493277,26,0.0,7.525233919876537e-21,0.0030456847106127213,0.4005429,1.1920929e-07,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
SVALE Technology Távközléstechnikai és Informatikai Tanácsadó Kft.,Winner,"23760420213,HU23760420",2,0.0049053365,0.28690735,-0.64467,1.0338676,3.2464604,26,0.0,7.525233919876537e-21,0.0030456847106127213,0.40612456,0.0,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
"New Land Media Reklám, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"24670827244,HU24670827",1,0.010647295,0.27141958,-0.9412982,0.6061547,3.073124,32,0.0,4.0641828241251366e-17,0.0030512068950003263,0.40735516,0.0,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Természettudományi Kutatóközpont,Buyer,15329499243,3,0.07041698,0.41269663,-1.0655459,1.1969146,4.736609,2,0.0,2.1808455924826924e-48,0.005494505494505495,0.42340642,-5.9604645e-08,KL - Egyéb tevékenység:,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
