Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
V-95 Általános Vállalkozási Kft,Buyer,10953954241,0,0.017879471,0.41882634,-1.1092243,0.9508663,4.742795,2,0.0,1.1104698411003787e-35,0.0012658227848101266,0.38650626,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
TERRA Hungária Építőgép Kft.,Winner,11870979243,0,0.017567582,0.41784307,-1.0910472,0.93741995,4.7315307,2,0.0,1.1104698411003787e-35,0.0012658227848101266,0.38559172,2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
WineCorps Zrt.,Buyer,25101706203,1,0.0101211965,0.38435584,-0.80238795,1.3297739,4.3499975,53,0.0012609934827224592,0.0030387267125363466,0.0012761158338959332,0.3789265,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
CSÚZIKER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13393373203,1,0.021092225,0.32682836,-0.6746001,1.0633235,3.705333,53,0.006886905489518831,0.012250839860594435,0.002181032399029357,0.37317103,-2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Mikropakk Műanyag és Fémfeldolgozó Kft.,Buyer,10614446242,2,-0.021148376,0.30541715,-0.84608215,0.8338784,3.4636748,32,0.04595464522917192,0.061791603261574235,0.0050313704843486335,0.3638997,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Camilleon Mérnöki Szolgáltató és Kivitelező Korlátolt Felelősségű Társaság,Winner,"12714119213,HU12714119",2,-0.008331175,0.31019562,-0.8671065,0.7929486,3.5107284,32,0.0,0.014486360089196937,0.0006170912853148726,0.37103534,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ROLLÓ Műanyaggyártó és Kereskedelmi Korlátolt Felelősségű Társaság,Buyer,11029544203,3,-1.5842728e-05,0.33243683,-0.75885284,0.74323374,3.7610936,24,0.02052524238739521,0.006136637610260574,0.0016336435300320117,0.37667882,-1.7881393e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Controlsystem SK s.r.o.,Winner,SK2023554445,4,-0.00053261966,0.30744758,-0.7791745,0.83011955,3.4783776,54,0.03012287450485903,0.02289345108469785,0.0025357265122922406,0.3613795,2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Terrán Tetőcserép Gyártó Korlátolt Felelősség Társaság,Buyer,11541264202,5,0.016746413,0.41612813,-1.1532398,1.0521704,4.711763,3,3.2168201089858654e-06,5.606002943247047e-29,0.0018484449546697852,0.38991243,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Vortex Hydra S.r.l.,Winner,01761250388,5,0.015375777,0.40500146,-1.1003386,0.9675285,4.585369,3,0.0,3.9640426965217315e-29,0.0009745116998802971,0.3918784,3.5762787e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
