Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Somogy Megyei Kaposi Mór Oktató Kórház,Buyer,15399526214,0,0.016541338,0.20117204,-0.41796488,0.5957103,2.2836828,13,0.23991690128053775,0.3684439169847112,0.07604524048143031,0.5239365,1.1920929e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SUTURA Képviseleti és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12004692243,HU12004692,01-09-366856",0,0.018087318,0.19858617,-0.41766497,0.676478,2.256046,13,0.0,0.07654237370242754,0.006231924954134273,0.52652866,-3.5762787e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
B. Braun Trading Kft.,Winner,"25061978241,HU25061978",0,0.019055042,0.20148106,-0.38989744,0.66482925,2.2896698,13,0.0,0.07654237370242754,0.006231924954134273,0.5169163,-1.7881393e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
CPP-Budapest Kft,Winner,"10240616242,HU 10240616",0,0.019677488,0.17953092,-0.34955207,0.5918245,2.0433247,13,0.0,0.07654237370242754,0.006231924954134273,0.5295425,-3.5762787e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Lumniczer Sándor Kórház-Rendelőintézet,Buyer,15367307208,1,0.01835052,0.20459545,-0.45461476,0.5499702,2.3240254,9,0.28988949646844386,0.09296197166790926,0.045894488502425806,0.4621894,-2.3841858e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Linde Gáz Magyarország Zártkörűen Működő Részvénytársaság,Winner,"11300184218,HU11300184",1,0.012796377,0.23190644,-0.55109674,0.6259082,2.6277132,9,0.0215311004784689,0.020183869263225532,0.012354984278767498,0.42632997,0.0,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet,Buyer,15408057216,10,0.03512366,0.20536415,-0.49772388,0.6019432,2.3571672,16,0.3031659727831976,0.5276656984887825,0.0914601528187014,0.51931584,0.0,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Wolf Orvosi Műszereket Forgalmazó Szolgáltató Kereskedelmi Kft,Winner,"14752205208,HU14752205",10,0.03124123,0.19445388,-0.46654767,0.5805412,2.2282069,16,0.0,0.10961741560789408,0.006241645922344684,0.5377457,-1.1920929e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HARTMANN-RICO Hungária Kft.,Winner,"12278923213,HU12278923",4,0.015430063,0.14811899,-0.316796,0.4981016,1.6848434,9,0.31895462989960605,0.2824957481604624,0.022631054750469788,0.5827998,0.0,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Mölnlycke Health Care Kft.,Winner,"12352476241,HU12352476",4,0.019632462,0.16695893,-0.45740092,0.5047716,1.9019388,9,0.06556547519466178,0.26318304447639146,0.018296945738765294,0.58085215,1.1920929e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Common Works Korlátolt Felelősségű Társaság,Winner,"24383914208,HU24383914,08-09-025204",10,0.031200591,0.19385721,-0.47504306,0.5795366,2.2214687,16,0.0,0.10961741560789408,0.006241645922344684,0.5299649,2.3841858e-07,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Eastimpex DL Kereskedelmi és Szaktanácsadó Korlátolt Felelősségű Társaság,Winner,"10355215213,HU10355215",4,0.019725738,0.18311572,-0.5048453,0.5167715,2.0837035,9,0.027464162631626748,0.18664067077396393,0.013988097707707944,0.5503011,0.0,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Tiszaújváros Városi Rendelőintézet,Buyer,15353005205,5,0.015437644,0.27510652,-0.6492801,0.7184966,3.1173713,9,0.04927090453406238,0.0059863033847869845,0.022522827301426317,0.3994144,0.0,KL - Egészségügy,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
