Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Szigetvári Kórház,Buyer,15813705202,0,0.02349822,0.29257813,-0.7384144,0.8159116,3.3208022,18,0.0,0.0009330448283634826,0.002589654530784503,0.3579317,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Smithmann Hungary Korlátolt Felelősségű Társaság,Winner,"24944162243,HU24944162,01-09-190829",0,0.024712922,0.28977954,-0.79438365,0.83601487,3.2903821,18,0.014041592821088427,0.004881132077781949,0.0064515999254613375,0.36616427,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,1,-0.03193639,0.41640005,-1.0828748,1.0568064,4.7248645,4,0.00015698587127158556,3.274590480500807e-12,0.009742328246199547,0.3533089,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
UniCorp Biotech Kft.,Winner,"12582800243,HU12582800",1,-0.030370178,0.40421516,-1.0556546,1.0499333,4.586062,4,0.0,1.890585695402927e-12,0.0035207467605730776,0.35348147,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Felső-Szabolcsi Kórház,Buyer,15402570215,2,-0.0122262435,0.22441627,-0.5730036,0.6064734,2.5427454,22,0.05745742152839223,0.1160049316337268,0.008156334695339966,0.35100466,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Ava-Pack Ipari, Kereskedelmi és Szolgáltató Kft.",Winner,"12712698208,HU12712698",2,-0.00294826,0.21017304,-0.45901933,0.6590365,2.3780704,22,0.002179140177258143,0.07390399418140572,0.0034898079075312166,0.36768377,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Orosházi Kórház,Buyer,15346487204,0,-0.0074335663,0.21364087,-0.51973045,0.4484607,2.418533,18,0.02818183799608639,0.09194778885544336,0.006983121684835837,0.3594609,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Medirex Egészségügyi, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"11909879242,HU11909879,01-10-044186",14,-0.0040852483,0.21411921,-0.679247,0.5892752,2.422923,19,0.16450975949250637,0.313046342666041,0.01984445479971522,0.3770552,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Vaszary Kolos Kórház Esztergom,Buyer,15388117211,14,-0.010371961,0.20908536,-0.60271156,0.48842198,2.3684394,19,0.0,0.05983987973163003,0.0021673624658074646,0.37768775,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Fejér Megyei Szent György Egyetemi Oktató Kórház,Buyer,15360025207,5,-0.0040437225,0.2351792,-0.5119546,0.6231881,2.661142,13,0.06359515098472278,0.10326935233211569,0.0213628754703113,0.38284293,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
T-Systems Magyarország Zártkörűen Működő Részvénytársaság,Winner,"12928099244,HU12928099,01-10-044852",2,-0.011230991,0.22040743,-0.5131577,0.4932263,2.4968607,22,0.007802297045174552,0.04191828113359881,0.0036606205384719635,0.3833065,-3.5762787e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Dr. Kenessey Albert Kórház - Rendelőintézet,Buyer,15450353212,6,0.0026148658,0.24020779,-0.6617086,0.63985693,2.7178018,10,0.017430026515519215,0.03635043035246821,0.005874237891696658,0.3562468,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"TakTiMed Egészségügyi, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"27347162216,HU27347162,16-09-019047",6,0.0014058519,0.23167351,-0.72777313,0.7099806,2.6211348,10,0.04291799569578853,0.10771863966499175,0.007146374252360449,0.34953868,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Markhot Ferenc oktatókórház és Rendelőintézet,Buyer,15813839210,0,-0.026744954,0.27301186,-0.6045641,0.73374224,3.103562,18,0.03752058857612504,0.017625398241217338,0.012451599535323161,0.3707472,-4.172325e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"VATNER Ipari, Kereskedelmi és Szolgáltató Kft.",Winner,"11814292214,Hu11814292",20,-0.020348974,0.24926628,-0.6902325,0.43612218,2.8295076,14,0.05127508868807497,0.03560348652443451,0.009261516672733193,0.35731116,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Medical&Press Korlátolt Felelősségű Társaság,Winner,"26520137242,HU26520137",0,-0.03448686,0.21999663,-0.5071135,0.5268999,2.5193741,18,0.0325738156802589,0.04312184086441099,0.005395002445429367,0.35320893,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Mezőtúri Kórház és Rendelőintézet,Buyer,15813695216,8,-0.009062549,0.2301191,-0.72991335,0.5163854,2.6055188,11,0.0070928978696648435,0.022105948736056032,0.0038105962348313413,0.36104494,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
