Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház,Buyer,15813743215,4,0.008336503,0.2425052,-0.6085299,0.61380136,2.7452538,37,0.011463117553332364,0.03131539832219132,0.003919046894387238,0.2875594,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
COMESA Budapest Orvosi Műszer és Labortechnikai Kft,Winner,"10365984243,HU10365984",1,-0.0047245724,0.24308532,-0.547193,0.59128493,2.7507157,27,0.005178612233952905,0.009388052214719814,0.0025261307809841564,0.30352834,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Metrimed Orvosi Műszergyártó kft.,Winner,"10215092206,HU10215092",1,0.008391809,0.23754042,-0.56261957,0.8279836,2.6891396,27,0.003025343368173759,0.017040241785002432,0.0030232224360157833,0.3030725,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bicskei Egészségügyi Központ Szolgáltató Nonprofit Kft,Buyer,13202570107,2,0.010328811,0.23813044,-0.6418403,0.8411302,2.6966712,37,0.00031676284403327665,0.00669418931898018,0.001700550966547763,0.2781055,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"ARTMED Kórháztechnikai, Kereskedelmi és Szolgáltató Kft.",Winner,"12223466241,HU12223466,01-09-566520",2,0.02040159,0.22925648,-0.6203924,0.6117221,2.603991,37,0.015087070747909518,0.019725664251887858,0.003868822031269149,0.27063525,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Alcon Hungária Gyógyszerkereskedelmi Kft.,Winner,"11888048243,HU11888048",2,-0.024694625,0.23636724,-0.67457724,0.6027016,2.688745,37,0.01441840487043105,0.03787895761235724,0.005102977372926148,0.27996698,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,1,0.015125854,0.2665973,-0.52351475,0.6814481,3.021055,27,0.04394798872826688,0.007797893206146606,0.012541543919220464,0.3075274,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
UNICAM Magyarország Kft.,Winner,"10853940242,HU10853940,01-09-265080",1,-0.0070076482,0.25041077,-0.49995977,0.6603967,2.8341835,27,0.0019625484021142565,0.005788357617893061,0.001946599947291642,0.29808438,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság",Winner,"13547620213,HU13547620",1,0.0020649768,0.25118533,-0.49491438,0.6899571,2.8419335,27,0.002936399735787525,0.00578527433231696,0.001894607644525497,0.2820372,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bács-Kiskun Megyei Kórház a Szegedi Tudományegyetem Általános Orvostudományi Kar Oktató Kórháza,Buyer,15336062203,3,-0.02064731,0.21766254,-0.5616941,0.6442849,2.473625,23,0.08321855744664827,0.13619814514420098,0.016482808411127186,0.29979452,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
NovelMedix Orvosi Műszerkereskedelmi Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,Winner,"25075081213,HU25075081",3,-0.008567853,0.24395561,-0.61899215,0.6299043,2.7617445,23,0.0013204490127390143,0.018046383675284935,0.001921234076343918,0.28112802,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Állami Szívkórház,Buyer,15309848219,2,0.0047005806,0.24612463,-0.654132,0.62694407,2.7850902,37,0.017630407061596177,0.014095518246685597,0.005768465946715562,0.27290392,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Delta Services Korlátolt Felelősségű Társaság,Winner,"13978798241,HU13978798,01-09-882940",2,0.015054904,0.25356427,-0.6903849,0.64482075,2.8738043,37,0.0,0.0016381281844518715,0.0011244477337295222,0.29201236,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet,Buyer,15367716208,4,-0.0046353247,0.21051712,-0.44413832,0.46462598,2.3823066,37,0.07458289578129347,0.0857130611843675,0.012415994738311877,0.2990032,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"""Mediola"" Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"11549798202,HU11549798",4,-0.010826498,0.20877106,-0.4429795,0.47933063,2.365149,37,0.0,0.009961248778598157,0.0010447911349389044,0.30292958,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Vecsési Egészségügyi Szolgálat,Buyer,16793136113,4,-0.026605364,0.22759372,-0.7808863,0.54229426,2.5924628,37,0.006805766564774432,0.034524656290625504,0.0033196249773313376,0.28615057,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
FIBRE Medical Orvostechnikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"25873078242,HU25873078",4,-0.036356658,0.21354637,-0.54528546,0.55797946,2.4507658,37,0.04979069420458912,0.10986984835936343,0.0046411643211056956,0.28006786,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Vitreus Orvostechnikai Kft.|Hitachi Medical Systems Korlátolt Felelősségű Társaság,Winner,"12099014243,HU12099014|12583825241,HU12583825",4,-0.026160719,0.2694219,-0.81989974,0.67252177,3.0624967,37,0.0,0.004012324941185199,0.001129411808807206,0.2894128,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"Medirex Egészségügyi, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"11909879242,HU11909879,01-10-044186",4,-0.012357744,0.21160512,-0.51481014,0.66117775,2.3981175,37,0.14699782402667996,0.1439628606347066,0.012471385306103887,0.28146246,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Magyar Honvédség Egészségügyi Központ,Buyer,15714163251,5,-0.01002029,0.2293073,-0.52897775,0.5583723,2.5967915,24,0.11716162035539324,0.11787370699864018,0.026036201474003488,0.32116926,-2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bio-Science Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12266788243,HU12266788",1,-0.008571142,0.24768163,-0.51918346,0.6455087,2.803875,27,0.009293664038846685,0.014605078993744695,0.0020074079857250408,0.28910664,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
PROTOKOLL SZERVIZ Kft.,Winner,"11371229243,HU11371229",5,-0.0059736175,0.21093276,-0.5243689,0.65716183,2.3873887,24,0.0,0.013698836798579014,0.001187121255779504,0.32828018,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Borsod-Abaúj-Zemplén Megyei Központi Kórház és Egyetemi Oktatókórház,Buyer,15837501205,6,-0.009169721,0.19891502,-0.4598625,0.44937304,2.2528567,54,0.2363413944684666,0.5497928005491216,0.04142532892045394,0.34194943,-2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Orosházi Kórház,Buyer,15346487204,7,0.0025028773,0.2169025,-0.7985937,0.5028934,2.4541352,17,0.06472372900078865,0.0481378734503421,0.011246034734338455,0.28859624,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Ecolab-Hygiene Kft|Ecolab Global Business Services Kft.|ECOLAB GMBH,Winner,"10785643241|10722316241,HU10722316|ATU 14211707",7,0.007642419,0.21906197,-0.7347595,0.48995125,2.479911,17,0.0,0.005594403997297061,0.001106786734296638,0.2980681,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"ALLEGRO Kereskedelmi, Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10361863241,HU10361863",4,-0.021525064,0.21144822,-0.5931765,0.6731262,2.4046268,37,0.08123413501336516,0.1061365678683215,0.007912827590035048,0.2774401,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
H.S.-medplan Kft.,Winner,10834015243,5,0.0018607748,0.22303937,-0.48583293,0.7008537,2.5234904,24,0.0,0.013698836798579014,0.001187121255779504,0.3256209,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Gottsegen György Országos Kardiológiai Intézet,Buyer,15315386243,6,9.180012e-05,0.22334982,-0.68325424,0.66363215,2.526915,54,0.0748202852057932,0.2777350121557543,0.02182011297417923,0.31949526,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Twinmed Orvosi Rendszerek Korlátolt Felelőségű Társaság,Winner,"12342697243,HU12342697,HUOCCSZ.01-09-666851",2,0.0029125162,0.23510565,-0.52909726,0.6394415,2.660121,37,0.0027321587697659864,0.03391542719383282,0.001764264946655805,0.2932745,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Budapesti Szent Ferenc Kórház,Buyer,18079777241,4,-0.0055365646,0.24058537,-0.5893588,0.72962075,2.7226334,37,0.025191314135005884,0.03354955871931685,0.007647893477932722,0.28480214,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Garzon Bútor Kereskedelmi Kft.,Winner,"13063203207,HU13063203",4,0.0066685905,0.24903072,-0.6812189,0.7384823,2.818471,37,0.0,0.00389900317691363,0.0011462926731835045,0.2769991,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
SUTURA Képviseleti és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12004692243,HU12004692,01-09-366856",6,-0.0057713743,0.19215104,-0.41454783,0.4351014,2.1749213,54,0.0008557226229496885,0.09617211395298643,0.0017158736362127068,0.35778424,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
