Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
JÁNOSHALMI KISTÉRSÉGI EGÉSZSÉGÜGYI KÖZPONT Nonprofit Közhasznú Korlátolt Felelősségű Társaság,Buyer,14460775203,0,0.008658354,0.23340504,-0.5835243,0.5928186,2.6424928,11,0.2557471264367816,0.04310344827586207,0.01794094181179018,0.4476968,1.1920929e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
MediAd Tanácsadó Korlátolt Felelősségű Társaság,Winner,"12960145241,HU 1296014",0,0.0074839042,0.24192934,-0.6860631,0.51043403,2.7384274,11,0.0,0.008620689655172414,0.004331600330415179,0.4270309,-1.7881393e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Toldy Ferenc Kórház és Rendelőintézet,Buyer,15813688213,1,-0.0005911384,0.3974834,-1.0081722,1.0320247,4.497016,2,0.0,0.008620689655172414,0.008547008547008548,0.39352265,-1.7881393e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"VATNER Ipari, Kereskedelmi és Szolgáltató Kft.",Winner,"11814292214,Hu11814292",1,-0.00020281086,0.39585438,-1.016432,1.0346981,4.4785814,2,0.0,0.008620689655172414,0.008547008547008548,0.4038134,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Markusovszky Egyetemi Oktatókórház,Buyer,15813860218,2,5.0353352e-05,0.28556558,-0.6865003,0.7766316,3.2308059,17,0.20269865067466267,0.14655172413793102,0.06931340852568349,0.42085844,-5.9604645e-08,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Siemens Healthcare Korlátolt Felelősségű Társaság,Winner,"25296826242,HU25296826,01-09-206857",3,-0.009380497,0.263995,-0.7041489,0.7201357,2.9886472,5,0.1937031484257871,0.017241379310344827,0.008142396702565615,0.42487013,-1.7881393e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"""Kaáli"" Ambuláns Nőgyógyászati Intézet Korlátolt Felelősségű Társaság|Forgács Intézet Egészségügyi és Szolgáltató Korlátolt Felelősségű Társaság|Pannon Reprodukciós Intézet Egészségügyi és Szolgáltató Korlátolt Felelősségű Társaság|STERILITAS EGÉSZSÉGÜGYI ELLÁTÓ KORLÁTOLT FELELŐSSÉGŰ KFT|KAÁLI REK Reprodukciós Központ Korlátolt Felelősségű Társaság",Buyer,10688223143|12989111143|11926142219|12229613143|25127913106,5,0.05128067,0.3050392,-0.87448937,0.8450789,3.4995522,13,0.027436281859070464,0.02586206896551724,0.013437274050688251,0.42642656,-3.5762787e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
TÉRMED Kereskedelmi és Szolgáltató Kft.,Winner,"12232787243,HU12232787",5,0.045015767,0.30898896,-0.8528206,0.821016,3.5327148,13,0.0,0.008620689655172414,0.005088896571327453,0.41230986,1.1920929e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros II. kerületi Önkormányzat Egészségügyi Szolgálata,Buyer,15502168241,16,-0.014056714,0.28088573,-0.6972887,0.8765339,3.1818361,16,0.002533733133433281,0.017241379310344827,0.006971652592895009,0.41819796,2.3841858e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Biomedica Hungaria Orvostechnikai Korlátolt Felelősségű Társaság,Winner,"10658415242,HU10658415,01-09-161947",16,-0.011338264,0.28010708,-0.7061341,0.9446779,3.1716452,16,0.0005497251374312843,0.017241379310344827,0.006978932415315988,0.4270824,-2.3841858e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Diagnosticum Gyártó és Forgalmazó Zártkörűen Működő Részvénytársaság,Winner,"10824487241,HU10824487",16,-0.017375045,0.2539925,-0.62501705,0.8250032,2.880313,16,0.030304847576211855,0.02586206896551724,0.009610057266056841,0.43979046,2.3841858e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Jahn Ferenc Dél-pesti Kórház és Rendelőintézet,Buyer,15491020243,16,-0.015940351,0.28405806,-0.69931054,0.7598388,3.2188065,16,0.013793103448275862,0.017241379310344827,0.008210058177432181,0.42316318,1.1920929e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
