Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
JÁNOSHALMI KISTÉRSÉGI EGÉSZSÉGÜGYI KÖZPONT Nonprofit Közhasznú Korlátolt Felelősségű Társaság,Buyer,14460775203,0,-0.011111246,0.28039744,-0.6654937,0.6033695,3.1748247,6,0.021011870754776868,0.003184685541269131,0.007258716776707611,0.35876226,-5.9604645e-08,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Ultragel Hungary 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13870975241,HU13870975",0,-0.014131814,0.21183798,-0.49275112,0.52640116,2.4020004,6,0.07897650143757512,0.02320458115040095,0.010584712636729722,0.3438318,-3.5762787e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Resorb Medical Kereskedelmi es Szolgáltató Korlátolt Felelősségű Társaság,Winner,24174668206,0,-0.0130957505,0.29077962,-0.68198377,0.6835721,3.2931306,6,0.0,0.00042173349459534475,0.0028943452410500874,0.34248582,-5.9604645e-08,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Fejér Megyei Szent György Egyetemi Oktató Kórház,Buyer,15360025207,1,0.0032440233,0.18596347,-0.46294948,0.49245745,2.1042569,19,0.2151934146825456,0.36310301144541557,0.04163734605363431,0.40621522,-4.172325e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Premed Pharma Kereskedelmi és Kutató-Fejlesztő Kft.,Winner,"10803952243,HU10803952",2,2.4531502e-05,0.18991147,-0.44265354,0.546072,2.148603,22,0.009973619250650828,0.05310793869990896,0.0036025755743894963,0.3926956,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Alcon Hungária Gyógyszerkereskedelmi Kft.,Winner,"11888048243,HU11888048",2,-0.017186321,0.17782752,-0.50794095,0.40678498,2.021263,22,0.01848677710730703,0.06955105794589336,0.004988486273365997,0.3977794,1.1920929e-07,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Intravision Korlátolt Felelősségű Társaság,Winner,"14717060241,HU14717060",1,0.005426029,0.1806708,-0.3834206,0.46026722,2.0449784,19,0.0,0.04808394631748666,0.002101699336413125,0.43057248,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bajai Szent Rókus Kórház,Buyer,15336282203,3,0.00939387,0.21706446,-0.61274093,0.68071187,2.4581027,24,0.1029792483221451,0.03731188844829067,0.022334201537238998,0.35966194,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Maus Kereskedelmi és Szolgáltató Kft.,Winner,"10618464206,HU 10618464",3,-0.0045268526,0.21017994,-0.4602196,0.5141179,2.3784661,24,0.0,0.004941045947627977,0.0022980218547858297,0.37037766,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bács-Kiskun Megyei Kórház a Szegedi Tudományegyetem Általános Orvostudományi Kar Oktató Kórháza,Buyer,15336062203,1,0.029515175,0.23149267,-0.5259979,0.6136169,2.6402423,19,0.01683388437402795,0.08862966189141754,0.012654706058308839,0.3674576,0.0,KL - Egészségügy,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
