Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Nemzeti Egészségbiztosítási Alapkezelő,Buyer,15328106241,0,0.025925031,0.21069267,-0.53377694,0.50863737,2.4016929,21,0.5357575757575758,0.6450737814017106,0.11558245802218214,0.5185073,1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Clear Pharma Zrt.,Winner,"25560611241,HU25560611",1,0.02756162,0.20914757,-0.44058925,0.5527618,2.3866925,14,0.04292929292929293,0.14366787746718537,0.008584014676598835,0.5218076,-4.172325e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Medimpex Gyógyszer-nagykereskedelmi Zrt.,Winner,"12258808242,HU12258808",1,0.024971317,0.20073418,-0.44566235,0.4839833,2.2885532,14,0.04292929292929293,0.14366787746718537,0.008584014676598835,0.5215996,-5.9604645e-08,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Országos Kórházi Főigazgatóság|Debreceni Egyetem|Pécsi Tudományegyetem,Buyer,15845883243|15329750409|15329798202,4,0.025645152,0.3172203,-0.81107265,0.6871034,3.600647,13,0.019595959595959597,1.5512941849465084e-06,0.010803295866404635,0.38568524,1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
CPM Mobilier Korlátolt Felelősségű Társaság,Winner,"26387811203,HU26387811,03-09-131873",4,0.023370748,0.3285525,-0.8597778,0.7254942,3.7265396,13,0.0,2.822055015633301e-07,0.006076869291595644,0.38832936,1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Országos Kórházi Főigazgatóság,Buyer,15845883243,3,0.006278188,0.24970756,-0.5967053,0.5144835,2.8260112,19,0.5876767676767677,0.017349079443148868,0.07188658273288513,0.44878483,1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Alex Fémbútor és Iskolabútor Gyártó és Forgalmazó Kft,Winner,"11893389213,HU11893389",3,0.0040374887,0.21445706,-0.51994944,0.46951422,2.4267347,19,0.0,0.00314456004218154,0.005304487031391163,0.4702426,-1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Varian Medical Systems Hungary Kft.|Varian Medical Systems International AG,Winner,"23567818243,HU23567818|CHE-105.742.500",3,0.0008005942,0.22228828,-0.5120319,0.5126345,2.5149212,19,0.0,0.00314456004218154,0.005304487031391163,0.46212143,-5.9604645e-08,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Nemzeti Népegészségügyi Központ,Buyer,15598787243,1,0.020589052,0.25615698,-0.48937804,0.6690316,2.907432,14,0.1696969696969697,0.1478034549080681,0.05489563786114707,0.46600685,0.0,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
GlaxoSmithKline Gyógyszer- és Egészségvédelmi Termékek Korlátolt Felelősségű Társaság,Winner,"10854343244,HU10854343,01-09-264844",1,0.029631648,0.2385201,-0.48260283,0.6208929,2.719291,14,0.0,0.02678148147300988,0.005074870724251824,0.48029247,-1.1920929e-07,KL - Egészségügy,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
