Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Somogy Megyei Kaposi Mór Oktató Kórház,Buyer,15399526214,0,-0.002337808,0.16254793,-0.33737028,0.4329485,1.83921,36,0.6397576405595652,0.6552577442834282,0.21324721647755882,0.6447888,-2.3841858e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Premed Pharma Kereskedelmi és Kutató-Fejlesztő Kft.,Winner,"10803952243,HU10803952",4,-0.0015662138,0.16133308,-0.4149083,0.39870936,1.8253615,5,0.11689005995341206,0.13674216416712964,0.014598997455955423,0.55790824,2.3841858e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház,Buyer,15813743215,2,0.0005100989,0.1855431,-0.4569231,0.39703307,2.0991886,27,0.3994475630401853,0.260783550082023,0.13818767599176937,0.56541383,-1.1920929e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
SI-KO TRANSZ Kereskedelmi és Szolgáltató Betéti Társaság,Winner,"21842535215,HU21842535",2,0.012717422,0.17155565,-0.38928026,0.3950195,1.9462564,27,0.0,0.038043946532118345,0.005754496925958431,0.5819472,-1.1920929e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet,Buyer,15408057216,4,0.0049266033,0.25110868,-0.73579365,0.6429531,2.841517,5,0.06094627105052125,0.02130815581606755,0.022238614576803956,0.45873892,-5.9604645e-08,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
KEDVENC Kereskedőház Zártkörűen Működő Részvénytársaság,Winner,"26105198243,HU26105198",4,0.005463974,0.24183454,-0.7233292,0.5821095,2.7367435,5,0.0,0.0031084766888190177,0.006429874321276414,0.4469308,-1.1920929e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Egertej Tejipari Korlátolt Felelősségű Társaság,Winner,"11067555210,HU11067555",4,0.0050406842,0.25296926,-0.7450529,0.6261621,2.862589,5,0.0,0.0031084766888190177,0.006429874321276414,0.4363836,0.0,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
SIAD Hungary Gázokat Forgalmazó és Termelő Korlátolt Felelősségű Társaság,Winner,"10968927205,HU10968927",0,-0.0024412205,0.15674074,-0.38077396,0.37980855,1.7735342,36,0.0,0.09558974094619228,0.005823717117811486,0.657937,0.0,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"ALLEGRO Kereskedelmi, Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10361863241,HU10361863",0,0.00082054967,0.13767566,-0.35971814,0.3458072,1.55765,36,0.0,0.09558974094619228,0.005823717117811486,0.6801204,2.3841858e-07,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Ecolab Global Business Services Kft.|Ecolab GmbH,Winner,"10722316241,HU10722316|ATU14260100",0,-0.00040665944,0.14517799,-0.34977588,0.34115672,1.6425079,36,0.0,0.09558974094619228,0.005823717117811486,0.6693413,0.0,KL - Egészségügy,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
