Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Kiskunhalasi Szakképzési Centrum,Buyer,15832025203,0,-0.0037761685,0.24127175,-0.6232064,0.6830445,2.7300124,13,0.043092862721232056,0.0948473361307302,0.01983076755398275,0.43802962,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ETIAM Korlátolt Felelősségű Társaság,Winner,"24909707206,HU24909707",0,0.002338891,0.2077855,-0.6027068,0.5769834,2.3509734,13,0.14077074706002582,0.3018607074236923,0.023394837909227983,0.46194553,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Hajdúböszörményi Tankerületi Központ,Buyer,15835145209,1,-0.0075867977,0.3642028,-0.90872824,0.8696259,4.1213784,5,0.0006835269993164729,7.294853828391992e-09,0.01774689427421417,0.37870958,2.3841858e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Stiefel Eurocart Kft.,Winner,"10730904212,HU10730904",1,-0.008493968,0.35250095,-0.88326526,0.85619813,3.9892504,5,0.0,3.6474269142046056e-09,0.004891634640401682,0.37978205,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Kaposvári Sportközpont és Sportiskola,Buyer,15398350214,2,-0.0074865045,0.38406762,-0.96403325,1.0152993,4.3460546,4,0.00034176349965823647,7.034034855962949e-10,0.014318825038530835,0.37857616,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Laminar Bau Kereskedelmi és Szolgáltató Kft.,Winner,"23908758213,HU23908758",2,-0.006329681,0.3710219,-0.92760086,0.9809018,4.1982446,4,0.0,4.0611019175794603e-10,0.0051773070767086255,0.38361076,-2.3841858e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Mezőkövesdi Tankerületi Központ|Sárospataki Tankerületi Központ|Kazincbarcikai Tankerületi Központ,Buyer,15835286205|15835389205|15835190205,3,0.02862529,0.20600817,-0.6409179,0.52037853,2.3531091,11,0.0,0.1008370987141089,0.003108794930679228,0.46727964,-1.7881393e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Balázs-Diák Kft.,Winner,"13446976241,HU13446976",3,0.031162933,0.2034491,-0.5812506,0.5026699,2.3286092,11,0.19518850827776624,0.5227146608182879,0.03979220404898446,0.46933776,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Mezőkövesdi Tankerületi Központ,Buyer,15835286205,4,0.016414072,0.2230102,-0.55533123,0.63307446,2.5298975,10,0.07061495652266422,0.18167225905057116,0.013496309064808844,0.43782,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
TPC Kereskedelmi és Szolgáltató Kft.,Winner,"11177283210,HU11177283",4,0.03414183,0.2359636,-0.5515581,0.56673217,2.6974237,10,0.0,0.035045683280160556,0.0034139898968790243,0.41824305,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
