Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Berettyóújfalui Szakképzési Centrum,Buyer,15831842209,0,0.044594504,0.37795496,-0.95971745,0.9469655,4.3057337,4,0.00038709677419354843,1.8233719322975233e-10,0.01522735821566576,0.38136744,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NCT IPARI ELEKTRONIKAI KFT.,Winner,"12158791242,HU12158791",0,0.04382077,0.36968803,-1.003089,0.95198053,4.211824,4,0.0,1.0527242759447828e-10,0.0055062245101219955,0.37820908,-1.7881393e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Nyíregyházi Tankerületi Központ,Buyer,15835334215,13,-0.039725836,0.22034165,-0.5331835,0.526625,2.533073,10,0.06661522561600737,0.24163963127109128,0.021746447967460118,0.44150516,3.5762787e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Qualitas T&G Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12498901206,HU12498901",13,-0.031150768,0.23620741,-0.6239663,0.5762872,2.6955206,10,0.0,0.04890809523349138,0.0035012532072372163,0.4336201,2.3841858e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Balázs-Diák Kft.,Winner,"13446976241,HU13446976",10,-0.02347743,0.20270285,-0.5862365,0.43408078,2.3086517,20,0.2694724171013321,0.5197656021990128,0.036057030760246245,0.4730107,-1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
GIUNTI PSYCHOMETRICS HUNGARY TESZTFEJLESZTŐ KFT.,Winner,"13092302243,HU13092302",13,-0.04130563,0.2206927,-0.6507186,0.500427,2.540209,10,0.01982200094943729,0.13716019394669585,0.01337096062768258,0.4443019,3.5762787e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Játékdiagnosztika Kereskedelmi és Szolgáltató Nonprofit Kft.,Winner,"22615918242,HU22615918",13,-0.034145363,0.23599684,-0.58977336,0.63181204,2.6978016,10,0.0,0.04890809523349138,0.0035012532072372163,0.44119152,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Audi Hungaria Általános Művelődési Központ,Buyer,18292301208,3,0.039587628,0.2563989,-0.46500334,0.7258417,2.935195,12,0.032814942444840574,0.0016142854038429988,0.010046914305110559,0.3947333,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Raabe Klett Oktatási Tanácsadó és Kiadó Kft.,Winner,"10805349243,HU10805349",3,0.038101837,0.28488898,-0.58314866,0.7715831,3.2518497,12,0.0,0.00032724704929790383,0.0040373110540697366,0.38368618,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Egri Szakképzési Centrum,Buyer,15831938210,4,0.010580003,0.2408617,-0.5869333,0.70583665,2.7276666,16,0.0286144651021898,0.017459658410178696,0.00609073988928293,0.41449797,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",4,-0.0042143567,0.22329496,-0.5398416,0.54559594,2.526744,16,0.08434524525040472,0.08029974715878449,0.01639815722756116,0.4386085,3.5762787e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Szegedi Szakképzési Centrum,Buyer,15832142206,5,0.07648319,0.28726456,-0.5558674,0.75739366,3.3632479,13,0.061197849462365596,0.00020635678554920304,0.024673933773113447,0.38581696,0.0,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
E.ON Energiamegoldások Korlátolt Felelősségű Társaság,Winner,"13322142244,HU13322142",5,0.080624074,0.28871998,-0.60342413,0.7711799,3.3914616,13,0.029314660455806107,0.0003605249894804825,0.006879337170173042,0.39105055,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Kazincbarcikai Tankerületi Központ,Buyer,15835190205,10,-0.03828251,0.23398711,-0.6164946,0.6013028,2.6824589,20,0.029362411843288125,0.19896596982871623,0.01308399972643215,0.44736084,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
DEPATENT Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"24792453215,HU24792453",10,-0.037849605,0.24805617,-0.66895485,0.6022921,2.838917,20,0.0,0.04027075403588149,0.003414971996729191,0.41752952,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Gyulai Tankerületi Központ,Buyer,15835138204,4,-0.002229373,0.21818079,-0.63075334,0.59954435,2.4685626,16,0.002053535458848552,0.024338312199173075,0.006047757392897726,0.43415073,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
