Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Budapest Környéki Törvényszék,Buyer,15311409242,0,0.0054775476,0.31305125,-0.8479563,0.7872029,3.5423129,17,0.01173011733684209,0.015043190132741262,0.0069965844562986,0.3950124,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Petrányi-Autó Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10491551244,HU10491551",0,0.020621618,0.3193627,-0.7554048,0.7543218,3.620701,17,0.0,0.003848727558415317,0.0020418685659502034,0.400394,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapesti Temetkezési Intézet Zártkörűen Működő Részvénytársaság,Buyer,10987553241,1,0.0018988326,0.41412932,-1.000116,0.92150193,4.6853876,2,0.0,5.85127017959293e-25,0.003703703703703704,0.39846388,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Karsol Kegyeleti Termékeket Gyártó és Forgalmazó Kft|Keletfa Faipari és Kegyeleti Terméket gyártó Kft.,Winner,"12790980209,HU12790980|10741801215,Hu 10741801",1,0.0016062856,0.41383222,-0.9824907,0.92984974,4.6820126,2,0.0,5.85127017959293e-25,0.003703703703703704,0.399661,4.7683716e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
GYŐR-SZOL Győri Közszolgáltató és Vagyongazdálkodó Zártkörűen Működő Részvénytársaság,Buyer,11693062208,2,0.030845653,0.36106777,-0.9634968,0.9263392,4.099895,7,0.00024968096321367143,2.689278056908571e-14,0.006257144438429566,0.4043322,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Solinwest Agro Kft.,Winner,"25277362213,HU25277362",2,0.03631816,0.34981182,-0.8920699,0.8520883,3.978942,7,0.00024968096321367143,2.6892780569085703e-14,0.004100175312651893,0.4005786,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Bábolna Nemzeti Ménesbirtok,Buyer,15833710211,3,-0.0011471007,0.39940956,-0.7707214,0.9136385,4.518822,2,0.0,5.85127017959293e-25,0.003703703703703704,0.3933675,-2.9802322e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
IKR Agrár Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"23198942211,HU23198942",3,-0.0071178973,0.40231168,-0.80225635,0.9056842,4.5523496,2,0.0,5.85127017959293e-25,0.003703703703703704,0.39539722,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
MTA Csillagászati és Földtudományi Kutatóközpont,Buyer,EKRSZ_71462927,4,-0.004388269,0.28610125,-0.7649211,0.6390861,3.2372468,20,0.019744479937011707,0.18570323082372586,0.009250306443331264,0.3962837,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ETIAM Kft.,Winner,24909707-2-06,4,-0.004785356,0.2889716,-0.7384495,0.7967525,3.2697887,20,0.0,0.047512605792328196,0.00186551167274463,0.39466184,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ETIAM Korlátolt Felelősségű Társaság,Winner,"24909707206,HU24909707",4,-0.0024671294,0.25501186,-0.7118657,0.5106953,2.8852649,20,0.06855836325541702,0.39023675998996177,0.011383627324867739,0.39846513,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
MTA Kísérleti Orvostudományi Kutatóintézet,Buyer,15300526242,5,-0.017378345,0.28725472,-0.62748516,0.68538296,3.255858,14,0.004237046313837082,0.06884430761290956,0.004688760962934405,0.3908608,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Bruker France SAS,Winner,FR 54 311 020 911,5,-0.021918336,0.30560508,-0.7031698,0.6822731,3.4664083,14,0.0,0.017614071800279553,0.0018835129574667213,0.38344488,-3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Szegedi Biológiai Kutatóközpont,Buyer,15300564206,44,-0.015640005,0.26924855,-0.7406942,0.63592774,3.0513341,19,0.0408085039486582,0.29533817162744436,0.016664727671230152,0.40702915,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Bio-Science Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12266788243,HU12266788",4,0.0037348974,0.24706145,-0.826938,0.5857171,2.7955005,20,0.04103222601807741,0.22138998354350356,0.004346092971050396,0.39940724,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Nemzeti Agrárkutatási és Innovációs Központ,Buyer,15323819213,7,0.044579268,0.28241917,-0.6730991,0.75125206,3.234769,16,0.0083248785282298,0.07282669975030769,0.0060088617421580285,0.39990664,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Tempel Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"11039811203,HU11039811",7,0.057640664,0.2803666,-0.6613368,0.7361805,3.238328,16,0.0008639753965171483,0.03737741879166978,0.003143178237456112,0.39961758,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Agrolánc Ipari, Mezőgazdasági, Kereskedelmi és Szolgáltató Kft.",Winner,"10476015213,HU 10476015",7,0.029114572,0.25977615,-0.80607677,0.7584941,2.9574327,16,0.03278700760668247,0.15826105739530444,0.00722191499964944,0.41076598,-3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
