Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Győri Szakképzési Centrum,Buyer,15831952208,0,0.03420935,0.40947628,-0.92371064,0.9013134,4.6488347,2,0.0,4.241733538117235e-29,0.0025906735751295338,0.40586767,-1.7881393e-07,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
STRABAG Általános Építő Korlátolt Felelősségű Társaság,Winner,"11705053444,01-09-930940",0,0.035560936,0.40987137,-0.9139323,0.9304899,4.6545854,2,0.0,4.241733538117235e-29,0.0025906735751295338,0.40048906,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kecskeméti Tankerületi Központ,Buyer,15835200203,15,0.017206322,0.3247405,-0.8828137,0.636187,3.679173,24,0.0023674242424242425,0.0007452707943534193,0.013853818646950199,0.4059472,0.0,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Bács-Szinkron Kft.,Winner,14086513203,15,0.007179605,0.31857082,-0.80780834,0.7452293,3.6051326,24,0.0,0.00022324623145009634,0.0014596694153360579,0.41644654,3.5762787e-07,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szerencsi Tankerületi Központ,Buyer,15835451205,2,-0.005814728,0.34030363,-0.8691188,0.8018412,3.8506582,18,0.000946969696969697,2.3747705933499127e-08,0.007853047057838491,0.40481898,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Polgári Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"11440118205,HU 11440118",2,-0.014741447,0.32275277,-0.8448438,0.81329626,3.6553378,18,0.0008928571428571428,2.4374802760563822e-08,0.002554453895364397,0.40898257,-1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Balassagyarmati Tankerületi Központ,Buyer,15834986212,3,0.01149006,0.36465037,-0.87412906,0.8615873,4.1275954,5,6.764069264069264e-05,1.3435217247807771e-17,0.004631211975010091,0.40815908,0.0,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pothoroczki Épületgépészeti Kft,Winner,24777027212,3,0.009955894,0.3653845,-0.88202906,0.8511189,4.135388,5,0.0,7.271087179130488e-18,0.0017010031241983898,0.406136,0.0,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sárvári Tankerületi Központ,Buyer,15835396218,4,0.007685134,0.39920968,-1.192865,0.9150179,4.517379,2,0.0,4.241733538117235e-29,0.0025906735751295338,0.40215352,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KG Invest 2008. Kft,Winner,14408717208,4,0.006594347,0.40016046,-1.2071105,0.90124804,4.527913,2,0.0,4.241733538117235e-29,0.0025906735751295338,0.39861083,3.5762787e-07,KL - Oktatás,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
