Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Debreceni Egyetem,Buyer,15329750409,0,-0.022997715,0.19283707,-0.46028793,0.44783092,2.1971629,26,0.2322782812589248,0.39482451781716915,0.06172726394091486,0.44431865,-2.9802322e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Donau Lab Kft,Winner,"10828601243,HU10828601",16,-0.026217021,0.18497974,-0.47524497,0.58667636,2.1137216,20,0.0028118677384158055,0.07859673139783394,0.0028909751171554044,0.46372607,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Pannon Egyetem,Buyer,15308816219,2,-0.027374879,0.21584007,-0.58899015,0.5356593,2.4615135,19,0.08519791725637715,0.1174010416839757,0.02796653453620474,0.40901473,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Inteszt Méréstechnika Kereskedelmi és Szolgáltató Kft.,Winner,"13800233243,HU13800233",2,-0.040155433,0.18145,-0.47253513,0.43973327,2.1025412,19,0.00334125379895968,0.05975183890295741,0.002969954784728307,0.43864325,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Anton Paar Hungary Kereskedelmi és Szolgáltató Kft.,Winner,10553444243,2,-0.036972675,0.19207257,-0.5273671,0.42366764,2.2129467,19,0.00334125379895968,0.05975183890295741,0.002969954784728307,0.4483826,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Szent István Egyetem,Buyer,15845326213,16,-0.032105036,0.19194788,-0.45008507,0.5377502,2.2018092,20,0.17280705009298683,0.27894980362922567,0.03785687482464025,0.4197412,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Agro Legato Kft.,Winner,"12168635241,HU12168635",16,-0.02501123,0.18934453,-0.44875726,0.5214186,2.1607974,20,0.0,0.032539890736741454,0.0017246839209340526,0.41946742,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Bio-Rad Magyarország Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"13058199242,HU 13058199",0,-0.031201005,0.19534439,-0.5330707,0.46578696,2.2380831,26,0.0,0.04605684066109248,0.0017810452945820079,0.449067,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Szegedi Tudományegyetem,Buyer,15329815206,3,-0.021124609,0.18269353,-0.43181407,0.40252355,2.0807128,30,0.28930270207577546,0.41719228649310497,0.06305705941928307,0.42504913,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
RK Tech Kft.,Winner,"12395152242,HU12395152",2,-0.017011464,0.15148565,-0.4194416,0.374694,1.7246373,19,0.04006342341521055,0.17114943204260238,0.006419767882607485,0.47609368,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Almus Pater Taneszköz- és Intézményellátó Zrt.,Winner,"11885739206,HU11885739",3,-0.013215128,0.18487644,-0.4866464,0.5109595,2.0969748,30,0.0,0.04866607264036227,0.001780270614916218,0.4475951,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Haberkorn Fairtool Műszaki Termékeket Gyártó és Forgalmazó Korlátolt Felelősségű Társaság,Winner,"10814646242,HU10814646",4,-0.024793213,0.21820997,-0.5801799,0.45139337,2.4846485,11,0.031244997069485678,0.05013627325386955,0.003154052218002434,0.3679748,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ATL Ipari és Kereskedelmi Kft,Winner,"10971204213,HU10971204",3,-0.012614987,0.1644409,-0.3949782,0.37768447,1.8659028,30,0.0,0.04866607264036227,0.001780270614916218,0.45174518,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
LABOKRAFT Mérnökiroda Korlátolt Felelősségű Társaság,Winner,"13656230213,HU13656230",14,-0.016367884,0.20867318,-0.47389588,0.62349385,2.368119,21,0.00606973117425801,0.05794569759009371,0.00307189740717922,0.41150758,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Roche (Magyarország) Gyógyszer- és Vegyianyagkereskedelmi Kft.,Winner,"12176780244,HU12176780",0,-0.02422557,0.16387609,-0.42754522,0.37141225,1.8741953,26,0.003474019605799853,0.09472291330145474,0.0029465618111375698,0.48119155,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
CENTRAL EUROPEAN BIOSYSTEMS Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13349381241,HU13349381",15,0.00554508,0.18855041,-0.47441083,0.47657153,2.1341267,23,0.030873677035539938,0.15962645182787774,0.006725247301906983,0.39736938,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Carl Zeiss Technika Kft.,Winner,"10548756213,HU10548756",7,-0.020759586,0.1878276,-0.5005995,0.3902785,2.1379666,17,0.04389676584607329,0.1332831191578834,0.005456601025989869,0.40979838,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság",Winner,"13547620213,HU13547620",3,-0.017699368,0.16805732,-0.41442624,0.4043511,1.9118673,30,0.003474019605799853,0.09472291330145474,0.0029465618111375698,0.46718484,-3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Biocenter Laboratóriumi Szolgáltató Kft.,Winner,"10363573206,HU10363573",2,-0.014126796,0.18324436,-0.55998707,0.4461793,2.0793247,19,0.02507293472294091,0.1250925913815099,0.005253476686386133,0.42599696,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Simkon Külkereskedelmi és Szolgáltató Kft.,Winner,"10465118242,HU10465118",4,-0.00485875,0.21203338,-0.4706427,0.5077034,2.3995135,11,0.03211705397253159,0.04759986412700522,0.0057798804996389685,0.36775264,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
ALPHA-VET Állatgyógyászati Korlátolt Felelősségű Társaság,Winner,"10303304244,HU10303304",8,-0.005471604,0.18362866,-0.48044422,0.55934167,2.0784433,10,0.08632782727965775,0.12044477519207586,0.00684228725666516,0.38568103,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,3,-0.04277301,0.27963388,-0.7529306,0.67400926,3.2004926,30,0.014735992164825962,0.01602099040089704,0.006625603235809469,0.382053,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Aladdin Medical Kereskedelmi és Szolgáltató Kft.,Winner,"10252246218,HU10252246,18-09-008689",3,-0.04191064,0.27911875,-0.7742915,0.669094,3.1932685,30,0.0,0.0018688712797600884,0.002023026433224424,0.37384626,-2.9802322e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,11,0.05842235,0.42658126,-0.9040696,1.3064035,4.8712673,5,0.00020406081012141618,1.1453743460675553e-24,0.0097465802014674,0.35241625,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Líra Könyv Zrt,Winner,"10853665242,HU10853665",11,0.057103377,0.4147503,-0.86112875,1.2454721,4.73663,5,0.0,5.726871730337778e-25,0.002686305769305282,0.3490438,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
LRG É-L Kutató-fejlesztő és Szakértő Iroda Korlátolt Felelősségű Társaság|Macro Expert Kárszakértő Kft.,Winner,"12494213208,HU12494213|11715344213,HU11715344",16,-0.01868087,0.19007024,-0.44880098,0.5520731,2.1607606,20,0.0,0.032539890736741454,0.0017246839209340526,0.41481218,-3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
CE Optics Természettudományi Kutató-Fejlesztő Kft.,Winner,"14061682206,HU14061682",3,-0.024272611,0.17067312,-0.47628546,0.46362886,1.9503756,30,0.0,0.04866607264036227,0.001780270614916218,0.44708788,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
AKTIV INSTRUMENT Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"26218544242,HU26218544",16,-0.0043521505,0.18920624,-0.49374625,0.538178,2.1411905,20,0.003313857952450101,0.0627315204992827,0.002899050679684272,0.4223843,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Széchenyi István Egyetem,Buyer,19253079408,7,-0.0018982778,0.24090353,-0.5086696,0.51446414,2.7255967,17,0.11883034012596237,0.051609445563101146,0.031289120532852606,0.38355163,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Prospero Könyvei Budapest Könyvkereskedelmi és Könyvtárellátó Kft.,Winner,"10973718242,HU 10973718",7,-0.009518884,0.23583558,-0.6082106,0.5178712,2.6703475,17,0.0,0.0060203151196872124,0.002014863490639559,0.38871408,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
OCL Kereskedelmi és Szolgáltató Kft.,Winner,13975678242,3,-0.014338926,0.18250796,-0.4753331,0.4726641,2.071205,30,0.0,0.04866607264036227,0.001780270614916218,0.4562411,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
GeneTiCA Kereskedelmi és Szolgálató Korlátolt Felelősségű Társaság,Winner,"24765442213,HU24765442",3,-0.017815262,0.16527425,-0.37151513,0.44538736,1.8806967,30,0.003474019605799853,0.09472291330145474,0.0029465618111375698,0.4737931,-2.9802322e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
