Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Eszterházy Károly Egyetem,Buyer,15834481210,0,0.002527305,0.26381463,-0.8065086,0.5919552,2.9848588,20,0.1005357010382136,0.042504523721535854,0.03004406200829189,0.40746835,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
PC Trade Systems Informatikai Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12937303243,HU12937303,01-09-208294",0,-0.00788969,0.18883003,-0.48375788,0.4615949,2.138232,20,0.02918656320961968,0.09040423118169398,0.004253012004756645,0.45616257,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
T-Systems Magyarország Zártkörűen Működő Részvénytársaság,Winner,"12928099244,HU12928099,01-10-044852",0,-0.0051526995,0.26038447,-0.75602037,0.5841743,2.9464908,20,0.0,0.0052534757405342785,0.002573708348553888,0.41002715,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Szent István Egyetem,Buyer,15845326213,16,0.026872054,0.2339647,-0.5203289,0.6552718,2.6644106,8,0.046416701394531724,0.05810612842079402,0.017302818746843366,0.40420654,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Ultragel Hungary 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13870975241,HU13870975",16,0.016358573,0.20041463,-0.50092304,0.527853,2.2749734,8,0.008250366793080357,0.09233255891342039,0.004063063003813519,0.4601522,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Szegedi Tudományegyetem,Buyer,15329815206,2,-0.0037003136,0.17004634,-0.5538154,0.49883878,1.9243103,45,0.6015706756686162,0.6889329052408065,0.12449556728336228,0.51545477,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
B. Braun Trading Kft.,Winner,"25061978241,HU25061978",2,-0.0065303324,0.16337597,-0.38598704,0.32853532,1.8498641,45,0.0,0.0851507554411597,0.0024293036562027573,0.5325687,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SUTURA Képviseleti és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12004692243,HU12004692,01-09-366856",2,0.00089350855,0.156185,-0.377308,0.3472921,1.7670605,45,0.0,0.0851507554411597,0.0024293036562027573,0.54066765,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Medirex Egészségügyi, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"11909879242,HU11909879,01-10-044186",2,-0.008520557,0.16298018,-0.4313012,0.33033687,1.8464284,45,0.0,0.0851507554411597,0.0024293036562027573,0.53516465,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Biocenter Laboratóriumi Szolgáltató Kft.,Winner,"10363573206,HU10363573",3,0.022969162,0.19002277,-0.41693708,0.5647932,2.165511,13,0.023736666766521978,0.09142141142644038,0.004152646324966246,0.44733363,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
CENTRAL EUROPEAN BIOSYSTEMS Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13349381241,HU13349381",2,0.00081010535,0.15706608,-0.43287006,0.33836824,1.7770233,45,0.0,0.0851507554411597,0.0024293036562027573,0.52868724,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Debreceni Egyetem,Buyer,15329750409,4,0.010024352,0.28241694,-0.7445502,0.6256253,3.1971948,20,0.15141363382569412,0.015427994971105431,0.045937860080798275,0.39547837,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HUN-MED Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"10711426213,HU10711426",4,0.012772125,0.27747527,-0.6933801,0.56075376,3.1425982,20,0.0,0.0019068699166466952,0.0027019197161876037,0.392546,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,5,0.0062403865,0.27814028,-0.6037236,0.79721165,3.1475894,10,0.06347393533323181,0.012474667450884205,0.02066703819167028,0.39412248,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
FRESENIUS MEDICAL CARE Magyarország Egészségügyi Korlátolt Felelősségű Társaság,Winner,"11071101241,HU11071101",5,0.0133009115,0.2857307,-0.6030623,0.8764317,3.2361743,10,0.0,0.0015418444229591012,0.0027014605353093894,0.389804,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Pázmány Péter Katolikus Egyetem,Buyer,18055342242,6,0.015576946,0.27792138,-0.7157828,0.6571716,3.1492565,9,0.051158147640559704,0.02500456543909481,0.017716492774390438,0.42016014,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Xsens Technologies B.V.,Winner,NL822644186B01,6,0.017749812,0.27733588,-0.7422749,0.57612365,3.1441169,9,0.0,0.0030905152307049858,0.002631979626959551,0.413097,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
3DHISTECH Fejlesztő Korlátolt Felelősségű Társaság,Winner,"10620386242,HUOCCSZ.01-09-990715",5,0.014711478,0.26591712,-0.60192704,0.7504522,3.0131094,10,0.008400588802598852,0.0034487143396057965,0.004653380251496993,0.38585794,-3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Óbudai Egyetem,Buyer,15773063241,15,0.0002045501,0.24375668,-0.63097405,0.60604584,2.757793,17,0.09191206358809093,0.05897905440063237,0.03030115534774717,0.4167083,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Quantum Kereskedelmi és Szolgáltató Kft.,Winner,"10830578241,HU10830578",15,0.009408184,0.23735565,-0.6177004,0.6423267,2.6874816,17,0.0,0.007289695410437706,0.0024666687330505417,0.41163376,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Katker 2005 Kereskedelmi, Vendéglátó és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"11556079209,HU11556079",0,-0.0025314922,0.298586,-0.8459704,0.7009886,3.3782365,20,0.008629003603877975,0.005334971346192907,0.005027239562757168,0.3977833,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Nemzeti Közszolgálati Egyetem,Buyer,15795719251,10,0.03234265,0.40623605,-0.9561159,1.0649097,4.61058,4,0.00010151768945738795,2.652458116930467e-25,0.0064912280701754374,0.36107895,-5.364418e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",10,0.03381455,0.40780526,-0.9552955,1.0647752,4.6296234,4,0.00010151768945738795,2.652458116930467e-25,0.0064912280701754374,0.36457458,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Pesti Barnabás Élelmiszeripari Szakgimnázium és Szakközépiskola,Buyer,15823175242,11,0.032381304,0.42457956,-1.0528593,1.1029818,4.8175197,3,5.0758844728693974e-05,7.728972449111074e-27,0.007297598777026103,0.36681718,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
E.ON Energiamegoldások Korlátolt Felelősségű Társaság,Winner,"13322142244,HU13322142",11,0.029921005,0.41490126,-1.0031993,1.0936979,4.706262,3,0.0,5.465208830370438e-27,0.0038512006114869483,0.36090568,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Széchenyi István Egyetem,Buyer,19253079408,12,0.008470492,0.4291641,-0.880965,1.042478,4.8563833,3,5.0758844728693974e-05,7.728972449111074e-27,0.007297598777026103,0.37350413,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
COMPLEXLAB Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13708454241,12,0.0071623,0.42261267,-0.89536965,1.0276071,4.7820034,3,0.0,5.465208830370438e-27,0.0038512006114869483,0.36714375,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Budapesti Műszaki és Gazdaságtudományi Egyetem,Buyer,15308799243,13,0.01790818,0.27419508,-0.87254447,0.81382525,3.1087725,12,0.01187962419118198,0.011279755955689967,0.006811644546982672,0.39715225,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Labsystem Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12081213213,HU12081213",13,0.008092079,0.21235679,-0.7309107,0.5494806,2.4042864,12,0.018925676965877974,0.0865449111470443,0.004358875187151938,0.41193068,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
GeneTiCA Kereskedelmi és Szolgálató Korlátolt Felelősségű Társaság,Winner,"24765442213,HU24765442",6,0.0032991823,0.20094761,-0.50381666,0.53989834,2.2737691,9,0.026250444139891367,0.08824127067186469,0.004311283283162309,0.44695163,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Budapesti Gazdasági Egyetem,Buyer,15329822241,14,0.0413269,0.4118177,-1.4110901,1.1157005,4.682587,4,0.00015227653418608191,2.0193455465297966e-24,0.00959519755405221,0.36387652,-2.9802322e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Atlantisz Könyvkiadó Kft.,Winner,"10338904241,HU10338904",14,0.036197945,0.40137213,-1.3758737,1.1579616,4.5594373,4,0.0,1.1658696948758502e-24,0.003468267481982598,0.36162677,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ETIAM Korlátolt Felelősségű Társaság,Winner,"24909707206,HU24909707",15,0.007621496,0.2081318,-0.60045314,0.5716598,2.3563206,17,0.06775066169784857,0.11468700231277484,0.00910192353461662,0.43583667,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Infopolis Korlátolt Felelősségű Társaság,Winner,"22648633209,HU22648633",13,0.019078517,0.20991883,-0.54782116,0.6202849,2.384749,12,0.10952255174493822,0.11547002306882086,0.011181213272429154,0.41362846,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Axon Labs Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"27116658241,HU27116658",2,-0.006237749,0.1632493,-0.38422048,0.3849138,1.8483028,45,0.0,0.0851507554411597,0.0024293036562027573,0.51400423,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
RK Tech Kft.,Winner,"12395152242,HU12395152",16,0.02744611,0.1943491,-0.44501486,0.5599738,2.2206266,8,0.046041244293781515,0.1117459592064884,0.007341861049118951,0.44522315,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Avian Systems Kereskedelmi és Szolgáltató Kft.,Winner,"10879023241,HU10879023",4,0.007864941,0.26240444,-0.73918295,0.49403983,2.9701009,20,0.0,0.0019068699166466952,0.0027019197161876037,0.38688928,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ReplantMed Egészségügyi Kereskedelmi és Szolgáltató Kft,Winner,"24662064243,HU 24662064",2,-0.014754744,0.1560637,-0.33403316,0.36830115,1.7735326,45,0.0,0.0851507554411597,0.0024293036562027573,0.5296012,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SzamosMediko Kft.,Winner,"23394021243,HU23394021,01 09 963562",2,-0.007119134,0.1656868,-0.34956077,0.36878926,1.8762617,45,0.0,0.0851507554411597,0.0024293036562027573,0.531289,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
