Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Debreceni Egyetem,Buyer,15329750409,11,-0.007018547,0.15625747,-0.43119055,0.4285108,1.7696338,85,0.5640318723906981,0.642449433637241,0.13987186294735388,0.49392587,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"Medirex Egészségügyi, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"11909879242,HU11909879,01-10-044186",2,-0.01852765,0.14791822,-0.42234263,0.29499114,1.6865804,80,0.003424499634191327,0.07125032620274682,0.002175423042176639,0.49415955,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"24132880207,HU24132880",2,-0.012946806,0.14851977,-0.4799428,0.3632854,1.6866817,80,0.011032238559058185,0.08326486466924443,0.003029418539193637,0.47804612,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Diagon Diagnosztikai Korlátolt Felelősségű Társaság,Winner,"10831050241,HU10831050",2,0.00716397,0.15857854,-0.3541766,0.50657946,1.7959412,80,0.005948442017586767,0.06499056709482551,0.0022145007474836487,0.46528485,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,2,0.007550628,0.20288216,-0.4520725,0.60229087,2.2969387,80,0.18028353898487456,0.14570237960442367,0.05226322943856638,0.39731884,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Diagnosticum Gyártó és Forgalmazó Zártkörűen Működő Részvénytársaság,Winner,"10824487241,HU10824487",2,-0.00026353542,0.15063027,-0.34618625,0.40639126,1.7041894,80,0.005948442017586767,0.06499056709482551,0.0022145007474836487,0.47086254,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
TSO MEDICAL Hungary Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"25286449243,HU25286449",11,-0.009334749,0.15097855,-0.41531727,0.35446456,1.7113891,85,0.0,0.05297602862832789,0.0013605052504666502,0.4956797,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
SONARMED Kft,Winner,"13265553243,HU13265553",2,0.0036204201,0.15297833,-0.33364648,0.4464579,1.7312368,80,0.005948442017586767,0.06499056709482551,0.0022145007474836487,0.47042125,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Szegedi Tudományegyetem,Buyer,15329815206,2,-0.03886035,0.18060495,-0.5033712,0.37426987,2.0900764,80,0.20256912625689802,0.22161555765287042,0.06042257236028779,0.42762175,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Premier G. Med Onko Kft.,Winner,"14772416241,HU 14772416,01-09-919140",2,-0.036791943,0.16813207,-0.40747875,0.47087622,1.9472085,80,0.0,0.018274297574418934,0.0012750404910964917,0.41966322,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bluemed Plusz Korlátolt Felelősségű Társaság,Winner,"26231208207,HU26231208,07-09-028627",2,0.010769857,0.2030462,-0.4827035,0.53715104,2.3004346,80,0.0,0.012014538466497611,0.0013141181964035013,0.39424562,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Kvalitex Tudományos Technológiai Kereskedelmi Kft.,Winner,"10870880241,HU10870880",15,-0.006175178,0.19590624,-0.6593059,0.402845,2.217527,32,0.0072303015435746815,0.06103977087440329,0.0030103586101556763,0.37265244,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
MDE Orvosbiológiai Kutató Fejlesztő Gyártó Kft.,Winner,"10841891242,HU10841891",11,-0.013275011,0.15278587,-0.39569283,0.26198706,1.7350872,85,0.0,0.05297602862832789,0.0013605052504666502,0.50915843,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"AKTIVIT Környezetvédelmi, Termelő, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"10554964242,HU105 54964",11,-0.009726339,0.15456063,-0.3768624,0.3036763,1.7521126,85,0.0,0.05297602862832789,0.0013605052504666502,0.5007747,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"""KROMAT"" Műszerforgalmazó Kft.",Winner,"11802428243,HU11802428",8,-0.015606951,0.16374272,-0.43301225,0.3658285,1.8609334,28,0.014835525640105937,0.08162827484457048,0.00381102428800171,0.41831306,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Zolend Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"14705540209,HU14705540",11,-0.013025039,0.15341198,-0.44290406,0.3274297,1.741903,85,0.0,0.05297602862832789,0.0013605052504666502,0.49463144,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Per-Form Hungária Kereskedelmi és szolgáltató Korlátolt felelősségü társaság,Winner,12649774242,5,0.012761094,0.20930074,-0.5237242,0.58391064,2.3723648,15,0.057546636173647595,0.028197503294857533,0.004857908057991577,0.29722252,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Multilab Kalibráló és Kereskedelmi Kft,Winner,"13673730242,HU13673730",11,-0.009851921,0.15522371,-0.4333545,0.3004449,1.7596895,85,0.0,0.05297602862832789,0.0013605052504666502,0.49021602,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
I.T.A. Life Science Kft.,Winner,"26190053243,HU26190053",2,0.0073832944,0.15031938,-0.30634445,0.3798424,1.7027198,80,0.005948442017586767,0.06499056709482551,0.0022145007474836487,0.47369173,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Budapesti Műszaki és Gazdaságtudományi Egyetem,Buyer,15308799243,3,-0.028617524,0.20843408,-0.66950643,0.5450491,2.380285,24,0.12031887798472836,0.06778262008734358,0.032597031502392654,0.3497244,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
ECM ECO MONITORING Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12051072243,HU 12051072",15,-0.022671716,0.20418394,-0.6035928,0.4989521,2.3242743,32,0.011422129748167456,0.03160316950629113,0.003858860832345241,0.34675527,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Biotronik Hungária Kereskedelmi Kft.,Winner,"10661644243,HU10661644",2,-0.0074056964,0.14407203,-0.29494518,0.39077905,1.632141,80,0.011032238559058185,0.08326486466924443,0.003029418539193637,0.49164596,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Mölnlycke Health Care Kft.,Winner,"12352476241,HU12352476",2,0.008199384,0.19635445,-0.46256602,0.54515666,2.223433,80,0.0,0.012014538466497611,0.0013141181964035013,0.41819474,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Energetikai Szakgimnázium és Kollégium,Buyer,18860366217,9,-0.014840163,0.3588707,-0.7887588,0.94175476,4.063628,33,0.005735992402659069,0.00015464779937489397,0.0031815157547903576,0.33543295,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
NCT IPARI ELEKTRONIKAI KFT.,Winner,"12158791242,HU12158791",9,-0.021592963,0.29392982,-0.67744946,0.82730526,3.3343978,33,0.011433998100664765,0.0018627905081337365,0.0027779102138858792,0.32922715,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Festo Automatika Kereskedelmi és Szolgáltató Kft.,Winner,"10159277241,HU10159277",9,-0.015730375,0.37583515,-0.82194227,1.0466946,4.255812,33,0.0,1.2752172883963077e-05,0.0018119590519868295,0.33822888,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság",Winner,"13547620213,HU13547620",8,-0.0057500997,0.16751078,-0.45218137,0.37759766,1.8962843,28,0.007636186400493015,0.07660139455525802,0.002972981288041817,0.42942646,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
