Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Közép-Budai Tankerületi Központ,Buyer,15835248241,10,0.02535555,0.2762884,-0.5714956,0.67544293,3.138982,14,0.10840738209159262,0.007441277775284941,0.00845479534659724,0.34150514,-1.7881393e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
ALTEO Energiakereskedő Zártkörűen Működő Részvénytársaság,Winner,"23720448241,HU23720448",10,0.011229915,0.2920617,-0.74135363,0.70362985,3.3067424,14,0.0,0.0007450661154524799,0.0025073019989769233,0.3342648,1.1920929e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",2,-0.005580995,0.22028981,-0.7141436,0.4582982,2.4930944,10,0.17222426696110912,0.07204789250550304,0.017755502470029504,0.37612954,0.0,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Észak-Pesti Tankerületi Központ,Buyer,15835114242,2,0.008578103,0.26949477,-0.73374295,0.6324561,3.0505292,10,0.008749145591250852,0.007286650848175011,0.0046848053004574074,0.33518976,-2.3841858e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Szegedi Tudományegyetem,Buyer,15329815206,3,0.004978531,0.19036552,-0.46448344,0.34888533,2.1544764,37,0.29474559564115865,0.21244568115478107,0.07941654873186917,0.48866302,1.1920929e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Twinmed Orvosi Rendszerek Korlátolt Felelőségű Társaság,Winner,"12342697243,HU12342697,HUOCCSZ.01-09-666851",3,-0.013665494,0.15746483,-0.4190535,0.35997853,1.7882074,37,0.009623367974155406,0.08648913858988047,0.0036634384814629283,0.57133245,-1.1920929e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"ALLEGRO Kereskedelmi, Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10361863241,HU10361863",3,-0.018175514,0.14513859,-0.35354778,0.3182967,1.6548812,37,0.009623367974155406,0.08648913858988047,0.0036634384814629283,0.5799309,1.1920929e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Vascular Venture Korlátolt Felelősségű Társaság,Winner,"14153589243,HU14153589",3,-0.017722767,0.15105608,-0.3516983,0.2926258,1.7207268,37,0.009623367974155406,0.08648913858988047,0.0036634384814629283,0.56346804,-1.1920929e-07,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Biomedica Hungaria Orvostechnikai Korlátolt Felelősségű Társaság,Winner,"10658415242,HU10658415,01-09-161947",3,-0.01978205,0.15431502,-0.3792667,0.34288695,1.760162,37,0.009623367974155406,0.08648913858988047,0.0036634384814629283,0.5637702,0.0,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
UniCorp Biotech Kft.,Winner,"12582800243,HU12582800",2,0.0059857946,0.18054135,-0.4510772,0.50214666,2.0437145,10,0.03760717505841044,0.10193076217343294,0.006746614884876813,0.43448752,0.0,KL - Oktatás,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
