Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Katolikus Főplébánia Hivatal,Buyer,19927161112,0,-0.053149115,0.3913536,-1.0226607,1.1452714,4.468306,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39213365,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Nógrád ""kas"" Épületfelújító és Szigetelő Kft.",Winner,"10218679212,10218679",0,-0.049884543,0.38740408,-1.0047657,1.1392951,4.419164,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3993268,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szentgáli Református Egyházközség,Buyer,19897514119,1,-0.029898461,0.38794115,-0.9180351,0.9331302,4.4020686,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39161462,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
STILÉPBER Ingatlanberuházó Korlátolt Felelősségű Társaság,Winner,13012984219,1,-0.032805845,0.38885537,-0.97865576,0.9447072,4.4150248,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.40278873,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szeged-Csanádi Egyházmegye,Buyer,19983068206,2,0.0076347813,0.367554,-0.88449335,0.9265885,4.159296,5,6.694246964159002e-05,2.242837905250034e-14,0.004607006834621687,0.39686957,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
FERROÉP Fővállalkozó és Szerelőipari Zártkörűen Működő Részvénytársaság,Winner,"11391069206,HU11391069",2,0.004495498,0.36261657,-0.872567,0.8354105,4.1028533,5,0.0,1.2138151275813794e-14,0.0016923460380948653,0.39832318,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Bencés Kongregáció Pannonhalmi Főapátság,Buyer,19886662208,3,-0.022679118,0.336602,-0.82158065,0.7739119,3.8168511,18,0.004538699441699803,0.00037507963734953036,0.006398937227163237,0.39395803,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"M.K Unit Építőipari, Kereskedelmi és Szogáltató Korlátolt  Felelősségű Társaság",Winner,13128694213,3,-0.030047687,0.32812065,-0.9161706,0.7822676,3.7277944,18,0.0,0.00010775255524358496,0.0014752621326610139,0.39603943,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Miskolci Egyházmegye,Buyer,18404973105,4,-0.012743892,0.32991925,-0.8578428,1.0961906,3.735394,16,0.0011112449960503942,1.1465924953807769e-08,0.006104173611883294,0.39177388,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Brand 2001 Kft,Winner,11583406205,4,-0.00896002,0.33532152,-0.9087847,1.0809326,3.795084,16,0.0,4.60700468128926e-09,0.0014247669478691769,0.39933494,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
