Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Komló Város Önkormányzat,Buyer,15724100202,0,0.043339636,0.35742387,-0.8016484,1.0474002,4.0734086,4,9.29022668153103e-05,1.1879464122363797e-28,0.006211701502560228,0.41655648,2.3841858e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Benkala Gyártó,Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,13427340243,0,0.042802546,0.3628721,-0.8210474,1.0869967,4.1338906,4,9.29022668153103e-05,1.1879464122363797e-28,0.006211701502560228,0.41641125,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzat,Buyer,15735667241,2,0.025461594,0.36743253,-0.9961835,0.9313825,4.1669936,3,4.645113340765515e-05,4.717278650580771e-32,0.006983612284933487,0.40861765,-1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
F4 Bau Építőipari és Szolgáltató Kft.,Winner,13781332213,2,0.02418148,0.36343297,-0.9935331,0.90801597,4.1208663,3,0.0,3.335619722572189e-32,0.0036852273503562233,0.41296694,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Komló Város Önkormányzat|VOLÁNBUSZ Közlekedési Zártkörűen Működő Részvénytársaság,Buyer,15724100202|10824346244,0,0.0438566,0.36298257,-0.8310796,1.0697774,4.1365457,4,0.0,7.341912595755767e-29,0.0033576764878703934,0.41203374,-5.9604645e-08,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Biatorbágy Város Önkormányzata,Buyer,15730088213,3,-0.012088099,0.37467045,-0.9854381,0.6915501,4.241118,2,0.0,4.598476197284497e-40,0.004784688995215311,0.406544,-5.9604645e-08,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÚTKORONA Építő és Szolgáltató Kft.,Winner,"24164528213,HU24164528",3,-0.013769761,0.37402618,-0.9970963,0.6824762,4.23449,2,0.0,4.598476197284497e-40,0.004784688995215311,0.39802888,-5.9604645e-08,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Székesfehérvár Városgondnoksága Kft.,Buyer,14823495207,12,0.004706653,0.31203625,-0.7849405,0.7439489,3.5306885,15,0.003948346339650688,5.735256632101429e-07,0.025973966417439504,0.42425093,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÚTÉPPARK Útépítő és Mélyépítő Kft.,Winner,"24105099207,24105099",12,0.0062544364,0.30096054,-0.7142204,0.7261141,3.405715,15,0.0,1.71146678861763e-07,0.002724125211097937,0.43252757,-5.9604645e-08,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fővárosi Közterület-fenntartó Zártkörűen Működő Nonprofit Részvénytársaság,Buyer,12166602244,18,-0.02708217,0.31495655,-1.1015904,0.71631134,3.5764756,17,0.0039018952062430325,1.3358723380802515e-10,0.019077690378383447,0.41784966,2.3841858e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Reversion Falszárító Kft.,Winner,24209784211,18,-0.017956201,0.3131073,-0.98508877,0.8100074,3.5482254,17,0.0,4.4529077936008395e-11,0.0027438772194484803,0.42352214,0.0,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
RING-BNP Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,14494556207,12,0.0044107214,0.30400047,-0.7040719,0.73433226,3.4397347,15,0.0,1.71146678861763e-07,0.002724125211097937,0.42677438,0.0,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Újpesti Városgondnokság Szolgáltató Kft.,Buyer,14512346441,30,0.0011809807,0.29285404,-0.7397204,0.6655681,3.3132923,14,0.028985507246376812,0.06374004661268393,0.011319871565916333,0.4146571,0.0,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mpiima Vendéglátó Korlátolt Felelőségű Társaság|ÖKO-PET RECYCLING Műanyag Újrahasznosító Korlátolt Felelősségű Társaság,Winner,"14678642241,HU14678642,01-09-914849|13982454242,HU13982454,16 09 952778",30,0.010548086,0.2900611,-0.7412333,0.62666535,3.2838356,14,0.0,0.015857844068603168,0.0026413448346300295,0.41379514,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÉPÜLET-VILL. KFT,Winner,"14253452213,14253452",30,0.0038934178,0.28500918,-0.7264747,0.62199855,3.2248116,14,0.0,0.015857844068603168,0.0026413448346300295,0.4218382,3.5762787e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
SZIN-KER ÉPÍTŐ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"24916710242,HU24916710",30,-0.005477679,0.26438224,-0.59928316,0.70745337,2.9917855,14,0.026570048309178744,0.01796365767860683,0.004517479718489818,0.4210598,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,Buyer,10898824244,7,0.011167009,0.29393792,-0.93434733,0.69323266,3.3279269,18,0.023132664437012264,0.0033939165528134516,0.029740943524688982,0.42581126,3.5762787e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NODECH Ipari és Szolgáltató Kereskedelmi Korlátolt Felelősségű Társaság,Winner,10673250242,7,0.012393236,0.28092125,-0.8594987,0.6484105,3.1813526,18,0.0,0.0008556316353530436,0.002661551899042835,0.4352281,1.1920929e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Városi Szolgáltató Nonprofit Zrt.,Buyer,10822612213,8,0.046854105,0.38877675,-0.87211674,0.9512958,4.4303346,2,0.0,4.598476197284497e-40,0.004784688995215311,0.408749,-1.7881393e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÚTÉP-GÉP-TRANS KFT,Winner,10700282213,8,0.04923316,0.39160055,-0.8907742,0.96803176,4.4653316,2,0.0,4.598476197284497e-40,0.004784688995215311,0.41590753,0.0,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NYÍRVV Nyíregyházi Városüzemeltető és Vagyonkezelő Nonprofit Kft.,Buyer,10363315215,9,0.011920993,0.2879516,-0.6214497,1.0583699,3.2605908,17,0.0293106651802304,0.7026406028049629,0.03635703249936244,0.42554983,2.3841858e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság,Winner,"11876566215,HU11876566",9,-0.0006865952,0.27497244,-0.5539326,0.978485,3.1109676,17,0.0,0.17480625922281903,0.0026484158490455998,0.43747342,-5.9604645e-08,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Renoválom Építőipari, Szolgáltató és Ingatlanforgalmazó Korlátolt Felelőségű Társaság",Winner,13215905213,7,0.016520113,0.28978255,-0.9116713,0.6769316,3.2838385,18,0.0,0.0008556316353530436,0.002661551899042835,0.42755374,2.3841858e-07,KL - Általános közszolgáltatások,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
