Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság|NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.,Buyer,26698180241|10585560244,0,0.042013366,0.41097018,-1.0834378,1.0646689,4.67383,2,0.0,3.788752717016827e-24,0.00390625,0.38192755,-2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ANY Biztonsági Nyomda Nyrt.,Winner,"10793509244,HU10793509,01-10-042030",0,0.040530723,0.4065135,-1.0737269,1.0329131,4.6219783,2,0.0,3.788752717016827e-24,0.00390625,0.38134563,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
KALOCSAI VAGYONHASZNOSÍTÁSI és KÖNYVVEZETŐ Nonprofit Korlátolt Felelősségű Társaság,Buyer,23900774203,7,0.046394467,0.28060266,-0.6468355,0.78515136,3.217757,21,3.602490865112449e-05,0.018248631255737495,0.003166400162151626,0.38749874,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság,Winner,"12898019244,HU 12898019",7,0.04075376,0.26349255,-0.54250765,0.7406413,3.0165238,21,0.0017610887817001751,0.038171920169214925,0.003118139355882675,0.39412212,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
KTI Közlekedéstudományi Intézet Nonprofit Kft.,Buyer,21925221243,2,-0.0054179262,0.4259585,-1.0801667,1.4076922,4.81956,2,0.0,3.788752717016827e-24,0.00390625,0.38348415,-2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"HB MÉRNÖKI IRODA Szolgáltató, Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,12328736213,2,-0.007639097,0.42283228,-1.1070554,1.4078246,4.7845817,2,0.0,3.788752717016827e-24,0.00390625,0.3864279,-2.9802322e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.,Buyer,10585560244,3,-0.018447064,0.25334466,-0.54699516,0.7391826,2.8738556,23,0.049335089279099305,0.0963392558971795,0.022371882546509732,0.42072815,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
MOLARIS Informatikai Fejlesztő és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13761561241,3,0.003175924,0.2426188,-0.544261,0.6448861,2.7451534,23,0.0,0.01860814463456418,0.0019446185898836248,0.41219354,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
MKK Magyar Követeléskezelő Zártkörűen Működő Részvénytársaság,Buyer,12226483241,4,-0.015392556,0.42348623,-0.9939522,1.1725967,4.794364,2,0.0,3.788752717016827e-24,0.00390625,0.3872623,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Mentes és Társai Autószerelő Korlátolt Felelősségű Társaság,Winner,12006319243,4,-0.012897441,0.42569757,-1.0165792,1.2085637,4.818428,2,0.0,3.788752717016827e-24,0.00390625,0.38827008,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,Buyer,13851325244,5,-0.032292653,0.23318753,-0.5433434,0.5964173,2.663393,12,0.0754986936873976,0.1207739408003578,0.020025040774695645,0.40209615,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Etalon-Informatika Kft,Winner,12348813241,5,-0.0312961,0.23416634,-0.58907026,0.6261245,2.6728458,12,0.0,0.023327931939500994,0.001895648240791072,0.4146948,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Magyar Nemzeti Bank,Buyer,10011953244,3,0.0088694515,0.24105358,-0.6470352,0.6710561,2.7290554,23,0.0757128744748285,0.2838387374260054,0.0226258314949928,0.41459316,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Gamax Laboratory Solutions Kft.,Winner,"23818925243,HU23818925,01-09-979547",3,0.0062393565,0.24086832,-0.543946,0.561079,2.726028,23,0.006434489806421256,0.1257116206574817,0.0032571588582324578,0.40295303,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Ferencvárosi Intézményüzemeltetési Központ,Buyer,15801948243,6,0.0053504943,0.25930533,-0.58622813,0.6093472,2.9343295,22,0.00017840907141509273,0.03246694515038133,0.002995628727692931,0.39796907,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
E.ON Energiakereskedelmi Korlátolt Felelősségű Társaság ,Winner,"24765648244,HU24765648,01-09-181155",6,0.029703476,0.26075163,-0.628926,0.6303131,2.9691472,22,0.013259421560718458,0.0937829486259025,0.008224959028052285,0.40788442,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Budapest Környéki Törvényszék,Buyer,15311409242,7,0.027048612,0.24617785,-0.55292314,0.69587153,2.8019457,21,0.04232620858068368,0.17938760621072078,0.011160425622730582,0.40662274,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
JAS Budapest Kereskedelmi és Szolgáltató Zrt.,Winner,"12936773244,HU12936773",7,0.031469736,0.251318,-0.7329912,0.6031474,2.8655436,21,0.0,0.03464735189283771,0.0017720781125171185,0.40370268,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",7,-0.002770747,0.23707516,-0.5744591,0.5302755,2.6823823,21,0.09743023114984534,0.41181331875081284,0.01947183166224287,0.41505897,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HCEMM Nonprofit Korlátolt Felelősségű Társaság,Buyer,26307383206,8,-0.024078107,0.4040266,-1.0317212,0.969339,4.579149,3,3.087849312953528e-05,2.6335627786498704e-20,0.005700482685886495,0.39159623,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"11809360242,HU11809360,01-09-677773",8,-0.023889486,0.3990716,-1.0397462,0.9627621,4.523062,3,0.0,1.8622100994638098e-20,0.003009133657056752,0.3840542,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Országos Bírósági Hivatal,Buyer,15795960241,6,0.006459065,0.2557645,-0.69483507,0.65188384,2.8945677,22,0.02009525393036278,0.09425009994604326,0.008330302874226736,0.39387822,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Woss Kereskedelmi, Vendéglátóipari és Szolgáltató Kft.",Winner,"12021927242,HU12021927",6,-0.0041971654,0.23708452,-0.6216157,0.679567,2.6827254,22,0.03181904939107346,0.0845301609517756,0.004434746941090386,0.39892182,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NTT-2000 Kereskedelmi és Szolgáltató Kft.,Winner,10230930242,5,-0.0296022,0.23235194,-0.60999674,0.5577997,2.6500106,12,0.0,0.023327931939500994,0.001895648240791072,0.40756845,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Fővárosi Törvényszék,Buyer,15311399241,9,0.0033696624,0.23920847,-0.5975713,0.54901373,2.7066035,13,0.06002079809449775,0.26504359678403683,0.0172503936913411,0.40401155,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
ELI-HU Nonprofit Kft.,Buyer,22604255206,10,0.020408308,0.2482268,-0.6508332,0.56418234,2.8178413,19,0.0766829785185233,0.3670473079316367,0.03266669354263096,0.41984248,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
PANOR Informatika Zártkörűen működő Részvénytársaság|Metlok Engineering Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"25119071241,HU25119071|24117461243,HU24114761",10,-0.003739506,0.24922365,-0.6589928,0.5487498,2.819961,19,0.0,0.07088951137575739,0.001974650801948871,0.42140904,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SzámHEAD Számítástechnikai és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"10415618243,HU10415618",3,-0.009375628,0.25550488,-0.5139468,0.74749297,2.8926535,23,0.0,0.01860814463456418,0.0019446185898836248,0.41666508,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Szegedi Közlekedési Kft.,Buyer,11092612206,11,0.008449622,0.41812846,-1.0966374,0.9335926,4.7315493,2,0.0,3.788752717016827e-24,0.00390625,0.3803107,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
DBM Banktechnikai és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10502431241,HU10502431",11,0.0072763227,0.4189688,-1.0943191,0.9381992,4.7408056,2,0.0,3.788752717016827e-24,0.00390625,0.3835941,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
T-Systems Magyarország Zártkörűen Működő Részvénytársaság|Officium Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12928099244,HU12928099,01-10-044852|27427604241,HU27427604",3,0.003227041,0.2463981,-0.668004,0.5897444,2.7879157,23,0.0,0.054822109281724325,0.001868445556283587,0.4301523,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
