Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Veresegyház Város Önkormányzata,Buyer,15730576213,0,-0.02534464,0.30337244,-0.7655107,0.6652784,3.4442244,13,0.0,0.001621973330899549,0.0023733020107339214,0.4052095,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
ALTEO Energiakereskedő Zártkörűen Működő Részvénytársaság,Winner,"23720448241,HU23720448",0,-0.016949883,0.28349546,-0.65725607,0.7344475,3.2131128,13,0.012297151099891815,0.012996983889809155,0.006140894215589442,0.39695972,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Szeged Megyei Jogú Város Önkormányzata|Szegedi Kistérség Többcélú Társulása Egyesített Szociális Intézmény|Szent-Györgyi Albert Agóra|Szegedi Szimfonikus Zenekar|IKV Ingatlankezelő és Vagyongazdálkodó Zrt.|Szegedi Szabadtéri Játékok és Fesztivál Szervező Nonprofit Korlátolt Felelősségű Társaság|Szeged Megyei Jogú Város Önkormányzata Bölcsődéi és Gyermekjóléti Központja|Szegedi Hulladékgazdálkodási Nonprofit Kft.|Szegedi Rendezvény- és Médiaközpont Nonprofit Kft.|Nevelési-Oktatási Intézmények Gazdasági Szolgálata|Szeged és Térsége Turisztikai Nonprofit Kft.|Kövér Béla Bábszínház|SZVMF Szegedi Viziközmű Működtető és Fejlesztő Zrt.|Szeged Pólus Fejlesztési Nonprofit Kft.|Szegedi Sport és Fürdők Szolgáltató Korlátolt Felelősségű Társaság|Szegedi Vadaspark és Programszervező Közhasznú Nonprofit Kft.|Szegedi Városkép és Piac KFT|Móra Ferenc Múzeum|Szegedi Közlekedési Kft.|Szegedi Környezetgazdálkodási Nonprofit Kft.|Somogyi Károly Városi és Megyei Könyvtár|Szegedi Nemzeti Színház|Szeged Megyei Jogú Város Polgármesteri Hivatal,Buyer,15735629206|15767020206|15484701206|15484842206|12460377206|22119742206|15484079206|25595417206|18457627206|15484990206|20353434206|15485056206|11889094206|22247067206|11090081206|23565524206|11099224206|15355935206|11092612206|18455058206|15484684206|15484828206|15484000206,1,-0.027247263,0.24965468,-0.5575223,0.6486587,2.8412926,30,0.0,0.005623563921975843,0.0020757737084337127,0.4330979,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
E.ON Energiakereskedelmi Korlátolt Felelősségű Társaság ,Winner,"24765648244,HU24765648,01-09-181155",1,-0.03816711,0.25467783,-0.61653656,0.6192168,2.9135277,30,0.04800177734274378,0.045062004527321994,0.022060349404367817,0.43527806,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Hódmezővásárhely Megyei Jogú Város Önkormányzata|Németh László Városi Könyvtár és Pósa Lajos Gyermekkönyvtár|Tornyai János Múzeum és Közművelődési Központ|Hódmezővásárhelyi Többcélú Kistérségi Társulás Kapcsolat Központ|Hódmezővásárhelyi Működtető és Szolgáltató Nonprofit Zrt.,Buyer,15726906206|15354989206|15359087206|15358938206|25332959206,2,-0.0026117987,0.2645295,-0.61410004,0.6972065,2.9929554,14,0.0,0.0035691252286342836,0.002195956541263345,0.4216865,4.7683716e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
E2 Hungary Energiakereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,Winner,"25343502244,HU25343502",2,-0.010877689,0.26383737,-0.62016684,0.725867,2.987515,14,0.048481187642745525,0.02859964598352188,0.016545650702513993,0.40737993,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Fejér Megyei Kormányhivatal,Buyer,EKRSZ_21145906,3,0.051306427,0.33982605,-0.95901847,0.8318436,3.888265,16,0.0037865128020194735,1.1325695464705952e-12,0.03135244703045232,0.37780002,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Reanal Kft.,Winner,14016417242,3,0.0454198,0.3252448,-0.9675059,0.80495113,3.7154322,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38771892,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
BIOLAB Diagnosztikai Zrt.,Winner,11838658242,3,0.04631976,0.32820183,-0.96954376,0.81924975,3.7499776,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38608393,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
B&K 2002 Kft.,Winner,1996777243,3,0.046434864,0.3258209,-0.9635522,0.8092592,3.72349,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.386131,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bioszeparáció Kft.,Winner,24887597242,3,0.046102434,0.32412648,-0.969473,0.81582814,3.7039814,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38501394,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
VWR International Kft.,Winner,10650400209,3,0.046001244,0.32807323,-0.975291,0.82539994,3.7480347,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38505328,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
RK Tech Kft.,Winner,12395152242,3,0.045429803,0.32574713,-0.9775454,0.8153688,3.721076,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38738525,3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
UNICAM Magyarország Kft.,Winner,10853940242,3,0.046433963,0.32538787,-0.9590792,0.8178392,3.7186384,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38362965,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Flexhorizon Bt.,Winner,28481935241,3,0.046573482,0.32779858,-0.9773418,0.8151668,3.7458627,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38768372,3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
GEN-LAB Kft.,Winner,12326222243,3,0.044798575,0.324793,-0.9798267,0.80424416,3.7094028,16,0.0,2.9242819941330127e-13,0.002410540099516963,0.38290027,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Budaörs Város Önkormányzata|Esély Szociális Társulás Szociális és Gyermekjóléti Központ|Gróf Bercsényi Zsuzsanna Városi Könyvtár|Jókai Mór Művelődési Ház|Budaörsi Vackor Óvoda|Budaörsi Csicsergő Óvoda|Budaörsi Polgármesteri Hivatal|Egyesített Bölcsődei Intézmények|Budaörsi Mákszem Óvoda|Budaörsi Csillagfürt Óvoda|Holdfény Utcai Óvoda|Budaörsi Kincskereső Óvoda|Farkasréti Pagony Óvoda|Budaörsi Latinovits Színház|Zippel-Zappel Német Nemzetiségi Óvoda|BTG Budaörsi Települési Nonprofit Kft.,Buyer,15730105213|15762245213|15565684113|15440990213|16797446213|16797439213|15390053213|16935956213|15815604213|16797460213|15764230213|15815642213|16797477213|15566159213|16935262213|10639205213,0,0.0017684251,0.28261146,-0.8097259,0.7132977,3.197446,13,0.0,0.0032878204847959654,0.002227759161528326,0.4150255,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
ELMŰ-ÉMÁSZ Energiakereskedő Korlátolt Felelősségű Társaság,Winner,"12928130244,HU12928130",0,-0.0060892673,0.27414417,-0.7720513,0.7134557,3.1023524,13,0.04256671474936891,0.026345531766731777,0.015005846467114664,0.41407254,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Budaörs Város Önkormányzata|Egyesített Bölcsődei Intézmények|Holdfény Utcai Óvoda|Liver 3 És... Football Club Budaörs Sportegyesület|BTG Budaörsi Települési Nonprofit Kft.|Budaörsi Csicsergő Óvoda,Buyer,15730105213|16935956213|15764230213|18678682113|10639205213|16797439213,4,0.03422544,0.37873498,-0.82694983,0.904985,4.302357,6,0.0,7.627444622102835e-21,0.002668949982828885,0.38610193,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
E.ON Energiamegoldások Korlátolt Felelősségű Társaság,Winner,"13322142244,HU13322142",4,0.031874973,0.390935,-0.8721201,0.85536057,4.437602,6,0.0003606202668589975,1.7055484669637136e-20,0.011971705782058105,0.38919556,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"Pilis Város Önkormányzat|Budapest Főváros XV. kerületi Önkormányzat Újpalotai Összevont Óvoda|Gyöngyös Város Óvodái|Visonta Úti Bölcsőde és Családi Bölcsőde Hálózat|Vachott Sándor Városi Könyvtár, Kiállítóhely és Muzeális Gyűjtemény|Budapest Főváros XV. Kerület Rákospalota, Pestújhely, Újpalota Önkormányzata|Ajka Város Önkormányzata|Budapest Főváros XV. Kerületi Polgármesteri Hivatal|Gyöngyösi Kulturális Nonprofit Kft|Gyöngyös Városi Önkormányzat|Gyöngyösi Várostérség Fejlesztő Kft|Ráckeve Város Önkormányzata|Budapest Főváros XV.ker.Önkormányzat Egyesített Szociális Intézmény|Fővárosi Önkormányzat Gödöllői Idősek Otthona|Budapest Főváros Levéltára|Budapest Főváros XV. kerületi  Rákospalota, Pestújhely, Újpalota Önkormányzat Gazdasági Működtetési Központ|Tiszafüred Város Önkormányzata|Budapest Főváros XV. kerületi Önkormányzat Hétszínvirág Összevont Óvoda|Abony Város Önkormányzata|Sarkad Város Önkormányzata|Albertirsa Város Önkormányzata|Budapest Főváros XV. kerületi Önkormányzat Dr. Vass László Egészségügyi Intézmény|Balatonboglár Város Önkormányzata|Budapest Főváros XV. kerületi Önkormányzat Rákospalotai Összevont Óvoda|BUDAPEST FŐVÁROS XV. KERÜLET ÖNKORMÁNYZAT CSOKONAI KULTURÁLIS ÉS SPORTKÖZPONT|Gyöngyösi TV Nonprofit Kft.|HARKÁNY VÁROS ÖNKORMÁNYZATA|Budapest Főváros XV. kerületi Önkormányzat Egyesített Bölcsődék|Gyöngyösi Sportfólió Nonprofit Kft.",Buyer,15730655213|15837848242|16748875210|16748291210|15838021210|15735784242|15734185219|15515005242|26323844210|15729370210|25304222210|15730899213|15515579242|15492911213|15490737241|15792307242|15733108216|15837855242|15730253213|15725163204|15730260213|15515139242|15731357214|15837862242|15831251242|18574210210|15724076202|15515287242|14085062210,5,-0.023552623,0.19000185,-0.4351402,0.41043615,2.1660783,55,0.0,0.087134182006168,0.002155045143761611,0.5138317,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",5,-0.014617968,0.20267579,-0.5000149,0.47237742,2.2989712,55,0.40639023405972574,0.6982121967416953,0.1127875149278329,0.50756395,-2.9802322e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat|Belső-Pesti Tankerületi Központ|Belváros-Lipótváros Egészségügyi Szolgálat|Belváros-Lipótváros Városüzemeltető Kft.|Belváros-Lipótváros Közterület-Felügyelet,Buyer,15735681241|15835011242|15505130241|13998521241|15767123241,5,-0.02485231,0.19111608,-0.4655699,0.38578174,2.1804364,55,0.0,0.087134182006168,0.002155045143761611,0.5155735,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Budapest Főváros VI. Kerület Terézváros Önkormányzata,Buyer,15735698242,0,-0.023668084,0.23777656,-0.6541862,0.5537621,2.703429,13,0.06010363539573788,0.10089609697999165,0.006940091998514436,0.427456,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Sopron Megyei Jogú Város Önkormányzata|Központi Gyermekkonyha|Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet|Sopron Megyei Jogú Város Egyesített Bölcsődék|Soproni Szociális Intézmény,Buyer,15728049208|15367871208|15367716208|15369392208|15803672208,6,-0.008444577,0.35128555,-1.2470344,0.8523553,3.9754903,18,0.0,2.220707937767197e-14,0.0020120476397188646,0.37184593,-2.9802322e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Jégtrade Élelmiszeripari és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10828694213,HU10828694",6,-0.0048103146,0.34035763,-1.1790173,0.8590177,3.8510919,18,0.0006010337780983291,8.184059447586924e-14,0.004868890059551544,0.37446898,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Zöld Híd B.I.G.G Környezetvédelmi és Hulladékgazdálkodási Nonprofit Kft.,Buyer,25894259213,5,-0.023722496,0.1931531,-0.42540193,0.45113662,2.2016976,55,0.0,0.087134182006168,0.002155045143761611,0.5154525,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Makó Város Önkormányzata|Makói Városgazdálkodási Nonprofit Kft.|Makói Gyógyfürdő Zrt.|Makó Városi Kulturális-Közművelődési Nonprofit Kft.,Buyer,15726913206|18458635206|25430435206|18458642206,5,-0.021565469,0.19365902,-0.39902696,0.48947284,2.2045448,55,0.0,0.087134182006168,0.002155045143761611,0.5156626,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Szolnok Megyei Jogú Város Önkormányzata|Verseghy Ferenc Könyvtár és Közművelődési Intézmény|Szolnoki Kistérség Többcélú Társulása Egyesített Szociális Intézménye|RepTár Szolnok Nonprofit Kft.|Szent Tamás Görögkatolikus Óvoda és Általános Iskola|Damjanich János Múzeum|Szolnoki Sportcentrum Nonprofit Kft|Aba-Novák Agóra Kulturális Központ Nonprofit és Közhasznú Kft|Szolnok Megyei Jogú Város Intézményszolgálata|Újszász Városi Önkormányzat|Szolnoki Kistérség Többcélú Társulása Humán Szolgáltató Központ,Buyer,15732729216|15576512216|15578019216|25439836216|18039568116|15576529216|21064371216|18826933216|15577362216|15733050216|15578026116,5,-0.017728034,0.18823381,-0.46508372,0.3931844,2.1390464,55,0.0,0.087134182006168,0.002155045143761611,0.51900893,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Budapest Főváros XIV. Kerület Zugló Önkormányzata|Zuglói Cserepes Kulturális Non-profit Korlátolt Felelősségű Társaság|Budapest főváros XIV. Kerület Zuglói Polgármesteri Hivatal|Zuglói Közbiztonsági nonprofit Kft.|Zuglói Egészségügyi Szolgálat|Zuglói Sport- és Rendezvényszervező Nonprofit Korlátolt Felelősségű Társaság|Zuglói Városgazdálkodási Közszolgáltató Zártkörűen Működő Részvénytársaság,Buyer,15735777242|24120872242|15514004242|23084454242|15514750242|23088441242|12099461242,5,-0.022319697,0.18547265,-0.39329565,0.41082895,2.113523,55,0.0,0.087134182006168,0.002155045143761611,0.52262694,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Budapest Főváros XIV. Kerület Zugló Önkormányzata|Zuglói Egészségügyi Szolgálat|Zuglói Sport- és Rendezvényszervező Nonprofit Korlátolt Felelősségű Társaság|Zuglói Városgazdálkodási Közszolgáltató Zártkörűen Működő Részvénytársaság|Budapest főváros XIV. Kerület Zuglói Polgármesteri Hivatal|Zuglói Közbiztonsági nonprofit Kft.,Buyer,15735777242|15514750242|23088441242|12099461242|15514004242|23084454242,0,-0.0021291552,0.28194925,-0.8659743,0.6820897,3.189983,13,0.0,0.0032878204847959654,0.002227759161528326,0.43022555,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Józsefvárosi Önkormányzat,Buyer,15735715242,7,-0.009015061,0.24460748,-0.58210975,0.70244175,2.7692966,28,0.1536815465457731,0.10151871727177919,0.018263513916964326,0.4044146,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
SzamosMediko Kft.,Winner,"23394021243,HU23394021,01 09 963562",7,0.0049955035,0.24634868,-0.57423156,0.6215494,2.7876902,28,0.0,0.012669834625537408,0.002185254483942757,0.40604997,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Eger Megyei Jogú Város Önkormányzata,Buyer,15729325210,2,-0.00637661,0.21810432,-0.46882233,0.5803868,2.468623,14,0.03604206377827002,0.09955542839293043,0.005167898759920596,0.45003134,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bicske Város Önkormányzata|BICSKE VÁROSI ÓVODA|BICSKEI POLGÁRMESTERI HIVATAL|BICSKEI EGYSÉGES MŰVELŐDÉSI KÖZPONT ÉS KÖNYVTÁR|BICSKE VÁROS ROMA NEMZETISÉGI ÖNKORMÁNYZAT|BICSKE VÁROSI KONYHA|BICSKEI GAZDASÁGI SZERVEZET|SPORTLÉTESÍTMÉNY ÉS SZABADIDŐKÖZPONT ÜZEMELTETŐ|EGYESÍTETT CSALÁDSEGÍTŐ ÉS GONDOZÁSI KÖZPONT-KAPCSOLAT KÖZPONT|Bicskei Egészségügyi Központ Szolgáltató Nonprofit Kft,Buyer,15727048207|15798585207|15361497207|15797931207|15763349207|15826264207|15770833207|15838210207|15794691207|13202570107,5,-0.02049129,0.19379476,-0.3737776,0.4016147,2.2047598,55,0.0,0.087134182006168,0.002155045143761611,0.5189829,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Mosonmagyaróvár Város Önkormányzata|Tragor Ignác Múzeum|Ökológiai Kutatóközpont|Idősek Otthona és Klubja|Váci Sport Közhasznú Nonprofit Kft.|Váci Városfejlesztő Szolgáltató Kft.|Orosházi Városüzemeltetési és Szolgáltató Zrt.|Balassagyarmati Központi Óvoda|Vác Város Önkormányzat Képviselő Testületének Kisvác- Középvárosi Óvodája|Balassagyarmat Város Önkormányzata|Katona Lajos Városi Könyvtár|Orosháza Városi Önkormányzat Napköziotthonos Óvodája|Dunaharaszti Város Önkormányzata|Balassagyarmati Gazdasági Műszaki Ellátó Szervezet|Hajdúszoboszló Város Önkormányzata|Törökbálint Város Önkormányzat|Törökbálinti Sport és Üzemeltető Nonprofit Kft|Tiszaújvárosi Intézményműködtető Központ|Orosháza Városi Önlormányzat Gyermek- és Diákélelmezési Intézménye|Petőfi Kulturális Közhasznú Nonprofit Kft.|Orosháza Város Önkormányzat Egységes Szociális Központ|Deákvári Óvoda|Mezőkövesdi Városgazdálkodási Nonprofit Zártkörűen Működő Részvénytársaság|Orosháza Város Önkormányzat Nagy Gyula Területi Múzeuma|Üllő Város Önkormányzata|Gotthárd-Therm Fürdő és Idegenforgalmi Szolgáltató KFT|Esztergom Város Önkormányzat|Orosháza Város Önkormányzata|Orosházi Polgármesteri Hivatal|Vác Város Önkormányzat Képviselő Testületének Alsóvárosi Óvodája|Vác Város Önkormányzat Gazdasági Hivatala|Karcag Városi Önkormányzat,Buyer,15728032208|15809764213|15300540219|15395450113|18676271213|14867361213|12765452204|16780048112|16790542113|15735272212|16793545113|16655173104|15393173213|15450195212|15728355209|15730150213|25814460213|15763923205|15346841204|21171941204|15346470204|16790528113|10750782205|16654897204|15730679213|13046215218|15729600211|15725510204|15346315204|16793552113|15441049213|15732688216,2,-0.02441323,0.29150444,-0.699714,0.67537326,3.309542,14,0.006166606563288857,0.0036255935759536145,0.004280227120449784,0.40640065,-3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
