Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Budapest Főváros XXIII. Kerület Soroksár Önkormányzata,Buyer,15735863243,0,0.007744518,0.3247033,-0.86773336,0.9977824,3.674643,14,0.0,0.0001381559274833467,0.0025552603795659756,0.40101165,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"HE-DO Útépítő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10683833244,HU10683833,01-09-208325",0,0.004669912,0.3147038,-0.8192907,0.97264975,3.560859,14,0.0021458446990361884,0.0008520932205847722,0.00451807552029361,0.41052917,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Győr Megyei Jogú Város Önkormányzata,Buyer,15735595208,10,0.042388156,0.26263425,-0.5999596,0.7756707,3.0098186,19,0.05270655270655271,1.1790814873307187e-05,0.024985547518660424,0.42451814,-2.9802322e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STRABAG Építő Korlátolt Felelősségű Társaság,Winner,"12961555443,01-09-728620",26,0.010267424,0.25882825,-0.5902398,0.650489,2.9306104,20,0.032224040734679035,5.135460946398742e-06,0.006945390350779715,0.4149431,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Debrecen Megyei Jogú Város Önkormányzata,Buyer,15735588209,3,-0.012082746,0.25480232,-1.0776861,0.5744921,2.8859987,33,0.0508092380432806,0.6921973149758526,0.06877076975071214,0.4578172,-4.7683716e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Hunép Építőipari Zártkörűen Működő Részvénytársaság,Winner,"12656770209,HU12656770",3,-0.007535307,0.24533719,-0.9554,0.5502818,2.776982,33,0.0,0.11222319279458366,0.0022160718542842918,0.4737059,3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság|LATEREX Építő Zártkörűen Működő Részvénytársaság,Winner,"12461866209,HU12461866|25098367243,HU25098367",3,-0.0033373525,0.24052396,-1.0180604,0.50946,2.72148,33,0.0,0.11222319279458366,0.0022160718542842918,0.45964238,-2.9802322e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"""VKSZ"" Veszprémi Közüzemi Szolgáltató Zrt.|Veszprém Megyei Jogú Város Önkormányzata",Buyer,13519869219|15734202219,4,0.00010070205,0.40564403,-1.1111107,1.0502677,4.589339,2,0.0,9.52791723019597e-20,0.00423728813559322,0.4068888,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
VEMÉV-SZER Építő - és Szerelőipari Kft.|Incorso Építész és Építő Műhely Kft,Winner,"10578863219,HU10578863|13952392241,HU13952392,0109881528",4,0.0012292061,0.40286887,-1.1153316,1.0124925,4.5579624,2,0.0,9.52791723019597e-20,0.00423728813559322,0.4037285,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzat,Buyer,15735667241,5,-0.043212127,0.3732127,-0.8376755,1.0143977,4.2506285,4,0.00010911074740861975,3.842345003631461e-15,0.008130180318487848,0.406169,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Weiser Károly egyéni vállalkozó,Winner,"41045417243,HU41045417",5,-0.04167045,0.37028196,-0.85105836,1.0651959,4.2157063,4,0.0,2.218378922166038e-15,0.0029396574079616766,0.41187674,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros XIII. Kerületi Önkormányzat,Buyer,15735760241,19,-0.05376382,0.3305099,-0.7706867,0.7954695,3.7884429,11,0.0016002909619930897,1.9764018864548485e-09,0.01945906520149421,0.41990393,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Aszfaltbeton Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12007516242,HU12007516",19,-0.048798263,0.3207982,-0.6930183,0.72469735,3.6711679,11,0.0,6.543406606666838e-10,0.0024739325749561208,0.4198538,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Székesfehérvár Megyei Jogú Város Önkormányzata,Buyer,15726999207,16,-0.017764976,0.28192112,-0.7031426,0.6815596,3.1958997,15,0.029259865430078198,9.7277357982828e-06,0.028945896496846184,0.42538854,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STR Mély- és Magasépítő Korlátolt Felelősségű Társaság,Winner,"25355929443,01-09-270371",10,0.0054635284,0.25213343,-0.55846155,0.63756114,2.8532338,19,0.01336606655755592,5.14968149198197e-06,0.0037937899634264555,0.43125263,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Pécs Megyei Jogú Város Önkormányzata,Buyer,15735612202,8,-0.01035495,0.29096237,-0.8940655,0.7273613,3.2939475,12,0.023604291689398073,3.372888355641053e-06,0.023845962908836976,0.4157581,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Greeneral Kft,Winner,24299682202,8,-0.005376907,0.2883396,-0.7780017,0.6478394,3.2627575,12,0.0,8.102074904454722e-07,0.002325178390544695,0.42157868,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Békéscsaba Megyei Jogú Város Önkormányzata,Buyer,15725369204,26,0.022456836,0.2968048,-0.7568634,0.82541114,3.367561,20,0.004619021640298236,1.3336185335314537e-06,0.006205985087995619,0.4038045,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"MECSEKÉRC Környezetvédelmi Zártkörűen Működő Részvénytársaság|ROTAQUA Geológiai-, Bányászati-, Kutató-, Mélyfúró Kft.",Winner,"11563192202,HU11563192|10341528202,HU10341528",26,0.016477231,0.310473,-0.79586065,0.90521014,3.5175443,20,0.0,3.1951968874811694e-07,0.002394424292857343,0.40104944,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Dunakeszi Város Önkormányzata,Buyer,15731247213,10,0.043726593,0.28779384,-0.7362615,0.75091636,3.2933838,19,0.0,8.28691309348279e-07,0.0023189997017502868,0.4110004,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Penta Általános Építőipari Korlátolt Felelősségű Társaság,Winner,"10452556244,HU10452556",10,0.05140032,0.289801,-0.667783,0.7464302,3.3298957,19,0.01320240043644299,3.4603011779529913e-06,0.007924049002638963,0.4025814,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat,Buyer,15735681241,10,0.036387257,0.31271854,-0.6953474,0.89827657,3.5618765,19,0.006873977086743044,1.0009075588056263e-06,0.008599327373240224,0.41207826,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
S és P 2004 Építőipari Kft|Baranyai-Házépítő Építőipari és Szolgáltató KFT,Winner,14317251202|11542409202,8,-0.0060915947,0.2823363,-0.7607614,0.65083593,3.1950142,12,0.0,8.102074904454722e-07,0.002325178390544695,0.42239374,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Miskolc Megyei Jogú Város Önkormányzata,Buyer,15735605205,0,0.0018223296,0.29798606,-0.8196292,0.7056557,3.3713906,14,0.017966903073286054,0.00511755198197116,0.018100340787250816,0.41618788,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
RP-SC Holding Szolgáltató Korlátolt Felelősségű Társaság,Winner,24719458202,8,-0.0100079775,0.29180327,-0.773572,0.7157308,3.3033183,12,0.0,8.102074904454722e-07,0.002325178390544695,0.4224251,-1.7881393e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
B Build & Trade Kft.,Winner,"23927164242,HU23927164,01-09-280062",8,-0.008489667,0.29355174,-0.8120314,0.6815647,3.3225474,12,0.0,8.102074904454722e-07,0.002325178390544695,0.415064,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Debreceni Mélyépítő Holding Fővállalkozó és Tanácsadó Korlátolt Felelősségű Társaság|KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság,Winner,"12110508209,HU12110508|11876566215,HU11876566",3,-0.0033660447,0.24609144,-1.0291067,0.50903255,2.7844672,33,0.0,0.11222319279458366,0.0022160718542842918,0.46734518,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros XII. kerület Hegyvidéki Önkormányzat,Buyer,15735753243,13,-0.019101314,0.40235826,-1.0252022,0.89126337,4.557291,2,0.0,9.52791723019597e-20,0.00423728813559322,0.405215,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
MNT Systems Kft.,Winner,"14900549213,HU14900549",13,-0.017138802,0.3999715,-1.0243707,0.8651695,4.529313,2,0.0,9.52791723019597e-20,0.00423728813559322,0.4065566,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Debreceni Mélyépítő Holding Fővállalkozó és Tanácsadó Korlátolt Felelősségű Társaság|KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság|ZEMPLÉNKŐ Kelet-magyarországi Építőipari Fővállalkozó és Bányászati Korlátolt Felelősségű Társaság,Winner,"12110508209,HU12110508|11876566215,HU11876566|12523326215,HU12523326",3,-0.005313893,0.24776305,-0.9520284,0.5359998,2.8037634,33,0.0,0.11222319279458366,0.0022160718542842918,0.46577445,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
