Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Baranya Megyei Kormányhivatal,Buyer,15789240202,1,-0.03162705,0.3108806,-0.63292396,0.71568096,3.535367,20,0.00127931079155331,0.00010137780493107031,0.0073653376716845105,0.4080538,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
"EAST-AUDIT Igazságügyi Adó-, Járulék-, és Könyvszakértő, Tanácsadó Zártkörűen Működő Részvénytársaság",Winner,"12476963209,HU12476963,HUOCCSZ.09-10-000331",1,-0.050096095,0.30244344,-0.7785121,0.70223707,3.468379,20,0.003675994299779764,0.00014055130517167077,0.00706065830008582,0.41223243,-1.7881393e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Főváros XXI. Kerület Csepeli Polgármesteri Hivatal,Buyer,15521000243,2,0.006005666,0.38810724,-0.83529747,0.9456213,4.3914576,2,0.0,2.557570107485954e-30,0.004,0.4017112,2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
PREV-INFO Korlátolt Felelősségű Társaság|Risec Pénz és Értékszállító Kft,Winner,"23134841241|13879589243,HU13879589",2,0.007032698,0.38705668,-0.8625636,0.9246722,4.379769,2,0.0,2.557570107485954e-30,0.004,0.40485558,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Pesterzsébet Önkormányzatának Szociális Foglalkoztatója,Buyer,15520092243,3,0.05783678,0.34884703,-0.8034936,0.9297868,4.0006294,5,0.000194325689856199,1.583045173529718e-15,0.009511882811043312,0.40947467,0.0,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
FIDO Szolgáltató és Kereskedelmi Kft.,Winner,12166310243,3,0.053389784,0.34975058,-0.7194148,0.87555236,4.002814,5,0.0,7.915225867648589e-16,0.0026220292972391713,0.41885242,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Emberi Erőforrás Támogatáskezelő,Buyer,15329114242,1,-0.051064163,0.32869282,-0.7320733,0.7467177,3.7633438,20,0.0011335665241611608,5.8117233124373524e-05,0.006018780948015708,0.40111417,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Belvedere Meridionale Alapítvány,Winner,"18454909106,HU18454909,06-01-0000590",1,-0.058128633,0.33481413,-0.81363696,0.6352214,3.8446546,20,0.0,1.893132599940607e-05,0.0023058252261589597,0.40112674,-4.172325e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Zalaegerszeg Megyei Jogú Város Önkormányzata,Buyer,15734453220,4,0.025219105,0.3186698,-0.72872543,0.90177685,3.6166096,14,0.002202357818370255,0.00027678426353726327,0.017915952901115965,0.4145266,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
"Pelsoproject Hajótervező, idegenforgalmi, Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"13806208219,HU13806208",4,0.008525472,0.31352115,-0.7768343,0.9550328,3.5483978,14,0.0,8.98511378158115e-05,0.0022925265471990543,0.42258173,2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
