Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Győri Törvényszék,Buyer,15311454108,0,-0.005639634,0.3875827,-1.0356268,1.0929013,4.3854613,9,2.8657842990291603e-05,1.5148345411817332e-24,0.001722009762068758,0.3939377,2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Quality House Korlátolt Felelősségű Társaság,Winner,14019032208,0,-0.003485554,0.37362814,-0.9275747,1.0315992,4.227304,9,4.188453975504157e-05,2.0729351070301207e-24,0.0016542322066043014,0.39530557,0.0,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Solt Város Önkormányzat,Buyer,15724478203,1,-0.005963724,0.35209844,-0.7909488,0.86554694,3.9841104,38,0.0015409101730933716,0.00013186038671653382,0.0015474722352494992,0.39305583,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
HUN-BAU HOLDING Szolgáltató Korlátolt Felelősségű Társaság,Winner,11868806203,1,-0.008962592,0.37463158,-0.8977367,0.88493323,4.2396855,38,0.0,2.8992844520025092e-05,0.0005960592564388562,0.39944637,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Körösnagyharsány Község Önkormányzata,Buyer,15344760204,2,-0.024472613,0.42474923,-1.0532211,0.931555,4.8134584,2,0.0,2.189206430643079e-43,0.0010482180293501049,0.38291332,2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
MÁK Plusz KFT,Winner,14624526204,2,-0.025460236,0.42001596,-1.0508521,0.8846517,4.76066,2,0.0,2.189206430643079e-43,0.0010482180293501049,0.38707325,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Újkígyós Város Önkormányzata,Buyer,15725170204,3,0.023528984,0.38257435,-0.85747164,0.9821277,4.336513,18,0.0003901875545601241,7.112783757143369e-10,0.0011736686376919517,0.3766508,-2.9802322e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Csorvási Építőmester Betéti Társaság,Winner,20849986204,3,0.019961994,0.377383,-0.834054,1.0435134,4.2755704,18,0.000775966210198665,3.078430753225824e-09,0.0010805220610884557,0.391579,-2.9802322e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sirok Községi Önkormányzat|Szajla Községi Önkormányzat,Buyer,15379229210|15729514110,4,-0.07154308,0.36169523,-1.0962545,0.8181718,4.1713977,12,6.613348382374986e-05,1.8359504909530214e-24,0.001064486919027678,0.39606908,-1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"TETŐ CENTRUM '95 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,13289043210,4,-0.06616007,0.36231294,-1.080848,0.8132889,4.166884,12,8.376907951008315e-05,2.5840895340993395e-24,0.0021072474110389724,0.39655873,-2.9802322e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
