Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Pécsi Tudományegyetem,Issuer,19308681202,0,22.0,30.40833219146796,0,65,65.00769185258002,807,0.1459906947560787,0.027356978119117283,0.033063380041454274,0.08064516129032258,0.3257881972514147,0.9998830778838876,2.220446049250313e-16
FOREX MEDICAL Kórháztechnikai Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság,Winner,"28970909243,HU28970909",0,0.3333333333333333,0.4714045207910317,0,1,1.0,807,0.0,0.002460079390832217,0.0006186095468771936,0.0012406947890818859,0.245806648368405,0.9999957760739614,0.0
DEXTER Informatikai és Tanácsadó Kft.,Winner,"11004785202,HU11004785",0,0.6666666666666666,0.9428090415820634,0,2,2.0,807,0.0028911282844009656,0.0029254762274094803,0.0010369505425797299,0.0024813895781637717,0.25101214574898784,0.9999957760739614,0.0
Magyar Nemzeti Bank,Issuer,10011953244,0,29.666666666666668,41.24991582482994,0,88,88.0056816347672,807,0.22627038635909988,0.02566631014191665,0.04078245030688629,0.10918114143920596,0.32214228617106316,0.9999353704297789,-1.1102230246251565e-16
Inter-Computer-Informatika Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság,Winner,"12857074243,HU12857074",0,0.6666666666666666,0.9428090415820634,0,2,2.0,807,0.0015295862896585633,0.003282739912414809,0.0009715537225453586,0.0024813895781637717,0.25353884869455806,0.9999957760739614,0.0
Enterprise Communications Magyarország Kft.,Winner,"13835462241,HU13835462,01-09-875754",0,0.3333333333333333,0.4714045207910317,0,1,1.0,807,0.0,0.0023096982675155156,0.0005801569421970462,0.0012406947890818859,0.24372543090414273,0.9999957760739614,0.0
Semmelweis Egyetem,Issuer,19308674242,0,20.666666666666668,28.522895287041873,0,61,61.00819617067857,807,0.1718702984271034,0.06558694214442333,0.03090396884483609,0.07568238213399504,0.3252623083131558,0.9998674233988698,0.0
BLUEMED Kft.,Winner,"14570692207,HU14570692",0,0.3333333333333333,0.4714045207910317,0,1,1.0,807,0.0,0.0058970704374667945,0.000616876313787675,0.0012406947890818859,0.24550715808711546,0.9999957760739614,0.0
BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Issuer,10941362244,0,18.666666666666668,25.69478978746902,0,55,55.00909015790027,807,0.1371870180077144,0.02721607049667549,0.027302205107298142,0.06823821339950373,0.3305988515176374,0.9998371741301457,-1.1102230246251565e-16
VERTIKAL Group Zártkörűen Működő Részvénytársaság,Winner,"25352122207,HU25352122",0,0.3333333333333333,0.4714045207910317,0,1,1.0,807,0.0,0.0024474890846341688,0.0006081837247872046,0.0012406947890818859,0.24853530681467778,0.9999957760739614,0.0
Eurotrade Kereskedelmi és Szolgáltató Kft.,Winner,"10448979211,HU10448979",0,0.6666666666666666,0.9428090415820634,0,2,2.0,807,0.003541345631265079,0.012930563198596827,0.0010469540506744157,0.0024813895781637717,0.26126418152350084,0.9999957760739614,0.0
Nemzeti Kommunikációs Hivatal,Issuer,15827186241,0,11.0,14.854853303438128,0,32,32.01562118716424,807,0.06775611140367016,0.00864058096088749,0.01711008608440549,0.03970223325062035,0.23678025851938894,0.999519272737831,0.0
INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,Winner,26100289242,0,0.3333333333333333,0.4714045207910317,0,1,1.0,807,0.0,0.0007768828154611846,0.0006407275676731437,0.0012406947890818859,0.1914944167260632,0.9999957760739614,0.0
"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",Winner,"23480874205,HU23480874",0,0.6666666666666666,0.9428090415820634,0,2,2.0,807,0.008397100559537846,0.016380144551429453,0.0010556466396748861,0.0024813895781637717,0.2584161590253286,0.9999957760739614,0.0
