Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR000713582022,,,Pécsi Tudományegyetem,19308681202,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,PTE EOS karbantartása és javítása 36 hónapra,Szolgáltatás megrendelés,73500000.0,HUF,50000000-5,50000000-5,HU231,Igen,Nem,Igen,Nem,Igen,,2022-11-02,1.0,Nem,FOREX MEDICAL Kórháztechnikai Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság,"28970909243,HU28970909",HUN_1223_Budapest_Erzsébet királyné  Út 2-8.,Igen,,HUF,73500000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23840/2022,2022/S 216-620193,2022-11-08,Tájékoztató az eljárás eredményéről,-6 days,22770,Pécsi Tudományegyetem,FOREX MEDICAL Kórháztechnikai Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság,False,0.1459906947560787,0.033063380041454274,0,0.08064516129032258,0.3257881972514147,0.027356978119117283,0.0,0.0006186095468771936,0.0,0.0012406947890818859,0.245806648368405,0.002460079390832217
EKR000663232022,,,Pécsi Tudományegyetem,19308681202,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,PotePedia támogatás és továbbfejlesztés PTE 3 évre,Szolgáltatás megrendelés,78336000.0,HUF,72212000-4,72212500-4|72212000-4,HU231,Igen,Nem,Igen,Nem,Igen,,2022-10-28,3.0,Nem,DEXTER Informatikai és Tanácsadó Kft.,"11004785202,HU11004785",HUN_7622_Pécs_Vargha Damján Utca 4,Igen,,HUF,78336000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23828/2022,2022/S 216-621587,2022-11-08,Tájékoztató az eljárás eredményéről,-11 days,22535,Pécsi Tudományegyetem,DEXTER Informatikai és Tanácsadó Kft.,False,0.1459906947560787,0.033063380041454274,0,0.08064516129032258,0.3257881972514147,0.027356978119117283,0.0028911282844009656,0.0010369505425797299,0.0,0.0024813895781637717,0.25101214574898784,0.0029254762274094803
EKR000275622022,,,Magyar Nemzeti Bank,10011953244,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,SOA koncepció megvalósítása ESB alapokon,Szolgáltatás megrendelés,724020000.0,HUF,72200000-7,72211000-7|72212000-4|72212211-1|72210000-0|72212220-7,HU11,Nem,Nem,Igen,Nem,Igen,,2022-10-27,1.0,Nem,Inter-Computer-Informatika Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság,"12857074243,HU12857074",HUN_1118_Budapest_Gombocz Zoltán Utca 12. fszt. 1.,Igen,,HUF,724020000.0,HUF,Igen,"Intalion Rendszerintegrátor Kft., adsz: 26169567-2-41; Intalion Szolgáltató Zrt., adsz: 23479104-2-42; 4iG Nyrt., adsz: 12011069-2-44 ","Intalion Rendszerintegrátor Kft.(asz: 26169567-2-41):MSZ1., MSZ2.2., MSZ2.3., MSZ2.4.  Intalion Szolgáltató Zrt.(asz: 23479104-2-42): MSZ2.5.",Nem,Nem,Nincs adat,23866/2022,2022/S 216-619807,2022-11-08,Tájékoztató az eljárás eredményéről,-12 days,21357,Magyar Nemzeti Bank,Inter-Computer-Informatika Számítástechnikai és Kereskedelmi Zártkörűen Működő Részvénytársaság,False,0.22627038635909988,0.04078245030688629,0,0.10918114143920596,0.32214228617106316,0.02566631014191665,0.0015295862896585633,0.0009715537225453586,0.0,0.0024813895781637717,0.25353884869455806,0.003282739912414809
EKR001207062022,,,Magyar Nemzeti Bank,10011953244,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,"Ügyfélszolgálati kontakt center támogatása, üzem..",Szolgáltatás megrendelés,72645618.0,HUF,50334130-5,50334100-6,HU11,Nem,Nem,Igen,Nem,Igen,,2022-10-28,2.0,Nem,Enterprise Communications Magyarország Kft.,"13835462241,HU13835462,01-09-875754",HUN_1138_Budapest_Váci Út 117-119.,Igen,,HUF,72645618.0,HUF,Igen,"DSR Partner Kft. (14490552-2-43), Xperion Üzleti Innovációs Kft. (25812705-2-42)",CAROL-ICT Informatikai Szolgáltató Kft. (25009525-2-42) - M2.2.,Nem,Nem,Nem,23750/2022,2022/S 216-620233,2022-11-08,Tájékoztató az eljárás eredményéről,-11 days,70517,Magyar Nemzeti Bank,Enterprise Communications Magyarország Kft.,False,0.22627038635909988,0.04078245030688629,0,0.10918114143920596,0.32214228617106316,0.02566631014191665,0.0,0.0005801569421970462,0.0,0.0012406947890818859,0.24372543090414273,0.0023096982675155156
EKR001058822022,,,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Philips gyártmányú UH készülékek karbantart., jav.",Szolgáltatás megrendelés,270000000.0,HUF,50421000-2,50421000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-26,1.0,Nem,BLUEMED Kft.,"14570692207,HU14570692",HUN_2091_Etyek_Liliom Köz 2,Igen,,HUF,270000000.0,HUF,Nem,,-,Nem,Nem,Nincs adat,23599/2022,2022/S 215-618085,2022-11-07,Tájékoztató az eljárás eredményéről,-12 days,71060,Semmelweis Egyetem,BLUEMED Kft.,False,0.1718702984271034,0.03090396884483609,0,0.07568238213399504,0.3252623083131558,0.06558694214442333,0.0,0.000616876313787675,0.0,0.0012406947890818859,0.24550715808711546,0.0058970704374667945
EKR001210202022,,,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,K22201HVM-ben keletkező válogatási maradék szállít,Szolgáltatás megrendelés,150000000.0,HUF,90512000-9,90512000-9,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-27,1.0,Nem,VERTIKAL Group Zártkörűen Működő Részvénytársaság,"25352122207,HU25352122",HUN_8154_Polgárdi_Batthyány Utca 26/B 2679,Igen,150000000.0,HUF,150000000.0,HUF,Igen,"""LÉ-MA"" Sped Kft. (12341067243)","""LÉ-MA"" Sped Kft.,  (12341067243)",Nem,Nem,Nincs adat,23596/2022,2022/S 214-615056,2022-11-06,Tájékoztató az eljárás eredményéről,-10 days,71326,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,VERTIKAL Group Zártkörűen Működő Részvénytársaság,False,0.1371870180077144,0.027302205107298142,0,0.06823821339950373,0.3305988515176374,0.02721607049667549,0.0,0.0006081837247872046,0.0,0.0012406947890818859,0.24853530681467778,0.0024474890846341688
EKR001185922022,,,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"K2271/2 IVECO, CNG üzemű tehergépjárművek javítása",Szolgáltatás megrendelés,80000000.0,HUF,50230000-6,50230000-6,HU11,Igen,Nem,Igen,Nem,Igen,,2022-10-25,1.0,Nem,Eurotrade Kereskedelmi és Szolgáltató Kft.,"10448979211,HU10448979",HUN_2854_Dad_Fő Utca 54,Igen,,HUF,80000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23552/2022,2022/S 214-615069,2022-11-06,Tájékoztató az eljárás eredményéről,-12 days,23932,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Eurotrade Kereskedelmi és Szolgáltató Kft.,False,0.1371870180077144,0.027302205107298142,0,0.06823821339950373,0.3305988515176374,0.02721607049667549,0.003541345631265079,0.0010469540506744157,0.0,0.0024813895781637717,0.26126418152350084,0.012930563198596827
EKR000450562022,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,N - Központi szintű,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Hibrid zárórendezvény KIFÜ részére,Szolgáltatás megrendelés,9982000.0,HUF,79952000-2,55300000-3|79960000-1|79952000-2|92370000-5,HU110,Igen,Nem,Igen,Igen,Igen,,2022-10-26,3.0,Nem,INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,26100289242,HUN_1141_26100289-2-42_Szugló Utca 82 Szugló u. 82.,Igen,12332400.0,HUF,9982000.0,HUF,Igen,Jeney Éva Zsófia e.v. - 57610588-1-41; COMPOFFICE-R Kft. - 13155479-2-13,"Jeney Éva Zsófia e.v. (1036 Budapest, Lajos utca 121. 6.em. 32.-) 57610588-1-41, M.2.1); COMPOFFICE-R Kft. (2030 Érd, Festő utca 93.) 13155478-2-13, M.2.2)",Nem,Nem,Nincs adat,23658/2022,,2022-11-03,Tájékoztató az eljárás eredményéről,-8 days,21827,Nemzeti Kommunikációs Hivatal,INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,False,0.06775611140367016,0.01711008608440549,0,0.03970223325062035,0.23678025851938894,0.00864058096088749,0.0,0.0006407275676731437,0.0,0.0012406947890818859,0.1914944167260632,0.0007768828154611846
EKR000184852022,4,Belvárosi épületek,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Speciális klímaberendezések karbantartása,Szolgáltatás megrendelés,147262038.0,HUF,50700000-2,50700000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.","23480874205,HU23480874",HUN_3644_Tardona_Katus Domb 1.,Nem,,HUF,147262038.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,22839/2022,2022/S 210-604097,2022-11-02,Tájékoztató az eljárás eredményéről,-16 days,68086,Semmelweis Egyetem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",False,0.1718702984271034,0.03090396884483609,0,0.07568238213399504,0.3252623083131558,0.06558694214442333,0.008397100559537846,0.0010556466396748861,0.0,0.0024813895781637717,0.2584161590253286,0.016380144551429453
EKR000426512022,2,Vasútállomás épület rekonstrukció tervezés,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Zalaegerszegi állomások felújításának tervezése,Szolgáltatás megrendelés,405759310.0,HUF,71240000-2,71320000-7|71356400-2|71322000-1|71242000-6|71240000-2,HU11,Igen,Nem,Igen,Nem,Igen,,2022-10-19,1.0,Nem,Perfektum Építész Kft.,"26295464241,HU26295464",HUN_1031_Budapest_Monostori Út 34,Igen,,HUF,93470000.0,HUF,Igen,," karakterkorlát miatt L. a ""V.2.13)"" pontban ",Nem,Nem,Nincs adat,22971/2022,2022/S 209-597979,2022-11-01,Tájékoztató az eljárás eredményéről,-13 days,21782,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Perfektum Építész Kft.,False,0.28160803229136916,0.06546012395353752,0,0.1513647642679901,0.30857580398162326,0.6897046429642437,0.011079893483818678,0.0010733315502451522,0.0,0.0024813895781637717,0.2782188470831895,0.06790627584829757
