Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Nyíregyházi Egyetem,Issuer,19308708415,0,-0.017653637,0.20602526,-0.47933903,0.4758194,2.339451,18,0.0,0.02961419954067325,0.0021660699417597688,0.004975124378109453,0.21196832737719853,0.457293,-1.1920929e-07
SDA Informatika Zártkörűen Működő Részvénytársaság,Winner,"11684057243,HU11684057",0,-0.014670332,0.21248975,-0.49377307,0.516761,2.40977,18,0.1327743114640143,0.2147219827168749,0.04185900251189961,0.12437810945273632,0.2851531814611155,0.43552732,-5.9604645e-08
Semmelweis Egyetem,Issuer,19308674242,1,-0.027848717,0.18347332,-0.4267532,0.4850857,2.0995395,16,0.03056242334647413,0.15488840444437704,0.006323352210302139,0.01990049751243781,0.2925437606782502,0.47691596,-1.7881393e-07
"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",Winner,"23480874205,HU23480874",2,0.0106966235,0.2072981,-0.5477841,0.5435488,2.3484304,20,0.1658708362764741,0.26388522870636083,0.05287706711802814,0.15422885572139303,0.3016653924143204,0.45666534,0.0
BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Issuer,10941362244,3,0.00012388267,0.21030219,-0.46787143,0.52308357,2.379298,13,0.0149348085314532,0.0791721901898652,0.0050315268915058125,0.014925373134328358,0.25129454766981424,0.44435316,0.0
Generali Biztosító Zrt.,Winner,"10308024444,17780058",4,-0.008112114,0.20946279,-0.49712428,0.4061801,2.3715775,22,0.17038917996499095,0.24686736620414446,0.052935326925283445,0.14925373134328357,0.29768738723962607,0.44020715,2.3841858e-07
Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,Issuer,EKRSZ_44899914,8,0.033240024,0.23608163,-0.51934224,0.5996349,2.697304,16,0.002725887951066407,0.013426725414146093,0.003819352499218347,0.009950248756218905,0.20616097594220678,0.40395224,-1.7881393e-07
Oracle Hungary Kft.,Winner,10845606-2-44,6,0.04878728,0.22902301,-0.5611982,0.5165333,2.649238,27,0.05389336875760452,0.07351303969473402,0.01894276996449091,0.05472636815920398,0.26610562120634546,0.40017247,0.0
Nagykanizsa Megyei Jogú Város Önkormányzata,Issuer,15734446220,4,-0.01408745,0.20978624,-0.47524026,0.47677964,2.3788056,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.44762948,1.1920929e-07
MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,Issuer,10644371244,6,0.036601078,0.20580858,-0.45970297,0.49597794,2.364993,27,0.004312305681022066,0.04546076312099609,0.0035849337681169717,0.009950248756218905,0.2339339571572191,0.42583328,-2.3841858e-07
