Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001272602022,,,Nyíregyházi Egyetem,19308708415,Nem,Nem,N - Központi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Hirdetmény közzététele nélküli tárgyalásos eljárás,"NYE-NEPTUN követése, támogatása és kapcs.szolg.",Szolgáltatás megrendelés,67968450.0,HUF,72260000-5,72267000-4|72260000-5|72261000-2|72266000-7,HU323,Nem,Nem,Igen,Nem,Igen,,2022-10-24,1.0,Nem,SDA Informatika Zártkörűen Működő Részvénytársaság,"11684057243,HU11684057",HUN_1111_Budapest_Budafoki Út 59,Igen,,HUF,67968450.0,HUF,Nem,,,Nem,Nem,Nincs adat,23567/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-13 days,70576,Nyíregyházi Egyetem,SDA Informatika Zártkörűen Működő Részvénytársaság,False,0.0,0.0021660699417597688,0,0.004975124378109453,0.21196832737719853,0.02961419954067325,0.1327743114640143,0.04185900251189961,0,0.12437810945273632,0.2851531814611155,0.2147219827168749
EKR000184852022,4,Belvárosi épületek,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Speciális klímaberendezések karbantartása,Szolgáltatás megrendelés,147262038.0,HUF,50700000-2,50700000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.","23480874205,HU23480874",HUN_3644_Tardona_Katus Domb 1.,Nem,,HUF,147262038.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,22839/2022,2022/S 210-604097,2022-11-02,Tájékoztató az eljárás eredményéről,-16 days,68086,Semmelweis Egyetem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",False,0.03056242334647413,0.006323352210302139,1,0.01990049751243781,0.2925437606782502,0.15488840444437704,0.1658708362764741,0.05287706711802814,2,0.15422885572139303,0.3016653924143204,0.26388522870636083
EKR000978712022,1,D&O felelősségbiztosítás,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,K22108/2 Biztosítási szolgáltatások beszerzése,Szolgáltatás megrendelés,2949985232.0,HUF,66510000-8,66516500-5|66515200-5|66516400-4|66510000-8|66516000-0,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-16,2.0,Nem,Generali Biztosító Zrt.,"10308024444,17780058",HUN_1066_Budapest_Teréz Körút 42-44.,Nem,158560000.0,HUF,158000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22899/2022,2022/S 207-591881,2022-10-27,Tájékoztató az eljárás eredményéről,-11 days,70076,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Generali Biztosító Zrt.,False,0.0149348085314532,0.0050315268915058125,3,0.014925373134328358,0.25129454766981424,0.0791721901898652,0.17038917996499095,0.052935326925283445,4,0.14925373134328357,0.29768738723962607,0.24686736620414446
EKR000422042020,1|1,Tájékoztató DKM01OSUP20 szerinti közbeszerzésekről|Tájékoztató a DKM01OSUP20 keretmegállapodás alapján megvalósított közbeszerzésekről ,Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,EKRSZ_44899914,Nem,Igen,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Meglévő Oracle licencek terméktámogatása (OSUP20),Szolgáltatás megrendelés,959036121.0,HUF,72261000-2,72260000-5|72261000-2|72266000-7,HU,Nem,Nem,Igen,Igen,Igen,,2021-06-30,1.0,Nem,Oracle Hungary Kft.,10845606-2-44,HUN_1095_Budapest_Lechner Ödön Fasor 7.,Nem,,HUF,959036121.0,HUF,Nem,,,Nem,Nem,Nincs adat,21942/2022,2022/S 206-588486,2022-10-26,Együttes tájékoztató eljárások eredményéről,-483 days,3915,Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,Oracle Hungary Kft.,False,0.002725887951066407,0.003819352499218347,8,0.009950248756218905,0.20616097594220678,0.013426725414146093,0.05389336875760452,0.01894276996449091,6,0.05472636815920398,0.26610562120634546,0.07351303969473402
EKR000306052021,1|1,Tájékoztató DKM01OSUP21 szerinti közbeszerzésekről|Tájékoztató a DKM01OSUP21 keretmegállapodás alapján megvalósított közbeszerzésekről,Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,26698180241,Nem,Igen,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Meglévő Oracle licencek terméktámogatása (OSUP21),Szolgáltatás megrendelés,928109612.0,HUF,72261000-2,72260000-5|72266000-7|72261000-2,HU,Nem,Nem,Igen,Igen,Igen,,2022-03-31,1.0,Nem,Oracle Hungary Kft.,,HUN_1112_Budapest_Balatoni út 2. A. ép. 6. em,Nem,,HUF,928109612.0,HUF,Nem,,,Nem,Nem,Nincs adat,21963/2022,2022/S 206-588564,2022-10-26,Együttes tájékoztató eljárások eredményéről,-209 days,58969,Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,Oracle Hungary Kft.,False,0.002725887951066407,0.003819352499218347,8,0.009950248756218905,0.20616097594220678,0.013426725414146093,0.05389336875760452,0.01894276996449091,6,0.05472636815920398,0.26610562120634546,0.07351303969473402
EKR001237232022,1,Vagyon és felelősségbiztosítás,Nagykanizsa Megyei Jogú Város Önkormányzata,15734446220,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Biztosítási szolgáltatások beszerzése ,Szolgáltatás megrendelés,23393539.0,HUF,66000000-0,66000000-0,HU223,Nem,Nem,Igen,Nem,Igen,,2022-10-21,1.0,Nem,Generali Biztosító Zrt.,"10308024444,17780058",HUN_1066_Budapest_Teréz Körút 42-44.,Nem,,HUF,23393539.0,HUF,Nem,,nem,Nem,Nem,Nincs adat,23202/2022,,2022-10-26,Tájékoztató az eljárás eredményéről,-5 days,70529,Nagykanizsa Megyei Jogú Város Önkormányzata,Generali Biztosító Zrt.,False,0.0,0.0022426982785919525,4,0.004975124378109453,0.21881706170279458,0.03404764974170081,0.17038917996499095,0.052935326925283445,4,0.14925373134328357,0.29768738723962607,0.24686736620414446
EKR001100752022,,,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,10644371244,Nem,Nem,U - Egyéb típus:,KL - Gazdasági és pénzügyek,Uniós eljárásrend,Nyílt eljárás,Vezető tisztségviselők felelősségbiztosítása,Szolgáltatás megrendelés,40000000.0,HUF,66516000-0,66516000-0,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-13,1.0,Nem,Allianz Hungária Zrt.,"10337587444,HU17780089",HUN_1087_Budapest_Könyves Kálmán krt.  48-52.,Nem,,HUF,40000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22495/2022,2022/S 204-581565,2022-10-23,Tájékoztató az eljárás eredményéről,-10 days,70316,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,Allianz Hungária Zrt.,False,0.004312305681022066,0.0035849337681169717,6,0.009950248756218905,0.2339339571572191,0.04546076312099609,0.13624792574161443,0.042151243917582,7,0.12935323383084577,0.3043769914472581,0.25610642874345013
EKR000349602021,,,MÁV-HÉV Helyiérdekű Vasút Zártkörűen Működő Részvénytársaság,25776005244,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Takarítás és egyéb kapcs. szolg. teljesítése,Szolgáltatás megrendelés,1997000000.0,HUF,90900000-6,90900000-6,HU1,Igen,Nem,Igen,Nem,Igen,,2022-09-30,2.0,Nem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.","23480874205,HU23480874",HUN_3644_Tardona_Katus Domb 1.,Nem,1997000000.0,HUF,1997000000.0,HUF,Nem,,,Igen,Nem,Nem,21912/2022,2022/S 204-582988,2022-10-23,Tájékoztató az eljárás eredményéről,-23 days,12415,MÁV-HÉV Helyiérdekű Vasút Zártkörűen Működő Részvénytársaság,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",False,0.0035524701668165266,0.003571030370951666,7,0.009950248756218905,0.24317371848120262,0.07171682423275264,0.1658708362764741,0.05287706711802814,2,0.15422885572139303,0.3016653924143204,0.26388522870636083
EKR000080532022,,,VOLÁNBUSZ Közlekedési Zártkörűen Működő Részvénytársaság,10824346244,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,VOLÁNBUSZ Forgalmi és értékesítési szakrendszerek,Szolgáltatás megrendelés,537698320.0,HUF,72260000-5,72500000-0|72260000-5,HU110,Igen,Nem,Igen,Nem,Igen,,2022-08-30,1.0,Nem,T-Systems Magyarország Zártkörűen Működő Részvénytársaság,"12928099244,HU12928099,01-10-044852",HUN_1097_Budapest_Könyves Kálmán Körút 36.,Nem,,HUF,537698320.0,HUF,Igen,4iG Nyrt. (1037 Budapest Montevideo u. 8.) adószám: 12011069-2-44,,Nem,Nem,Nem,20872/2022,2022/S 204-582987,2022-10-23,Tájékoztató az eljárás eredményéről,-54 days,20587,VOLÁNBUSZ Közlekedési Zártkörűen Működő Részvénytársaság,T-Systems Magyarország Zártkörűen Működő Részvénytársaság,False,0.007423668475239881,0.0035586354955283997,2,0.009950248756218905,0.25701662465660313,0.09384371142176527,0.20315670288327636,0.05462506853027912,6,0.1691542288557214,0.3232643465251309,0.4165416300040854
EKR001202702022,,,Budapesti Műszaki és Gazdaságtudományi Egyetem,17783305543,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Különféle biztosítási szolgáltatások nyújtása -BME,Szolgáltatás megrendelés,43683580.0,HUF,66510000-8,66510000-8,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-12,1.0,Nem,Generali Biztosító Zrt.,"10308024444,17780058",HUN_1066_Budapest_Teréz Körút 42-44.,Nem,,HUF,43683580.0,HUF,Nem,,,Nem,Nem,Nincs adat,22504/2022,,2022-10-17,Tájékoztató az eljárás eredményéről,-5 days,69622,Budapesti Műszaki és Gazdaságtudományi Egyetem,Generali Biztosító Zrt.,False,0.006166598500818669,0.0036661939629259784,0,0.009950248756218905,0.24761930748451527,0.06366184928237406,0.17038917996499095,0.052935326925283445,4,0.14925373134328357,0.29768738723962607,0.24686736620414446
