Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001530502019,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Hármas kvadrupól tömegspektrométer,Árubeszerzés,38995000.0,HUF,38433100-0,38433100-0,HU110,Igen,Nem,Igen,Nem,Igen,,2020-03-17,3.0,Nem,Per-Form Hungária Kereskedelmi és szolgáltató Korlátolt felelősségü társaság,12649774242,HUN_1142_Budapest_Ungvár Utca 43,Igen,,HUF,38995000.0,HUF,Nem,,,Nem,Nem,Nincs adat,5076/2020,2020/S 062-147819,2020-03-30,Tájékoztató az eljárás eredményéről,-13 days,7,Semmelweis Egyetem,Per-Form Hungária Kereskedelmi és szolgáltató Korlátolt felelősségü társaság
EKR001538472019,,,Debreceni Egyetem,15329750409,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-826M Vegyszerek és kitek beszerzése,Árubeszerzés,151738481.0,HUF,24000000-4,33696000-5,HU321,Igen,Nem,Igen,Nem,Igen,,2020-03-16,1.0,Nem,Diagon Diagnosztikai Korlátolt Felelősségű Társaság,"10831050241,HU10831050",HUN_1047_Budapest_Baross  Utca 48-52.,Igen,,HUF,151738481.0,HUF,Nem,,,Nem,Nem,Nincs adat,4993/2020,2020/S 060-143434,2020-03-26,Tájékoztató az eljárás eredményéről,-10 days,69,Debreceni Egyetem,Diagon Diagnosztikai Korlátolt Felelősségű Társaság
EKR001538782019,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Egészségügy,Uniós eljárásrend,Nyílt eljárás,"Műtőtönk, univ.asztallap, száll.kocsi, kieg. eszk.",Árubeszerzés,224002206.0,HUF,33192230-3,33192230-3,HU11,Nem,Nem,Igen,Nem,Igen,,2020-06-11,1.0,Nem,Mediszer Kórháztechnikai és Kereskedelmi Korlátolt Felelősségű Társaság,"10321056241,HU10321056",HUN_1037_Budapest_Bécsi Út 267.,Igen,,HUF,224002206.0,HUF,Nem,,,Nem,Nem,Nincs adat,10659/2020,2020/S 118-286050,2020-06-22,Tájékoztató az eljárás eredményéről,-11 days,70,Semmelweis Egyetem,Mediszer Kórháztechnikai és Kereskedelmi Korlátolt Felelősségű Társaság
EKR001547452019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Gázolaj beszerzése,Árubeszerzés,32319360000.0,HUF,09134000-7,09134000-7,HU,Nem,Nem,Igen,Nem,Igen,,2020-06-04,1.0,Nem,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,"10625790444,HU 17781774",HUN_1117_Budapest_Október huszonharmadika  Utca 18,Nem,44009280000.0,HUF,32319360000.0,HUF,Igen,MOLTRANS Tankautós Fuvarozó Kft. adószáma: 12181193-2-43 ;KLACSKA Ásványolajtermék Szállítási Kft. adószáma: 10760530243; WEST-BRIDGE  Kft. adószáma: 12060180-2-13; Rail Cargo Logistics-Hungaria Nemzetközi Szállítmányozásai Kft. adószáma: 10768741244,,Nem,Nem,Nincs adat,10264/2020,2020/S 119-290403,2020-06-24,Tájékoztató az eljárás eredményéről,-20 days,114,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság
EKR001547142019,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,C íves képerősítő (Trauma) beszerzése,Árubeszerzés,59600000.0,HUF,33111000-1,33111000-1,HU11,Igen,Nem,Igen,Nem,Igen,,2020-06-15,5.0,Nem,Diagnosticum Gyártó és Forgalmazó Zártkörűen Működő Részvénytársaság,"10824487241,HU10824487",HUN_1047_Budapest_Attila Utca 126,Igen,,HUF,59600000.0,HUF,Igen,"Siemens Healthcare Korlátolt Felelősségű Társaság, 25296826244","Siemens Healthcare Korlátolt Felelősségű Társaság, 25296826244, M.1)",Nem,Nem,Nincs adat,10754/2020,2020/S 119-288845,2020-06-23,Tájékoztató az eljárás eredményéről,-8 days,122,Semmelweis Egyetem,Diagnosticum Gyártó és Forgalmazó Zártkörűen Működő Részvénytársaság
EKR001549032019,,,Semmelweis Egyetem,15329808242,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Felsőkategóriás ultrahang készülék beszerzése,Árubeszerzés,31400000.0,HUF,33112200-0,33112200-0,HU110,Igen,Nem,Igen,Nem,Igen,,2020-03-25,1.0,Nem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,"24132880207,HU24132880",HUN_2400_Dunaújváros_Petőfi Sándor Utca 63.,Igen,33107876.0,HUF,31400000.0,HUF,Nem,,,Nem,Nem,Nincs adat,5860/2020,2020/S 068-161541,2020-04-08,Tájékoztató az eljárás eredményéről,-14 days,125,Semmelweis Egyetem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság
EKR001586462019,,,Budapest Közút Zártkörűen Működő Részvénytársaság,23501894244,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kiszolgálók beszerzése ,Árubeszerzés,18490586.0,HUF,48822000-6,48822000-6,HU110,Nem,Nem,Igen,Nem,Igen,,2020-02-25,5.0,Nem,SONIC Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság,"14364521241,HU14364521",HUN_1139_Budapest_Fáy Utca 20,Igen,,HUF,18490586.0,HUF,Nem,,,Nem,Nem,Nincs adat,4379/2020,,2020-03-15,Tájékoztató az eljárás eredményéről,-19 days,304,Budapest Közút Zártkörűen Működő Részvénytársaság,SONIC Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
EKR001576382019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,N - Közszolgáltató,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Speciális vegyipari és egyéb termékek beszerzése ,Árubeszerzés,21916670.0,HUF,39830000-9,39830000-9,HU11,Igen,Nem,Igen,Nem,Igen,,2020-04-28,4.0,Igen,RETECH SRO|RETECH SRO,25018205|25018205,CZE_285 02_Suchdol u Kutné Hory_Suchdol  212|CZE_285 02_Suchdol u Kutné Hory_Suchdol  212,Nem|Igen,,HUF,21916670.0,HUF,Nem,,,Nem,Nem,Nincs adat,8002/2020,,2020-05-10,Tájékoztató az eljárás eredményéről,-12 days,327,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,RETECH SRO|RETECH SRO
EKR001577622019,,,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,K1992 Földmunkagépekhez alkatrész beszerzése,Árubeszerzés,20000000.0,HUF,43200000-5,43200000-5,HU11|HU12,Igen,Nem,Igen,Nem,Igen,,2020-04-30,1.0,Nem,Kommunál-Part Kft,"25066595213,HU25066595",HUN_2315_Szigethalom_Táncsics Mihály Utca 27,Igen,20000000.0,HUF,20000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,7889/2020,2020/S 089-212288,2020-05-11,Tájékoztató az eljárás eredményéről,-11 days,335,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Kommunál-Part Kft
EKR001582372019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Villamos váltóállító alkatrészek beszerzése,Árubeszerzés,55607697.0,HUF,34941000-5,34941000-5,HU11,Igen,Nem,Igen,Nem,Igen,,2020-04-08,1.0,Nem,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság,"10655436210,HU10655436",HUN_3200_Gyöngyös_Gyártelep Utca 1,Nem,63800000.0,HUF,55607697.0,HUF,Nem,,,Nem,Nem,Nincs adat,6745/2020,2020/S 078-185176,2020-04-22,Tájékoztató az eljárás eredményéről,-14 days,371,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság
