Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Issuer,10941362244,0,-0.0029172674,0.28871366,-0.79517245,0.7400077,3.266589,53,0.10074504542999764,0.0014308256242765202,0.02565315348195032,0.06317044100119189,0.25524794645573473,0.33575723,-1.1920929e-07
Ifotech Clean Kereskedelmi és Szolgáltató Kft.,Winner,22665126211,0,-0.016881172,0.26865846,-0.78083324,0.6595752,3.045518,53,0.0,8.441096687496422e-05,0.000590295188126759,0.0011918951132300357,0.2033939393939394,0.34309134,0.0
MÁV-START Vasúti Személyszállító Zrt.,Issuer,13834492244,1,-0.00040435512,0.25366354,-0.61508214,0.60677296,2.869879,49,0.09352356939436689,0.0034706937595344965,0.024742571771252615,0.06555423122765196,0.28450322143099355,0.33094582,0.0
MOVILL Jármű és Alkatrész Javító és Gyártó Kft.,Winner,"12106189242,HU12106189",1,-0.004498195,0.23157513,-0.6472551,0.651576,2.6204681,49,0.0019173542605182795,0.001366266644738011,0.0009529647465166887,0.0023837902264600714,0.27753886867350314,0.33790097,-5.9604645e-08
Debreceni Egyetem,Issuer,19308667409,2,0.0027766286,0.18613261,-0.4377851,0.41752517,2.1060843,77,0.2758769958033086,0.43887852309693215,0.060280542964895475,0.2073897497020262,0.36241900647948166,0.39961696,0.0
MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"24132880207,HU24132880",3,0.027551666,0.18092415,-0.5174867,0.47936937,2.070521,70,0.0015386361644751908,0.05922906772656527,0.0010527162127090609,0.003575685339690107,0.2924363889857093,0.4287084,-1.1920929e-07
Nemzeti Adó-és Vámhivatal,Issuer,15789934251,4,0.014038743,0.2072738,-0.4382111,0.57365525,2.350408,42,0.08871629191957854,0.0320945972975645,0.018534699712981547,0.05601907032181168,0.3428688189619943,0.31620574,-2.3841858e-07
ANY Biztonsági Nyomda Nyrt.,Winner,"10793509244,HU10793509,01-10-042030",4,0.00037906226,0.23275626,-0.5415824,0.52555275,2.6333401,42,0.003038966747685438,0.00209815965997759,0.0008967377750394046,0.0023837902264600714,0.26711238459089465,0.3088594,-1.1920929e-07
GTKB Ganz Transelektro Közlekedési Berendezéseket Gyártó Kft.,Winner,14006016242,1,-0.013516743,0.22632404,-0.6588501,0.68254864,2.5651267,49,0.005326109253389317,0.001961751217858105,0.0013439294009914768,0.003575685339690107,0.28644588596790715,0.3252187,0.0
Limegift Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,Winner,"25734100213,HU25734100",0,-0.012407813,0.2981868,-0.78523797,0.8007389,3.3765182,53,0.0,8.441096687496422e-05,0.000590295188126759,0.0011918951132300357,0.2033939393939394,0.34429756,1.1920929e-07
