Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001006742022,,,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,N - Közjogi szervezet,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),K22135 - Graffiti mentesítő vegyszer beszerzése,Árubeszerzés,19685039.0,HUF,24950000-8,24950000-8,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-27,2.0,Nem,Ifotech Clean Kereskedelmi és Szolgáltató Kft.,22665126211,HUN_2832_Héreg_Iskola Út ,Igen,,HUF,19685039.0,HUF,Nem,,,Nem,Nem,Nincs adat,23597/2022,,2022-11-08,Tájékoztató az eljárás eredményéről,-12 days,23686,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Ifotech Clean Kereskedelmi és Szolgáltató Kft.,False,0.10074504542999764,0.02565315348195032,0,0.06317044100119189,0.25524794645573473,0.0014308256242765202,0.0,0.000590295188126759,0,0.0011918951132300357,0.2033939393939394,8.441096687496422e-05
EKR001070352021,5,Klímaköri vezérlőkártyák,MÁV-START Vasúti Személyszállító Zrt.,13834492244,Nem,Nem,N - Közszolgáltató,KO - Vasúti szolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Hirdetménnyel induló tárgyalásos eljárás,Utastéri klíma alkatrészek beszerzése,Árubeszerzés,92389841.0,HUF,42512500-3,42512500-3,HU110|HU322,Nem,Nem,Igen,Nem,Igen,,2022-10-27,1.0,Nem,MOVILL Jármű és Alkatrész Javító és Gyártó Kft.,"12106189242,HU12106189",HUN_1145_Budapest_Erzsébet királyné Útja 15.,Igen,33874732.0,HUF,33874732.0,HUF,Nem,,,Nem,Nem,Nem,23674/2022,,2022-11-07,Tájékoztató az eljárás eredményéről,-11 days,16908,MÁV-START Vasúti Személyszállító Zrt.,MOVILL Jármű és Alkatrész Javító és Gyártó Kft.,False,0.09352356939436689,0.024742571771252615,1,0.06555423122765196,0.28450322143099355,0.0034706937595344965,0.0019173542605182795,0.0009529647465166887,1,0.0023837902264600714,0.27753886867350314,0.001366266644738011
EKR001027172022,2,"UH diagn.kész.,meddőségi és andrológiai ellátás",Debreceni Egyetem,19308667409,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-1146 Szül.-nőgy. ultrahang készülékek besz.,Árubeszerzés,36210000.0,HUF,33112200-0,33112200-0,HU321,Nem,Nem,Igen,Nem,Igen,,2022-10-20,7.0,Nem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,"24132880207,HU24132880",HUN_2400_Dunaújváros_Petőfi Sándor Utca 63.,Igen,,HUF,6574000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23298/2022,2022/S 214-614173,2022-11-06,Tájékoztató az eljárás eredményéről,-17 days,70870,Debreceni Egyetem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,False,0.2758769958033086,0.060280542964895475,2,0.2073897497020262,0.36241900647948166,0.43887852309693215,0.0015386361644751908,0.0010527162127090609,3,0.003575685339690107,0.2924363889857093,0.05922906772656527
EKR000830122022,,,Nemzeti Adó-és Vámhivatal,15789934251,Nem,Nem,N - Központi szintű,KL - Gazdasági és pénzügyek,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Megszemélyesített adóigazolványok beszerzése(2023),Árubeszerzés,23835000.0,HUF,22450000-9,22450000-9,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-27,2.0,Nem,ANY Biztonsági Nyomda Nyrt.,"10793509244,HU10793509,01-10-042030",HUN_1102_Budapest_Halom Utca 5.,Nem,56455000.0,HUF,23835000.0,HUF,Nem,,-,Nem,Nem,Nem,23590/2022,,2022-11-03,Tájékoztató az eljárás eredményéről,-7 days,70403,Nemzeti Adó- és Vámhivatal,ANY Biztonsági Nyomda Nyrt.,False,0.08871629191957854,0.018534699712981547,4,0.05601907032181168,0.3428688189619943,0.0320945972975645,0.003038966747685438,0.0008967377750394046,4,0.0023837902264600714,0.26711238459089465,0.00209815965997759
EKR000494452022,1,431-es  mozdony villamos erőátviteli alkatrészek,MÁV-START Vasúti Személyszállító Zrt.,13834492244,Nem,Nem,N - Közszolgáltató,KO - Vasúti szolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Mozdony villamos erőátviteli alkatrészek beszerzés,Árubeszerzés,105763021.0,HUF,34600000-3,34600000-3,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-27,1.0,Nem,GTKB Ganz Transelektro Közlekedési Berendezéseket Gyártó Kft.,14006016242,HUN_1071_Budapest_Városligeti  Fasor 47-49.,Igen,77056140.0,HUF,77056140.0,HUF,Nem,,,Nem,Nem,Nem,23673/2022,,2022-11-02,Tájékoztató az eljárás eredményéről,-6 days,68340,MÁV-START Vasúti Személyszállító Zrt.,GTKB Ganz Transelektro Közlekedési Berendezéseket Gyártó Kft.,False,0.09352356939436689,0.024742571771252615,1,0.06555423122765196,0.28450322143099355,0.0034706937595344965,0.005326109253389317,0.0013439294009914768,1,0.003575685339690107,0.28644588596790715,0.001961751217858105
EKR000908982022,,,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,10941362244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,K2299 Dolgozók évvégi ajándékcsomag beszerzése,Árubeszerzés,73467500.0,HUF,15897300-5,15897300-5,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-25,3.0,Nem,Limegift Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,"25734100213,HU25734100",HUN_2220_Vecsés_Dózsa György Út 86. / C,Igen,,HUF,73467500.0,HUF,Nem,,,Nem,Nem,Nincs adat,23419/2022,2022/S 210-602115,2022-11-02,Tájékoztató az eljárás eredményéről,-8 days,69834,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,Limegift Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság,False,0.10074504542999764,0.02565315348195032,0,0.06317044100119189,0.25524794645573473,0.0014308256242765202,0.0,0.000590295188126759,0,0.0011918951132300357,0.2033939393939394,8.441096687496422e-05
EKR001116432022,,,Debreceni Egyetem,19308667409,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,DEK-1156 Sejtszelekciós készülék beszerzése,Árubeszerzés,87000000.0,HUF,33100000-1,33100000-1,HU321,Nem,Nem,Igen,Nem,Igen,,2022-10-20,2.0,Nem,Frank Diagnosztika Korlátolt Felelősségű Társaság,"10429879241,HU10429879",HUN_1036_Budapest_Dereglye Utca 2.,Igen,,HUF,87000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23396/2022,2022/S 210-602003,2022-11-02,Tájékoztató az eljárás eredményéről,-13 days,23791,Debreceni Egyetem,Frank Diagnosztika Korlátolt Felelősségű Társaság,False,0.2758769958033086,0.060280542964895475,2,0.2073897497020262,0.36241900647948166,0.43887852309693215,0.0016170149384563159,0.00104950041272822,5,0.003575685339690107,0.29657122658183105,0.05177783696578395
EKR000235752022,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Mercedes buszokhoz kipufogó alkatrészek beszerzése,Árubeszerzés,319606053.0,HUF,34325200-3,34325200-3,HU11,Igen,Nem,Igen,Nem,Igen,,2022-10-21,5.0,Nem,AUTÓKER GAMMA Járműalkatrész-Kereskedelmi Korlátolt Felelősségű Társaság,"12515460213,HU12515460",HUN_2321_Szigetbecse_Makádi Út 155,Igen,361100000.0,HUF,319606053.0,HUF,Nem,,,Nem,Nem,Nincs adat,23302/2022,2022/S 210-605182,2022-11-02,Tájékoztató az eljárás eredményéről,-12 days,67509,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,AUTÓKER GAMMA Járműalkatrész-Kereskedelmi Korlátolt Felelősségű Társaság,False,0.24287711967792133,0.05157448410688462,6,0.133492252681764,0.36210617177384546,0.019688492745000827,0.0,0.000570281894378571,6,0.0011918951132300357,0.2659270998415214,0.0011615144995439758
EKR000353942022,,,Pécsi Tudományegyetem,19308681202,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Terheléses EKG rendszer beszerzése EFOP-4.2.1,Árubeszerzés,34340000.0,HUF,38900000-4,33190000-8|38900000-4,HU231,Igen,Nem,Igen,Igen,Igen,,2022-10-19,2.0,Nem,"""MSB-MET"" Metodikai- Szoftver- Biotechnológiai- Kutató és Fejlesztő Korlátolt Felelősségű Társaság","14146569219,14146569",HUN_8230_Balatonfüred_Lapostelki Utca 15,Igen,,HUF,34340000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22938/2022,2022/S 209-594980,2022-11-01,Tájékoztató az eljárás eredményéről,-13 days,21579,Pécsi Tudományegyetem,"""MSB-MET"" Metodikai- Szoftver- Biotechnológiai- Kutató és Fejlesztő Korlátolt Felelősségű Társaság",False,0.21429560908157083,0.049292969248984186,7,0.16567342073897495,0.3479883865615927,0.3052979762948742,0.0007141020821235678,0.0007750179390785917,7,0.0023837902264600714,0.2900103698582786,0.04390238528964772
EKR000823412021,5,Kapcsolódó erőátviteli alkatrészek,MÁV-START Vasúti Személyszállító Zrt.,13834492244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Vontatójármű MTU motor alkatrészeinek beszerzése,Árubeszerzés,132636795.0,HUF,34630000-2,34630000-2,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-19,1.0,Nem,B & F Kereskedelmi és Szolgáltató KFT.,"11137926208,HU11137926",HUN_9027_Győr_Puskás Tivadar Utca 8.,Igen,2388130.0,HUF,2388130.0,HUF,Nem,,,Nem,Nem,Nincs adat,23102/2022,2022/S 210-605150,2022-11-01,Tájékoztató az eljárás eredményéről,-13 days,62272,MÁV-START Vasúti Személyszállító Zrt.,B & F Kereskedelmi és Szolgáltató KFT.,False,0.09352356939436689,0.024742571771252615,1,0.06555423122765196,0.28450322143099355,0.0034706937595344965,0.0,0.0005612542807095462,1,0.0011918951132300357,0.2215473989965672,0.000204752145194035
