Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR000453172018,,,Magyar Bányászati és Földtani Szolgálat,15300083242,Nem,Nem,N - Központi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Villamos energia beszerzése az MBFSZ részére 2018.,Árubeszerzés,20983629.0,HUF,09310000-5,09310000-5,HU110|HU322|HU311|HU231|HU232|HU213|HU120,Nem,Nem,Igen,Nem,Igen,,2018-11-30,4.0,Nem,MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság,"12898019244,HU 12898019",HUN_1031_Budapest_Szentendrei Út 207-209. ,Nem,,HUF,20983629.0,HUF,Nem,,,Nem,Nem,Nincs adat,22585/2018,,2018-12-05,Tájékoztató az eljárás eredményéről,-5 days,14,Magyar Bányászati és Földtani Szolgálat,MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság
EKR001539192019,,,Magyar Bányászati és Földtani Szolgálat,15300083242,Nem,Nem,N - Központi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Villamos energia beszerzése az MBFSZ részére,Árubeszerzés,15020463.0,HUF,09310000-5,09310000-5,HU110|HU311|HU322|HU232|HU231|HU213|HU120,Nem,Nem,Igen,Nem,Igen,,2020-03-03,3.0,Nem,NKM Energia Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,15020463.0,HUF,Nem,,,Nem,Nem,Nincs adat,6518/2020,,2020-05-03,Tájékoztató az eljárás eredményéről,-61 days,72,Magyar Bányászati és Földtani Szolgálat,NKM Energia Zrt.
EKR001545872019,,,DUNAKESZI TANKERÜLETI KÖZPONT,15835066213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Dunakeszi TK - villamos energia,Árubeszerzés,78840450.0,HUF,09310000-5,09310000-5,HUZZ,Nem,Nem,Igen,Nem,Igen,,2020-04-14,5.0,Nem,E.ON Energiakereskedelmi Korlátolt Felelősségű Társaság ,"24765648244,HU24765648,01-09-181155",HUN_1134_Budapest_Váci Út 17.,Nem,,HUF,78840450.0,HUF,Nem,,,Nem,Nem,Nincs adat,6944/2020,2020/S 078-184087,2020-04-23,Tájékoztató az eljárás eredményéről,-9 days,109,DUNAKESZI TANKERÜLETI KÖZPONT,E.ON Energiakereskedelmi Korlátolt Felelősségű Társaság 
EKR001554162019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Gépjárművek tartós bérlet keretében történő besz.,Árubeszerzés,101369491.0,HUF,34110000-1,34110000-1,HU110,Igen,Nem,Igen,Nem,Igen,,2020-06-08,2.0,Nem,Mercarius Flottakezelő Korlátolt Felelősségű Társaság,"12238673242,HU12238673",HUN_1142_Budapest_Komáromi út Út  36-38.,Igen,90000000.0,HUF,101369491.0,HUF,Nem,,,Nem,Nem,Nincs adat,10731/2020,2020/S 119-289152,2020-06-24,Tájékoztató az eljárás eredményéről,-16 days,155,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Mercarius Flottakezelő Korlátolt Felelősségű Társaság
EKR001568262019,,,KALOCSAI VAGYONHASZNOSÍTÁSI és KÖNYVVEZETŐ Nonprofit Korlátolt Felelősségű Társaság,23900774203,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Villamos energia beszerzése a 2020. évre,Árubeszerzés,28773948.0,HUF,09310000-5,09310000-5,HU331,Nem,Nem,Igen,Nem,Igen,,2019-12-31,1.0,Nem,MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság,"12898019244,HU 12898019",HUN_1031_Budapest_Szentendrei Út 207-209.,Nem,,HUF,28773948.0,HUF,Nem,,,Nem,Nem,Nincs adat,0751/2020,,2020-01-27,Tájékoztató az eljárás eredményéről,-27 days,277,KALOCSAI VAGYONHASZNOSÍTÁSI és KÖNYVVEZETŐ Nonprofit Korlátolt Felelősségű Társaság,MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság
EKR001583782019,,,Kiskunhalasi Szakképzési Centrum,15832025203,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Informatikai eszközök ,Árubeszerzés,654000.0,HUF,42000000-6,30000000-9,HU331,Igen,Nem,Igen,Igen,Igen,,2020-03-20,10.0,Nem,ETIAM Korlátolt Felelősségű Társaság,"24909707206,HU24909707",HUN_6726_Szeged_Vellay Imre Utca 39.,Igen,,HUF,654000.0,HUF,Nem,,,Nem,Nem,Nincs adat,5363/2020,,2020-03-25,Tájékoztató az eljárás eredményéről,-5 days,374,Kiskunhalasi Szakképzési Centrum,ETIAM Korlátolt Felelősségű Társaság
EKR001602382019,,,Legfőbb Ügyészség,15300148241,Nem,Nem,U - Egyéb típus:,KL - Közrend és biztonság,Uniós eljárásrend,Nyílt eljárás,Munkaállomások cseréje,Árubeszerzés,131693800.0,HUF,30213000-5,30213300-8,HU,Igen,Nem,Igen,Nem,Igen,,2020-03-12,4.0,Nem,T-Systems Magyarország Zártkörűen Működő Részvénytársaság,"12928099244,HU12928099,01-10-044852",HUN_1097_Budapest_Könyves Kálmán Körút 36.,Nem,,HUF,131693800.0,HUF,Nem,,,Nem,Nem,Nincs adat,4725/2020,2020/S 056-132561,2020-03-22,Tájékoztató az eljárás eredményéről,-10 days,494,Legfőbb Ügyészség,T-Systems Magyarország Zártkörűen Működő Részvénytársaság
EKR001621512019,,,Budapest Főváros II. Kerületi Önkormányzat|Bolyai Utcai  Óvoda|Völgy utcai Ökumenikus Óvoda|II. kerületi  Egyesített Bölcsődék|Szemlőhegy Utcai Óvoda|II. Számú Gondozási Központ|Értelmi Fogyatékosok Nappali Otthona|Községház Utcai Óvoda|Kolozsvár utcai Óvoda|Budapest II. kerületi Polgármesteri Hivatal|Hűvösvölgyi Gesztenyéskert Óvoda|II. Kerületi Sport és Szabadidősport Nonprofit Kft.|I. Számú  Gondozási Központ|II. Kerületi Kulturális Közhasznú Nonprofit Kft.|Százszorszép Óvoda|II. kerületi Városfejlesztő és Beruházás-szervező Zrt.|Budakeszi úti óvoda|Család-és Gyermekjóléti Központ|Virág Árok Óvoda|Törökvész úti Kézműves Óvoda|Budapest Főváros II. kerületi Önkormányzat Egészségügyi Szolgálata|Kitaibel Pál utcai óvoda|Pitypang utcai Óvoda|III. Számú Gondozási Központ,15735650241|16925012241|15826374241|16924987241|16925029241|16925294241|16925311241|16925074241|16925081241|15502003241|16925098241|25149724241|16925287241|24065924241|16925050241|14821888241|16924994241|16925328241|16925108241|16925043241|15502168241|16925067241|16925005241|16925304241,Igen,Nem,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Összönkormányzati_villamos_energia_beszerzés_2019,Árubeszerzés,35717942.0,HUF,09310000-5,09310000-5,HU110,Nem,Nem,Igen,Nem,Igen,,2020-02-21,4.0,Nem,NKM Energia Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,35717942.0,HUF,Nem,,,Nem,Nem,Nincs adat,3876/2020,2020/S 058-138523,2020-03-23,Tájékoztató az eljárás eredményéről,-31 days,675,Budapest Főváros II. Kerületi Önkormányzat|Bolyai Utcai  Óvoda|Völgy utcai Ökumenikus Óvoda|II. kerületi  Egyesített Bölcsődék|Szemlőhegy Utcai Óvoda|II. Számú Gondozási Központ|Értelmi Fogyatékosok Nappali Otthona|Községház Utcai Óvoda|Kolozsvár utcai Óvoda|Budapest II. kerületi Polgármesteri Hivatal|Hűvösvölgyi Gesztenyéskert Óvoda|II. Kerületi Sport és Szabadidősport Nonprofit Kft.|I. Számú  Gondozási Központ|II. Kerületi Kulturális Közhasznú Nonprofit Kft.|Százszorszép Óvoda|II. kerületi Városfejlesztő és Beruházás-szervező Zrt.|Budakeszi úti óvoda|Család-és Gyermekjóléti Központ|Virág Árok Óvoda|Törökvész úti Kézműves Óvoda|Budapest Főváros II. kerületi Önkormányzat Egészségügyi Szolgálata|Kitaibel Pál utcai óvoda|Pitypang utcai Óvoda|III. Számú Gondozási Központ,NKM Energia Zrt.
EKR001636952019,,,IdomSoft Informatikai Zártkörűen Működő Részvénytársaság,23083185241,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,EES projekthez kapcsolódóan szükséges eszközök,Árubeszerzés,48196800.0,HUF,30200000-1,30200000-1,HU32,Nem,Nem,Igen,Nem,Igen,,2020-05-22,3.0,Nem,ETIAM Korlátolt Felelősségű Társaság,"24909707206,HU24909707",HUN_6726_Szeged_Vellay Imre Utca 39.,Igen,,HUF,48196800.0,HUF,Nem,,,Nem,Nem,Nincs adat,9493/2020,,2020-06-01,Tájékoztató az eljárás eredményéről,-10 days,754,IdomSoft Informatikai Zártkörűen Működő Részvénytársaság,ETIAM Korlátolt Felelősségű Társaság
EKR000475082018,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Villamos energia beszerzése,Árubeszerzés,7236674000.0,HUF,09310000-5,09310000-5,HU110,Nem,Nem,Igen,Nem,Igen,,2018-12-28,3.0,Nem,ELMŰ-ÉMÁSZ Energiakereskedő Korlátolt Felelősségű Társaság,"12928130244,HU12928130",HUN_1132_Budapest_Váci út 72-74. ,Nem,6597500000.0,HUF,7236674000.0,HUF,Nem,,,Nem,Nem,Nincs adat,0552/2019,2019/S 012-025132,2019-01-17,Tájékoztató az eljárás eredményéről,-20 days,923,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,ELMŰ-ÉMÁSZ Energiakereskedő Korlátolt Felelősségű Társaság
