Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Budapest Főváros VII. kerület Erzsébetvárosi Polgármesteri Hivatal|Erzsébetvárosi Brunszvik Óvoda|Erzsébetvárosi Magonc Óvoda|Erzsébetvárosi Dob Óvoda|Erzsébetvárosi Csicsergő Óvoda|Erzsébetvárosi Nefelejcs Óvoda|Erzsébetvárosi Bóbita Óvoda|Erzsébetvárosi Kópévár Óvoda,Issuer,15507008242|16927791142|16927818142|16927863142|16927856142|16927870142|16927849142|16927887142,0,0.021721162,0.2328812,-0.5895229,0.5129837,2.6461856,52,0.0,0.00241575662223655,0.0005672516679347209,0.0013477088948787063,0.24774624373956594,0.3012806,-5.9604645e-08
PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12933086205,HU12933086",0,0.034753162,0.22604662,-0.5496598,0.51713306,2.5874739,52,0.05809889130627078,0.03690156622740624,0.0154858249829713,0.04851752021563342,0.32919254658385094,0.28917885,0.0
Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,Issuer,10898824244,1,-0.008545703,0.16723375,-0.36182502,0.43120795,1.8945026,89,0.0,0.02681211399223503,0.0005700063519952306,0.0013477088948787063,0.2803173403853419,0.37546247,1.1920929e-07
MVM Next Energiakereskedelmi Zrt.,Winner,"26713111244,HU26713111",1,-0.005295387,0.1755811,-0.45633182,0.51554424,1.9873766,89,0.27571922659214126,0.40956485064499193,0.06631057600507506,0.20619946091644206,0.38929695697796435,0.35935223,-1.1920929e-07
HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,Issuer,13851325444,0,0.03852949,0.18461259,-0.56347615,0.52219856,2.1336565,52,0.021409036046782556,0.07922254981452335,0.0020525835476529744,0.006738544474393531,0.3524940617577197,0.2811024,1.1920929e-07
Budapest Gyógyfürdői és Hévizei Zrt.,Issuer,12165814244,0,0.013051663,0.20220509,-0.4392502,0.5240912,2.2924502,52,0.0033577135192979527,0.03161213308147936,0.0012923037050705539,0.004043126684636119,0.29109454688112985,0.29806417,0.0
Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,Issuer,14192247143,1,-0.010311137,0.17197482,-0.4154704,0.42886746,1.9491673,89,0.0,0.02681211399223503,0.0005700063519952306,0.0013477088948787063,0.2803173403853419,0.38493344,-2.9802322e-07
SZENT PANTALEON KÓRHÁZ - RENDELŐINTÉZET DUNAÚJVÁROS,Issuer,15791942207,3,0.011766629,0.26611748,-0.66846853,0.74591684,3.0137172,34,0.0,0.0012125098716477686,0.0006296205579622572,0.0013477088948787063,0.2474158052684228,0.30875126,1.1920929e-07
HARTMANN-RICO Hungária Kft.,Winner,"12278923213,HU12278923",3,0.043231186,0.26157033,-0.5332154,0.7457391,2.999477,34,0.07059898014848033,0.018521531895280403,0.017120272543785193,0.04582210242587601,0.32860938883968116,0.30352488,1.1920929e-07
Magyar Energetikai és Közmű-szabályozási Hivatal,Issuer,15814160241,4,-0.01660162,0.19485554,-0.5233748,0.52802247,2.2125256,84,0.006416703595953155,0.053030720979655735,0.0016625618473920254,0.005390835579514825,0.3156103785623139,0.2937079,-5.9604645e-08
