Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR000531872022,,,Budapest Főváros VII. kerület Erzsébetvárosi Polgármesteri Hivatal|Erzsébetvárosi Brunszvik Óvoda|Erzsébetvárosi Magonc Óvoda|Erzsébetvárosi Dob Óvoda|Erzsébetvárosi Csicsergő Óvoda|Erzsébetvárosi Nefelejcs Óvoda|Erzsébetvárosi Bóbita Óvoda|Erzsébetvárosi Kópévár Óvoda,15507008242|16927791142|16927818142|16927863142|16927856142|16927870142|16927849142|16927887142,Igen,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Tisztítószer beszerzés,Árubeszerzés,42000000.0,HUF,39830000-9,39830000-9,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-27,3.0,Nem,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,"12933086205,HU12933086",HUN_3531_Miskolc_Kiss Ernő Utca 35/A.,Igen,42000000.0,HUF,42000000.0,HUF,Nem,,-,Nem,Nem,Nincs adat,24041/2022,,2022-11-08,Tájékoztató az eljárás eredményéről,-12 days,68529,Budapest Főváros VII. kerület Erzsébetvárosi Polgármesteri Hivatal|Erzsébetvárosi Brunszvik Óvoda|Erzsébetvárosi Magonc Óvoda|Erzsébetvárosi Dob Óvoda|Erzsébetvárosi Csicsergő Óvoda|Erzsébetvárosi Nefelejcs Óvoda|Erzsébetvárosi Bóbita Óvoda|Erzsébetvárosi Kópévár Óvoda,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,False,0.0,0.0005672516679347209,0,0.0013477088948787063,0.24774624373956594,0.00241575662223655,0.05809889130627078,0.0154858249829713,0,0.04851752021563342,0.32919254658385094,0.03690156622740624
EKR001705812022,,,Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,10898824244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Meghívásos eljárás,Földgáz energia beszerzés 2022-23 gázévre,Árubeszerzés,868562083.0,HUF,09123000-7,09123000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-27,2.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20 ,Nem,,HUF,868562083.0,HUF,Igen,,,Nem,Nem,Nincs adat,23738/2022,2022/S 215-617046,2022-11-07,Tájékoztató az eljárás eredményéről,-11 days,24630,Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0005700063519952306,1,0.0013477088948787063,0.2803173403853419,0.02681211399223503,0.27571922659214126,0.06631057600507506,1,0.20619946091644206,0.38929695697796435,0.40956485064499193
EKR001233832022,,,HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,13851325444,Nem,Nem,,KO - Repülőtéri tevékenységek,Uniós eljárásrend,Nyílt eljárás,„Villamos energia beszerzés 2023.”,Árubeszerzés,1680000000.0,HUF,09310000-5,09310000-5,HU,Nem,Nem,Igen,Nem,Igen,,2022-10-20,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,850000000.0,HUF,1680000000.0,HUF,Nem,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.; 26332392-2-44)",,Nem,Nem,Nincs adat,23476/2022,2022/S 214-615635,2022-11-06,Tájékoztató az eljárás eredményéről,-17 days,71409,HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,MVM Next Energiakereskedelmi Zrt.,False,0.021409036046782556,0.0020525835476529744,0,0.006738544474393531,0.3524940617577197,0.07922254981452335,0.27571922659214126,0.06631057600507506,1,0.20619946091644206,0.38929695697796435,0.40956485064499193
EKR001203282022,,,Budapest Gyógyfürdői és Hévizei Zrt.,12165814244,Nem,Nem,N - Regionális/helyi szintű,"KL - Szabadidő, kultúra és vallás",Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Takarítóeszköz közbeszerzés - 2022,Árubeszerzés,40000000.0,HUF,39000000-2,39224300-1|39224320-7|39000000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-11-02,3.0,Nem,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,"12933086205,HU12933086",HUN_3531_Miskolc_Kiss Ernő Utca 35/A.,Igen,39143475.0,HUF,40000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,23902/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-4 days,24046,Budapest Gyógyfürdői és Hévizei Zrt.,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,False,0.0033577135192979527,0.0012923037050705539,0,0.004043126684636119,0.29109454688112985,0.03161213308147936,0.05809889130627078,0.0154858249829713,0,0.04851752021563342,0.32919254658385094,0.03690156622740624
EKR001397802022,,,Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,14192247143,Nem,Nem,N - Regionális/helyi szintű,KL - Egészségügy,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Vezetékes földgázbeszerzés_2022.11.01-2023.05.01. ,Árubeszerzés,49327082.0,HUF,09121200-5,09121200-5,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-28,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,49327082.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.); 26332392-2-44",,Nem,Nem,Nincs adat,23860/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-9 days,24281,Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0005700063519952306,1,0.0013477088948787063,0.2803173403853419,0.02681211399223503,0.27571922659214126,0.06631057600507506,1,0.20619946091644206,0.38929695697796435,0.40956485064499193
EKR001066322022,2,Betegalátétek (harántlepedő),SZENT PANTALEON KÓRHÁZ - RENDELŐINTÉZET DUNAÚJVÁROS,15791942207,Nem,Nem,U - Egyéb típus:,KL - Egészségügy,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Inkontinencia termékek beszerzése,Árubeszerzés,5837496.0,HUF,33141621-9,33141621-9,HU211,Nem,Nem,Igen,Nem,Igen,,2022-10-26,2.0,Nem,HARTMANN-RICO Hungária Kft.,"12278923213,HU12278923","HUN_2051_Biatorbágy, Budapark_Paul Hartmann Utca 8.",Nem,,HUF,3467520.0,HUF,Nem,,,Nem,Nem,Nincs adat,23465/2022,,2022-11-01,Tájékoztató az eljárás eredményéről,-6 days,70269,SZENT PANTALEON KÓRHÁZ - RENDELŐINTÉZET DUNAÚJVÁROS,HARTMANN-RICO Hungaria Kft.,False,0.0,0.0006296205579622572,3,0.0013477088948787063,0.2474158052684228,0.0012125098716477686,0.07059898014848033,0.017120272543785193,3,0.04582210242587601,0.32860938883968116,0.018521531895280403
EKR001136522022,,,Magyar Energetikai és Közmű-szabályozási Hivatal,15814160241,Nem,Nem,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Földgázellátás a 2022/2023 gázévre,Árubeszerzés,171970993.0,HUF,09123000-7,09123000-7,HU110,Nem,Nem,Igen,Nem,Igen,,2022-09-30,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,56350795.0,HUF,171970993.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.; adószám: 26332392-2-44)",A gazdasági szereplő kapacitást biztosító szervezetet nem kíván igénybe venni.,Nem,Nem,Nem,21763/2022,2022/S 207-590597,2022-10-27,Tájékoztató az eljárás eredményéről,-27 days,23887,Magyar Energetikai és Közmű-szabályozási Hivatal,MVM Next Energiakereskedelmi Zrt.,False,0.006416703595953155,0.0016625618473920254,4,0.005390835579514825,0.3156103785623139,0.053030720979655735,0.27571922659214126,0.06631057600507506,1,0.20619946091644206,0.38929695697796435,0.40956485064499193
EKR001095252022,,,Kazincbarcikai Tankerületi Központ,15835190205,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Tisztítószerek szállítása keretszerződés keretében,Árubeszerzés,29528210.0,HUF,39830000-9,39830000-9|39224000-8,HU311,Igen,Nem,Igen,Nem,Igen,,2022-10-20,3.0,Nem,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,"12933086205,HU12933086",HUN_3531_Miskolc_Kiss Ernő Utca 35/A.,Igen,,HUF,29528210.0,HUF,Nem,,nem,Nem,Nem,Nincs adat,23261/2022,,2022-10-27,Tájékoztató az eljárás eredményéről,-7 days,23774,Kazincbarcikai Tankerületi Központ,PROFIL-COPY 2002 Irodatechnikai Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság,False,0.0028679779538549883,0.0009601757633439684,0,0.0026954177897574125,0.26080843585237257,0.0048233709273963225,0.05809889130627078,0.0154858249829713,0,0.04851752021563342,0.32919254658385094,0.03690156622740624
EKR000888352022,3,Játékok beszerzése,Noszvaj Községi Önkormányzat,15729318210,Nem,Nem,N - Regionális/helyi szintű,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Bölcsődei eszközök beszerzése,Árubeszerzés,22984700.0,HUF,39100000-3,37513000-7|37510000-6|37524100-8|37524000-7|37523000-0|37522000-3|37520000-9,HU312,Nem,Nem,Igen,Igen,Igen,,2022-10-20,2.0,Nem,Balázs-Diák Kft.,"13446976241,HU13446976",HUN_1138_Budapest_Szekszárdi Utca 12/A,Igen,,HUF,3136400.0,HUF,Nem,,-,Nem,Nem,Nincs adat,23383/2022,,2022-10-27,Tájékoztató az eljárás eredményéről,-7 days,23359,Noszvaj Községi Önkormányzat,Balázs-Diák Kft.,False,0.0,0.0005948083484375113,5,0.0013477088948787063,0.24051863857374392,0.002407614305159772,0.07508097165482962,0.01989099605132491,5,0.05795148247978437,0.3165529010238908,0.03677718935513089
EKR000971942022,2,Konyhai felszerelések,Ipoly-Völgye Korlátolt Felelősségű Európai Területi Társulás,30424955112,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"Konyhai kisgépek, felszerelések valamint kisbuszok",Árubeszerzés,16606190.0,HUF,39711200-1,39220000-0,HU313|SK03,Nem,Nem,Igen,Igen,Igen,,2022-10-14,3.0,Nem,Balázs-Diák Kft.,"13446976241,HU13446976",HUN_1138_Budapest_Szekszárdi Utca 12/A,Igen,,HUF,8364860.0,HUF,Nem,,,Nem,Nem,Nincs adat,22614/2022,2022/S 207-590598,2022-10-27,Tájékoztató az eljárás eredményéről,-13 days,23573,Ipoly-Völgye Korlátolt Felelősségű Európai Területi Társulás,Balázs-Diák Kft.,False,0.0,0.0005948083484375113,5,0.0013477088948787063,0.24051863857374392,0.002407614305159772,0.07508097165482962,0.01989099605132491,5,0.05795148247978437,0.3165529010238908,0.03677718935513089
