Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001531392019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tanuszoda kivitelezése Mosonmagyaróváron,Építési beruházás,788155483.0,HUF,45000000-7,45232100-3|45231400-9|45231300-8|45231220-3|71320000-7|45212200-8,HU221,Igen,Nem,Igen,Nem,Igen,,2020-12-02,4.0,Igen,Falcon Global Zártkörűen Működő Részvénytársaság|OCTOPUS Invest Szolgáltató Korlátolt Felelősségű Társaság,"26739919243|12525689241,HU12525689",HUN_1091_Budapest_Ifjúmunkás Utca 14. I. lph. 2/8.|HUN_1091_Budapest_Ifjúmunkás Utca 14.1.lház.2.em.8.,Igen|Igen,,HUF,788155483.0,HUF,Igen,"3C Computers and Communivations Consultans (adószám: 10478495-2-43): M2) 4.; Genitor Hungary Kft. (adószám: 26128917-2-42): M1) b); ZIB Komplex Kft. (adószám: 23297106-2-02): M1) a), P1)","3C Computers and Communivations Consultans (adószám: 10478495-2-43): M2) 4.; Genitor Hungary Kft. (adószám: 26128917-2-42): M1) b); ZIB Komplex Kft. (adószám: 23297106-2-02): M1) a), P1)   ",Nem,Nem,Nincs adat,22906/2020,,2020-12-08,Tájékoztató az eljárás eredményéről,-6 days,2,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Falcon Global Zártkörűen Működő Részvénytársaság|OCTOPUS Invest Szolgáltató Korlátolt Felelősségű Társaság
EKR001534692019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelez. Balassagyarmaton,Építési beruházás,1166620000.0,HUF,45000000-7,45212200-8|45231220-3|45231400-9|45232100-3|45231300-8|45000000-7,HU313,Igen,Nem,Igen,Nem,Igen,,2021-03-16,4.0,Nem,Pharos 95 Sportpályaépítő Kft.,"12073601213,HU12073601",HUN_2336_Dunavarsány_510-es Fő Út 26,Igen,,HUF,1166620000.0,HUF,Igen,Civil Planning Trade Kft.  (23784848-2-42); Fénykód Energia Kft. (24972198-2-07),Civil Planning Trade Kft. (23784848-2-42) (Balogh József): M2)2 MV-ÉG; Fénykód Energia Kft. (24972198-2-07) (Fűrész Tibor): M2)3 MV-ÉV,Nem,Nem,Nincs adat,5347/2021,,2021-03-31,Tájékoztató az eljárás eredményéről,-15 days,28,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Pharos 95 Sportpályaépítő Kft.
EKR001534762019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Kézilabda munkacsarnok kivitelezése Bácsalmáson,Építési beruházás,1062482027.0,HUF,45000000-7,45000000-7|45231220-3|45231300-8|45231400-9|45232100-3|45212200-8,HU331,Igen,Nem,Igen,Nem,Igen,,2021-01-11,3.0,Nem,Modinvest Épitőipari-Beruházó-és Kereskedelmi Korlátolt Felelősségű Társaság,"10381603203,HU10381603",HUN_6400_Kiskunhalas_Kéve U. 39.,Igen,,HUF,1062482027.0,HUF,Igen,Szerva-Bár Szolgáltató és Szabadidő Központ Kft. (11403081-2-08),Szerva-Bár Szolgáltató és Szabadidő Központ Kft. (11403081-2-08) - M1)2,Nem,Nem,Nincs adat,1301/2021,,2021-01-21,Tájékoztató az eljárás eredményéről,-10 days,30,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Modinvest Épitőipari-Beruházó-és Kereskedelmi Korlátolt Felelősségű Társaság
EKR001536652019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Cegléd Mérnökség irodaép. átalakítása, kivitelezés",Építési beruházás,285172140.0,HUF,45000000-7,45213200-5|45210000-2,HU120,Igen,Nem,Igen,Nem,Igen,,2020-08-27,3.0,Nem,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,"23037108203,HU23037108,03-10-100434",HUN_6000_Kecskemét_Csongrádi Utca 6.,Igen,287819949.0,HUF,285172140.0,HUF,Nem,,,Nem,Nem,Nincs adat,15902/2020,,2020-08-31,Tájékoztató az eljárás eredményéről,-4 days,42,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság
EKR001536722019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Monori mérnökségi telep raktárépülete átalakítása ,Építési beruházás,98814656.0,HUF,45000000-7,45210000-2|45213200-5,HU120,Igen,Nem,Igen,Nem,Igen,,2020-07-24,3.0,Nem,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,"23037108203,HU23037108,03-10-100434",HUN_6000_Kecskemét_Csongrádi Utca 6.,Igen,54869485.0,HUF,98814656.0,HUF,Nem,,,Nem,Nem,Nincs adat,13913/2020,,2020-08-05,Tájékoztató az eljárás eredményéről,-12 days,44,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság
EKR001539332019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Multicsarnok tervezése és kivitelezése Kisvárdán,Építési beruházás,3266047410.0,HUF,45000000-7,45000000-7|71220000-6,HU323,Igen,Nem,Igen,Nem,Igen,,2020-12-31,3.0,Nem,"Nyírépszer Hungária Építőipari, Kereskedelmi és Szolgáltató Kft.","11724483241,HU11724483",HUN_1047_Budapest_Liszt Ferenc Utca 2. 3/7.,Igen,,HUF,3266047410.0,HUF,Igen,"Deli Attila Egyéni Vállalkozó (47437629-1-29), Energosolar Kft. (11552831-2-09), Szilágyi Tamás Egyéni Vállalkozó (72425695-1-29)","Deli Attila EV. (47437629-1-29) M2)3 alk. köv., Energosolar Kft. (11552831-2-09)M2)2 alk.köv., Szilágyi Tamás EV (72425695-1-29)M2)5. alk köv.",Nem,Nem,Nincs adat,0781/2021,2021/S 015-029963,2021-01-21,Tájékoztató az eljárás eredményéről,-21 days,74,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.","Nyírépszer Hungária Építőipari, Kereskedelmi és Szolgáltató Kft."
EKR001541092019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Szekszárdi Vendéglátó Szakképző Iskola felújítása,Építési beruházás,988890369.0,HUF,45000000-7,45421143-8|45000000-7|45340000-2,HU233,Igen,Nem,Igen,Nem,Igen,,2020-10-26,5.0,Nem,"Sz+C Stúdió Építőipari, Kereskedelmi és Szolgáltató Kft.",11295145217,HUN_7100_Szekszárd_Tartsay Vilmos Utca 30,Igen,,HUF,988890369.0,HUF,Nem,,,Nem,Nem,Nincs adat,24381/2020,2021/S 005-003921,2021-01-10,Tájékoztató az eljárás eredményéről,-76 days,76,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.","Sz+C Stúdió Építőipari, Kereskedelmi és Szolgáltató Kft."
EKR001579062019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Vágánykapcsolat cseréje és deltavágány létesítése,Építési beruházás,1408231046.0,HUF,45234126-5,45234126-5,HU11,Igen,Nem,Igen,Nem,Igen,,2020-04-20,5.0,Nem,"Vasútépítők Pályatervező, Kivitelező és Iparvágányfenntartó Korlátolt Felelősségű Társaság","10678547208,HU10678547",HUN_9023_Győr_Csaba Utca 9.,Nem,1601000000.0,HUF,1408231046.0,HUF,Igen,ismert alvállalkozó: PREVINFORM-MAX Korlátolt Felelősségű Társaság (adószám: 23418941-2-07),"PREVINFORM-MAX Korlátolt Felelősségű Társaság (adószám: 23418941-2-07) AF III.1.3) Műszaki, illetve szakmai alkalmasság M2) b) pont",Nem,Nem,Nincs adat,7446/2020,2020/S 087-208757,2020-05-07,Tájékoztató az eljárás eredményéről,-17 days,336,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,"Vasútépítők Pályatervező, Kivitelező és Iparvágányfenntartó Korlátolt Felelősségű Társaság"
EKR001580792019,,,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",12464780251,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Gottsegen Gy. Orsz. Kardiológiai Int. kiv. munkái,Építési beruházás,1127778800.0,HUF,45000000-7,45232100-3|45231300-8|45231400-9|45231220-3,HU110,Igen,Nem,Igen,Nem,Igen,,2020-10-08,2.0,Nem,Mester -Építő Kft.,"13707824241,HU13707824",HUN_1042_Budapest_Munkásotthon Utca 46.,Igen,,HUF,1127778800.0,HUF,Igen,"Exclusive ElektroBau Generálépítő és Kereskedelmi Kft., adószám: 24864503-2-42, Deli Attila egyéni vállalkozó, adószám:47437629-1-29","Exclusive ElektroBau Generálépítő és Kereskedelmi Kft., adószám: 24864503-2-42, III.1.3) Műszaki, illetve szakmai alkalmasság, M1. alkalmassági követelmény, referencia, Deli Attila egyéni vállalkozó, adószám:47437629-1-29, III.1.3) M2)3 MV-ÉV szakember",Nem,Nem,Nincs adat,18780/2020,,2020-10-15,Tájékoztató az eljárás eredményéről,-7 days,362,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Mester -Építő Kft.
EKR001586392019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 113. § Tárgyalásos eljárás,"Budavári Sikló pályalemez felújítás,leesés védelem",Építési beruházás,153432015.0,HUF,45234240-0,45234240-0,HU11,Igen,Nem,Igen,Nem,Igen,,2020-09-15,2.0,Nem,Colas Alterra Építőipari Zártkörűen Működő Részvénytársaság,"13961149244,HU13961149",HUN_1113_Budapest_Bocskai Út 73.,Nem,251800000.0,HUF,153432015.0,HUF,Igen,MSc Mérnöki Tervező és Tanácsadó Kft. (adószám: 12017560-2-43); KIS - IZOLÁTOR Kft. (adószám:13519230-2-43 );  ARCUS Mérnöki Iroda Kft. (adószáma: 13519230-2-43 ) ,"MSc Mérnöki Tervező és Tanácsadó Kft.(adósz:12017560-2-43) III.1.3)M1/1. pont;KIS - IZOLÁTOR Kft.(adósz:13519230-2-43) III .1.3.M1./2 pont:1 db kőzetüreg-kitöltési,v. injekt.referencia;ARCUS Mérnöki Iroda Kft. (adósz:13519230-2-43)-III .1.3._M2. pont ",Nem,Nem,Nincs adat,17159/2020,,2020-09-21,Tájékoztató az eljárás eredményéről,-6 days,390,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Colas Alterra Építőipari Zártkörűen Működő Részvénytársaság
