Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Nyíregyháza Megyei Jogú Város Önkormányzata,Issuer,15731766215,0,0.006428946,0.26845697,-0.61824656,0.6463768,3.0381145,24,0.07894012699339675,0.011823067294358898,0.01940812929537875,0.04771371769383698,0.26157046281851276,0.37086827,-5.9604645e-08
"IMBREX 95 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,11491499215,0,0.003756634,0.26711237,-0.6162777,0.60696673,3.0223303,24,0.0,0.001105296383338807,0.000984646393315879,0.0019880715705765406,0.20742268041237114,0.37542075,-5.9604645e-08
Debreceni Egyetem,Issuer,19308667409,6,0.0307206,0.23893288,-0.6414169,0.6606817,2.7254694,68,0.04776549801662432,0.03762360596859318,0.01534927946863506,0.04373757455268389,0.28338028169014085,0.37913796,-5.9604645e-08
GLOBÁL SPORT Ipari kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"11157625209,HU11157625",6,0.02111989,0.24679805,-0.6709306,0.59824514,2.8024065,68,0.0,0.003517258680122986,0.0008903148461432963,0.0019880715705765406,0.22090469916556874,0.3967931,0.0
Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,Issuer,10816772242,2,-0.032938246,0.38181722,-1.0800803,0.8268,4.335813,22,0.07801794808836227,9.632853754496011e-05,0.019628418061056863,0.041749502982107355,0.17906728373086508,0.36373168,0.0
Aszfaltbeton Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12007516242,HU12007516",2,-0.023554422,0.37163436,-1.0153673,0.8718033,4.213,22,0.0,9.005238357242926e-06,0.001091728192141104,0.0019880715705765406,0.1519178495922682,0.3700162,2.3841858e-07
Budapest Főváros XVI. kerületi Önkormányzat,Issuer,15735791242,3,0.026197057,0.21172976,-0.48364902,0.74031055,2.413715,24,0.13480735353297443,0.03387951678002342,0.019565385772588224,0.05168986083499005,0.33421926910299005,0.35210913,-1.7881393e-07
"BAU-TRADE Építőipari Tervező, Kivitelező és Kereskedelmi Kft.",Winner,"10238701213,10238701",3,0.020741438,0.20868681,-0.49123448,0.65796846,2.3726547,24,0.006287581153242514,0.06661570489741386,0.001626538476713775,0.003976143141153081,0.2843414358394573,0.36215374,0.0
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Issuer,11906522241,4,0.006749736,0.20072342,-0.41177496,0.6043378,2.27221,49,0.24562910562681328,0.09691161061753882,0.05030028397439985,0.13121272365805167,0.3247256294383473,0.4082004,0.0
Swietelsky Vasúttechnika Korlátolt Felelősségű Társaság|SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,Winner,"14564477218,HU14564477|14300327244,HU14300327",4,-0.0010971308,0.19168858,-0.4035,0.51871336,2.1687443,49,0.0,0.00905989272209838,0.0009450800325557896,0.0019880715705765406,0.24524622135543636,0.41532105,-1.7881393e-07
Budapest Főváros IV. Kerület Újpest Önkormányzata,Issuer,15735674241,5,-0.0149890985,0.33232534,-0.9561907,1.0319126,3.7636545,33,0.11983988848112866,0.00875037818001399,0.029926457262458753,0.06560636182902584,0.23471768548763416,0.37690994,0.0
Nagton Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,27518232242,5,-0.007362576,0.32894412,-0.9382946,1.0595098,3.7225099,33,0.0,0.0008180239671008434,0.001068081127772801,0.0019880715705765406,0.19017013232514177,0.38502014,-2.9802322e-07
Debrecen Megyei Jogú Város Önkormányzata,Issuer,15735588209,6,0.024524923,0.21506079,-0.6049795,0.66697836,2.4489048,68,0.20780466446484278,0.14860706890014386,0.047102133884132126,0.1272365805168986,0.3145716072545341,0.40852565,1.1920929e-07
TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12461866209,HU12461866",6,0.014974246,0.21729381,-0.5719143,0.5950396,2.4642293,68,0.0004884648892118021,0.01740983970681735,0.001515545293297916,0.003976143141153081,0.24194324194324193,0.42105982,0.0
"Radián Építőipari Tervező, Szervező, Üzemeltető Kft.",Winner,10547030213,7,-0.0045816945,0.23042569,-0.5948879,0.61196274,2.6074843,23,0.023573211485515472,0.004008631117823855,0.0016417773193708788,0.003976143141153081,0.2621156852527358,0.30979174,2.3841858e-07
Miskolc Megyei Jogú Város Önkormányzata,Issuer,EKRSZ_56264890,8,-0.026222596,0.26648763,-0.7979409,0.55056703,3.0295246,24,0.09300899131929911,0.011143237195047387,0.021242356710432262,0.049701789264413515,0.2759188151398793,0.36416987,1.1920929e-07
MENTO Környezetkultúra Korlátolt Felelősségű Társaság,Winner,nan,8,-0.025409248,0.25825328,-0.70235187,0.59952915,2.9359105,24,0.0,0.0010417275172366445,0.0010195105465855038,0.0019880715705765406,0.21634408602150537,0.37304053,2.3841858e-07
Nimród-Bau Beruházó és Kivitelező Kft.,Winner,"12913480213,HU12913480",2,-0.022907533,0.37572354,-0.9912921,0.9065517,4.2587194,22,0.0,9.005238357242926e-06,0.001091728192141104,0.0019880715705765406,0.1519178495922682,0.3706193,0.0
Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Issuer,12154481444,9,-0.015045279,0.25742537,-0.5437359,0.65890086,2.9174058,30,0.11614992628335828,0.00789957390852824,0.027164534376373665,0.06560636182902584,0.2759188151398793,0.36491254,0.0
"AQUARING Építő-,Szerelőipari és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,12972933213,9,-0.007820743,0.25826713,-0.60362834,0.74646556,2.9232986,30,0.0,0.0007385058021917225,0.0009969657483474594,0.0019880715705765406,0.21634408602150537,0.3849033,-1.7881393e-07
SB Building Építőipari Korlátolt Felelősségű Társaság,Winner,25919417215,0,0.003904637,0.26227096,-0.63127625,0.6993452,2.9675863,24,0.0,0.001105296383338807,0.000984646393315879,0.0019880715705765406,0.20742268041237114,0.3793043,-5.9604645e-08
Zalaegerszeg Megyei Jogú Város Önkormányzata,Issuer,15734453220,10,-0.024353223,0.2635626,-0.5331484,0.6351664,2.9945724,30,0.10684717370559692,0.015090997615341458,0.026459791534651337,0.06163021868787276,0.28530913216108905,0.38029185,2.3841858e-07
 SZABADICS Építőipari Zártkörűen Működő Részvénytársaság |Horváth-Ép Közmű- Út- és Mélyépítő Kft.,Winner,nan,10,-0.02357062,0.26628226,-0.54887146,0.5939556,3.0244195,30,0.0,0.0014107898615680046,0.0010227812452834055,0.0019880715705765406,0.22207505518763798,0.38611972,-1.1920929e-07
ZÁÉV Építőipari Zártkörűen Működő Részvénytársaság,Winner,"10738885220,HU10738885",10,-0.020554086,0.22877565,-0.6387341,0.4895258,2.5987263,30,0.030140170968572917,0.06485926278054473,0.0017124116104607037,0.003976143141153081,0.27805417357656165,0.36821103,-2.9802322e-07
DUNAGÉP Szolgáltató Zártkörűen Működő Részvénytársaság,Winner,"11969017213,HU11969017",9,-0.00971637,0.2640334,-0.51117045,0.67051107,2.989219,30,0.0,0.0007385058021917225,0.0009969657483474594,0.0019880715705765406,0.21634408602150537,0.37870002,3.5762787e-07
Siemens Mobility Korlátolt Felelősségű Társaság,Winner,"26209618244,HU26209618.",9,-0.013266226,0.22222643,-0.46911868,0.91649175,2.518681,30,0.009499787934428483,0.009798398524290102,0.0016444267332842012,0.003976143141153081,0.2634887375589314,0.35320482,-5.9604645e-08
"Homeland Építőipari, Ingatlanforgalmazó és Szolgáltató Kft.",Winner,13773177220,10,-0.023858894,0.2754839,-0.5418443,0.77112144,3.1284118,30,0.0,0.0014107898615680046,0.0010227812452834055,0.0019880715705765406,0.22207505518763798,0.3831591,-1.7881393e-07
Szeged Megyei Jogú Város Önkormányzata,Issuer,15735629206,11,0.00042751862,0.25317484,-0.5551168,0.69912803,2.8643506,29,0.10438151471400893,0.02037562770801062,0.02531634572445174,0.06163021868787276,0.29851632047477744,0.3816811,1.1920929e-07
Colas Út Építőipari Zártkörűen Működő Részvénytársaság,Winner,"14904134244,HU14904134",0,-0.013845442,0.23713134,-0.52200323,0.69375485,2.6874042,24,0.10842865601865832,0.017689769888540725,0.004412262754347932,0.011928429423459244,0.30319469559975887,0.28678846,-1.7881393e-07
ROK-LA Építőipari Szolgáltató Korlátolt Felelősségű Társaság,Winner,11772149242,3,0.015318087,0.21174929,-0.4977575,0.60125536,2.4019299,24,0.0,0.003167231978437142,0.0009369081115364766,0.0019880715705765406,0.25062282012954656,0.35745415,1.1920929e-07
Építő-és épületkarbantartó Zártkörűen Működő Részvénytársaság,Winner,"11266101244,HU11266101",3,0.023164663,0.20690608,-0.4965727,0.64905775,2.3555002,24,0.006287581153242514,0.06661570489741386,0.001626538476713775,0.003976143141153081,0.2843414358394573,0.35984606,1.1920929e-07
Windcollector Magyarország Kft.,Winner,"23537608241,HUOOCSZ.01-09-970248",2,-0.023765001,0.36992174,-0.9965275,0.82305026,4.1938143,22,0.0,9.005238357242926e-06,0.001091728192141104,0.0019880715705765406,0.1519178495922682,0.36954284,2.3841858e-07
