Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001498132022,,,Nyíregyháza Megyei Jogú Város Önkormányzata,15731766215,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Május 1. tér 10/A. alatti épület helyreállítása,Építési beruházás,85725700.0,HUF,45454100-5,45454100-5,HU323,Igen,Nem,Igen,Nem,Igen,,2022-10-28,4.0,Nem,"IMBREX 95 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",11491499215,HUN_4551_Nyíregyháza_Virágfürt Utca 2.,Igen,,HUF,85725700.0,HUF,Igen,nem ismert,,Nem,Nem,Nincs adat,23980/2022,,2022-11-07,Tájékoztató az eljárás eredményéről,-10 days,24406,Nyíregyháza Megyei Jogú Város Önkormányzata,"IMBREX 95 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",False,0.07894012699339675,0.01940812929537875,0,0.04771371769383698,0.26157046281851276,0.011823067294358898,0.0,0.000984646393315879,0,0.0019880715705765406,0.20742268041237114,0.001105296383338807
EKR001211922022,,,Debreceni Egyetem,19308667409,Nem,Nem,N - Közjogi szervezet,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,DEK-1155 DASE futópálya felújítása,Építési beruházás,200615735.0,HUF,45235200-5,45212200-8|45212213-2|45212221-1|45235210-8|45235200-5|45236119-7,HU321,Igen,Nem,Igen,Nem,Igen,,2022-10-17,5.0,Nem,GLOBÁL SPORT Ipari kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,"11157625209,HU11157625",HUN_4030_Debrecen_Tömös Utca 17.,Igen,,HUF,200615735.0,HUF,Nem,,,Nem,Nem,Nincs adat,23072/2022,,2022-10-27,Tájékoztató az eljárás eredményéről,-10 days,71329,Debreceni Egyetem,GLOBÁL SPORT Ipari kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,False,0.04776549801662432,0.01534927946863506,6,0.04373757455268389,0.28338028169014085,0.03762360596859318,0.0,0.0008903148461432963,6,0.0019880715705765406,0.22090469916556874,0.003517258680122986
EKR001425792022,,,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,10816772242,Nem,Igen,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Parki járdák felújítása 2022,Építési beruházás,67468995.0,HUF,45233228-3,45111100-9|45233340-4|45233253-7|45233228-3,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-19,3.0,Nem,Aszfaltbeton Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság,"12007516242,HU12007516",HUN_1108_Budapest_Venyige Utca 4,Igen,58400423.0,HUF,67468995.0,HUF,Nem,,,Nem,Nem,Nincs adat,22992/2022,,2022-10-24,Tájékoztató az eljárás eredményéről,-5 days,70656,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,Aszfaltbeton Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság,False,0.07801794808836227,0.019628418061056863,2,0.041749502982107355,0.17906728373086508,9.632853754496011e-05,0.0,0.001091728192141104,2,0.0019880715705765406,0.1519178495922682,9.005238357242926e-06
EKR001153312022,,,Budapest Főváros XVI. kerületi Önkormányzat,15735791242,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Cinkotai Huncutka Óvoda új épületének építése,Építési beruházás,898631598.0,HUF,45210000-2,45210000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-18,9.0,Nem,"BAU-TRADE Építőipari Tervező, Kivitelező és Kereskedelmi Kft.","10238701213,10238701",HUN_2100_Gödöllő_Gábor Áron  Utca 2-10. I. em. 26.ajtószám,Igen,,HUF,898631598.0,HUF,Igen,"Comfort-FM Épületgépészeti Kft. 2030 Érd, Szent István út 95., 25044162-2-13","Comfort-FM Épületgépészeti Kft. 2030 Érd, Szent István út 95., 25044162-2-13, ajánlati felhívás III.1.3) pont M/2.b)",Nem,Nem,Nincs adat,22946/2022,,2022-10-24,Tájékoztató az eljárás eredményéről,-6 days,23903,Budapest Főváros XVI. kerületi Önkormányzat,"BAU-TRADE Építőipari Tervező, Kivitelező és Kereskedelmi Kft.",False,0.13480735353297443,0.019565385772588224,3,0.05168986083499005,0.33421926910299005,0.03387951678002342,0.006287581153242514,0.001626538476713775,3,0.003976143141153081,0.2843414358394573,0.06661570489741386
EKR001511442021,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Székesfehérvár IMCS tervezése és kivitelezése,Építési beruházás,32989092810.0,HUF,45000000-7,71320000-7|45233294-6|45233293-9|45234113-1|45233290-8|45233292-2|45233320-8|45233162-2|45233127-5|45233120-6|45233123-7|45233125-1|45233128-2|45112100-6|45111200-0|45111220-6|45111213-4|45111240-2|45111230-9|45221230-3|45221213-8|45112710-5|45223300-9|45221220-0|45112730-1|45112700-2|45231000-5|45223320-5,HU211,Igen,Nem,Igen,Nem,Igen,,2022-10-11,3.0,Igen,Swietelsky Vasúttechnika Korlátolt Felelősségű Társaság|SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,"14564477218,HU14564477|14300327244,HU14300327",HUN_9500_Celldömölk_Nagy Sándor Tér 14|HUN_1016_Budapest_Mészáros Utca 13.,Nem|Nem,14325068396.0,HUF,32989092810.0,HUF,Nem,az ajánlat benyújtásakor nem ismert,,Nem,Nem,Nem,22280/2022,2022/S 202-573787,2022-10-19,Tájékoztató az eljárás eredményéről,-8 days,65346,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Swietelsky Vasúttechnika Korlátolt Felelősségű Társaság|SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,False,0.24562910562681328,0.05030028397439985,4,0.13121272365805167,0.3247256294383473,0.09691161061753882,0.0,0.0009450800325557896,4,0.0019880715705765406,0.24524622135543636,0.00905989272209838
EKR001231632022,,,Budapest Főváros IV. Kerület Újpest Önkormányzata,15735674241,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Mentálhigiénés gondozó kialakítása - EBP2021,Építési beruházás,253970933.0,HUF,45453100-8,45215100-8|45453100-8,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-07,4.0,Nem,Nagton Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,27518232242,HUN_1162_Budapest_Istráng Utca 48,Igen,142775043.0,HUF,253970933.0,HUF,Igen,"Dorviusz Invest Kft. 1122 Budapest, Városmajor utca 16. MV-É Felelős műszaki vezető 	14975499243",,Nem,Nem,Nincs adat,22135/2022,,2022-10-18,Tájékoztató az eljárás eredményéről,-11 days,24062,Budapest Főváros IV. Kerület Újpest Önkormányzata,Nagton Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,False,0.11983988848112866,0.029926457262458753,5,0.06560636182902584,0.23471768548763416,0.00875037818001399,0.0,0.001068081127772801,5,0.0019880715705765406,0.19017013232514177,0.0008180239671008434
EKR000805382022,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Grill Pavilon kialakítása_2. eljárás,Építési beruházás,133986775.0,HUF,45210000-2,45210000-2,HU321,Igen,Nem,Igen,Igen,Igen,,2022-10-06,2.0,Nem,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,"12461866209,HU12461866",HUN_4030_Debrecen_Diószegi Utca 32-34.,Igen,,HUF,133986775.0,HUF,Igen,ajánlattételkor még nem ismert,,Nem,Nem,Nem,22124/2022,2022/S 200-567801,2022-10-17,Tájékoztató az eljárás eredményéről,-11 days,23091,Debrecen Megyei Jogú Város Önkormányzata,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,False,0.20780466446484278,0.047102133884132126,6,0.1272365805168986,0.3145716072545341,0.14860706890014386,0.0004884648892118021,0.001515545293297916,6,0.003976143141153081,0.24194324194324193,0.01740983970681735
EKR001153242022,,,Budapest Főváros XVI. kerületi Önkormányzat,15735791242,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Bp.XVI.ker. Vidámvásár u. 7. épület felújítása (2),Építési beruházás,121914637.0,HUF,45210000-2,45210000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-12,9.0,Nem,"Radián Építőipari Tervező, Szervező, Üzemeltető Kft.",10547030213,HUN_2143_Kistarcsa_Mária Utca 36,Igen,,HUF,121914637.0,HUF,Nem,,---,Nem,Nem,Nincs adat,22419/2022,,2022-10-16,Tájékoztató az eljárás eredményéről,-4 days,70354,Budapest Főváros XVI. kerületi Önkormányzat,"Radián Építőipari Tervező, Szervező, Üzemeltető Kft.",False,0.13480735353297443,0.019565385772588224,3,0.05168986083499005,0.33421926910299005,0.03387951678002342,0.023573211485515472,0.0016417773193708788,7,0.003976143141153081,0.2621156852527358,0.004008631117823855
EKR000986762018,3|3,3 - Mexikóvölgy utca és a Vár utca közötti szakasz|3 - Mexikóvölgy utca és a Vár utca közötti szakasz,Miskolc Megyei Jogú Város Önkormányzata,EKRSZ_56264890,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Mélyépítési feladatok ellátása,Építési beruházás,296587686.0,HUF,45000000-7,45233221-4|45000000-7,HU311,Igen,Nem,Igen,Igen,Igen,,2022-05-18,3.0,Nem,MENTO Környezetkultúra Korlátolt Felelősségű Társaság,,HUN_3527_Miskolc_Besenyői út 26.,Igen,,HUF,12452669.0,HUF,Igen,,,Nem,Nem,Nincs adat,21639/2022,2022/S 199-561541,2022-10-14,Együttes tájékoztató eljárások eredményéről,-149 days,71114,Miskolc Megyei Jogú Város Önkormányzata,MENTO Környezetkultúra Korlátolt Felelősségű Társaság,False,0.09300899131929911,0.021242356710432262,8,0.049701789264413515,0.2759188151398793,0.011143237195047387,0.0,0.0010195105465855038,8,0.0019880715705765406,0.21634408602150537,0.0010417275172366445
EKR001393402022,,,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,10816772242,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Épületek részleges felújítása VI. ütem,Építési beruházás,11299443.0,HUF,45300000-0,45300000-0|45111100-9|45350000-5|45333200-2|45332000-3,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-04,2.0,Nem,Nimród-Bau Beruházó és Kivitelező Kft.,"12913480213,HU12913480",HUN_2000_Szentendre_Szentlászlói Út 36-38.,Igen,8678131.0,HUF,11299443.0,HUF,Igen,Az ajánlat benyújtásakor még nem ismert!,,Nem,Nem,Nincs adat,21625/2022,,2022-10-14,Tájékoztató az eljárás eredményéről,-10 days,24277,Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,Nimród-Bau Beruházó és Kivitelező Kft.,False,0.07801794808836227,0.019628418061056863,2,0.041749502982107355,0.17906728373086508,9.632853754496011e-05,0.0,0.001091728192141104,2,0.0019880715705765406,0.1519178495922682,9.005238357242926e-06
