Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001536652019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Cegléd Mérnökség irodaép. átalakítása, kivitelezés",Építési beruházás,285172140.0,HUF,45000000-7,45213200-5|45210000-2,HU120,Igen,Nem,Igen,Nem,Igen,,2020-08-27,3.0,Nem,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,"23037108203,HU23037108,03-10-100434",HUN_6000_Kecskemét_Csongrádi Utca 6.,Igen,287819949.0,HUF,285172140.0,HUF,Nem,,,Nem,Nem,Nincs adat,15902/2020,,2020-08-31,Tájékoztató az eljárás eredményéről,-4 days,42,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság
EKR001536722019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Monori mérnökségi telep raktárépülete átalakítása ,Építési beruházás,98814656.0,HUF,45000000-7,45210000-2|45213200-5,HU120,Igen,Nem,Igen,Nem,Igen,,2020-07-24,3.0,Nem,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,"23037108203,HU23037108,03-10-100434",HUN_6000_Kecskemét_Csongrádi Utca 6.,Igen,54869485.0,HUF,98814656.0,HUF,Nem,,,Nem,Nem,Nincs adat,13913/2020,,2020-08-05,Tájékoztató az eljárás eredményéről,-12 days,44,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság
EKR001563522019,,,Győri Szakképzési Centrum,15831952208,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Győri SZC-Lukács - csatornahálózat kivitelezés,Építési beruházás,284758148.0,HUF,45232400-6,45232440-8|45231300-8|45232411-6,HU221,Igen,Nem,Igen,Nem,Igen,,2020-05-12,2.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,284758148.0,HUF,Igen,,,Nem,Nem,Nincs adat,8605/2020,,2020-05-14,Tájékoztató az eljárás eredményéről,-2 days,220,Győri Szakképzési Centrum,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR000457402018,,,Mór Városi Önkormányzat,15727220207,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Mór- Fenntartható településfejlesztés,Építési beruházás,232409115.0,HUF,45233120-6,45233120-6,HU211,Igen,Nem,Igen,Nem,Igen,,2018-09-06,4.0,Nem,ÚTÉPPARK Útépítő és Mélyépítő Kft.,"24105099207,24105099",HUN_8000_Székesfehérvár_Sóstói Út 7 ,Igen,198151000.0,HUF,232409115.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,19655/2018,,2018-11-07,Tájékoztató az eljárás eredményéről,-62 days,341,Mór Városi Önkormányzat,ÚTÉPPARK Útépítő és Mélyépítő Kft.
EKR001597952019,,,Hajdúböszörményi Vagyonkezelő Zrt,23572104209,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Munkásszállások kialakítása,Építési beruházás,292285000.0,HUF,45210000-2,45262690-4,HU321,Igen,Nem,Igen,Nem,Igen,,2020-02-06,3.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,292375000.0,HUF,292285000.0,HUF,Igen,"Cs-Control Kft. (4220 Hajdúböszörmény, Arad utca 10., 23849325-2-09),Ara-Terv Bt. (4031 Debrecen, Ond utca 6., 22872339-1-09)",,Nem,Nem,Nincs adat,2648/2020,,2020-02-16,Tájékoztató az eljárás eredményéről,-10 days,498,Hajdúböszörményi Vagyonkezelő Zrt,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság
EKR001612912019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,"Dunakiliti jobb parti ártéri híd, kp. út építése",Építési beruházás,621430948.0,HUF,45221113-7,45221110-6|45112700-2|45233162-2|45233123-7,HU221,Igen,Nem,Igen,Igen,Igen,,2020-07-06,4.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,621430948.0,HUF,Igen,,,Nem,Nem,Nincs adat,12677/2020,2020/S 137-336174,2020-07-21,Tájékoztató az eljárás eredményéről,-15 days,627,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR000462912018,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,"Debrecen, Laktanya utca felújítása",Építési beruházás,108000000.0,HUF,45233228-3,45233228-3,HU321,Igen,Nem,Igen,Nem,Igen,,2018-10-11,2.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.  ,Nem,,HUF,108000000.0,HUF,Igen,nem ismert,,Nem,Nem,Nincs adat,19510/2018,,2018-10-28,Tájékoztató az eljárás eredményéről,-17 days,658,Debrecen Megyei Jogú Város Önkormányzata,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR001621752019,,,Győr Megyei Jogú Város Önkormányzata,15735595208,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"Régi Szentiváni út felújítás Győr, feltételes",Építési beruházás,116947866.0,HUF,45453100-8,45453100-8|45213316-1|45233120-6|45233140-2|45000000-7|45233290-8|45233228-3|45233162-2|45233220-7|45233221-4|45247112-8|45247130-0,HU221,Igen,Nem,Igen,Igen,Igen,,2020-07-24,3.0,Nem,STRABAG Építő Korlátolt Felelősségű Társaság,"12961555443,01-09-728620",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,116947866.0,HUF,Igen,Jelenleg nem ismert,,Nem,Nem,Nincs adat,13826/2020,2020/S 149-364398,2020-08-04,Tájékoztató az eljárás eredményéről,-11 days,672,Győr Megyei Jogú Város Önkormányzata,STRABAG Építő Korlátolt Felelősségű Társaság
EKR001621992019,,,Győr Megyei Jogú Város Önkormányzata,15735595208,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"Kodály Z. u. kerékpárút építése, Győr",Építési beruházás,33249994.0,HUF,45233162-2,45213316-1|45233221-4|45233290-8|45233162-2|45000000-7,HU221,Igen,Nem,Igen,Igen,Igen,,2020-07-28,3.0,Nem,STRABAG Építő Korlátolt Felelősségű Társaság,"12961555443,01-09-728620",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,44433865.0,HUF,33249994.0,HUF,Igen,Strabag Általános Építő Kft. - 11705053-4-44,,Nem,Nem,Nincs adat,14104/2020,2020/S 152-369773,2020-08-09,Tájékoztató az eljárás eredményéről,-12 days,673,Győr Megyei Jogú Város Önkormányzata,STRABAG Építő Korlátolt Felelősségű Társaság
EKR001624052019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Bp-Balaton kerékpárút – Szfhvár bevez. terv/kivit.,Építési beruházás,365472000.0,HUF,45233162-2,45233162-2,HU211,Igen,Nem,Igen,Nem,Igen,,2020-11-25,8.0,Nem,STRABAG Építő Korlátolt Felelősségű Társaság,"12961555443,01-09-728620",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,365472000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22307/2020,2020/S 239-589889,2020-12-08,Tájékoztató az eljárás eredményéről,-13 days,690,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,STRABAG Építő Korlátolt Felelősségű Társaság
EKR000026552020,,,Alsószenterzsébet-Felsőszenterzsébet-Kerkafalva-Kerkakutas-Magyarföld Önkormányzati Szennyvízkezelési Társulás,15837594120,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Szennyvízkezelési beruházás VP-6-7.2.1.2-16. ,Építési beruházás,131284012.0,HUF,45000000-7,45000000-7|45111290-7|45100000-8|45113000-2|42996000-4,HU231,Igen,Nem,Igen,Igen,Igen,,2020-03-27,3.0,Nem,Z.E.H. Energetikai és Építőipari Kt,"14609190220,HU14609190",HUN_8341_Mihályfa_Petőfi Utca 29,Igen,131236032.0,HUF,131284012.0,HUF,Nem,,,Nem,Nem,Nincs adat,5729/2020,,2020-03-31,Tájékoztató az eljárás eredményéről,-4 days,1082,Alsószenterzsébet-Felsőszenterzsébet-Kerkafalva-Kerkakutas-Magyarföld Önkormányzati Szennyvízkezelési Társulás,Z.E.H. Energetikai és Építőipari Kt
EKR000360342020,,,KTI Közlekedéstudományi Intézet Nonprofit Kft.,21925221243,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Tetőfelújítási munkák ellátása,Építési beruházás,57619901.0,HUF,45000000-7,45261910-6,HU11,Igen,Nem,Igen,Nem,Igen,,2020-09-04,5.0,Nem,Rit-Rock KFT.,24393559243,HUN_1204_Budapest_Előd Utca 116,Igen,,HUF,57619901.0,HUF,Nem,,,Nem,Nem,Nincs adat,16554/2020,,2020-09-10,Tájékoztató az eljárás eredményéről,-6 days,1108,KTI Közlekedéstudományi Intézet Nonprofit Kft.,Rit-Rock KFT.
EKR000031442020,,,Szeged Megyei Jogú Város Önkormányzata,15735629206,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Útburkolat rekonstrukció Tisza Lajos körúton,Építési beruházás,50799583.0,HUF,45000000-7,45000000-7|45233220-7,HU333,Igen,Nem,Igen,Nem,Igen,,2020-04-30,6.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,79945534.0,HUF,50799583.0,HUF,Igen,Jelenleg nem ismert.,,Nem,Nem,Nincs adat,7990/2020,,2020-05-06,Tájékoztató az eljárás eredményéről,-6 days,1126,Szeged Megyei Jogú Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság
EKR000062882020,,,Országos Kórházi Főigazgatóság|Pécsi Tudományegyetem,15845883243|15329798202,Igen,Nem,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egészségügy,Uniós eljárásrend,Nyílt eljárás,"PTE Gyermek sürgősségi, baleseti ellátás",Építési beruházás,1288106160.0,HUF,45000000-7,45350000-5|45315100-9|45300000-0|45262690-4|45262700-8|45313100-5|45110000-1,HU231,Igen,Nem,Igen,Igen,Igen,,2021-03-22,5.0,Nem,STRABAG Építő Korlátolt Felelősségű Társaság,"12961555443,01-09-728620",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,1288106160.0,HUF,Igen,"STRABAG-MML Kft., 14008915-4-43","STRABAG-MML Kft., 14008915-4-43, III.1.3 Műszaki alkalmasság, M1",Nem,Nem,Nincs adat,5163/2021,2021/S 065-162482,2021-04-05,Tájékoztató az eljárás eredményéről,-14 days,1348,Országos Kórházi Főigazgatóság|Pécsi Tudományegyetem,STRABAG Építő Korlátolt Felelősségű Társaság
EKR000087852018,,,Kecskemét Megyei Jogú Város Önkormányzata,15724540203,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Béke Általános Iskolája energetikai korszerűsítése,Építési beruházás,225890977.0,HUF,45300000-0,45453100-8,HU331,Igen,Nem,Igen,Igen,Igen,,2018-07-20,2.0,Nem,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,"23037108203,HU23037108,03-10-100434",HUN_6000_Kecskemét_Csongrádi Utca 6. ,Nem,152573662.0,HUF,225890977.0,HUF,Igen,,,Nem,Nem,Nincs adat,13946/2018,,2018-08-14,Tájékoztató az eljárás eredményéről,-25 days,1497,Kecskemét Megyei Jogú Város Önkormányzata,Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság
