Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,Issuer,11541587202,0,0.009201013,0.20281792,-0.44020167,0.5093999,2.296983,34,0.0,0.04303675452422904,0.001141825007932422,0.002544529262086514,0.23774954627949182,0.43448046,-1.7881393e-07
STRABAG Általános Építő Korlátolt Felelősségű Társaság,Winner,"11705053444,01-09-930940",0,0.014587013,0.20183453,-0.5541514,0.4486609,2.2894528,34,0.22038729135632001,0.38150381745417283,0.04568485603634837,0.12977099236641224,0.31165741475019826,0.41850343,1.1920929e-07
Törökbálint Város Önkormányzat,Issuer,15730150213,1,0.027952818,0.24884461,-0.6655358,0.61126107,2.833062,35,0.0012313469210353412,0.010950704874455186,0.0019635334038119933,0.005089058524173028,0.21393576483396842,0.3977129,3.5762787e-07
VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság,Winner,13839129243,1,0.037793446,0.25036177,-0.5642868,0.57348883,2.8646111,35,0.07216075611397565,0.05950368296056133,0.019239704778963324,0.0534351145038168,0.24547158026233604,0.3885993,0.0
Vecsés Város Önkormányzata,Issuer,15730686213,3,0.0033489508,0.20294659,-0.4966966,0.44520065,2.2963912,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44913045,-1.1920929e-07
Colas Út Építőipari Zártkörűen Működő Részvénytársaság,Winner,"14904134244,HU14904134",3,-0.0050499644,0.21629946,-0.51822746,0.49906415,2.447816,39,0.22363389854581456,0.45097220256904413,0.055429422506407054,0.15012722646310434,0.2930648769574944,0.4410402,2.3841858e-07
Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Issuer,14539262213,4,0.007926565,0.23348914,-0.5141566,0.7221496,2.6431499,32,0.0,0.02038099970963652,0.0011835582803433908,0.002544529262086514,0.2160527762506872,0.4061147,0.0
Penta Általános Építőipari Korlátolt Felelősségű Társaság,Winner,"10452556244,HU10452556",4,0.004132633,0.23817812,-0.4597678,0.6192112,2.6950834,32,0.15873370830288566,0.18066993176019944,0.03779507751998471,0.10178117048346057,0.2754029432375613,0.40909055,-1.1920929e-07
Kiskunhalas Város Önkormányzata,Issuer,15724904203,3,-0.002321059,0.20245719,-0.41907924,0.4922037,2.2906923,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.45295444,-5.9604645e-08
Veszprém Megyei Jogú Város Önkormányzata,Issuer,15734202219,5,0.00018346962,0.19458896,-0.46474496,0.5554938,2.2015238,36,0.010109559718105671,0.12706221095588954,0.0027247053375995204,0.0076335877862595426,0.2727272727272727,0.4304639,-2.3841858e-07
SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,Winner,nan,5,-0.026555827,0.19547409,-0.55465263,0.3765663,2.2318518,36,0.27680443226770024,0.2938816178102463,0.04340155057040007,0.11959287531806617,0.32081632653061226,0.4134739,-2.9802322e-07
Diósd Város Önkormányzat,Issuer,15730181213,1,0.0058315657,0.2733291,-0.81383127,0.6434171,3.0930696,35,0.0,0.004238213730218013,0.0011850806320242904,0.002544529262086514,0.20268179473955647,0.39075673,1.1920929e-07
PUHI-Tárnok Út- és Hídépítő Kft.,Winner,"10429549213,10429549",1,0.007403562,0.26788235,-0.7927453,0.7024643,3.0319002,35,0.06751123253663509,0.03757018094947655,0.017986671938180352,0.04834605597964377,0.2540400775694893,0.3856395,0.0
Rábapatona Község Önkormányzata,Issuer,15727842208,6,0.006706143,0.20754045,-0.5130769,0.607482,2.3492777,25,0.0042289529614104385,0.06711463511614771,0.0019383915723607554,0.005089058524173028,0.24244293645897594,0.41205817,0.0
STRABAG Építő Korlátolt Felelősségű Társaság,Winner,"12961555443,01-09-728620",6,0.0038238051,0.22679089,-0.6642267,0.59003407,2.5662107,25,0.1421756424283371,0.1439759622431188,0.02502612740889073,0.07124681933842239,0.28212491026561376,0.38912442,-1.7881393e-07
Heves Megyei Szakképzési Centrum,Issuer,15831938210,7,-0.024792451,0.23946622,-0.6127101,0.5015955,2.7237325,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.3990142,-2.9802322e-07
TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,Winner,"22757937209,HU22757937",7,-0.024804873,0.24185415,-0.5962433,0.60834205,2.7506208,48,0.2779683783667955,0.0476057248775289,0.05880653968971871,0.13740458015267176,0.28293736501079914,0.40364593,0.0
Jászfényszaru Város Önkormányzata,Issuer,15732877216,4,0.0058293105,0.22262229,-0.66331553,0.5023041,2.5195467,32,0.004339478101384507,0.07125397381297804,0.001981818061280679,0.005089058524173028,0.2366044551475015,0.41023192,-1.1920929e-07
Bélmegyer Község Önkormányzata,Issuer,15343154204,7,-0.031961206,0.23761487,-0.6409573,0.53141296,2.7125156,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.40232936,0.0
Göd Város Önkormányzata,Issuer,15731106213,1,0.018284526,0.24704899,-0.57754636,0.71379083,2.802685,35,0.002336958430352069,0.027093490853873692,0.0019620110521310938,0.005089058524173028,0.22625215889464595,0.39884394,-1.7881393e-07
Hosszúpályi Nagyközség Önkormányzata,Issuer,15728551209,3,-0.004921167,0.22769709,-0.50621516,0.5931371,2.5767002,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44267935,-5.9604645e-08
Vámospércs Városi Önkormányzat,Issuer,15728623209,8,-0.0006633289,0.22524723,-0.49859273,0.4901263,2.5483925,16,0.0,0.005125362421533851,0.0012090151413058489,0.002544529262086514,0.2280905397562391,0.36780468,0.0
KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság,Winner,"11876566215,HU11876566",8,0.0016201762,0.23780198,-0.4975887,0.5920644,2.6904845,16,0.13121941627060577,0.04543273317745981,0.015597415506913341,0.04071246819338423,0.29526671675432004,0.3603302,2.3841858e-07
