Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR000916932022,,,Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,11541587202,Nem,Nem,N - Közjogi szervezet,KL - Környezetvédelem,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),"Kökény RHK - útépítés, útjavítás 2",Építési beruházás,68881764.0,HUF,45233228-3,45233228-3,HU231,Igen,Nem,Igen,Nem,Igen,,2022-11-02,7.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,68881764.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,24031/2022,,2022-11-07,Tájékoztató az eljárás eredményéről,-5 days,70742,Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,STRABAG Általános Építő Korlátolt Felelősségű Társaság,False,0.0,0.001141825007932422,0,0.002544529262086514,0.23774954627949182,0.04303675452422904,0.22038729135632001,0.04568485603634837,0,0.12977099236641224,0.31165741475019826,0.38150381745417283
EKR001116812022,,,Törökbálint Város Önkormányzat,15730150213,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Szabadházi-hegy alsó részének vízellátása,Építési beruházás,113569386.0,HUF,45000000-7,45232100-3|45231300-8|45111290-7,HU120,Igen,Nem,Igen,Nem,Igen,,2022-10-27,3.0,Nem,VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság,13839129243,HUN_1215_Budapest_Vasas Utca 65-67.,Igen,74303228.0,HUF,113569386.0,HUF,Igen,még nem ismert,,Nem,Nem,Nincs adat,23873/2022,,2022-11-07,Tájékoztató az eljárás eredményéről,-11 days,71214,Törökbálint Város Önkormányzata,VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság,False,0.0012313469210353412,0.0019635334038119933,1,0.005089058524173028,0.21393576483396842,0.010950704874455186,0.07216075611397565,0.019239704778963324,1,0.0534351145038168,0.24547158026233604,0.05950368296056133
EKR000866442022,,,Vecsés Város Önkormányzata,15730686213,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Külterületi összekötő út építése Vecsésen,Építési beruházás,397454850.0,HUF,45000000-7,45000000-7|45111000-8|45233120-6|45221250-9,HU120,Igen,Nem,Igen,Nem,Igen,,2022-10-27,8.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,828145327.0,HUF,397454850.0,HUF,Igen,-,-,Nem,Nem,Nincs adat,23850/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-10 days,69722,Vecsés Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,False,0.0,0.0011789704408357656,3,0.002544529262086514,0.2267743796884016,0.050872974103341524,0.22363389854581456,0.055429422506407054,3,0.15012722646310434,0.2930648769574944,0.45097220256904413
EKR001475672022,,,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,14539262213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Csapadékvíz elvezetés felújítás- karbantartás,Építési beruházás,149499154.0,HUF,45000000-7,45000000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-25,1.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,,HUF,149499154.0,HUF,Igen,Még nem ismert.,,Nem,Nem,Nincs adat,23436/2022,2022/S 211-606059,2022-11-03,Tájékoztató az eljárás eredményéről,-9 days,24329,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Penta Általános Építőipari Korlátolt Felelősségű Társaság,False,0.0,0.0011835582803433908,4,0.002544529262086514,0.2160527762506872,0.02038099970963652,0.15873370830288566,0.03779507751998471,4,0.10178117048346057,0.2754029432375613,0.18066993176019944
EKR001357862022,,,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,14539262213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,"Fót, Alagi utca csapadékvíz elvezetés kiépítése",Építési beruházás,36172315.0,HUF,45000000-7,45000000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-25,1.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,,HUF,36172315.0,HUF,Igen,Még nem ismert.,,Nem,Nem,Nincs adat,23432/2022,2022/S 211-606057,2022-11-03,Tájékoztató az eljárás eredményéről,-9 days,70618,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Penta Általános Építőipari Korlátolt Felelősségű Társaság,False,0.0,0.0011835582803433908,4,0.002544529262086514,0.2160527762506872,0.02038099970963652,0.15873370830288566,0.03779507751998471,4,0.10178117048346057,0.2754029432375613,0.18066993176019944
EKR001118632022,,,Kiskunhalas Város Önkormányzata,15724904203,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Fazekas Mihály utca felújítása ,Építési beruházás,69854096.0,HUF,45233000-9,45233221-4|45232452-5|45233120-6,HU331,Igen,Nem,Igen,Nem,Igen,,2022-10-27,8.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,,HUF,69854096.0,HUF,Igen,Jelenleg nem ismert.,,Nem,Nem,Nem,23606/2022,,2022-11-02,Tájékoztató az eljárás eredményéről,-6 days,70333,Kiskunhalas Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,False,0.0,0.0011789704408357656,3,0.002544529262086514,0.2267743796884016,0.050872974103341524,0.22363389854581456,0.055429422506407054,3,0.15012722646310434,0.2930648769574944,0.45097220256904413
EKR001261112021,1|1,Veszprém MJV területén mélyépítési feladatok - II.|Veszprém MJV területén mélyépítési feladatok - II.,Veszprém Megyei Jogú Város Önkormányzata,15734202219,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Veszprém MJV területén mélyépítési feladatok,Építési beruházás,2236599706.0,HUF,45000000-7,45200000-9|45111290-7|45330000-9|45233000-9|45232000-2,HU213,Igen,Nem,Igen,Nem,Igen,,2022-07-07,1.0,Nem,SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,,HUN_1016_Budapest_Mészáros Utca 13.,Nem,673385663.0,HUF,674609826.0,HUF,Igen,,,Nem,Nem,Nem,18090/2022,2022/S 209-593494,2022-11-01,Együttes tájékoztató eljárások eredményéről,-117 days,64189,Veszprém Megyei Jogú Város Önkormányzata,SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,False,0.010109559718105671,0.0027247053375995204,5,0.0076335877862595426,0.2727272727272727,0.12706221095588954,0.27680443226770024,0.04340155057040007,5,0.11959287531806617,0.32081632653061226,0.2938816178102463
EKR000720292022,,,Diósd Város Önkormányzat,15730181213,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,BM pályázat - Útfelújítások,Építési beruházás,52968880.0,HUF,45233120-6,45233120-6,HU120,Igen,Nem,Igen,Nem,Igen,,2022-09-06,5.0,Nem,PUHI-Tárnok Út- és Hídépítő Kft.,"10429549213,10429549",HUN_2461_Tárnok_Fehérvári Út 34,Igen,50494887.0,HUF,52968880.0,HUF,Igen,Az ajánlattétel időpontjában nem ismert,,Nem,Nem,Nincs adat,21264/2022,,2022-10-27,Tájékoztató az eljárás eredményéről,-51 days,22687,Diósd Város Önkormányzat,PUHI-Tárnok Út- és Hídépítő Kft.,False,0.0,0.0011850806320242904,1,0.002544529262086514,0.20268179473955647,0.004238213730218013,0.06751123253663509,0.017986671938180352,1,0.04834605597964377,0.2540400775694893,0.03757018094947655
EKR000666532022,,,Rábapatona Község Önkormányzata,15727842208,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Külterületi út fejlesztése Rábapatonán,Építési beruházás,108710363.0,HUF,45233228-3,45233228-3,HU221,Igen,Nem,Igen,Igen,Igen,,2022-10-20,4.0,Nem,STRABAG Építő Korlátolt Felelősségű Társaság,"12961555443,01-09-728620",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,120297516.0,HUF,108710363.0,HUF,Igen,Az alvállalkozók személye ajánlattételkor nem ismert.,,Nem,Nem,Nincs adat,23146/2022,,2022-10-25,Tájékoztató az eljárás eredményéről,-5 days,69667,Rábapatona Község Önkormányzata,STRABAG Építő Korlátolt Felelősségű Társaság,False,0.0042289529614104385,0.0019383915723607554,6,0.005089058524173028,0.24244293645897594,0.06711463511614771,0.1421756424283371,0.02502612740889073,6,0.07124681933842239,0.28212491026561376,0.1439759622431188
EKR000976202022,,,Heves Megyei Szakképzési Centrum,15831938210,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Lapostetők felújítása (Sárvári),Építési beruházás,19510000.0,HUF,45453100-8,45261910-6,HU312,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,19619961.0,HUF,19510000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22963/2022,,2022-10-25,Tájékoztató az eljárás eredményéről,-8 days,23482,Heves Megyei Szakképzési Centrum,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,False,0.0,0.0013060558709431728,7,0.002544529262086514,0.2206625491297024,0.005372744441207349,0.2779683783667955,0.05880653968971871,7,0.13740458015267176,0.28293736501079914,0.0476057248775289
