Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Debrecen Megyei Jogú Város Önkormányzata,Issuer,15735588209,0,-0.016151547,0.22723076,-1.062411,0.49613145,2.577309,114,0.469121316182605,0.007864648845602689,0.12635317459791484,0.27710843373493976,0.39040451552210725,0.43148237,0.0
Monostor-Erdő Kereskedelmi és Szolgáltató Betéti Társaság,Winner,"20798299209,HU20798299",0,-0.024843847,0.2158024,-0.6887882,0.54360855,2.4576511,114,0.0,0.0005438232962749495,0.001294133403256024,0.0024096385542168677,0.2809749492213947,0.44386193,0.0
Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,Issuer,12154481444,2,0.01714578,0.18375398,-0.39180344,0.59898996,2.0879693,203,0.743276099567352,0.7068239707392343,0.22800291837559541,0.5036144578313253,0.4742857142857143,0.59157956,1.1920929e-07
AUTÓKER GAMMA Járműalkatrész-Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12515460213,HU12515460",2,0.01225056,0.16706356,-0.30692068,0.41426262,1.8951833,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.6177657,1.1920929e-07
PRIM-VOL TRADE Ipari Kereskedelmi és Szolgáltató Kft.,Winner,"12534773209,HU12534773",2,0.009143274,0.1765887,-0.35967445,0.3797555,2.0005496,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.6064364,-1.1920929e-07
F & F Kereskedelmi és Szolgáltató Kft,Winner,12024009213,2,0.010316009,0.16762824,-0.3381679,0.39896497,1.900085,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.61943614,1.1920929e-07
Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság,Issuer,10816772242,4,-0.009093868,0.34450516,-0.7956149,0.9038882,3.8989887,27,0.11698969792212327,9.207649310122018e-05,0.029360215785294106,0.06265060240963856,0.21992580816110227,0.40755,3.5762787e-07
Aszfaltbeton Vállalkozási és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12007516242,HU12007516",4,-0.011276424,0.33887532,-0.985336,0.8404609,3.8360586,27,0.0,6.366888413787775e-06,0.001320082266440191,0.0024096385542168677,0.18035636679704475,0.4140994,1.1920929e-07
Budapest Főváros XVI. kerületi Önkormányzat,Issuer,15735791242,3,-0.0046979617,0.23482566,-0.5465645,0.4789526,2.6572807,34,0.1372905470513289,0.008306936491812026,0.034949095400690994,0.07951807228915664,0.3382233088834556,0.42302734,-5.9604645e-08
"BAU-TRADE Építőipari Tervező, Kivitelező és Kereskedelmi Kft.",Winner,"10238701213,10238701",3,-0.0038844962,0.22619984,-0.5732818,0.5593754,2.5595362,34,0.0,0.0005744065170876368,0.0012604283328445038,0.0024096385542168677,0.2528945764777575,0.43923694,0.0
Markoó Kft.,Winner,12154481-4-44,2,0.010016456,0.165229,-0.36104897,0.44820756,1.8727845,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.6135194,-2.3841858e-07
Fétis Kereskedelmi Kft.,Winner,13521145-2-42,2,0.0090328995,0.16786183,-0.35270774,0.44500178,1.9018874,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.6087563,2.3841858e-07
STRAVIA Emulziógyártó és Útfenntartó Korlátolt Felelősségű Társaság,Winner,12155949-2-03,2,0.015119381,0.17222278,-0.36250824,0.45330244,1.9559724,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.61228514,-5.9604645e-08
INTER TRACTION ELECTRICS Kft,Winner,"13166818241,HU13166818",0,-0.03074544,0.21885605,-0.7826507,0.43928438,2.5003874,114,0.0,0.0005438232962749495,0.001294133403256024,0.0024096385542168677,0.2809749492213947,0.43302807,-5.9604645e-08
TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12461866209,HU12461866",0,-0.025721941,0.2050424,-0.78279096,0.4354084,2.337972,114,0.0,0.0005438232962749495,0.001294133403256024,0.0024096385542168677,0.2809749492213947,0.45134437,-5.9604645e-08
Szikametró89 Korlátolt Felelősségű Társaság,Winner,10318133-2-13,2,0.011665411,0.17827204,-0.3755047,0.42415226,2.0212314,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.61007553,0.0
"Radián Építőipari Tervező, Szervező, Üzemeltető Kft.",Winner,10547030213,3,0.015481779,0.2352853,-0.56877744,0.73640364,2.6677058,34,0.011114991366431924,0.0017403751460718306,0.002149389119875074,0.004819277108433735,0.2746525479814692,0.38273194,-1.1920929e-07
Nimród-Bau Beruházó és Kivitelező Kft.,Winner,"12913480213,HU12913480",4,-0.009131652,0.3391693,-0.944314,0.8601506,3.8386528,27,0.0,6.366888413787775e-06,0.001320082266440191,0.0024096385542168677,0.18035636679704475,0.40715393,0.0
"AQUARING Építő-,Szerelőipari és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,12972933213,2,0.01598255,0.16784059,-0.30630308,0.44249943,1.9074893,203,0.0,0.0488753339519484,0.001287504111132858,0.0024096385542168677,0.32195500387897596,0.6154445,2.3841858e-07
