Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001680782022,,,Országos Vízügyi Főigazgatóság,15796019241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,„WP9 – HydroDEM ágazati rendszerének kidolgozása”,Szolgáltatás megrendelés,97532600.0,HUF,72211000-7,72262000-9|72211000-7,HU,Nem,Nem,Igen,Igen,Igen,,2022-10-26,3.0,Nem,"AJN Tervező, Fejlesztő és Tanácsadó Korlátolt Felelősségű Társaság","11720977242,HU11720977,01-09-931609",HUN_1066_Budapest_Teréz Krt. 10. 3. em. 20. ,Nem,,HUF,97532600.0,HUF,Nem,,,Nem,Nem,Nincs adat,23564/2022,2022/S 216-621114,2022-11-08,Tájékoztató az eljárás eredményéről,-13 days,24551,Országos Vízügyi Főigazgatóság,"AJN Tervező, Fejlesztő és Tanácsadó Korlátolt Felelősségű Társaság",False,0.31990990465778696,0.05475720860995498,0,0.1254681647940075,0.36475409836065575,0.022527688228032115,0.0,0.0009746861878474325,0,0.0018726591760299626,0.2674011016524787,0.0016008268078940779
EKR000975582022,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Nem vegyszeres módszerrel történő gyommentesítés,Szolgáltatás megrendelés,15000000.0,HUF,77312000-0,77312000-0,HU321,Igen,Nem,Igen,Nem,Igen,,2022-10-20,3.0,Nem,Monostor-Erdő Kereskedelmi és Szolgáltató Betéti Társaság,"20798299209,HU20798299",HUN_4275_Monostorpályi_Létai Utca 42,Igen,15000000.0,HUF,15000000.0,HUF,Nem,,---,Nem,Nem,Nincs adat,23319/2022,2022/S 214-615066,2022-11-06,Tájékoztató az eljárás eredményéről,-17 days,70066,Debrecen Megyei Jogú Város Önkormányzata,Monostor-Erdő Kereskedelmi és Szolgáltató Betéti Társaság,False,0.33628174331599575,0.08997763969193243,2,0.2153558052434457,0.37186629526462395,0.135296522397487,0.0,0.0009450584266461773,2,0.0018726591760299626,0.27120365667851704,0.009614196749013804
EKR001174812022,,,Országos Vízügyi Főigazgatóság,15796019241,Nem,Nem,N - Központi szintű,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Balaton vízminőség-védelmi iszapkotrás I/2. ütem,Építési beruházás,1765107790.0,HUF,45252124-3,45240000-1|45252124-3,HU,Igen,Nem,Igen,Nem,Igen,,2022-10-25,2.0,Nem,"Mészáros és Mészáros Ipari, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság","27420322207,HU27420322",HUN_8086_Felcsút_Fő Utca 65.,Nem,,HUF,1765107790.0,HUF,Igen,Ajánlat benyújtásakor még nem ismert.,Nem vesz igénybe kapacitást biztosító szervezetet.,Nem,Nem,Nincs adat,23477/2022,,2022-11-03,Tájékoztató az eljárás eredményéről,-9 days,71308,Országos Vízügyi Főigazgatóság,"Mészáros és Mészáros Ipari, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",False,0.31990990465778696,0.05475720860995498,0,0.1254681647940075,0.36475409836065575,0.022527688228032115,0.04076183354430414,0.001663338012757889,0,0.003745318352059925,0.3306501547987616,0.049234224934329204
EKR000426512022,2,Vasútállomás épület rekonstrukció tervezés,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Zalaegerszegi állomások felújításának tervezése,Szolgáltatás megrendelés,405759310.0,HUF,71240000-2,71320000-7|71356400-2|71322000-1|71242000-6|71240000-2,HU11,Igen,Nem,Igen,Nem,Igen,,2022-10-19,1.0,Nem,Perfektum Építész Kft.,"26295464241,HU26295464",HUN_1031_Budapest_Monostori Út 34,Igen,,HUF,93470000.0,HUF,Igen,," karakterkorlát miatt L. a ""V.2.13)"" pontban ",Nem,Nem,Nincs adat,22971/2022,2022/S 209-597979,2022-11-01,Tájékoztató az eljárás eredményéről,-13 days,21782,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Perfektum Építész Kft.,False,0.5554166707218305,0.15644803632780055,4,0.36142322097378277,0.4171875,0.6703384979093582,0.0,0.0009690256566861574,4,0.0018726591760299626,0.29453943739658023,0.04763339812643513
EKR000226222022,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Keretszerz. KBA készítésre-Dunántúl és Pest megye,Szolgáltatás megrendelés,75112969.0,HUF,71600000-4,71621000-7|71630000-3,HU110,Igen,Nem,Igen,Igen,Igen,,2022-10-20,2.0,Igen,UTIBER Közúti Beruházó Kft|RODEN Mérnöki Iroda Korlátolt Felelősségű Társaság,"10554885243,HU10554885|10624672242,HU10624672",HUN_1115_Budapest_Csóka  Utca 7-13|HUN_1089_Budapest_Villám Utca 13.,Igen|Igen,,HUF,75112969.0,HUF,Igen,ÚT-TESZT MÉRNÖKI ÉS SZOLGÁLTATÓ Kft.  10278604243,ÚT-TESZT MÉRNÖKI ÉS SZOLGÁLTATÓ Kft.  10278604243; M/2.1. alkalmasság,Nem,Nem,Nincs adat,23221/2022,2022/S 210-603795,2022-11-01,Tájékoztató az eljárás eredményéről,-12 days,21232,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,UTIBER Közúti Beruházó Kft|RODEN Mérnöki Iroda Korlátolt Felelősségű Társaság,False,0.5554166707218305,0.15644803632780055,4,0.36142322097378277,0.4171875,0.6703384979093582,0.0,0.0009690256566861574,4,0.0018726591760299626,0.29453943739658023,0.04763339812643513
EKR000281472022,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Keretmegállapodás projektek tervezési feladataira,Szolgáltatás megrendelés,6000089728.0,HUF,71320000-7,90700000-4|71356400-2|71320000-7,HU,Igen,Nem,Igen,Nem,Igen,,2022-10-14,3.0,Igen,"FŐMTERV Mérnöki Tervező Zrt.|RODEN Mérnöki Iroda Korlátolt Felelősségű Társaság|UVATERV Út-, Vasúttervező Zrt.|Via Futura Mérnöki, Tanácsadó és Szolgáltató Kft.|Pannonway Építő Kft.|TURA-Terv Mérnökiroda Kft.|UNITEF'83 Műszaki Tervező és Fejlesztő Zártkörűen Működő Részvénytársaság|UTIBER Közúti Beruházó Kft","13842217241,HU13842217|10624672242,HU10624672|10867156243,HU10867156|13260534243,HU13260534|13099581220,HU13099581|12602908242|12108129243,HU12108129|10554885243,HU10554885",HUN_1024_Budapest_Lövőház Utca 37.|HUN_1089_Budapest_Villám Utca 13.|HUN_1117_Budapest_Dombóvári Út 17-19. B. épület|HUN_1111_Budapest_Zenta Utca 1|HUN_8900_Zalaegerszeg_Batsányi J. U. 9.|HUN_1145_Budapest_Gyarmat Utca 30|HUN_1119_Budapest_Bornemissza Tér 12.|HUN_1115_Budapest_Csóka  Utca 7-13,Nem|Igen|Igen|Igen|Igen|Igen|Igen|Igen,6000089728.0,HUF,6000089728.0,HUF,Igen,"SPECIÁLTERV Kft. Adószáma:11901486241 , TRENECON Kft. Adószáma: 11861689241|még nem ismert|nem ismert",,Igen,Nem,Nincs adat,22687/2022,2022/S 205-585442,2022-10-25,Tájékoztató az eljárás eredményéről,-11 days,21332,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,"FŐMTERV Mérnöki Tervező Zrt.|RODEN Mérnöki Iroda Korlátolt Felelősségű Társaság|UVATERV Út-, Vasúttervező Zrt.|Via Futura Mérnöki, Tanácsadó és Szolgáltató Kft.|Pannonway Építő Kft.|TURA-Terv Mérnökiroda Kft.|UNITEF'83 Műszaki Tervező és Fejlesztő Zártkörűen Működő Részvénytársaság|UTIBER Közúti Beruházó Kft",False,0.5554166707218305,0.15644803632780055,4,0.36142322097378277,0.4171875,0.6703384979093582,0.0,0.0009690256566861574,4,0.0018726591760299626,0.29453943739658023,0.04763339812643513
EKR000314622022,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Szombathely-Kőszeg kiviteli tervezési feladatok,Szolgáltatás megrendelés,1092000000.0,HUF,71320000-7,71356400-2|71322300-4|71320000-7|71322000-1,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-12,5.0,Igen,Pannonway Építő Kft.|TURA-Terv Mérnökiroda Kft.,"13099581220,HU13099581|12602908242",HUN_8900_Zalaegerszeg_Batsányi J. U. 9.|HUN_1145_Budapest_Gyarmat Utca 30,Igen|Igen,,HUF,1092000000.0,HUF,Igen,,"STATIC-PLAN Építőmérnöki, Szolgáltató és Tervező Kft.; adószáma: 13529686241; AF III.1.3) M/2.3.",Nem,Nem,Nincs adat,22518/2022,2022/S 204-581684,2022-10-24,Tájékoztató az eljárás eredményéről,-12 days,67821,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Pannonway Építő Kft.|TURA-Terv Mérnökiroda Kft.,False,0.5554166707218305,0.15644803632780055,4,0.36142322097378277,0.4171875,0.6703384979093582,0.0,0.0009690256566861574,4,0.0018726591760299626,0.29453943739658023,0.04763339812643513
EKR001511442021,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Székesfehérvár IMCS tervezése és kivitelezése,Építési beruházás,32989092810.0,HUF,45000000-7,71320000-7|45233294-6|45233293-9|45234113-1|45233290-8|45233292-2|45233320-8|45233162-2|45233127-5|45233120-6|45233123-7|45233125-1|45233128-2|45112100-6|45111200-0|45111220-6|45111213-4|45111240-2|45111230-9|45221230-3|45221213-8|45112710-5|45223300-9|45221220-0|45112730-1|45112700-2|45231000-5|45223320-5,HU211,Igen,Nem,Igen,Nem,Igen,,2022-10-11,3.0,Igen,Swietelsky Vasúttechnika Korlátolt Felelősségű Társaság|SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,"14564477218,HU14564477|14300327244,HU14300327",HUN_9500_Celldömölk_Nagy Sándor Tér 14|HUN_1016_Budapest_Mészáros Utca 13.,Nem|Nem,14325068396.0,HUF,32989092810.0,HUF,Nem,az ajánlat benyújtásakor nem ismert,,Nem,Nem,Nem,22280/2022,2022/S 202-573787,2022-10-19,Tájékoztató az eljárás eredményéről,-8 days,65346,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Swietelsky Vasúttechnika Korlátolt Felelősségű Társaság|SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,False,0.5554166707218305,0.15644803632780055,4,0.36142322097378277,0.4171875,0.6703384979093582,0.0,0.0009690256566861574,4,0.0018726591760299626,0.29453943739658023,0.04763339812643513
EKR000847832022,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Elektromos mozgó platformok beszerzése,Árubeszerzés,89546939.0,HUF,34220000-5,34220000-5,HU321,Igen,Nem,Igen,Nem,Igen,,2022-09-29,3.0,Nem,INTER TRACTION ELECTRICS Kft,"13166818241,HU13166818",HUN_1045_Budapest_Istvántelki Utca 8,Nem,,HUF,89546939.0,HUF,Nem,"ITK-UD R&D Kutatás és Fejlesztés Kft., 27714500-2-09",,Nem,Nem,Nincs adat,21452/2022,2022/S 200-568804,2022-10-17,Tájékoztató az eljárás eredményéről,-18 days,69560,Debrecen Megyei Jogú Város Önkormányzata,INTER TRACTION ELECTRICS Kft,False,0.33628174331599575,0.08997763969193243,2,0.2153558052434457,0.37186629526462395,0.135296522397487,0.0,0.0009450584266461773,2,0.0018726591760299626,0.27120365667851704,0.009614196749013804
EKR000805382022,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Grill Pavilon kialakítása_2. eljárás,Építési beruházás,133986775.0,HUF,45210000-2,45210000-2,HU321,Igen,Nem,Igen,Igen,Igen,,2022-10-06,2.0,Nem,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,"12461866209,HU12461866",HUN_4030_Debrecen_Diószegi Utca 32-34.,Igen,,HUF,133986775.0,HUF,Igen,ajánlattételkor még nem ismert,,Nem,Nem,Nem,22124/2022,2022/S 200-567801,2022-10-17,Tájékoztató az eljárás eredményéről,-11 days,23091,Debrecen Megyei Jogú Város Önkormányzata,TÁRS-95 Acélszerkezet és Gépgyártó Építőipari Kereskedelmi Korlátolt Felelősségű Társaság,False,0.33628174331599575,0.08997763969193243,2,0.2153558052434457,0.37186629526462395,0.135296522397487,0.0,0.0009450584266461773,2,0.0018726591760299626,0.27120365667851704,0.009614196749013804
