Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001542882019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Szeged-Rendező(bez.)-Röszke Országhatár vasútvonal,Építési beruházás,44870105237.0,HUF,45234100-7,71540000-5|71320000-7|45234116-2|45234160-5|45317000-2,HU333,Igen,Nem,Igen,Nem,Igen,,2020-12-08,4.0,Nem,V-Híd Építő Zártkörűen Működő Részvénytársaság,25302990244,HUN_1138_BUDAPEST_KARIKÁS FRIGYES UTCA  20,Nem,38159300000.0,HUF,44870105237.0,HUF,Nem,BSS 2000 Kft. 12167964213; MÁV FKG Felépítménykarbantartó és Gépjavító Kft. 11267425216; V-Híd Vagyonkezelő Kft. 25955402243; Thales Rail Signalling Solutions Kft. 10624555243,BSS 2000 Kft. 12167964213 - M1C; M2D; MÁV FKG Felépítménykarbantartó és Gépjavító Kft. 11267425216 - M1A; M3A; M3B; V-Híd Vagyonkezelő Kft. 25955402243 - M3C; Thales Rail Signalling Solutions Kft. 10624555243 - M1D; M2C,Nem,Nem,Nincs adat,23285/2020,2020/S 245-608590,2020-12-15,Tájékoztató az eljárás eredményéről,-7 days,98,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,V-Híd Építő Zártkörűen Működő Részvénytársaság
EKR001547452019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Gázolaj beszerzése,Árubeszerzés,32319360000.0,HUF,09134000-7,09134000-7,HU,Nem,Nem,Igen,Nem,Igen,,2020-06-04,1.0,Nem,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,"10625790444,HU 17781774",HUN_1117_Budapest_Október huszonharmadika  Utca 18,Nem,44009280000.0,HUF,32319360000.0,HUF,Igen,MOLTRANS Tankautós Fuvarozó Kft. adószáma: 12181193-2-43 ;KLACSKA Ásványolajtermék Szállítási Kft. adószáma: 10760530243; WEST-BRIDGE  Kft. adószáma: 12060180-2-13; Rail Cargo Logistics-Hungaria Nemzetközi Szállítmányozásai Kft. adószáma: 10768741244,,Nem,Nem,Nincs adat,10264/2020,2020/S 119-290403,2020-06-24,Tájékoztató az eljárás eredményéről,-20 days,114,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság
EKR001551482019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Budapest Nyugati pályaudvar-tetőfelújítás,Építési beruházás,8998952749.0,HUF,45261000-4,45234100-7|45234160-5|34940000-8|45261000-4,HU11,Igen,Nem,Igen,Nem,Igen,,2020-05-08,2.0,Nem,Magyar Építő Zártkörűen Működő Részvénytársaság,10759358244,HUN_1149_Budapest_Pillangó Utca 28.,Nem,2500000000.0,HUF,8998952749.0,HUF,Igen,"HOREX Ipari és Kereskedelmi Kft.(10802339-2-43) , VASÚTVILL Vasútvillamosító Kft. (10813267-2-42), GERVI Műszaki Tanácsadó Kft. (25279261-2-13), ANCIEN Restaurátor és Iparművész Stúdió Bt. (20340676--2-41)","HOREX Ipari és Kereskedelmi Kft.(10802339-2-43) AF III.1.3)M1 , VASÚTVILL Vasútvillamosító Kft. (10813267-2-42) AF III.1.3)M2/a,b ,M3, GERVI Műszaki Tanácsadó Kft. (25279261-2-13)AF III.1.3)M2/c    FOLYT. VI.1.10.pontban ",Nem,Nem,Nincs adat,8543/2020,2020/S 105-254957,2020-06-03,Tájékoztató az eljárás eredményéről,-26 days,132,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,Magyar Építő Zártkörűen Működő Részvénytársaság
EKR001556812019,,,MVM Paksi Atomerőmű Zártkörűen Működő Részvénytársaság,10742833217,Nem,Nem,,KO - Villamos energia,Uniós eljárásrend,Nyílt eljárás,Ipari gázok szállítása,Árubeszerzés,248192250.0,HUF,24110000-8,24111000-5|50514000-1|44612100-4,HU233,Igen,Nem,Igen,Nem,Igen,,2020-04-22,1.0,Nem,Messer Hungarogáz Ipari Gázgyártó és Forgalmazó Korlátolt Felelősségű Társaság,"13241348244,HU13241348,01-09-725341",HUN_1044_Budapest_Váci Út 117,Nem,241100000.0,HUF,248192250.0,HUF,Igen,"RÉVÉSZ TRANS Nemzetközi Fuvarozó Szállítmányozó és Szolgáltató Korlátolt Felelősségű Társaság, 11585783215",,Nem,Nem,Nincs adat,7511/2020,2020/S 085-203056,2020-05-05,Tájékoztató az eljárás eredményéről,-13 days,165,MVM Paksi Atomerőmű Zártkörűen Működő Részvénytársaság,Messer Hungarogáz Ipari Gázgyártó és Forgalmazó Korlátolt Felelősségű Társaság
EKR001609082019,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Magyarországot népszerűsítő szakmai rendezvények ,Szolgáltatás megrendelés,263263150.0,HUF,79952000-2,79952000-2,UKI|PL91|FR10|CZ01|NL32|HU|00,,,,Igen,Igen,,2020-11-23,5.0,Nem,Roxer Kommunikációs Ügynökség Kft.,"13354921243,HU13354921",HUN_1114_Budapest_Bartók Béla Út 35.,Igen,,HUF,263263150.0,HUF,Igen,"Liberty Incentive és Kongresszus Budapest Kft. (1125 Budapest, Királyhágó utca 5/a, 1. em. 3/a. 7715/17/A/9, adószám: 13376055-2-43, alkalmassági követelmény: felhívás III.1.4) M.1) és M.2) a) alpont. Folytatás a VI. 1.10) pontban.","Liberty Incentive és Kongresszus Budapest Kft. (1125 Budapest, Királyhágó utca 5/a, 1. em. 3/a. 7715/17/A/9, adószám: 13376055-2-43, alkalmassági követelmény: felhívás III.1.4) M.1) és M.2) a) alpont. Folytatás a VI. 1.10) pontban.",Nem,Nincs adat,Nincs adat,22294/2020,2020/S 237-585999,2020-12-03,Tájékoztató az eljárás eredményéről,-10 days,619,Nemzeti Kommunikációs Hivatal,Roxer Kommunikációs Ügynökség Kft.
EKR001619092019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Nyílt eljárás,Autodesk szoftverkövetés,Szolgáltatás megrendelés,136040800.0,HUF,72261000-2,72261000-2,HU110,Nem,Nem,Igen,Nem,Igen,,2020-04-07,2.0,Nem,VARINEX Informatikai Zrt.,"12765713242,HU12765713",HUN_1141_Budapest_Kőszeg Utca 4.,Igen,,HUF,136040800.0,HUF,Nem,,,Nem,Nem,Nincs adat,6487/2020,2020/S 075-178882,2020-04-20,Tájékoztató az eljárás eredményéről,-13 days,653,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,VARINEX Informatikai Zrt.
EKR001621682019,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Mikulás ünnepség a NISZ Zrt. részére,Szolgáltatás megrendelés,23950000.0,HUF,79950000-8,79822500-7|79950000-8|79960000-1|79821000-5|45451000-3|45237000-7|55300000-3|55000000-0|51000000-9|79310000-0|79320000-3|79710000-4|79416000-3|45340000-2|92370000-5|92331100-1|92340000-6|92312000-1|92622000-7|92200000-3|92360000-2|92300000-4|92621000-0|92000000-1|92100000-2,HU110,Nem,Nem,Igen,Nem,Igen,,2019-11-26,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,23950000.0,HUF,23950000.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-41); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-41); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),"Lounge Design Kft. (adószám: 22715544-2-41) M/1 b); Moonlight Event Kft. (adószám: 23444030-2-41) M1/ a) 1., 4. bek, M/2 a); New Land Media Kft. (adószám: 24670827-2-41) M/1 a) 1.bek, M/1 b), M/2 b); VALTON-SEC Kft. (adószám: 10977956-2-43) M/1 a) 2.bek, ",Nem,Nem,Nincs adat,24461/2019,2020/S 023-051696,2020-02-03,Tájékoztató az eljárás eredményéről,-69 days,676,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR001652712019,,,Közbeszerzési és Ellátási Főigazgatóság,15329396243,Nem,Nem,U - Egyéb típus:,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Izzók és fénycsövek beszerzése a KEF részére,Árubeszerzés,120000000.0,HUF,31530000-0,31531000-7|31530000-0|31531100-8,HU11,Igen,Nem,Igen,Nem,Igen,,2020-07-03,3.0,Nem,Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság,"11809360242,HU11809360,01-09-677773",HUN_1145_Budapest_Újvilág utca  50-52.,Nem,,HUF,120000000.0,HUF,Igen,"Bravolight Kft., adószám: 14682298-2-08","Bravolight Kft., 9028 Győr, Szent Imre út 61/A, adószám: 14682298-2-08, M1. műszaki illetve szakmai alkalmasság",Nem,Nem,Nincs adat,12277/2020,2020/S 133-326085,2020-07-13,Tájékoztató az eljárás eredményéről,-10 days,831,Közbeszerzési és Ellátási Főigazgatóság,Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság
EKR000001412020,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,MNV Zrt.humáp. tev. kommunik. mediaügynöks.feladat,Szolgáltatás megrendelés,28000000.0,HUF,79950000-8,79950000-8|79960000-1|45340000-2|79340000-9|79320000-3|79310000-0|92370000-5|55000000-0|51000000-9|45451000-3,HU11,Nem,Nem,Igen,Nem,Igen,,2019-10-16,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,28000000.0,HUF,28000000.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-43); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-43); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),,Nem,Nem,Nincs adat,,,,Tájékoztató az eljárás eredményéről,,920,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR000014582020,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,ITM - Ázsia-Európa Találkozó,Szolgáltatás megrendelés,206172712.0,HUF,79950000-8,45451000-3|45340000-2|92300000-4|92312000-1|92340000-6|92622000-7|92200000-3|92100000-2|92370000-5|92331100-1|92360000-2|92621000-0|92000000-1|51000000-9|55300000-3|55000000-0|79710000-4|79320000-3|79310000-0|79416000-3|45237000-7|79822500-7|79950000-8|79960000-1|79821000-5,HU,Nem,Nem,Igen,Nem,Igen,,2019-11-22,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,206172712.0,HUF,206172712.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-41); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-41); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),,Nem,Nem,Nincs adat,,,,Tájékoztató az eljárás eredményéről,,1005,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
