Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Semmelweis Egyetem,Issuer,19308674242,0,0.010205378,0.17374244,-0.4445702,0.53984666,1.9690593,190,0.8895611351999373,0.7057636609856357,0.21291470553640313,0.47990543735224583,0.4582881906825569,0.59747666,0.0
BLUEMED Kft.,Winner,"14570692207,HU14570692",0,0.009744785,0.16464788,-0.37950784,0.4335031,1.8660378,190,0.0,0.04946208374531948,0.0012456940508186317,0.002364066193853428,0.31449814126394054,0.6278124,0.0
Nemzeti Kommunikációs Hivatal,Issuer,15827186241,2,-0.029738884,0.32887834,-1.0934925,0.8390027,3.7360148,32,0.14136219510828768,0.00020964672515692026,0.03523215122732527,0.07565011820330969,0.18659020732245257,0.38627064,-5.9604645e-08
INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,Winner,26100289242,2,-0.027747469,0.32301,-1.1188965,0.8778829,3.6678998,32,0.0,1.469268602189245e-05,0.0012900307259527046,0.002364066193853428,0.15730754927482335,0.39645782,-1.1920929e-07
"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",Winner,"23480874205,HU23480874",1,0.003111424,0.15878879,-0.36867592,0.3512591,1.796835,112,0.12700973636740465,0.051064804303201504,0.0021634125929061616,0.004728132387706856,0.37533274179236914,0.480771,1.1920929e-07
MVM Paksi Atomerőmű Zártkörűen Működő Részvénytársaság,Issuer,10742833217,4,0.012095827,0.2726662,-0.6369001,0.79554665,3.0878997,62,0.25979518895723397,0.009899620501241456,0.06618500413711915,0.1442080378250591,0.2770137524557957,0.42152247,-3.5762787e-07
Volvarber Kereskedelmi és Szolgáltató Kft.,Winner,nan,4,0.010602305,0.27346674,-0.57021165,0.8222571,3.0962472,62,0.0,0.0006937957921955179,0.0012764351447638726,0.002364066193853428,0.21703437660338634,0.43601516,-4.172325e-07
"IZOTÓP INTÉZET Kutató, Fejlesztő, Termelő és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10807262243,HU10807262",0,0.013992346,0.14925972,-0.34405893,0.42576206,1.6960849,190,0.0,0.04946208374531948,0.0012456940508186317,0.002364066193853428,0.31449814126394054,0.6344066,0.0
MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,Issuer,10856417244,1,0.0069584656,0.23126453,-0.57697475,0.58467036,2.6176436,112,0.4459177842761588,0.022868869228722496,0.11978904697045896,0.2624113475177305,0.3182844243792325,0.46106565,-1.1920929e-07
"SIGN SYSTEM Gyártó, Kereskedelmi Korlátolt Felelősségű Társaság",Winner,24084945209,1,0.00906853,0.22390291,-0.51404375,0.51635456,2.5352492,112,0.0,0.0016027205578820246,0.0012714921269931904,0.002364066193853428,0.24157624214734438,0.4653327,0.0
MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"24132880207,HU24132880",0,0.011745648,0.16244122,-0.32800543,0.44547004,1.8426108,190,0.0,0.04946208374531948,0.0012456940508186317,0.002364066193853428,0.31449814126394054,0.62328553,-3.5762787e-07
"AVA-FA Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"12837124208,HU12837124",1,0.0066750376,0.21229103,-0.51760864,0.4394442,2.4029858,112,0.0,0.0016027205578820246,0.0012714921269931904,0.002364066193853428,0.24157624214734438,0.46997488,1.1920929e-07
p2m Informatika Szolgáltató Korlátolt Felelősségű Társaság|p2m Consulting Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság  ,Winner,nan,2,-0.02814934,0.3254631,-1.1316848,0.8837726,3.6959414,32,0.0,1.469268602189245e-05,0.0012900307259527046,0.002364066193853428,0.15730754927482335,0.39424962,-2.3841858e-07
"New Land Media Reklám, Szolgáltató és Kereskedelmi Kft.|Lounge Design Szolgáltató Kft.",Winner,nan,2,-0.026236076,0.3241573,-1.1185942,0.8936091,3.6794133,32,0.0,1.469268602189245e-05,0.0012900307259527046,0.002364066193853428,0.15730754927482335,0.39126644,1.1920929e-07
Lounge Event Korlátolt Felelősségű Társaság|Visual Europe Zártkörűen Működő Részvénytársaság,Winner,nan,2,-0.026785403,0.30236262,-1.0989342,0.804984,3.434239,32,0.0,1.469268602189245e-05,0.0012900307259527046,0.002364066193853428,0.15730754927482335,0.40063024,-1.1920929e-07
MEDIATOR GROUP Reklámügynökség Kft.,Winner,nan,2,-0.026265372,0.32253808,-1.1076332,0.87951165,3.6611812,32,0.0,1.469268602189245e-05,0.0012900307259527046,0.002364066193853428,0.15730754927482335,0.39547053,2.3841858e-07
