Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001058822022,,,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Philips gyártmányú UH készülékek karbantart., jav.",Szolgáltatás megrendelés,270000000.0,HUF,50421000-2,50421000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-26,1.0,Nem,BLUEMED Kft.,"14570692207,HU14570692",HUN_2091_Etyek_Liliom Köz 2,Igen,,HUF,270000000.0,HUF,Nem,,-,Nem,Nem,Nincs adat,23599/2022,2022/S 215-618085,2022-11-07,Tájékoztató az eljárás eredményéről,-12 days,71060,Semmelweis Egyetem,BLUEMED Kft.,False,0.8895611351999373,0.21291470553640313,0,0.47990543735224583,0.4582881906825569,0.7057636609856357,0.0,0.0012456940508186317,0,0.002364066193853428,0.31449814126394054,0.04946208374531948
EKR000450562022,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,N - Központi szintű,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Hibrid zárórendezvény KIFÜ részére,Szolgáltatás megrendelés,9982000.0,HUF,79952000-2,55300000-3|79960000-1|79952000-2|92370000-5,HU110,Igen,Nem,Igen,Igen,Igen,,2022-10-26,3.0,Nem,INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,26100289242,HUN_1141_26100289-2-42_Szugló Utca 82 Szugló u. 82.,Igen,12332400.0,HUF,9982000.0,HUF,Igen,Jeney Éva Zsófia e.v. - 57610588-1-41; COMPOFFICE-R Kft. - 13155479-2-13,"Jeney Éva Zsófia e.v. (1036 Budapest, Lajos utca 121. 6.em. 32.-) 57610588-1-41, M.2.1); COMPOFFICE-R Kft. (2030 Érd, Festő utca 93.) 13155478-2-13, M.2.2)",Nem,Nem,Nincs adat,23658/2022,,2022-11-03,Tájékoztató az eljárás eredményéről,-8 days,21827,Nemzeti Kommunikációs Hivatal,INSPIRAL MARKETING SOLUTIONS Korlátolt Felelősségű Társaság,False,0.14136219510828768,0.03523215122732527,2,0.07565011820330969,0.18659020732245257,0.00020964672515692026,0.0,0.0012900307259527046,2,0.002364066193853428,0.15730754927482335,1.469268602189245e-05
EKR000184852022,4,Belvárosi épületek,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,Speciális klímaberendezések karbantartása,Szolgáltatás megrendelés,147262038.0,HUF,50700000-2,50700000-2,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.","23480874205,HU23480874",HUN_3644_Tardona_Katus Domb 1.,Nem,,HUF,147262038.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,22839/2022,2022/S 210-604097,2022-11-02,Tájékoztató az eljárás eredményéről,-16 days,68086,Semmelweis Egyetem,"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",False,0.8895611351999373,0.21291470553640313,0,0.47990543735224583,0.4582881906825569,0.7057636609856357,0.12700973636740465,0.0021634125929061616,1,0.004728132387706856,0.37533274179236914,0.051064804303201504
EKR001368112021,1|1,1. számú Közvetlen megrendelés|1. számú Közvetlen megrendelés,MVM Paksi Atomerőmű Zártkörűen Működő Részvénytársaság,10742833217,Nem,Nem,,KO - Villamos energia,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Negyedéves ERTE 1-2. sz. közvetlen megrendeléshez,Árubeszerzés,971586.0,HUF,44316400-2,44316400-2,HU233,Nem,Nem,Igen,Nem,Igen,,2022-08-23,1.0,Nem,Volvarber Kereskedelmi és Szolgáltató Kft.,,HUN_6000_Kecskemét_Rezgő Utca 2.,Igen,427986.0,HUF,427986.0,HUF,Igen,,,Nem,Nem,Nem,22083/2022,2022/S 209-599011,2022-11-01,Együttes tájékoztató eljárások eredményéről,-70 days,65248,MVM Paksi Atomerőmű Zártkörűen Működő Részvénytársaság,Volvarber Kereskedelmi és Szolgáltató Kft.,False,0.25979518895723397,0.06618500413711915,4,0.1442080378250591,0.2770137524557957,0.009899620501241456,0.0,0.0012764351447638726,4,0.002364066193853428,0.21703437660338634,0.0006937957921955179
EKR000824372022,,,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Izotóp anyagok, I-131Nal kapszulák (in-vivo készl)",Árubeszerzés,18399030.0,HUF,33696400-9,33696400-9,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-05,1.0,Nem,"IZOTÓP INTÉZET Kutató, Fejlesztő, Termelő és Szolgáltató Korlátolt Felelősségű Társaság","10807262243,HU10807262",HUN_1121_Budapest_Konkoly-Thege Miklós Út 29-33.,Nem,15517800.0,HUF,18399030.0,HUF,Nem,,,Nem,Nem,Nincs adat,22318/2022,2022/S 210-601662,2022-11-01,Tájékoztató az eljárás eredményéről,-27 days,70393,Semmelweis Egyetem,"IZOTÓP INTÉZET Kutató, Fejlesztő, Termelő és Szolgáltató Korlátolt Felelősségű Társaság",False,0.8895611351999373,0.21291470553640313,0,0.47990543735224583,0.4582881906825569,0.7057636609856357,0.0,0.0012456940508186317,0,0.002364066193853428,0.31449814126394054,0.04946208374531948
EKR000706942022,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,10856417244,Nem,Nem,N - Közszolgáltató,KO - Vasúti szolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Állomási névtáblák és egyéb táblák szállítása,Árubeszerzés,69543000.0,HUF,31523000-8,31523000-8,HU,Nem,Nem,Igen,Nem,Igen,,2022-10-20,2.0,Nem,"SIGN SYSTEM Gyártó, Kereskedelmi Korlátolt Felelősségű Társaság",24084945209,HUN_4030_Debrecen_Mikepércsi út  79.,Igen,69543000.0,HUF,69543000.0,HUF,Igen,ajánlattétel időpontjában nem ismert,-,Nem,Nem,Nincs adat,23337/2022,,2022-11-01,Tájékoztató az eljárás eredményéről,-12 days,22667,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,"SIGN SYSTEM Gyártó, Kereskedelmi Korlátolt Felelősségű Társaság",False,0.4459177842761588,0.11978904697045896,1,0.2624113475177305,0.3182844243792325,0.022868869228722496,0.0,0.0012714921269931904,1,0.002364066193853428,0.24157624214734438,0.0016027205578820246
EKR000954462022,,,Semmelweis Egyetem,19308674242,Nem,Nem,U - Közjogi intézmény,KL - Oktatás,Uniós eljárásrend,Nyílt eljárás,"Ultrahang beszerzés, szervizelés és karbantartás",Árubeszerzés,59700000.0,HUF,33112200-0,33112200-0,HU110,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,"24132880207,HU24132880",HUN_2400_Dunaújváros_Petőfi Sándor Utca 63.,Igen,55265833.0,HUF,59700000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22836/2022,2022/S 210-601667,2022-11-01,Tájékoztató az eljárás eredményéről,-15 days,70027,Semmelweis Egyetem,MED-EN TRADE Orvosi Műszer Kereskedelmi Korlátolt Felelősségű Társaság,False,0.8895611351999373,0.21291470553640313,0,0.47990543735224583,0.4582881906825569,0.7057636609856357,0.0,0.0012456940508186317,0,0.002364066193853428,0.31449814126394054,0.04946208374531948
EKR000706632022,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,10856417244,Nem,Nem,N - Közszolgáltató,KO - Vasúti szolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),"Kültéri padok, asztalok, szeméttárolók szállítása",Árubeszerzés,89197000.0,HUF,39113600-3,39113600-3|39121200-8|34928480-6,HU,Nem,Nem,Igen,Nem,Igen,,2022-10-18,9.0,Nem,"AVA-FA Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","12837124208,HU12837124",HUN_9025_Győr_Ikrényi  Út 11 0267/11. hrsz,Igen,89197000.0,HUF,89197000.0,HUF,Nem,,-,Nem,Nem,Nincs adat,23115/2022,,2022-10-25,Tájékoztató az eljárás eredményéről,-7 days,22665,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,"AVA-FA Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",False,0.4459177842761588,0.11978904697045896,1,0.2624113475177305,0.3182844243792325,0.022868869228722496,0.0,0.0012714921269931904,1,0.002364066193853428,0.24157624214734438,0.0016027205578820246
EKR000814122020,14|14,"427/22 megvalósíthatósági tanulmány készítése, MVM|427/22 Úthálózat fejlesztésére vonatkozó megvalósíthatósági tanulmány készítése MVM Mátra Energia Zártkörűen Működő Részvénytársaság részére",Nemzeti Kommunikációs Hivatal,EKRSZ_28360577,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Negyedéves tájékoztató SZFEJLKM - 2022. III.,Szolgáltatás megrendelés,414054235.0,HUF,79000000-4,79000000-4|75112100-5,HU,Nem,Nem,Igen,Nem,Igen,,2022-09-19,1.0,Igen,p2m Informatika Szolgáltató Korlátolt Felelősségű Társaság|p2m Consulting Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság  ,,HUN_1062_Budapest_Andrássy út 107. 2. em. 9.|HUN_1062_Budapest_Andrássy út 107. 2. em. 9.,Igen|Igen,,HUF,25000000.0,HUF,Igen,,,Nem,Nem,Nincs adat,21771/2022,2022/S 204-581398,2022-10-23,Együttes tájékoztató eljárások eredményéről,-34 days,6246,Nemzeti Kommunikációs Hivatal,p2m Informatika Szolgáltató Korlátolt Felelősségű Társaság|p2m Consulting Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság  ,False,0.14136219510828768,0.03523215122732527,2,0.07565011820330969,0.18659020732245257,0.00020964672515692026,0.0,0.0012900307259527046,2,0.002364066193853428,0.15730754927482335,1.469268602189245e-05
EKR001611812021,9|9,"539/22 komm. feladatok, MUKK 2022-23|539/22 Kommunikációs és médiaügynökségi feladatok ellátása a Molekuláris- Ujjlenyomat Kutató Központ Nonprofit Kft. számára, 2022-2023",Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Negyedéves tájékoztató KM22 - 2022. III. negyedév,Szolgáltatás megrendelés,12115510933.0,HUF,79000000-4,79416000-3|79340000-9|79822500-7|79342200-5|79821000-5|92200000-3|79000000-4|79960000-1,HU,Nem,Nem,Igen,Nem,Igen,,2022-08-22,1.0,Igen,"New Land Media Reklám, Szolgáltató és Kereskedelmi Kft.|Lounge Design Szolgáltató Kft.",,HUN_1025_Budapest_Felső Zöldmáli út 72.|HUN_1025_Budapest_Felső Zöldmáli út 72.,Igen|Igen,,HUF,49500000.0,HUF,Igen,,,Nem,Nem,Nincs adat,21769/2022,2022/S 204-581437,2022-10-23,Együttes tájékoztató eljárások eredményéről,-62 days,66353,Nemzeti Kommunikációs Hivatal,"New Land Media Reklám, Szolgáltató és Kereskedelmi Kft.|Lounge Design Szolgáltató Kft.",False,0.14136219510828768,0.03523215122732527,2,0.07565011820330969,0.18659020732245257,0.00020964672515692026,0.0,0.0012900307259527046,2,0.002364066193853428,0.15730754927482335,1.469268602189245e-05
