Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001563522019,,,Győri Szakképzési Centrum,15831952208,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Győri SZC-Lukács - csatornahálózat kivitelezés,Építési beruházás,284758148.0,HUF,45232400-6,45232440-8|45231300-8|45232411-6,HU221,Igen,Nem,Igen,Nem,Igen,,2020-05-12,2.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,284758148.0,HUF,Igen,,,Nem,Nem,Nincs adat,8605/2020,,2020-05-14,Tájékoztató az eljárás eredményéről,-2 days,220,Győri Szakképzési Centrum,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR000457402018,,,Mór Városi Önkormányzat,15727220207,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Mór- Fenntartható településfejlesztés,Építési beruházás,232409115.0,HUF,45233120-6,45233120-6,HU211,Igen,Nem,Igen,Nem,Igen,,2018-09-06,4.0,Nem,ÚTÉPPARK Útépítő és Mélyépítő Kft.,"24105099207,24105099",HUN_8000_Székesfehérvár_Sóstói Út 7 ,Igen,198151000.0,HUF,232409115.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,19655/2018,,2018-11-07,Tájékoztató az eljárás eredményéről,-62 days,341,Mór Városi Önkormányzat,ÚTÉPPARK Útépítő és Mélyépítő Kft.
EKR001597952019,,,Hajdúböszörményi Vagyonkezelő Zrt,23572104209,Nem,Nem,N - Közjogi szervezet,KL - Egyéb tevékenység:,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Munkásszállások kialakítása,Építési beruházás,292285000.0,HUF,45210000-2,45262690-4,HU321,Igen,Nem,Igen,Nem,Igen,,2020-02-06,3.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,292375000.0,HUF,292285000.0,HUF,Igen,"Cs-Control Kft. (4220 Hajdúböszörmény, Arad utca 10., 23849325-2-09),Ara-Terv Bt. (4031 Debrecen, Ond utca 6., 22872339-1-09)",,Nem,Nem,Nincs adat,2648/2020,,2020-02-16,Tájékoztató az eljárás eredményéről,-10 days,498,Hajdúböszörményi Vagyonkezelő Zrt,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság
EKR001612912019,,,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,11906522241,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,"Dunakiliti jobb parti ártéri híd, kp. út építése",Építési beruházás,621430948.0,HUF,45221113-7,45221110-6|45112700-2|45233162-2|45233123-7,HU221,Igen,Nem,Igen,Igen,Igen,,2020-07-06,4.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,621430948.0,HUF,Igen,,,Nem,Nem,Nincs adat,12677/2020,2020/S 137-336174,2020-07-21,Tájékoztató az eljárás eredményéről,-15 days,627,NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR000462912018,,,Debrecen Megyei Jogú Város Önkormányzata,15735588209,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,"Debrecen, Laktanya utca felújítása",Építési beruházás,108000000.0,HUF,45233228-3,45233228-3,HU321,Igen,Nem,Igen,Nem,Igen,,2018-10-11,2.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.  ,Nem,,HUF,108000000.0,HUF,Igen,nem ismert,,Nem,Nem,Nincs adat,19510/2018,,2018-10-28,Tájékoztató az eljárás eredményéről,-17 days,658,Debrecen Megyei Jogú Város Önkormányzata,STRABAG Általános Építő Korlátolt Felelősségű Társaság
EKR000031442020,,,Szeged Megyei Jogú Város Önkormányzata,15735629206,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Útburkolat rekonstrukció Tisza Lajos körúton,Építési beruházás,50799583.0,HUF,45000000-7,45000000-7|45233220-7,HU333,Igen,Nem,Igen,Nem,Igen,,2020-04-30,6.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,79945534.0,HUF,50799583.0,HUF,Igen,Jelenleg nem ismert.,,Nem,Nem,Nincs adat,7990/2020,,2020-05-06,Tájékoztató az eljárás eredményéről,-6 days,1126,Szeged Megyei Jogú Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság
EKR000108412020,,,Székesfehérvár Városgondnoksága Kft.,14823495207,Nem,Nem,N - Közjogi szervezet,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Hirdetmény nélküli tárgyalásos eljárás,"Székesfehérvár, Poprádi utca burkolatfelújítás",Építési beruházás,298489637.0,HUF,45233200-1,45233200-1,HU211,Igen,Nem,Igen,Nem,Igen,,2020-05-05,3.0,Nem,ÚTÉPPARK Útépítő és Mélyépítő Kft.,"24105099207,24105099",HUN_8000_Székesfehérvár_Szlovák Utca 6,Igen,292794817.0,HUF,298489637.0,HUF,Igen,nem ismert,,Nem,Nem,Nincs adat,8357/2020,,2020-05-11,Tájékoztató az eljárás eredményéről,-6 days,1763,Székesfehérvár Városgondnoksága Kft.,ÚTÉPPARK Útépítő és Mélyépítő Kft.
EKR000148522020,,,Debreceni Egyetem,15329750409,Nem,Nem,U - Egyéb típus:,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"DEK-895 Tetőtér beép.,belső átal.és konyhaép.felúj",Építési beruházás,195784564.0,HUF,45000000-7,44233000-2|45261300-7|45431000-7|45432000-4|45442100-8|45453100-8|45421132-8|45000000-7,HU321,Igen,Nem,Igen,Nem,Igen,,2020-04-14,3.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,,HUF,195784564.0,HUF,Igen,,"Ara-Terv Bt., adószám: 22872339-1-09, Ajánlati felhívás: III.1.3.) M.1.1); CS-Control Építőipari Ker. és Szolg. Kft., adószám: 23849325-2-09, Ajánlati felhívás: III.1.3.) M.1.2.)",Nem,Nem,Nincs adat,6972/2020,,2020-04-20,Tájékoztató az eljárás eredményéről,-6 days,1970,Debreceni Egyetem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság
EKR000156332020,,,Dunakeszi Város Önkormányzata,15731247213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"Keretmegállapodás mélyépítési munkákra, Dunakeszin",Építési beruházás,6000000000.0,HUF,45000000-7,45233162-2|45233142-6|45233228-3|45233260-9|45247112-8|45233141-9|45231300-8|45233120-6|45233125-1|45112710-5|45221250-9|71320000-7,HU120,Igen,Nem,Igen,Nem,Igen,,2020-06-09,2.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,6000000000.0,HUF,6000000000.0,HUF,Nem,,,Igen,Nem,Nincs adat,10696/2020,2020/S 117-283099,2020-06-22,Tájékoztató az eljárás eredményéről,-13 days,2076,Dunakeszi Város Önkormányzata,Penta Általános Építőipari Korlátolt Felelősségű Társaság
EKR000207922020,,,Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat,15735681241,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,"Mélyépítési feladatok, keretmegállapodás",Építési beruházás,10000000000.0,HUF,45000000-7,45000000-7,HU11,Igen,Nem,Igen,Nem,Igen,,2020-10-06,1.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,,HUF,10000000000.0,HUF,Igen,Nem ismert.,Erdős Gránit Kőmegmunkáló Szolgáltató Korlátolt Felelősségű Társaság gép- és eszköz bérlése; Kontinuum-Vill Generáltervező Mérnöki Iroda Korlátolt Felelősségű Társaság felelős műszaki vezetői feladatok ellátása ; Szendvei Balázs e.v. felelős műszaki vezet,Igen,Nem,Nincs adat,18817/2020,2020/S 203-492472,2020-10-19,Tájékoztató az eljárás eredményéről,-13 days,2506,Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat,Penta Általános Építőipari Korlátolt Felelősségű Társaság
