Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR000916932022,,,Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,11541587202,Nem,Nem,N - Közjogi szervezet,KL - Környezetvédelem,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),"Kökény RHK - útépítés, útjavítás 2",Építési beruházás,68881764.0,HUF,45233228-3,45233228-3,HU231,Igen,Nem,Igen,Nem,Igen,,2022-11-02,7.0,Nem,STRABAG Általános Építő Korlátolt Felelősségű Társaság,"11705053444,01-09-930940",HUN_1117_Budapest_Gábor Dénes (Infopark D épület) Utca 2.,Nem,,HUF,68881764.0,HUF,Igen,Nem ismert.,,Nem,Nem,Nincs adat,24031/2022,,2022-11-07,Tájékoztató az eljárás eredményéről,-5 days,70742,Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,STRABAG Általános Építő Korlátolt Felelősségű Társaság,False,0.0,0.0020884954689582864,1,0.004405286343612335,0.28410513141426785,0.04452281930111021,0.39713333830195285,0.08749792778542069,1,0.22907488986784144,0.3961605584642234,0.3890672016170566
EKR000866442022,,,Vecsés Város Önkormányzata,15730686213,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Külterületi összekötő út építése Vecsésen,Építési beruházás,397454850.0,HUF,45000000-7,45000000-7|45111000-8|45233120-6|45221250-9,HU120,Igen,Nem,Igen,Nem,Igen,,2022-10-27,8.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,828145327.0,HUF,397454850.0,HUF,Igen,-,-,Nem,Nem,Nincs adat,23850/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-10 days,69722,Vecsés Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,False,0.0,0.0021331632388402917,3,0.004405286343612335,0.2536312849162011,0.05499474429686558,0.37008374560571494,0.10411224454455907,3,0.2643171806167401,0.3393124065769806,0.4805798344142751
EKR001475672022,,,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,14539262213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Csapadékvíz elvezetés felújítás- karbantartás,Építési beruházás,149499154.0,HUF,45000000-7,45000000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-25,1.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,,HUF,149499154.0,HUF,Igen,Még nem ismert.,,Nem,Nem,Nincs adat,23436/2022,2022/S 211-606059,2022-11-03,Tájékoztató az eljárás eredményéről,-9 days,24329,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Penta Általános Építőipari Korlátolt Felelősségű Társaság,False,0.0,0.002180965379693004,4,0.004405286343612335,0.2427807486631016,0.01951576614394379,0.2677841910509006,0.07165769030091738,4,0.1762114537444934,0.32016925246826516,0.17054088271224796
EKR001357862022,,,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,14539262213,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,"Fót, Alagi utca csapadékvíz elvezetés kiépítése",Építési beruházás,36172315.0,HUF,45000000-7,45000000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-25,1.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,,HUF,36172315.0,HUF,Igen,Még nem ismert.,,Nem,Nem,Nincs adat,23432/2022,2022/S 211-606057,2022-11-03,Tájékoztató az eljárás eredményéről,-9 days,70618,Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Penta Általános Építőipari Korlátolt Felelősségű Társaság,False,0.0,0.002180965379693004,4,0.004405286343612335,0.2427807486631016,0.01951576614394379,0.2677841910509006,0.07165769030091738,4,0.1762114537444934,0.32016925246826516,0.17054088271224796
EKR001118632022,,,Kiskunhalas Város Önkormányzata,15724904203,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Fazekas Mihály utca felújítása ,Építési beruházás,69854096.0,HUF,45233000-9,45233221-4|45232452-5|45233120-6,HU331,Igen,Nem,Igen,Nem,Igen,,2022-10-27,8.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,,HUF,69854096.0,HUF,Igen,Jelenleg nem ismert.,,Nem,Nem,Nem,23606/2022,,2022-11-02,Tájékoztató az eljárás eredményéről,-6 days,70333,Kiskunhalas Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,False,0.0,0.0021331632388402917,3,0.004405286343612335,0.2536312849162011,0.05499474429686558,0.37008374560571494,0.10411224454455907,3,0.2643171806167401,0.3393124065769806,0.4805798344142751
EKR001261112021,1|1,Veszprém MJV területén mélyépítési feladatok - II.|Veszprém MJV területén mélyépítési feladatok - II.,Veszprém Megyei Jogú Város Önkormányzata,15734202219,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Veszprém MJV területén mélyépítési feladatok,Építési beruházás,2236599706.0,HUF,45000000-7,45200000-9|45111290-7|45330000-9|45233000-9|45232000-2,HU213,Igen,Nem,Igen,Nem,Igen,,2022-07-07,1.0,Nem,SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,,HUN_1016_Budapest_Mészáros Utca 13.,Nem,673385663.0,HUF,674609826.0,HUF,Igen,,,Nem,Nem,Nem,18090/2022,2022/S 209-593494,2022-11-01,Együttes tájékoztató eljárások eredményéről,-117 days,64189,Veszprém Megyei Jogú Város Önkormányzata,SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,False,0.03227620327677367,0.005029953001324054,0,0.013215859030837006,0.3620414673046252,0.13302796333476097,0.41960279664219635,0.08277692130389919,0,0.2114537444933921,0.39070567986230637,0.2928321555045529
EKR000976202022,,,Heves Megyei Szakképzési Centrum,15831938210,Nem,Nem,N - Regionális/helyi szintű,KL - Oktatás,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,Lapostetők felújítása (Sárvári),Építési beruházás,19510000.0,HUF,45453100-8,45261910-6,HU312,Igen,Nem,Igen,Nem,Igen,,2022-10-17,2.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,19619961.0,HUF,19510000.0,HUF,Nem,,,Nem,Nem,Nincs adat,22963/2022,,2022-10-25,Tájékoztató az eljárás eredményéről,-8 days,23482,Heves Megyei Szakképzési Centrum,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,False,0.0,0.0023457167481956897,2,0.004405286343612335,0.2402116402116402,0.0060952936002157095,0.42734984832438583,0.11514376572929384,2,0.25550660792951546,0.3157162726008345,0.05324076946179267
EKR001185232022,,,Jászfényszaru Város Önkormányzata,15732877216,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Jászfényszaru, SRF út és Elektromos alállomás",Építési beruházás,77016927.0,HUF,45000000-7,45000000-7,HU322,Igen,Nem,Igen,Nem,Igen,,2022-09-20,3.0,Nem,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,"14904134244,HU14904134",HUN_1113_Budapest_Bocskai Út 73.,Nem,93731686.0,HUF,77016927.0,HUF,Igen,még nem ismert,,Nem,Nem,Nincs adat,21347/2022,,2022-10-20,Tájékoztató az eljárás eredményéről,-30 days,24037,Jászfényszaru Város Önkormányzata,Colas Út Építőipari Zártkörűen Működő Részvénytársaság,False,0.013096883158751054,0.0036562338816911906,4,0.00881057268722467,0.275820170109356,0.07451051044080938,0.37008374560571494,0.10411224454455907,3,0.2643171806167401,0.3393124065769806,0.4805798344142751
EKR001035362022,2,028 hrsz út szórt alap kiépítése,Bélmegyer Község Önkormányzata,15343154204,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Külterületi utak felújítása Bélmegyeren 2,Építési beruházás,35728087.0,HUF,45233142-6,45233142-6,HU332,Igen,Nem,Igen,Igen,Igen,,2022-10-18,5.0,Nem,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,"22757937209,HU22757937",HUN_4220_Hajdúböszörmény_Polgári  Utca 13.,Igen,11105720.0,HUF,10868314.0,HUF,Nem,,,Nem,Nem,Nem,22862/2022,,2022-10-19,Tájékoztató az eljárás eredményéről,-1 days,70125,Bélmegyer Község Önkormányzata,TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,False,0.0,0.0023457167481956897,2,0.004405286343612335,0.2402116402116402,0.0060952936002157095,0.42734984832438583,0.11514376572929384,2,0.25550660792951546,0.3157162726008345,0.05324076946179267
EKR001151802022,,,Göd Város Önkormányzata,15731106213,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 115. § Nyílt eljárás,"Göd, házi bekötő csatornák kiépítése",Építési beruházás,54987600.0,HUF,45200000-9,45200000-9,HU120,Igen,Nem,Igen,Nem,Igen,,2022-10-10,4.0,Nem,Penta Általános Építőipari Korlátolt Felelősségű Társaság,"10452556244,HU10452556",HUN_2100_Gödöllő_Kenyérgyári Út 1/E.,Igen,55000000.0,HUF,54987600.0,HUF,Nem,,,Nem,Nem,Nincs adat,22217/2022,,2022-10-14,Tájékoztató az eljárás eredményéről,-4 days,23996,Göd Város Önkormányzata,Penta Általános Építőipari Korlátolt Felelősségű Társaság,False,0.0,0.002180965379693004,4,0.004405286343612335,0.2427807486631016,0.01951576614394379,0.2677841910509006,0.07165769030091738,4,0.1762114537444934,0.32016925246826516,0.17054088271224796
