Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Józsefvárosi Önkormányzat,Issuer,15735715242,2,-0.020120343,0.20993158,-0.48652038,0.50582325,2.3859885,12,0.0,0.04858238119907444,0.008004372801190556,0.015151515151515152,0.22760942760942757,0.5121952,-2.3841858e-07
Építő-és épületkarbantartó Zártkörűen Működő Részvénytársaság,Winner,"11266101244,HU11266101",2,-0.02503963,0.2158565,-0.5133648,0.49937102,2.4585135,12,0.22170940170940176,0.21356531595227546,0.0814014782480922,0.18181818181818182,0.31759455015268967,0.5122042,2.3841858e-07
Országos Vízügyi Főigazgatóság,Issuer,15796019241,3,0.060419902,0.269038,-0.6018684,0.7368373,3.1196308,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38872942,0.0
"Mészáros és Mészáros Ipari, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"27420322207,HU27420322",3,0.064684115,0.294048,-0.6423177,0.78377426,3.4063144,14,0.03636363636363636,6.647535039154811e-05,0.09721956230448559,0.19696969696969696,0.19696969696969696,0.3916744,-1.7881393e-07
Miskolc Megyei Jogú Város Önkormányzata,Issuer,15735605205,2,-0.01700122,0.20400938,-0.47518632,0.5099615,2.3161037,12,0.0,0.04858238119907444,0.008004372801190556,0.015151515151515152,0.22760942760942757,0.5196877,-5.9604645e-08
Állatorvostudományi Egyetem,Issuer,19253268242,4,-0.0046470026,0.18599412,-0.45278943,0.46024793,2.10494,14,0.0,0.10352261498788881,0.007878602085712222,0.015151515151515152,0.23819591261451725,0.5499914,1.1920929e-07
WEST HUNGÁRIA BAU Építőipari Szolgáltató Korlátolt Felelősségű Társaság,Winner,"11469830244,HU11469830",4,-0.0038407822,0.20734525,-0.49645016,0.49554166,2.3462462,14,0.2856721056721057,0.4550812811311105,0.10616785472767992,0.24242424242424243,0.33859253693964436,0.5485915,-1.7881393e-07
Zalaegerszeg Megyei Jogú Város Önkormányzata,Issuer,15734453220,0,0.0045101536,0.20902665,-0.47584435,0.40289766,2.365417,12,0.0,0.04326444579446217,0.008000111554148426,0.015151515151515152,0.2251082251082251,0.50868493,3.5762787e-07
ZÁÉV Építőipari Zártkörűen Működő Részvénytársaság,Winner,"10738885220,HU10738885",0,-0.0036339005,0.22542337,-0.51840156,0.47690722,2.5507057,12,0.2023620823620824,0.1901884235228593,0.07456287438628478,0.16666666666666669,0.31274577839463336,0.5135571,-1.7881393e-07
Veszprémi Szakképzési Centrum,Issuer,15832238219,1,-0.010773119,0.19286668,-0.5580425,0.4929616,2.1854389,15,0.0,0.10452280008843336,0.007878848495848788,0.015151515151515152,0.23819591261451725,0.5521594,1.1920929e-07
EB Hungary Invest Kft.,Winner,"13240567242,HU13240567",1,-0.012124059,0.21662138,-0.67195445,0.51282245,2.4546268,15,0.28559440559440563,0.45947714037791376,0.10617249456334578,0.24242424242424243,0.33859253693964436,0.53197473,1.1920929e-07
Budapest Főváros IX. kerület Ferencváros Önkormányzata,Issuer,15735722243,2,-0.017356545,0.19354263,-0.44457605,0.47410226,2.198472,12,0.0,0.04858238119907444,0.008004372801190556,0.015151515151515152,0.22760942760942757,0.51968825,0.0
Budapest Főváros XVI. kerületi Önkormányzat,Issuer,15735791242,2,-0.018697739,0.2131348,-0.49690285,0.52478313,2.4206061,12,0.0,0.04858238119907444,0.008004372801190556,0.015151515151515152,0.22760942760942757,0.52133733,-1.7881393e-07
Szent Mór Bencés Perjelség,Issuer,18985445108,4,-0.0052721435,0.18718472,-0.4536946,0.46948397,2.118593,14,0.0,0.10352261498788881,0.007878602085712222,0.015151515151515152,0.23819591261451725,0.550561,0.0
Dunántúli Regionális Vízmű Zártkörűen Működő Részvénytársaság,Issuer,11226002214,3,0.062504545,0.27283323,-0.6056603,0.7537282,3.1667228,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38541877,-4.7683716e-07
Budapesti Műszaki és Gazdaságtudományi Egyetem,Issuer,17783305543,1,-0.003830905,0.200965,-0.55284363,0.57687396,2.2740724,15,0.0,0.10452280008843336,0.007878848495848788,0.015151515151515152,0.23819591261451725,0.54265666,2.3841858e-07
Mahart-Szabadkikötő Zrt.,Issuer,13541734243,3,0.06198471,0.27406576,-0.6083577,0.7577179,3.1790142,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.3885658,-5.9604645e-08
Radioaktív Hulladékokat Kezelő Közhasznú Nonprofit Kft.,Issuer,18680188213,3,0.061402008,0.27063972,-0.6010022,0.7472334,3.139754,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38654327,1.1920929e-07
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Issuer,12464780242,0,-0.015028185,0.14613307,-0.39499223,0.32930374,1.6620266,12,0.3279564879564881,0.29989224206985876,0.02504551702645223,0.06060606060606061,0.40969696969696967,0.61083335,1.1920929e-07
Tiszamenti Regionális Vízművek Zártkörűen Működő Részvénytársaság,Issuer,11265832216,3,0.06209434,0.27442494,-0.6079948,0.75622356,3.1832514,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.39015645,0.0
Somogy Megyei Rendőr-főkapitányság,Issuer,15720601251,1,-0.005231317,0.19485869,-0.55627835,0.55968845,2.2053688,15,0.0,0.10452280008843336,0.007878848495848788,0.015151515151515152,0.23819591261451725,0.53676504,-5.9604645e-08
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Jászfényszaru Város Önkormányzata,Issuer,24290188241|15732877216,3,0.062296815,0.27478904,-0.608075,0.7562401,3.1877747,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38536453,2.3841858e-07
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Dunántúli Regionális Vízmű Zártkörűen Működő Részvénytársaság,Issuer,24290188241|11226002214,3,0.060692575,0.26886868,-0.5982901,0.7289814,3.11844,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.3914866,0.0
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Issuer,11906522241,3,0.061800655,0.27296108,-0.6066535,0.752297,3.1663647,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38939792,0.0
Magyar Állami Operaház,Issuer,15309439242,1,-0.0046400735,0.19983539,-0.5556223,0.59340787,2.2614884,15,0.0,0.10452280008843336,0.007878848495848788,0.015151515151515152,0.23819591261451725,0.53577447,1.1920929e-07
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|DMRV Duna Menti Regionális Vízmű Zártkörűen Működő Társaság,Issuer,24290188241|10863877244,3,0.06338442,0.27350667,-0.613968,0.7588024,3.1763823,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38315886,2.3841858e-07
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Tiszamenti Regionális Vízművek Zártkörűen Működő Részvénytársaság,Issuer,24290188241|11265832216,3,0.06139435,0.27250054,-0.60464984,0.74090266,3.1602695,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.38679528,0.0
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|Szakály Község Önkormányzata|Pétfürdő Nagyközség Önkormányzata|Regöly Község Önkormányzata|Bikács Község Önkormányzata|Öskü Község Önkormányzata|Györköny Községi Önkormányzat|Szárazd Község Önkormányzata|Pusztahencse Községi Önkormányzat|Pálfa Község Önkormányzata|Vajta Község Önkormányzata,Issuer,24290188241|15414571217|15736163219|15414533217|15417866117|15734075219|15414818217|15417639117|15417529217|15733490217|15364586207,3,0.062105104,0.2747973,-0.6151671,0.7640373,3.187387,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.3842087,-1.1920929e-07
NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság|ÉRV. Északmagyarországi Regionális Vízművek Zártkörűen Működő Részvénytársaság,Issuer,24290188241|11069186205,3,0.06305287,0.2767258,-0.6152389,0.7615066,3.2110374,14,0.0,1.8436944953165776e-05,0.008595050890470112,0.015151515151515152,0.10242424242424242,0.3898546,0.0
