Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti
EKR001539192019,,,Magyar Bányászati és Földtani Szolgálat,15300083242,Nem,Nem,N - Központi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Villamos energia beszerzése az MBFSZ részére,Árubeszerzés,15020463.0,HUF,09310000-5,09310000-5,HU110|HU311|HU322|HU232|HU231|HU213|HU120,Nem,Nem,Igen,Nem,Igen,,2020-03-03,3.0,Nem,NKM Energia Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,15020463.0,HUF,Nem,,,Nem,Nem,Nincs adat,6518/2020,,2020-05-03,Tájékoztató az eljárás eredményéről,-61 days,72,Magyar Bányászati és Földtani Szolgálat,NKM Energia Zrt.
EKR001547452019,,,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,10856417244,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,Gázolaj beszerzése,Árubeszerzés,32319360000.0,HUF,09134000-7,09134000-7,HU,Nem,Nem,Igen,Nem,Igen,,2020-06-04,1.0,Nem,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,"10625790444,HU 17781774",HUN_1117_Budapest_Október huszonharmadika  Utca 18,Nem,44009280000.0,HUF,32319360000.0,HUF,Igen,MOLTRANS Tankautós Fuvarozó Kft. adószáma: 12181193-2-43 ;KLACSKA Ásványolajtermék Szállítási Kft. adószáma: 10760530243; WEST-BRIDGE  Kft. adószáma: 12060180-2-13; Rail Cargo Logistics-Hungaria Nemzetközi Szállítmányozásai Kft. adószáma: 10768741244,,Nem,Nem,Nincs adat,10264/2020,2020/S 119-290403,2020-06-24,Tájékoztató az eljárás eredményéről,-20 days,114,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság
EKR001566992019,,,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,10644371244,Nem,Nem,N - Közjogi szervezet,KL - Gazdasági és pénzügyek,Nemzeti eljárásrend,Kbt. 113. § Nyílt eljárás,Naplóelemző rendszer bővítése és gyártói követése,Árubeszerzés,67804441.0,HUF,48000000-8,48200000-0|48000000-8,HU11,Nem,Nem,Igen,Igen,Igen,,2019-12-23,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33.,Nem,,HUF,67804441.0,HUF,Igen,"NOREG Információvédelmi Korlátolt Felelősségű Társaság, 1118 Budapest, Rétköz utca 5. adószáma: 12395183-2-43","NOREG Információvédelmi Korlátolt Felelősségű Társaság, 1118 Budapest, Rétköz utca 5., adószáma: 12395183-2-43, Felhívás III.1.3) pont Műszaki, illetve szakmai alkalmasság M.1) alpont",Nem,Nem,Nincs adat,16534/2021,,2021-09-06,Tájékoztató az eljárás eredményéről,-623 days,256,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR001582372019,,,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,12154481444,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Villamos váltóállító alkatrészek beszerzése,Árubeszerzés,55607697.0,HUF,34941000-5,34941000-5,HU11,Igen,Nem,Igen,Nem,Igen,,2020-04-08,1.0,Nem,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság,"10655436210,HU10655436",HUN_3200_Gyöngyös_Gyártelep Utca 1,Nem,63800000.0,HUF,55607697.0,HUF,Nem,,,Nem,Nem,Nincs adat,6745/2020,2020/S 078-185176,2020-04-22,Tájékoztató az eljárás eredményéről,-14 days,371,Budapesti Közlekedési Zártkörűen Működő Részvénytársaság,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság
EKR001621512019,,,Budapest Főváros II. Kerületi Önkormányzat|Bolyai Utcai  Óvoda|Völgy utcai Ökumenikus Óvoda|II. kerületi  Egyesített Bölcsődék|Szemlőhegy Utcai Óvoda|II. Számú Gondozási Központ|Értelmi Fogyatékosok Nappali Otthona|Községház Utcai Óvoda|Kolozsvár utcai Óvoda|Budapest II. kerületi Polgármesteri Hivatal|Hűvösvölgyi Gesztenyéskert Óvoda|II. Kerületi Sport és Szabadidősport Nonprofit Kft.|I. Számú  Gondozási Központ|II. Kerületi Kulturális Közhasznú Nonprofit Kft.|Százszorszép Óvoda|II. kerületi Városfejlesztő és Beruházás-szervező Zrt.|Budakeszi úti óvoda|Család-és Gyermekjóléti Központ|Virág Árok Óvoda|Törökvész úti Kézműves Óvoda|Budapest Főváros II. kerületi Önkormányzat Egészségügyi Szolgálata|Kitaibel Pál utcai óvoda|Pitypang utcai Óvoda|III. Számú Gondozási Központ,15735650241|16925012241|15826374241|16924987241|16925029241|16925294241|16925311241|16925074241|16925081241|15502003241|16925098241|25149724241|16925287241|24065924241|16925050241|14821888241|16924994241|16925328241|16925108241|16925043241|15502168241|16925067241|16925005241|16925304241,Igen,Nem,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Összönkormányzati_villamos_energia_beszerzés_2019,Árubeszerzés,35717942.0,HUF,09310000-5,09310000-5,HU110,Nem,Nem,Igen,Nem,Igen,,2020-02-21,4.0,Nem,NKM Energia Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,35717942.0,HUF,Nem,,,Nem,Nem,Nincs adat,3876/2020,2020/S 058-138523,2020-03-23,Tájékoztató az eljárás eredményéről,-31 days,675,Budapest Főváros II. Kerületi Önkormányzat|Bolyai Utcai  Óvoda|Völgy utcai Ökumenikus Óvoda|II. kerületi  Egyesített Bölcsődék|Szemlőhegy Utcai Óvoda|II. Számú Gondozási Központ|Értelmi Fogyatékosok Nappali Otthona|Községház Utcai Óvoda|Kolozsvár utcai Óvoda|Budapest II. kerületi Polgármesteri Hivatal|Hűvösvölgyi Gesztenyéskert Óvoda|II. Kerületi Sport és Szabadidősport Nonprofit Kft.|I. Számú  Gondozási Központ|II. Kerületi Kulturális Közhasznú Nonprofit Kft.|Százszorszép Óvoda|II. kerületi Városfejlesztő és Beruházás-szervező Zrt.|Budakeszi úti óvoda|Család-és Gyermekjóléti Központ|Virág Árok Óvoda|Törökvész úti Kézműves Óvoda|Budapest Főváros II. kerületi Önkormányzat Egészségügyi Szolgálata|Kitaibel Pál utcai óvoda|Pitypang utcai Óvoda|III. Számú Gondozási Központ,NKM Energia Zrt.
EKR001621682019,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,Mikulás ünnepség a NISZ Zrt. részére,Szolgáltatás megrendelés,23950000.0,HUF,79950000-8,79822500-7|79950000-8|79960000-1|79821000-5|45451000-3|45237000-7|55300000-3|55000000-0|51000000-9|79310000-0|79320000-3|79710000-4|79416000-3|45340000-2|92370000-5|92331100-1|92340000-6|92312000-1|92622000-7|92200000-3|92360000-2|92300000-4|92621000-0|92000000-1|92100000-2,HU110,Nem,Nem,Igen,Nem,Igen,,2019-11-26,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,23950000.0,HUF,23950000.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-41); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-41); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),"Lounge Design Kft. (adószám: 22715544-2-41) M/1 b); Moonlight Event Kft. (adószám: 23444030-2-41) M1/ a) 1., 4. bek, M/2 a); New Land Media Kft. (adószám: 24670827-2-41) M/1 a) 1.bek, M/1 b), M/2 b); VALTON-SEC Kft. (adószám: 10977956-2-43) M/1 a) 2.bek, ",Nem,Nem,Nincs adat,24461/2019,2020/S 023-051696,2020-02-03,Tájékoztató az eljárás eredményéről,-69 days,676,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR000001412020,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,MNV Zrt.humáp. tev. kommunik. mediaügynöks.feladat,Szolgáltatás megrendelés,28000000.0,HUF,79950000-8,79950000-8|79960000-1|45340000-2|79340000-9|79320000-3|79310000-0|92370000-5|55000000-0|51000000-9|45451000-3,HU11,Nem,Nem,Igen,Nem,Igen,,2019-10-16,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,28000000.0,HUF,28000000.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-43); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-43); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),,Nem,Nem,Nincs adat,,,,Tájékoztató az eljárás eredményéről,,920,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR000014582020,,,Nemzeti Kommunikációs Hivatal,15827186241,Nem,Igen,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Keretmegállapodás alapján írásbeli konzultáció,ITM - Ázsia-Európa Találkozó,Szolgáltatás megrendelés,206172712.0,HUF,79950000-8,45451000-3|45340000-2|92300000-4|92312000-1|92340000-6|92622000-7|92200000-3|92100000-2|92370000-5|92331100-1|92360000-2|92621000-0|92000000-1|51000000-9|55300000-3|55000000-0|79710000-4|79320000-3|79310000-0|79416000-3|45237000-7|79822500-7|79950000-8|79960000-1|79821000-5,HU,Nem,Nem,Igen,Nem,Igen,,2019-11-22,1.0,Nem,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság","10834730244,HU10834730",HUN_1119_Budapest_Petzval József Utca 31-33. ,Nem,206172712.0,HUF,206172712.0,HUF,Igen,Lounge Design Kft. (adószám: 22715544-2-41); Moonlight Event Kft. (adószám: 23444030-2-41); New Land Media Kft. (adószám: 24670827-2-41); VALTON-SEC Kft. (adószám: 10977956-2-43); Varga Balázs egyéni vállalkozó (adószám: 67200551135),,Nem,Nem,Nincs adat,,,,Tájékoztató az eljárás eredményéről,,1005,Nemzeti Kommunikációs Hivatal,"""ANTENNA HUNGÁRIA"" Magyar Műsorszóró és Rádióhírközlési Zártkörűen Működő Részvénytársaság"
EKR000042792020,,,DEBRECEN INTERNATIONAL AIRPORT Korlátolt Felelősségű Társaság,11554235209,Nem,Nem,,KO - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,JET-A1 üzemanyag beszerzése és szállítása,Árubeszerzés,5485536.0,USD,09131000-6,09131000-6,HU321,Nem,Nem,Igen,Nem,Igen,,2020-03-25,1.0,Nem,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,"10625790444,HU 17781774",HUN_1117_Budapest_Október huszonharmadika  Utca 18,Nem,,USD,5485536.0,USD,Igen,"MOLTRANS Tankautós Fuvarozó Korlátolt Felelősségű Társaság (1211 Budapest, Petróleumkikötő u. 5-7.) Adószám: 12181193-2-43 ",,Nem,Nem,Nincs adat,5758/2020,2020/S 081-192107,2020-04-26,Tájékoztató az eljárás eredményéről,-32 days,1238,DEBRECEN INTERNATIONAL AIRPORT Korlátolt Felelősségű Társaság,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság
EKR000105662020,1|1,8 csoport egyszerű és átszelési kitérő beszerzése|Közvetlen megrendelés 1 - 8 csoport kitérő,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság ,EKRSZ_35803375,Nem,Nem,,KO - Vasúti szolgáltatások,Uniós eljárásrend,Hirdetménnyel induló tárgyalásos eljárás,8 csoport egyszerű és átszelési kitérő beszerzése,Árubeszerzés,498000000.0,HUF,34946000-0,34946000-0,HU11,Nem,Nem,Igen,Nem,Igen,,2021-03-24,1.0,Nem,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság,10655436-2-10,HUN_3200_Gyöngös_Gyártelep utca 1.,Nem,,HUF,498000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,5862/2021,2021/S 071-182094,2021-04-13,Együttes tájékoztató eljárások eredményéről,-20 days,1547,MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,VAMAV Vasúti Berendezések Korlátolt Felelősségű Társaság
