Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,Issuer,10898824244,0,0.0052513257,0.11485114,-0.21405208,0.2804951,1.3007499,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.780259,2.3841858e-07
MVM Next Energiakereskedelmi Zrt.,Winner,"26713111244,HU26713111",0,-0.010471546,0.11784153,-0.36053312,0.29615334,1.3384781,149,0.9723483432152839,0.706390878068887,0.3595507713356026,0.7989690721649484,0.7637795275590551,0.72925997,-2.9802322e-07
HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,Issuer,13851325444,0,-0.0014315541,0.10695687,-0.19000608,0.2805028,1.2101872,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.79171884,-5.9604645e-08
Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,Issuer,14192247143,0,-0.008767254,0.10662328,-0.23135939,0.26421204,1.2103758,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.79783386,0.0
Magyar Energetikai és Közmű-szabályozási Hivatal,Issuer,15814160241,0,-0.00405872,0.11543979,-0.25370902,0.28647977,1.3068591,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.78064656,-1.1920929e-07
Csongrád Városi Önkormányzat|Esély Szociális Alapellátási Központ|Dr. Szarka Ödön Egyesített Egészségügyi és Szociális Intézmény|PIROSKAVÁROSI SZOCIÁLIS ÉS REHABILITÁCIÓS FOLGALKOZTATÓ NONPROFIT KFT.|Csongrádi Polgármesteri Hivatal|CSONGRÁD VÁROSI ÖNKORMÁNYZAT GAZDASÁGI ELLÁTÓ SZERVEZET|MŰVELŐDÉSI KÖZPONT ÉS VÁROSI GALÉRIA,Issuer,15726896206|15831323206|15354824206|20749549206|15354721206|15831275206|15831282206,0,-0.0015205257,0.11099814,-0.20078164,0.2697571,1.2559184,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.80247223,0.0
Madách Színház Nonprofit Korlátolt Felelősségű Társaság.,Issuer,21974593242,0,0.001918039,0.11331998,-0.23561116,0.31218174,1.2822528,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.7714135,1.1920929e-07
Nyíregyháza Megyei Jogú Város Önkormányzata,Issuer,15731766215,1,0.014846982,0.23031346,-0.60116845,0.5088017,2.6111078,16,0.0,0.00548127384544906,0.0027304661228158725,0.005154639175257732,0.3249581239530988,0.37204227,-5.9604645e-08
Magyar Posta Zártkörűen Működő Részvénytársaság,Winner,"10901232244,HU10901232,01 10 042463",1,0.009784952,0.23150487,-0.5204609,0.545011,2.6215172,16,0.14849634100742476,0.06832082049685097,0.03922470782543732,0.08762886597938144,0.4801980198019802,0.38895082,1.1920929e-07
Budapest Gyógyfürdői és Hévizei Zrt.,Issuer,12165814244,0,-0.009227725,0.10486717,-0.24553937,0.25681296,1.191021,149,0.0,0.0566708907337829,0.0027405559245667,0.005154639175257732,0.43400447427293065,0.79299283,-1.1920929e-07
