Eljárás EKR azonosító,Rész száma,Rész megnevezése,Ajánlatkérő szervezet neve,Ajánlatkérő nemzeti azonosítószáma,A szerződés közös közbeszerzés formájában valósul meg,A szerződést központi beszerző szerv ítéli oda,Ajánlatkérő szervezet típusa,Ajánlatkérő szervezet főtevékenysége,Eljárásrend,Eljárás fajtája,Eljárás tárgya,Szerződés típusa,A beszerzés végleges összértéke,A beszerzés végleges összértéke pénznem,Fő CPV-kód(ok),További CPV-kód(ok),Teljesítés helye NUTS-kód(ok),Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került,A beszerzés európai uniós alapokból finanszírozott projekttel és/vagy programmal kapcsolatos,Szerződés/rész odaítélésre került,Eredménytelenség oka,Szerződés megkötésének dátuma,Beérkezett ajánlatok száma,A szerződést gazdasági szereplők csoportosulása nyerte el,Nyertes ajánlattevő neve,Nyertes ajánlattevő adószáma (adóazonosító jele),Nyertes ajánlattevő postai címe,Nyertes ajánlattevő kkv,A szerződés/rész eredetileg becsült összértéke,A szerződés/rész eredetileg becsült összértéke Pénznem,A szerződés/rész végleges összértéke,A szerződés/rész végleges összértéke pénznem ,Alvállalkozók igénybevétele a szerződés teljesítéséhez,"Alvállalkozó(k) megnevezése, adószáma","Alkalmasság igazolásában részt vevő szervezet(ek) megnevezése, adószáma",A hirdetmény keretmegállapodás megkötésére irányul,Dinamikus beszerzési rendszer (DBR) került létrehozásra,A hirdetmény tárgya az ajánlati/részvételi felhívásban közzétett dinamikus beszerzési rendszer lezárása,A hirdetmény Közbeszerzési Értesítő iktatószáma,A hirdetmény TED azonosítója,Hirdetmény közzétételének dátuma,Hirdetmény típus,Hirdetmény és szerződés megkötés között eltelt idő,unique_id,Ajánlatkérő szervezet neve - eredeti,Nyertes ajánlattevő neve - eredeti,contract_value_missing,Betweenness_Centrality_issuer,PageRank_issuer,Community_issuer,Degree_Centrality_issuer,Closeness_Centrality_issuer,Eigenvector_Centrality_issuer,Betweenness_Centrality_winner,PageRank_winner,Community_winner,Degree_Centrality_winner,Closeness_Centrality_winner,Eigenvector_Centrality_winner
EKR001705812022,,,Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,10898824244,Nem,Nem,U - Közjogi intézmény,KL - Általános közszolgáltatások,Uniós eljárásrend,Meghívásos eljárás,Földgáz energia beszerzés 2022-23 gázévre,Árubeszerzés,868562083.0,HUF,09123000-7,09123000-7,HU120,Nem,Nem,Igen,Nem,Igen,,2022-10-27,2.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20 ,Nem,,HUF,868562083.0,HUF,Igen,,,Nem,Nem,Nincs adat,23738/2022,2022/S 215-617046,2022-11-07,Tájékoztató az eljárás eredményéről,-11 days,24630,Fővárosi Vízművek Zártkörűen Működő Részvénytársaság,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001233832022,,,HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,13851325444,Nem,Nem,,KO - Repülőtéri tevékenységek,Uniós eljárásrend,Nyílt eljárás,„Villamos energia beszerzés 2023.”,Árubeszerzés,1680000000.0,HUF,09310000-5,09310000-5,HU,Nem,Nem,Igen,Nem,Igen,,2022-10-20,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,850000000.0,HUF,1680000000.0,HUF,Nem,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.; 26332392-2-44)",,Nem,Nem,Nincs adat,23476/2022,2022/S 214-615635,2022-11-06,Tájékoztató az eljárás eredményéről,-17 days,71409,HungaroControl Magyar Légiforgalmi Szolgálat Zártkörűen Működő Részvénytársaság,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001397802022,,,Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,14192247143,Nem,Nem,N - Regionális/helyi szintű,KL - Egészségügy,Nemzeti eljárásrend,Kbt. 112. § (1) bekezdés b) pont Nyílt eljárás (hirdetménnyel induló),Vezetékes földgázbeszerzés_2022.11.01-2023.05.01. ,Árubeszerzés,49327082.0,HUF,09121200-5,09121200-5,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-28,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,49327082.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.); 26332392-2-44",,Nem,Nem,Nincs adat,23860/2022,,2022-11-06,Tájékoztató az eljárás eredményéről,-9 days,24281,Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001136522022,,,Magyar Energetikai és Közmű-szabályozási Hivatal,15814160241,Nem,Nem,"U - Minisztériumi vagy egyéb nemzeti vagy szövetségi hatóság, valamint regionális vagy helyi részlegeik",KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Földgázellátás a 2022/2023 gázévre,Árubeszerzés,171970993.0,HUF,09123000-7,09123000-7,HU110,Nem,Nem,Igen,Nem,Igen,,2022-09-30,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,56350795.0,HUF,171970993.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.; adószám: 26332392-2-44)",A gazdasági szereplő kapacitást biztosító szervezetet nem kíván igénybe venni.,Nem,Nem,Nem,21763/2022,2022/S 207-590597,2022-10-27,Tájékoztató az eljárás eredményéről,-27 days,23887,Magyar Energetikai és Közmű-szabályozási Hivatal,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001293652022,,,Csongrád Városi Önkormányzat|Esély Szociális Alapellátási Központ|Dr. Szarka Ödön Egyesített Egészségügyi és Szociális Intézmény|PIROSKAVÁROSI SZOCIÁLIS ÉS REHABILITÁCIÓS FOLGALKOZTATÓ NONPROFIT KFT.|Csongrádi Polgármesteri Hivatal|CSONGRÁD VÁROSI ÖNKORMÁNYZAT GAZDASÁGI ELLÁTÓ SZERVEZET|MŰVELŐDÉSI KÖZPONT ÉS VÁROSI GALÉRIA,15726896206|15831323206|15354824206|20749549206|15354721206|15831275206|15831282206,Igen,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Földgáz beszerzés 2022-2023. évekre,Árubeszerzés,107257649.0,HUF,09123000-7,09123000-7,HU333,Nem,Nem,Igen,Nem,Igen,,2022-09-30,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,107257649.0,HUF,Igen,,,Nem,Nem,Nincs adat,21828/2022,2022/S 206-587435,2022-10-26,Tájékoztató az eljárás eredményéről,-26 days,24140,Csongrád Városi Önkormányzat|Esély Szociális Alapellátási Központ|Dr. Szarka Ödön Egyesített Egészségügyi és Szociális Intézmény|PIROSKAVÁROSI SZOCIÁLIS ÉS REHABILITÁCIÓS FOLGALKOZTATÓ NONPROFIT KFT.|Csongrádi Polgármesteri Hivatal|CSONGRÁD VÁROSI ÖNKORMÁNYZAT GAZDASÁGI ELLÁTÓ SZERVEZET|MŰVELŐDÉSI KÖZPONT ÉS VÁROSI GALÉRIA,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001072482022,,,Madách Színház Nonprofit Korlátolt Felelősségű Társaság.,21974593242,Nem,Nem,U - Közjogi intézmény,"KL - Szabadidő, kultúra és vallás",Uniós eljárásrend,Nyílt eljárás,földgáz beszerzés,Árubeszerzés,314642242.0,HUF,09123000-7,09123000-7,HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-13,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,78000000.0,HUF,314642242.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.) adószám: 26332392-2-44  ",,Nem,Nem,Nincs adat,22677/2022,2022/S 204-579037,2022-10-24,Tájékoztató az eljárás eredményéről,-11 days,23740,Madách Színház Nonprofit Korlátolt Felelősségű Társaság.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001072312022,,,Madách Színház Nonprofit Korlátolt Felelősségű Társaság.,21974593242,Nem,Nem,U - Közjogi intézmény,"KL - Szabadidő, kultúra és vallás",Uniós eljárásrend,Nyílt eljárás,villamos energia beszerzése,Árubeszerzés,501825000.0,HUF,09310000-5,09310000-5,HU120|HU110,Nem,Nem,Igen,Nem,Igen,,2022-10-13,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,225000000.0,HUF,501825000.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft. (1081 Budapest, II. János Pál pápa tér 20.) adószám: 26332392-2-44",,Nem,Nem,Nincs adat,22676/2022,2022/S 204-579038,2022-10-24,Tájékoztató az eljárás eredményéről,-11 days,23739,Madách Színház Nonprofit Korlátolt Felelősségű Társaság.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001410352022,,,Nyíregyháza Megyei Jogú Város Önkormányzata,15731766215,Nem,Nem,N - Regionális/helyi szintű,KL - Általános közszolgáltatások,Nemzeti eljárásrend,Kbt. 117. § Saját beszerzési szabályok alkalmazása részvételi szakasz nélkül,Karácsonyi csomag kézbesítése időskorúak részére,Szolgáltatás megrendelés,22677094.0,HUF,60100000-9,60100000-9,HU323,Igen,Nem,Igen,Nem,Igen,,2022-10-17,1.0,Nem,Magyar Posta Zártkörűen Működő Részvénytársaság,"10901232244,HU10901232,01 10 042463",HUN_1138_Budapest_Dunavirág Utca 2-6,Nem,,HUF,22677094.0,HUF,Nem,,,Nem,Nem,Nincs adat,22796/2022,,2022-10-20,Tájékoztató az eljárás eredményéről,-3 days,71612,Nyíregyháza Megyei Jogú Város Önkormányzata,Magyar Posta Zártkörűen Működő Részvénytársaság,False,0.0,0.0027304661228158725,1.0,0.005154639175257732,0.3249581239530988,0.00548127384544906,0.14849634100742476,0.03922470782543732,1,0.08762886597938144,0.4801980198019802,0.06832082049685097
EKR001079942022,,,Budapest Gyógyfürdői és Hévizei Zrt.,12165814244,Nem,Nem,U - Közjogi intézmény,KL - Egyéb tevékenység:,Uniós eljárásrend,Nyílt eljárás,Földgáz energia beszerzése 2022-23.,Árubeszerzés,1421754908.0,HUF,09123000-7,09123000-7,HU110,Nem,Nem,Igen,Nem,Igen,,2022-09-26,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,1421754908.0,HUF,Igen,MVM Ügyfélkapcsolati Kft. (26332392-2-44),,Nem,Nem,Nincs adat,21568/2022,2022/S 201-571465,2022-10-18,Tájékoztató az eljárás eredményéről,-22 days,23823,Budapest Gyógyfürdői és Hévizei Zrt.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR000749592022,,,VOLÁNBUSZ Közlekedési Zártkörűen Működő Részvénytársaság,10824346244,Nem,Nem,,"KO - Városi vasúti, villamos, trolibusz vagy autóbusz szolgáltatások",Uniós eljárásrend,Nyílt eljárás,Közlekedési nyomdai termékek országos értékesítése,Szolgáltatás megrendelés,137000000.0,HUF,63512000-1,63712000-3|63512000-1,HU,Igen,Nem,Igen,Nem,Igen,,2022-10-03,1.0,Nem,Magyar Posta Zártkörűen Működő Részvénytársaság,"10901232244,HU10901232,01 10 042463",HUN_1138_Budapest_Dunavirág Utca 2-6,Nem,,HUF,137000000.0,HUF,Nem,,,Nem,Nem,Nincs adat,21934/2022,2022/S 200-570346,2022-10-17,Tájékoztató az eljárás eredményéről,-14 days,22815,VOLÁNBUSZ Közlekedési Zártkörűen Működő Részvénytársaság,Magyar Posta Zártkörűen Működő Részvénytársaság,False,0.0,0.0027304661228158725,1.0,0.005154639175257732,0.3249581239530988,0.00548127384544906,0.14849634100742476,0.03922470782543732,1,0.08762886597938144,0.4801980198019802,0.06832082049685097
EKR001255812022,,,Budapest Főváros VI. Kerület Terézváros Önkormányzata|Terézvárosi Egészségügyi Szolgálat|Terézvárosi Vagyonkezelő Nonprofit Zrt.|Budapest Főváros VI. Kerület Terézvárosi Polgármesteri Hivatal|Terézvárosi Gondozó Szolgálat|Terézvárosi Önkormányzat Kincseskert Óvodája|TERÉZVÁROSI ÖNKORMÁNYZAT FASORI KICSINYEK ÓVODÁJA|Budapest Főváros VI. Kerület Terézváros Önkormányzat Értelmi Fogyatékosok Napközi Otthona|Terézvárosi Család- és Gyermekjóléti Központ,15735698242|15506203242|12098336242|15506007242|15506210242|16928235142|16928228142|15506227142|16924334142,Igen,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Földgáz beszerzés 2022.,Árubeszerzés,885667152.0,HUF,09123000-7,09123000-7,HU110,Nem,Nem,Igen,Nem,Igen,,2022-09-30,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,885667152.0,HUF,Igen,  MVM Ügyfélkapcsolati Korlátolt Felelősségű Társaság 26332392-2-44,,Nem,Nem,Nincs adat,21802/2022,2022/S 200-568820,2022-10-17,Tájékoztató az eljárás eredményéről,-17 days,70555,Budapest Főváros VI. Kerület Terézváros Önkormányzata|Terézvárosi Egészségügyi Szolgálat|Terézvárosi Vagyonkezelő Nonprofit Zrt.|Budapest Főváros VI. Kerület Terézvárosi Polgármesteri Hivatal|Terézvárosi Gondozó Szolgálat|Terézvárosi Önkormányzat Kincseskert Óvodája|TERÉZVÁROSI ÖNKORMÁNYZAT FASORI KICSINYEK ÓVODÁJA|Budapest Főváros VI. Kerület Terézváros Önkormányzat Értelmi Fogyatékosok Napközi Otthona|Terézvárosi Család- és Gyermekjóléti Központ,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001301382022,,,Komáromi Városgazda Közhasznú Nonprofit Kft.,10622807211,Nem,Nem,U - Regionális vagy helyi iroda/hivatal,KL - Általános közszolgáltatások,Uniós eljárásrend,Keretmegállapodás alapján verseny újranyitás,Földgáz beszerzés,Árubeszerzés,45876886.0,HUF,09123000-7,09123000-7,HU212,Nem,Nem,Igen,Nem,Igen,,2022-09-30,2.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20 ,Nem,60316218.0,HUF,45876886.0,HUF,Igen,"MVM Ügyfélkapcsolati Kft., 1081 Budapest, II. János Pál pápa tér 20., adószám:  26332392-2-44",,Nem,Nem,Nincs adat,21694/2022,2022/S 199-562989,2022-10-14,Tájékoztató az eljárás eredményéről,-14 days,24183,Komáromi Városgazda Közhasznú Nonprofit Kft.,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
EKR001329722022,,,Martfű Város Önkormányzata,15733012216,Nem,Nem,U - Regionális vagy helyi hatóság,KL - Általános közszolgáltatások,Uniós eljárásrend,Nyílt eljárás,Földgáz beszerzés 2022,Árubeszerzés,74213432.0,HUF,09123000-7,09123000-7,HU322,Nem,Nem,Igen,Nem,Igen,,2022-09-30,1.0,Nem,MVM Next Energiakereskedelmi Zrt.,"26713111244,HU26713111",HUN_1081_Budapest_II. János Pál pápa Tér 20,Nem,,HUF,74213432.0,HUF,Igen,  MVM Ügyfélkapcsolati Korlátolt Felelősségű Társaság 26332392-2-44,,Nem,Nem,Nincs adat,21700/2022,2022/S 197-558966,2022-10-12,Tájékoztató az eljárás eredményéről,-12 days,71468,Martfű Város Önkormányzata,MVM Next Energiakereskedelmi Zrt.,False,0.0,0.0027405559245667,0.0,0.005154639175257732,0.43400447427293065,0.0566708907337829,0.9723483432152839,0.3595507713356026,0,0.7989690721649484,0.7637795275590551,0.706390878068887
