Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
"Nyíradonyi Vagyonkezelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Buyer,11153872209,0,0.0378517,0.37588167,-0.98234904,0.8384628,4.2741237,3,4.690211528539937e-05,2.8836974057718474e-21,0.007016159988372913,0.39831704,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
TIGÁZ Földgázelosztó Zártkörűen Működő Részvénytársaság,Winner,11147073209,0,0.034576975,0.3754484,-1.0129374,0.8209071,4.2656894,3,0.0,2.0390819905113285e-21,0.0037034584673520045,0.3934147,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság|MÁV Magyar Államvasutak Zártkörűen Működő Részvénytársaság,Buyer,26698180241|10856417244,1,0.021720741,0.3902749,-0.90801007,1.063009,4.42229,2,0.0,1.870112742694612e-24,0.004807692307692308,0.39062637,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Scheidt & Bachmann System Technik GmbH,Winner,DE292571276,1,0.026011832,0.39061153,-0.89423245,1.0901587,4.429053,2,0.0,1.870112742694612e-24,0.004807692307692308,0.3878184,-1.7881393e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Digitális Kormányzati Ügynökség Zrt.,Buyer,EKRSZ_ 44899914,8,-0.022877924,0.27167395,-0.56457675,0.6476133,3.084519,15,0.016673701983959482,0.034314540090037114,0.012971197540708258,0.42775807,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
VIR Vezetői Információs Rendszerek Szolgáltató Zrt.|T-Systems Magyarország Zártkörűen Működő Részvénytársaság|NETvisor Informatikai és Kommunikációs Zrt.|Spirity Enterprise Zártkörűen Működő Részvénytársaság|NOREG Információvédelmi Kft.|Poli Computer PC Szolgáltató és Kereskedelmi Kft.|IT-CM Kereskedelmi és Szolgáltató Kft.|TRACO Kereskedelmi és Szolgáltató Zrt.,Winner,nan,8,-0.0108020175,0.2675341,-0.60717684,0.7602257,3.0292687,15,0.0,0.004877705367796809,0.0025593267127735604,0.42413777,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
SAS Institute Kft. ,Winner,nan,8,-0.014872454,0.27211446,-0.60940754,0.6844806,3.0832186,15,0.0,0.004877705367796809,0.0025593267127735604,0.41857964,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Digitális Kormányzati Ügynökség Zártkörűen Működő Részvénytársaság,Buyer,EKRSZ_44899914,3,-0.008059174,0.20709604,-0.7283458,0.6732103,2.3447978,40,0.1745774901114706,0.7030179831945697,0.10291901059004023,0.49429452,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
SAS Institute Szoftver Értékesítő és Tanácsadó Korlátolt felelősségű Társaság,Winner,12340279-2-43,4,-0.029961796,0.22913757,-0.76870555,0.623469,2.6144638,8,0.01138157997592358,0.10492404463440072,0.004331451261326432,0.44983122,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,5,0.030628737,0.29301822,-0.64992374,0.8202407,3.3331845,4,0.008301674405515689,0.015120797739069875,0.007569687769536514,0.42625284,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Varian Medical Systems Hungary Kft.,Winner,"23567818243,HU23567818",5,0.032300513,0.30397955,-0.6970742,0.8978726,3.458497,4,0.0,0.002149374466418381,0.0028664900723828876,0.42625487,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
MVMI Informatika Zártkörűen Működő Részvénytársaság,Buyer,EKRSZ_79228174,6,-0.022598293,0.29160577,-1.0194821,0.77239615,3.3090348,7,0.020402420149148726,0.01616376853297367,0.014363780485175299,0.4230531,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
Nolimit CRM Solutions Kft.,Winner,25592263-2-41,6,-0.026436202,0.28550854,-0.97703433,0.7469168,3.243978,7,0.0,0.0022976295275802107,0.0027566275972331837,0.4186289,1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Nem,Nem,Igen
