Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Buyer,11906522241,0,-0.0058224928,0.22223817,-0.66850793,0.39865577,2.5152006,102,0.19847763303652194,0.16941491421738833,0.06452324061520412,0.4471807,-3.5762787e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Pannonway Építő Kft.,Winner,"13099581220,HU13099581",0,0.001987501,0.2172502,-0.51485336,0.44508097,2.4580083,102,0.00818991041464168,0.06637818615593953,0.0011657004427451058,0.42593268,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,14605749244,1,-0.00881519,0.20689544,-0.6332258,0.5571236,2.3428783,144,0.29640680072908604,0.6849299848515303,0.09291584225537364,0.4713614,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Volvo Hungária Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"11841674244,HU11841674",1,0.00060645305,0.20129335,-0.5018203,0.60748154,2.2773848,144,0.0,0.05321546829514645,0.0006892386180923093,0.47947714,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros Vagyonkezelő Központ Zrt.,Buyer,12006003241,2,0.018245127,0.4211358,-1.0866619,1.185396,4.7690773,4,1.09421162052741e-05,1.6552382880604458e-47,0.0025869696105321185,0.3905449,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Asseco Central Europe Magyarország Zrt.,Winner,"13336011241,HU13336011,Cg.01-10-045132",2,0.0128621645,0.41176775,-1.0829238,1.1007123,4.6608925,4,0.0,9.556522711846737e-48,0.000934621989660902,0.38411644,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
"LECHNER TUDÁSKÖZPONT TERÜLETI, ÉPÍTÉSZETI ÉS INFORMATIKAI NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG",Buyer,24225221243,3,0.007007817,0.3431925,-0.82756525,0.90626377,3.883589,2,0.0,1.8992464002987373e-56,0.0013477088948787063,0.6117223,3.5762787e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
EUROSENSE Légi Térképészeti Kft.,Winner,"10888478243,HU10888478",3,0.0072759558,0.33903795,-0.81156194,0.89230806,3.8366597,2,0.0,1.8992464002987373e-56,0.0013477088948787063,0.61076546,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
NHKV Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zártkörűen Működő Részvénytársaság,Buyer,25456790244,4,0.035342753,0.34921923,-0.8045667,0.9307315,3.971147,28,0.0012802275960170698,4.9052338304446086e-24,0.017458098198373063,0.38156444,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
GEOSOL Korlátolt Felelősségű Társaság|CRH Magyarország Korlátolt Felelősségű Társaság|Duna-Dráva Cement Korlátolt Felelősségű Társaság|Sárvári HUKE Hulladék Kezelési Korlátolt Felelősségű Társaság|Lafarge Cement Magyarország Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság|Hamburger Hungária Kft.,Winner,"13714789210|24083621244,HU24083621|10324602244,HU10324602|12799776218,HU12799776|13754448202,HU13754448|13611545207",4,0.023781296,0.3416784,-0.7663354,0.97284216,3.8750021,28,0.0,9.44012690802376e-25,0.0007510278095641003,0.3896586,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
