Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Nemzeti Útdíjfizetési Szolgáltató Zártkörűen Működő Részvénytársaság,Buyer,12147715244,0,-0.023139048,0.26760507,-0.6847238,0.8852631,3.038903,22,0.080813531385515,0.06293714431471649,0.017476837146052093,0.40844727,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Pátria Nyomda Zártkörűen Működő Részvénytársaság,Winner,10728350243,0,0.0032175593,0.2740289,-0.65009916,0.8169434,3.100497,22,0.030958734768361307,0.13137151807058764,0.002968338823035948,0.38771138,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
KAV Közlekedési Alkalmassági és Vizsgaközpont Nonprofit Kft.,Buyer,26580708243,1,-0.040284395,0.3059956,-0.8432293,0.6295601,3.491817,2,0.0,5.884500638144351e-27,0.002207505518763797,0.6272329,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
CRITERION Készpénzlogisztikai Kft.,Winner,10419519244,1,-0.038649093,0.30705303,-0.83769387,0.63467807,3.50132,2,0.0,5.884500638144351e-27,0.002207505518763797,0.62779415,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Környéki Törvényszék,Buyer,15311409242,29,0.006221218,0.25580814,-0.842905,0.7526162,2.8949947,27,0.05515285132164056,0.11396600521213925,0.013700906999442096,0.39414924,-3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
DUNACOM Plus Kereskedelmi és Szolgáltató Kft.,Winner,"23912940217,HU23912940",29,0.017188136,0.27313477,-0.87852705,0.8127738,3.0962799,27,0.0,0.019760180667942058,0.0011080062800664094,0.39958787,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Fehérvár Médiacentrum Kft.,Buyer,11837080207,3,-0.052131712,0.3911787,-1.027036,0.89134705,4.46481,3,0.0,4.2143772653871246e-23,0.0017005834726018122,0.39048102,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,Winner,10384730219,3,-0.0517102,0.39094764,-1.0308871,0.9037675,4.461591,3,9.811039381512077e-06,5.960029485667308e-23,0.003221349611087767,0.39347163,-3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Agrártudományi Kutatóközpont,Buyer,15300519207,4,-0.046826616,0.426356,-1.037262,1.1996013,4.852673,2,0.0,5.884500638144351e-27,0.002207505518763797,0.3917369,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Prebázis Termelő és Kutatás-Fejlesztési Kft.,Winner,11117722207,4,-0.05036237,0.42546827,-1.0581257,1.1950371,4.8472285,2,0.0,5.884500638144351e-27,0.002207505518763797,0.3996846,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
GYŐR-SZOL Győri Közszolgáltató és Vagyongazdálkodó Zártkörűen Működő Részvénytársaság,Buyer,11693062208,5,0.031096136,0.33439222,-0.8570858,0.91976917,3.799539,19,0.0,0.00245492996143233,0.0012894999593649828,0.38198313,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Mesterszerviz 024 Szolgáltató Korlátolt Felelősségű Társaság|Edelweiss Ökoservice Korlátolt Felelősségű Társaság,Winner,"10809408242,HU10809408|10835449242,HU10835449",5,0.02502506,0.31456357,-0.8322174,0.86466265,3.5701249,19,0.002187861782077193,0.014156518314039069,0.0022562066750010123,0.38141677,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
BFK Budapest Fejlesztési Központ Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,25416316241,6,-0.022407468,0.3219438,-0.99328434,0.80095947,3.6511898,12,0.021437121048603888,0.03017519659714819,0.01170193291019861,0.39926672,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
ANKER-AUDITOR Kft,Winner,10685392242,6,-0.031837653,0.3228541,-0.9729101,0.78811777,3.6703942,12,0.0,0.005231344550657746,0.0012359546406489437,0.4049613,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
ELI-HU Nonprofit Kft.,Buyer,22604255206,7,-0.049057063,0.36554003,-1.1984776,0.8743268,4.1726904,13,0.0002943311814453623,1.6475179820768463e-13,0.004666886062345987,0.3915141,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Spektrum Méréstechnika Kereskedelmi és Szolgáltató Kft.,Winner,"13191580241,HU13191580",7,-0.048483264,0.35883877,-1.1667788,0.9117528,4.0966854,13,0.0,5.740779999405297e-14,0.0013234144977654343,0.39178076,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Isotoptech Nukleáris és Technológiai Szolgáltató Zrt.,Winner,"11804262409,HU17781138",7,-0.04108676,0.34640625,-1.2206981,0.8851673,3.9466102,13,0.0003139532602083865,3.0058986275581126e-13,0.0022667176339807235,0.40095988,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Szövetség a Polgári Magyarországért Alapítvány,Buyer,18180987141,17,-0.09206751,0.34636247,-1.0257764,0.63121504,4.05472,22,0.0,0.00014237050330307113,0.0012864084958326757,0.39161465,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Nemzetközi Testőr Biztonságszolgálati Kft,Winner,"10386921242,HU10386921,01-09-067210",17,-0.08374358,0.32528794,-0.98796713,0.64018255,3.8002143,22,0.004365912524772874,0.0008209938396287717,0.003372941384640448,0.3921612,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.,Buyer,10585560244,9,-0.029602274,0.3196032,-0.90201086,0.8439313,3.6313744,22,0.04387496811412201,0.005213892292506428,0.021761978618713596,0.4034527,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Sysman Informatikai Zrt.,Winner,12948901241,9,-0.029526431,0.33603218,-0.8853186,0.9235581,3.8164182,22,0.002187861782077193,0.0009354487081043116,0.002339116626889025,0.39262682,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Nemzeti Bank,Buyer,10011953244,10,-0.03605411,0.3628618,-0.9732088,0.8483295,4.125528,9,0.0002158428663932657,8.323841454705659e-16,0.00581534238383779,0.39174116,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
