Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Budapest Fegyház és Börtön,Buyer,15752057251,0,-0.043454297,0.36576566,-0.8803486,1.0319375,4.1672673,17,0.0007867705980913528,0.013477088948787063,0.006918375318619305,0.39058602,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Gulyás János és Társa Kft,Winner,"11399531206,HU11399531",0,-0.045990787,0.35745957,-0.95217246,0.901594,4.0775285,17,0.0,0.0026954177897574125,0.0015788055200707599,0.39406466,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
BUSA kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"11024879203,HU 11024879",0,-0.051801253,0.35134846,-0.9916524,0.92392385,4.0180254,17,0.0008013404239819334,0.005390835579514825,0.0026929167758884074,0.4005864,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Buyer,11906522241,1,-0.0095270425,0.3049717,-0.84008825,0.7462553,3.4520442,28,0.019071902090770015,0.008086253369272238,0.0037760683163202127,0.39594844,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Mercarius Flottakezelő Korlátolt Felelősségű Társaság,Winner,"12238673242,HU12238673",1,-0.009836767,0.26780382,-0.6536401,0.7187539,3.0318973,28,0.08759365449392405,0.01078167115902965,0.004613447587146364,0.40003595,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Agrártudományi Kutatóközpont,Buyer,15300519207,2,-0.037128687,0.26396593,-0.67622125,0.5152256,3.0158315,71,0.04008013877286103,0.04582210242587601,0.016006091269219144,0.4101783,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bio-Science Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12266788243,HU12266788",2,-0.04314807,0.2730358,-0.61583406,0.55738676,3.127382,71,0.007467145903803594,0.01078167115902965,0.0040092516600691306,0.41194788,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Auro-Science Consulting Kereskedelmi Kft.,Winner,"10483592241,HU10483592",3,-0.027627207,0.26194504,-0.5527034,0.82789606,2.9800074,35,0.0178802329745726,0.01078167115902965,0.00408280047947856,0.38287455,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"BioTech Hungary Kereskedelmi, Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság",Winner,"13547620213,HU13547620",2,-0.027302936,0.23626024,-0.549201,0.5866313,2.6907687,71,0.000492235963934077,0.005390835579514825,0.00210161314881742,0.43875638,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Fővárosi Ítélőtábla,Buyer,15597322141,4,-0.024868518,0.34131774,-0.7264682,0.85250854,3.8718054,23,0.007082392365411232,0.008086253369272238,0.003733083262078953,0.40314084,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Kemabo Kereskedelmi Marketing és Bonyolító Kft.,Winner,"10328905241,HU10328905",4,-0.009096492,0.35196018,-0.706983,0.91682386,3.9833045,23,0.0,0.0026954177897574125,0.0014604222534708945,0.3969017,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Iroda 2000 Kereskedelmi és Szolgáltató Kft.,Winner,"11079130205,HU11079130,05-09-003913",4,-0.022052435,0.31694826,-0.769037,0.71132934,3.5945296,23,0.009428411854287866,0.008086253369272238,0.0036726262763384357,0.39513594,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,14605749244,5,-0.009744174,0.23621428,-0.58094496,0.58322644,2.6747324,70,0.2753881297547065,0.19676549865229112,0.08769577634547723,0.44469148,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Fa-Forg-Tech Hungária Forgalomtechnikai és Kereskedelmi Kft.,Winner,"12818574205,HU12818574,05-09-009541",5,-0.0055937283,0.23751722,-0.5995054,0.70619947,2.6879456,70,0.0,0.0026954177897574125,0.0014237719426454477,0.44665307,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Bay Zoltán Alkalmazott Kutatási Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Buyer,23497980243,3,-0.025918975,0.2850011,-0.6642106,0.8318266,3.2377257,35,0.04840824652145407,0.03234501347708895,0.013985375420151014,0.39670414,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
JEOL (EUROPE) SAS,Winner,"FR16652005257,1993B00789",3,-0.018528977,0.28140345,-0.6014148,0.8670896,3.190611,35,0.00914256574633933,0.005390835579514825,0.0023216195033954243,0.39494988,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Hajdúböszörményi Városgazdálkodási Nonprofit Korlátolt Felelősségű Társaság,Buyer,11156624209,0,-0.056772716,0.36265564,-1.0233976,0.84731996,4.1529517,17,0.0009470386828877395,0.016172506738544475,0.008180225469147968,0.39125693,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Baromfiudvar 2002 Kft.,Winner,"12830093209,HU12830093",0,-0.059551224,0.3593115,-1.0572276,0.8219617,4.1205997,17,0.0,0.0026954177897574125,0.0015615421783558936,0.39935368,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
